ApplicationID,ApplicationNumber,ApplicantType,SuppCount,ProductCount,CoverageCount,PrizeCount,ParticipatingInstitutionCount,WhitePaper,WhitePaperPath,PDFirstname,PDMiddlename,PDLastname,PDNameSuffix,CoPDFirstname,CoPDMiddlename,CoPDLastname,CoPDNameSuffix,Participants,GranteeDisplay,Institution,InstCity,InstState,InstPostalCode,InstCountry,CouncilDate,YearAwarded,ProjectTitle,PrimaryDiscipline,AllDisciplines,ProgramID,ProgramName,DivisionID,DivisionName,OfferedOutright,OfferedMatching,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,GrantPeriod,ProjectDesc,ToSupport
281369,FEL-281369-22,2,0,0,0,0,0,0,,Elizabeth,,Dale,,,,,,Elizabeth Dale (Project Director: March 2021 to present),"Elizabeth Dale<br/>University of Florida (Gainesville, FL 32611-0001)",University of Florida,Gainesville,FL,32611-0001,USA,11/1/2021,2021,Marking the Borders of Citizenship: Rights and Intellectual Disability in Twentieth-Century Criminal Law,U.S. History,"History, Other; Legal History; U.S. History",318,Fellowships,6,Research Programs,55000,0,55000,0,55000,0,55000,0,8/1/2022 &ndash; 6/30/2023,"<p>Completion of a book on the intersection of intellectual disability and the rights of criminal defendants in 20th-century U.S. law.</p>
<p>This book uses a case study to examine how intellectual disability intersected with the rights of criminal defendants in twentieth century law, showing how one influenced the other in the twentieth century U.S.</p>",
281852,FEL-281852-22,2,0,0,0,0,0,0,,Matthieu,,Felt,,,,,,Matthieu Felt (Project Director: April 2021 to present),"Matthieu  Felt<br/>University of Florida (Gainesville, FL 32611-0001)",University of Florida,Gainesville,FL,32611-0001,USA,11/1/2021,2021,"Translation of The Chronicles of Japan, an 8th-Century Historical Work written in Classical Japanese",Asian Languages,Asian Languages; East Asian History; Nonwestern Religion,318,Fellowships,6,Research Programs,40000,0,40000,0,40000,0,40000,0,5/1/2022 &ndash; 12/31/2022,"<p>Scholarly translation into English of&nbsp;<em>The Chronicles of Japan</em>&nbsp;(Nihon shoki, 720 CE), one of the oldest extant written works from the Japanese archipelago.&nbsp;</p>
<p>This project is an English translation of <em>The Chronicles of Japan</em> (Nihon shoki, 720 CE) in two volumes. Translation of both volumes is under contract with Oxford University Press to be delivered on January 1, 2023, with each volume at approximately 544 pages.  The Chronicles of Japan is one of the oldest extant written works from the Japanese archipelago. This text contains the Japanese creation myths, the histories of legendary and historical sovereigns from 660 BCE to 697 CE, and many ancient songs and poems. As such, it is the foundational work in premodern Japanese history, literature, and religion, and also relevant to studies of premodern world literature, world mythology, and the production of local texts within the Chinese cultural sphere.  The only complete translation of this text in English was completed by W.G. Aston in 1896. The stilted language, frequent use of Latin, and unclear formatting of Aston’s translation have created the urgent need for a new one.</p>",
283552,ZRE-283552-22,1,0,0,0,0,0,0,,Romina,,Gutierrez,,,,,,Romina Gutierrez (Project Director: May 2021 to present),"University of Florida (Gainesville, FL 32611-0001)<br/>Romina Gutierrez (Project Director: May 2021 to present)</div>",University of Florida,Gainesville,FL,32611-0001,USA,8/1/2021,2021,University Press of Florida: Exploring Diverse Stories of America through Humanities Publishing,U.S. History,African American History; Latin American History; U.S. History,331,ARP-Organizations (Research-related),8,Agency-wide Projects,0,0,460260,0,460260,0,460260,0,12/1/2021 &ndash; 11/30/2022,"<p>Development of&nbsp;the University Press of Florida’s work on&nbsp;African American and Latin American Studies topics, including acquisitions and promotions;&nbsp;retaining four jobs and creating seven new positions.</p>
<p>Exploring Diverse Stories of America through Humanities Publishing will help UPF's publications in African American Studies (AAS) and Latin American and Caribbean Studies (LACS), while hiring for key staff positions lost during the pandemic. The project has the following objectives: 1) support UPF’s capacity to acquire, produce, and promote titles in these two mission-critical areas by hiring new staff and partially covering salaries for staff working on AAS and LACS publications; 2) increase availability of AAS and LACS backlist titles in accessible formats to help disseminate scholarly research broadly and diversify UPF revenue streams; 3) organize and promote a virtual event series that explores and critically discusses topics at the intersection of AAS, LACS, and publishing in the humanities in partnership with several centers at the University of Florida (UF); and 4) provide professional development through paid internships for students interested in publishing.</p>",
277334,PW-277334-21,1,0,0,0,0,0,0,,Charles,Richard,Cobb,,,,,,Charles Richard Cobb (Project Director: July 2020 to present),"University of Florida (Gainesville, FL 32611-0001)<br/>Charles Richard Cobb (Project Director: July 2020 to present)</div>",University of Florida,Gainesville,FL,32611-0001,USA,3/1/2021,2021,The Colonial St. Augustine Project: Digitizing 400 Years of Interaction Phase 1,Archaeology,Archaeology,253,Humanities Collections and Reference Resources,1,Preservation and Access,0,0,318944,0,318944,0,318944,0,7/1/2021 &ndash; 12/31/2023,"<p>The development of a database and online portal to archaeological material at the Florida Museum of Natural History from three house lots at the colonial city of St Augustine. The house lots encompass material from the late 16th&nbsp;to 19th&nbsp;centuries. A total of approximately 52,000 artifacts and over 2000 documents, maps and photos, would be added – including pottery, architecture, clothing, and metals that document the diverse cultural representation in St Augustine at that time.&nbsp;</p>
<p>The Colonial St. Augustine Project will rely on a sample of artifact collections from house lots from the city of St. Augustine, Florida to accomplish two goals: 1) develop an digital database that helps to describe the colonial history of the city based on archaeological investigations; and, 2) make that data freely accessible through an online web portal. Established by the Spanish Crown in 1565, St. Augustine is widely celebrated as the earliest colonial town in North America that is still an active community today. As the capital of the Spanish colony of Florida, it played a major role in the colonial history of eastern North America, and its later integration into the United States strongly shaped the character of the American South. The public website to be made available through this project will emphasize the importance of archaeological research for sharing this story with the American public.</p>",
277433,PW-277433-21,1,0,0,0,0,0,0,,Sarah,,Moeller,,,,,,Kevin Tang (Project Director: July 2020 to September 2021)<br/>Sarah Moeller (Project Director: September 2021 to present),"University of Florida (Gainesville, FL 32611-0001)<br/>Kevin Tang (Project Director: July 2020 to September 2021)<br/>Sarah Moeller (Project Director: September 2021 to present)</div>",University of Florida,Gainesville,FL,32611-0001,USA,3/1/2021,2021,Reanimating African American Oral Histories of the Gulf South,American Studies,African American History; American Studies; Computational Linguistics,253,Humanities Collections and Reference Resources,1,Preservation and Access,0,0,349990,0,349990,0,349990,0,7/1/2021 &ndash; 6/30/2024,"<p>The reformatting and annotation of 500&nbsp;oral histories of African Americans from the Gulf South,&nbsp;representing the stories of people who lived through the transatlantic slave trade up to the present day, as well as the&nbsp;development of&nbsp;a new web search interface and&nbsp;150 curriculum modules for K-12&nbsp;educators.</p>
<p>An interdisciplinary collaboration between UF Linguistics, Oral History program, and George A. Smathers Libraries will reanimate 500 interviews with African Americans in the Gulf South, a population absent from many other oral history collections, with rich annotations and a web-based customizable interface. Our design harnesses computational linguistic methods and is informed by the needs and expertise of three diverse user groups, resulting in a host of improved accessibility outcomes. For education, teachers will be provided an easy to use interface to enhance student engagement with localized curriculum using the interviews. For linguistics, researchers will have access to an unprecedented amount of spoken African American data to investigate African American language change and regionality, and racially-based biases in speech technologies. Finally, oral history programs across the country will be offered a new means of enhancing accessibility into their own archival collections.</p>",
279980,DR-279980-21,1,0,0,0,0,0,0,,Romina,,Gutierrez,,,,,,Romina Gutierrez (Project Director: December 2020 to present),"University of Florida (Gainesville, FL 32611-0001)<br/>Romina Gutierrez (Project Director: December 2020 to present)</div>",University of Florida,Gainesville,FL,32611-0001,USA,,2021,Open Access Edition of Pauulu's Diaspora: Black Internationalism and Environmental Justice by Quito J. Swan,African History,African American History; African American Studies; African History,324,Fellowships Open Book Program,12,Digital Humanities,0,0,5500,0,5500,0,5500,0,5/1/2021 &ndash; 4/30/2022,"<p>This project will publish the book Pauulu’s Diaspora: Black Internationalism and Environmental Justice, written by NEH Fellow Quito J. Swan (NEH grant number FA-57763-14), in an electronic open access format under a Creative Commons license, specifically CC BY-NC-ND, making it available for free download and distribution. The hardback and epdf version of this book was published in April 2020 by the University Press of Florida. Dr. Quito Swan will be paid a royalty of $600 upon release of the open access ebook.</p>",
267225,FEL-267225-20,2,0,0,0,0,0,0,,Lillian,,Guerra,,,,,,Lillian Guerra (Project Director: March 2019 to January 2022),"Lillian  Guerra<br/>University of Florida (Gainesville, FL 32611-0001)",University of Florida,Gainesville,FL,32611-0001,USA,12/1/2019,2019,"Patriots and Traitors in Revolutionary Cuba, 1961-1981",Latin American History,Cultural History; Latin American History; Latin American Studies,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,8/1/2020 &ndash; 7/31/2021,"<p>Research and writing leading to a
book on youth education programs during the Cuban Revolution between 1961 and
1981.</p>
<p>“These children will be patriots or traitors,” a poster declared in 1965 Cuba, “you decide. Teach them the work of the Revolution.” Yet citizens rarely responded to this call with unconditional support. For this reason, in the 1970s, the state turned to “rehabilitation” of citizens through labor camps, Soviet pedagogy designed to create a “Communist personality in every child” and finally, Fidel’s launch of the Mariel Boatlift in 1980—a policy to rid Cuba of critics accused of lacking “revolutionary genes”. What was it like to grow up in this Cuba? How did leaders go from “teaching the work of the Revolution” to repression and exclusion?  Through unused archives and oral history, I delve into the mechanisms through which grassroots support was constructed and challenged. Finding that the burdens of revolutionary citizenship often blurred lines, I illuminate an ironically apolitical nation within the binary of patriot vs. traitor: there, a creative, collective individualism thrived.</p>",
268212,FEL-268212-20,2,0,4,0,0,0,0,,Amanda,,Concha-Holmes,,,,,,Amanda Concha-Holmes (Project Director: April 2019 to January 2022),"Amanda  Concha-Holmes<br/>University of Florida (Gainesville, FL 32611-0001)",University of Florida,Gainesville,FL,32611-0001,USA,12/1/2019,2019,A Digital Ethnography of the Inhabitants and Environment along Florida's Silver River,American Studies,"American Studies; Arts, Other; Cultural Anthropology",318,Fellowships,6,Research Programs,50000,0,50000,0,50000,0,50000,0,2/1/2020 &ndash; 11/30/2020,"<p>Preparation of a digital ethnography of the
Silver River in Florida.</p>
<p>Key to interpreting who belongs and which part of a hybrid identity is allowed to belong is Chicana feminist Gloria Anzaldúa’s concept borderlands. This concept which helps identify and navigate multiple worlds of geographic and cultural identity formation guides this interactive, web-based, mixed-media monograph. Additionally, I rely on evocative ethnography, a decolonial, feminist visual anthropology approach that I have pioneered to reveal some of the multifaceted historical, crosscultural and multispecies layers of Florida’s Silver River. This born-digital project, which allows for the integration of video, text, hyperlinks, audio and graphics, is better equipped to negotiate the representations of some of the layers of identity formation that are fragmented, hybrid and emergent. These stories and the evocative ways they are represented are critical for excavating and interpreting Florida and American history that highlight the contributions of the under-represented.</p>",
262387,FEL-262387-19,2,0,0,0,0,0,0,,Fiona,,McLaughlin,,,,,,Fiona McLaughlin (Project Director: April 2018 to December 2020),"Fiona McLaughlin<br/>University of Florida (Gainesville, FL 32611-0001)",University of Florida,Gainesville,FL,32611-0001,USA,11/1/2018,2018,African Writing Traditions Within and Adjacent to the Sahara Desert,Linguistics,"African Studies; Linguistics; Religion, General",318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,8/1/2019 &ndash; 7/31/2020,"<p>A
book-length study about African writing traditions in the trans-Saharan world
that focuses on both Arabic and Libyco-Berber script.</p>
<p>This project explores two African writing traditions that are shared by populations within and adjacent to the Sahara desert.  By showing these literacies to be robust everyday practices in many societies, and by tracing their transmission and spread through pathways of Islamization, Islamic education, and pastoralist traditions, it makes the case for positing a trans-Saharan world of shared historical, religious, and linguistic influences.</p>",
266507,PJ-266507-19,1,0,11,0,0,0,0,,Patrick,,Reakes,,Melissa,,Jerome,,Patrick Reakes (Project Director: January 2019 to present)<br/>Melissa  Jerome (Co Project Director: September 2021 to present),"University of Florida (Gainesville, FL 32611-0001)<br/>Patrick Reakes (Project Director: January 2019 to present)<br/>Melissa  Jerome (Co Project Director: September 2021 to present)</div>",University of Florida,Gainesville,FL,32611-0001,USA,7/1/2019,2019,US Caribbean and Ethnic Florida Newspaper Project,Journalism,Journalism; U.S. History,208,National Digital Newspaper Program,1,Preservation and Access,0,0,546151,0,530892,0,530892,0,9/1/2019 &ndash; 8/31/2023,"<p>Digitization of 100,000 pages of newspapers
published in Florida, Puerto Rico, and the Virgin Islands of the United States in
participation with the National Digital Newspaper Program (NDNP).</p>
<p>The University of Florida (UF) in partnership with the University of Puerto Rico (UPR) will select, digitize and make available to the Library of Congress 100,000 newspaper pages through the National Digital Newspaper Project (NDNP). Approximately one third of the pages will come from historic Florida papers (1836-1922), one third from newspapers published in Puerto Rico (1836-1922) and one third from newspapers published in the U.S. Virgin Islands.</p>",
