ApplicationID,ApplicationNumber,ApplicantType,SuppCount,ProductCount,CoverageCount,PrizeCount,ParticipatingInstitutionCount,WhitePaper,WhitePaperPath,PDFirstname,PDMiddlename,PDLastname,PDNameSuffix,CoPDFirstname,CoPDMiddlename,CoPDLastname,CoPDNameSuffix,Participants,GranteeDisplay,Institution,InstCity,InstState,InstPostalCode,InstCountry,CouncilDate,YearAwarded,ProjectTitle,PrimaryDiscipline,AllDisciplines,ProgramID,ProgramName,DivisionID,DivisionName,OfferedOutright,OfferedMatching,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,GrantPeriod,ProjectDesc,ToSupport
282663,FEL-282663-22,2,0,0,0,0,0,0,,Sara,Mills,Gregg,,,,,,Sara Mills Gregg (Project Director: April 2021 to present),"Sara Mills Gregg<br/>Trustees of Indiana University (Bloomington, IN 47405-7000)",Trustees of Indiana University,Bloomington,IN,47405-7000,USA,11/1/2021,2021,"Little Piece of Earth: The Hidden History of the Homestead Era on the U.S. Great Plains, 1804-1976",U.S. History,U.S. History,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,8/1/2022 &ndash; 7/31/2023,"<p>Research and writing leading to a multilayered
environmental, social, and policy history of the Homestead Era on the U.S.
Great Plains (1804-1976).</p>
<p>""Free Land"" was a rallying cry of the 19th century. Land distribution is often understood as the culmination of the ""more perfect union"": a crucial place for locating the democratic ideals embodied in the United States. But the land was not free, and the nation-state's claims to western territories were contested by Indigenous peoples already living there. The 1862 Homestead Act and subsequent land laws supporting the development of the American West are disrupted by larger histories of Indigenous knowledges and land uses, processes of displacement and relocation, and battles against the challenging climate of the trans-Missouri West. This project reclaims stories that shaped the nation on its western fringes through a layered microhistorical approach that captures the textures and tensions associated with land transfers by centering on natural history, Indigenous land claims, the expansion of the nation-state, and homestead histories in four square-mile sections of the Great Plains.</p>",
282878,FEL-282878-22,2,0,0,0,0,0,0,,Kathryn,Elizabeth,Graber,,,,,,Kathryn Elizabeth Graber (Project Director: April 2021 to present),"Kathryn Elizabeth Graber<br/>Trustees of Indiana University (Bloomington, IN 47405-7000)",Trustees of Indiana University,Bloomington,IN,47405-7000,USA,11/1/2021,2021,Textures of Value: Embodiment and Experience in the Mongolian Cashmere Industry,Linguistic Anthropology,Area Studies; Cultural Anthropology; Linguistic Anthropology,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,6/1/2022 &ndash; 5/31/2023,"<p>Research and writing leading to a book on the language used to create and transform value in the commodity chain of Mongolian cashmere from herders to consumers.</p>
<p>This book project explores the production and global circulation of Mongolian cashmere to determine how different forms of value—economic, social, linguistic, moral—accrue to material goods and subsequently transform society and culture through their transnational movement. Drawing on field research primarily in Mongolia and secondarily in Scotland, Italy, Austria, the Czech Republic, Slovakia, and Hong Kong, Textures of Value holds in view an entire commodity chain. It focuses on interactions, such as between herders and their goats, between brokers and herders negotiating prices, in political debates over the future of Mongolia’s economy and environment, and at points of sale to consumers. How, at these different nodes in the circulation of cashmere fiber, is value dynamically produced in interactions? Which systems or regimes of value “travel” from one node to another, and which do not?</p>",
282996,FO-282996-22,2,0,0,0,0,0,0,,Hilary,J.,Holbrow,,,,,,Hilary J. Holbrow (Project Director: April 2021 to present),"Hilary J. Holbrow<br/>Trustees of Indiana University (Bloomington, IN 47405-7000)",Trustees of Indiana University,Bloomington,IN,47405-7000,USA,11/1/2021,2021,Fading at Dusk? Gender and Ethnic Inequality in Japan’s New Era of Demographic Decline,Sociology,East Asian Studies; Gender Studies; Sociology,207,Fellowships for Advanced Social Science Research on Japan,6,Research Programs,35000,0,35000,0,35000,0,35000,0,1/1/2022 &ndash; 7/31/2022,"<p>Research and writing leading to a book on the effects of Japan's population decline on hiring and promotion practices in the white-collar workplace, with a particular focus on women and immigrants.&nbsp;</p>
<p>Japan is at the forefront of global population decline. I examine the implications of this unprecedented demographic transition in the context of the Japanese white-collar workplace. I show that firms are hiring and promoting more women and immigrants, but that gender remains a deeper fault line than ethnicity. This stands in contrast to Western nations, where native-born women are advantaged over immigrant men. I argue that because Japan restricts migration for the purposes of low-paid work, Japanese women remain the face of the low-status workforce, reinforcing views of women as less capable and deserving. In contrast, Asian immigrant men are able to disrupt historical prejudices. By demonstrating that the composition of low-level jobs is more important for boundary construction and inequality than that of upper-level jobs, this study overturns assumptions about how status beliefs form in the workplace, and advances understanding of how shrinking populations will reshape inequality.</p>",
284850,HAA-284850-22,1,0,0,0,0,0,0,,John,Anthony,Walsh,,J. Stephen,,Downie,,John Anthony Walsh (Project Director: June 2021 to present)<br/>J. Stephen Downie (Co Project Director: June 2021 to present),"Trustees of Indiana University (Bloomington, IN 47405-7000)<br/>John Anthony Walsh (Project Director: June 2021 to present)<br/>J. Stephen Downie (Co Project Director: June 2021 to present)</div>",Trustees of Indiana University,Bloomington,IN,47405-7000,USA,11/1/2021,2021,Tools for Open Research and Computation with HathiTrust: Leveraging Intelligent Text Extraction (TORCHLITE),"Interdisciplinary Studies, Other","Interdisciplinary Studies, Other",311,Digital Humanities Advancement Grants,12,Digital Humanities,0,0,325000,0,325000,0,325000,0,1/1/2022 &ndash; 12/31/2023,"<p>The&nbsp;development of web-based tools&nbsp;and documentation&nbsp;to allow&nbsp;both novice and expert&nbsp;users to interact with data from the HathiTrust Digital Library.</p>
<p>The HathiTrust Research Center (HTRC) seeks $325,000 in funding for a period of 2 years, through the Digital Humanities Advancement Grants program, Level III, for the development of next-generation web-based, interactive visualization and analytical tool dashboard that consume existing data from our one-of-a-kind, fully open Extracted Features dataset, along with a well-documented API to allow our user community to develop its own tools for interacting with data from the 17.5-million-volume HathiTrust Digital Library. We will develop and promote these tools and API through a robust community outreach program that includes a public event and hack-a-thon focused on tool building.</p>",
285340,GE-285340-22,1,0,0,0,0,0,0,,Sarah,Junk,Hatcher,,,,,,Sarah Junk Hatcher (Project Director: August 2021 to present),"Trustees of Indiana University (Bloomington, IN 47405-7000)<br/>Sarah Junk Hatcher (Project Director: August 2021 to present)</div>",Trustees of Indiana University,Bloomington,IN,47405-7000,USA,3/1/2022,2022,"Making Connections, Increasing Visibility, and Telling Stories:  Indigenizing Open Storage at IUMAA",Anthropology,Anthropology; Archaeology,254,Exhibitions: Planning,2,Public Programs,0,0,71861,0,71861,0,71861,0,5/1/2022 &ndash; 4/30/2023,"<p>Planning for a permanent&nbsp;visible&nbsp;storage exhibition of Native American and Indigenous archaeological and ethnographic objects&nbsp;using dialogue-based interpretive approaches.</p>
<p>The new Indiana University Museum of Archaeology and Anthropology (IUMAA) seeks an Exhibition Planning grant to plan a permanent exhibition of Indigenous archaeological and ethnographic objects using visible storage. We propose to collaborate with Indigenous scholars to create an exhibition format—Indigenized Open Storage—that confronts traditional museum practice and changes the way this university museum delivers on the promise of access and collaboration.</p>",
278119,HC-278119-21,1,0,3,0,0,0,0,,William,R.,Newman,,James,R.,Voelkel,PhD,William R. Newman (Project Director: August 2020 to October 2020)<br/>James R. Voelkel (Project Director: October 2020 to October 2020)<br/>William R. Newman (Project Director: October 2020 to present)<br/>Joel Klein (Co Project Director: October 2020 to present)<br/>James R. Voelkel (Co Project Director: October 2020 to present),"Trustees of Indiana University (Bloomington, IN 47405-7000)<br/>William R. Newman (Project Director: August 2020 to October 2020)<br/>James R. Voelkel (Project Director: October 2020 to October 2020)<br/>William R. Newman (Project Director: October 2020 to present)<br/>Joel Klein (Co Project Director: October 2020 to present)<br/>James R. Voelkel (Co Project Director: October 2020 to present)</div>",Trustees of Indiana University,Bloomington,IN,47405-7000,USA,11/1/2020,2020,Digital approaches to the capture and analysis of watermarks using the manuscripts of Isaac Newton as a test case,History of Science,History of Science,250,Cooperative Agreements and Special Projects (Digital Humanities),12,Digital Humanities,0,0,149954,0,120833,0,120833,0,2/1/2021 &ndash; 8/31/2023,"<p>A research project on&nbsp;identifying and analyzing&nbsp;watermarks in digitized collections&nbsp;using watermarks found in&nbsp;Isaac Newton’s manuscripts&nbsp;as a case study.&nbsp;The&nbsp;UK&nbsp;partner,&nbsp;the University of Cambridge is requesting&nbsp;£199,929 from the Arts and Humanities Research Council.</p>
<p>This project combines the expertise of the British National Archives, King's College Cambridge, the Cambridge University Library,  the École Nationale des Chartes (Sorbonne), the Huntington Library, the Science History Institute, Peterhouse College Cambridge, and Indiana University in an innovative attempt to devise new methods of digital watermark capture and analysis by means of machine learning, using Isaac Newton's extensive manuscript corpus as  a test platform.</p>",
279653,GA-279653-21,1,0,0,0,0,0,0,,Rose,Jane,Chu,,,,,,Rose Jane Chu (Project Director: October 2020 to present),"Trustees of Indiana University (Bloomington, IN 47405-7000)<br/>Rose Jane Chu (Project Director: October 2020 to present)</div>",Trustees of Indiana University,Bloomington,IN,47405-7000,USA,,2020,The Objects of Immigrants to America,,,286,Cooperative Agreements and Special Projects (Public Programs),2,Public Programs,0,0,30000,0,30000,0,30000,0,10/1/2020 &ndash; 2/15/2021,"<p>An anthology of 100 stories about immigrants to the United States, told through their memorabilia. Each featured individual will select up to three objects which represent meaningful stories of their lives or about their heritage. Background history and cultural descriptions of their first country during the time that the lived their during the time they lived there will provide a frame of reference, and amplify their ability to straddle the varied and sometimes competing ways of life between their competing country and America. Hand-drawn illustrations of each object will accompany each narrative. Additionally, contemporary scenes of some native countries will be interspersed.&nbsp;&nbsp;</p>",
281059,GA-281059-21,1,0,0,0,0,0,0,,Joanna,,Woronkowicz,,,,,,Joanna Woronkowicz (Project Director: January 2021 to present),"Trustees of Indiana University (Bloomington, IN 47405-7000)<br/>Joanna Woronkowicz (Project Director: January 2021 to present)</div>",Trustees of Indiana University,Bloomington,IN,47405-7000,USA,,2021,Exploring the Essential Linkage Between the Humanities and Cultural Affairs,,,286,Cooperative Agreements and Special Projects (Public Programs),2,Public Programs,0,0,29988,0,29988,0,29988,0,9/1/2021 &ndash; 12/31/2023,"<p>The
Center for Cultural Affairs will convene 15 leading humanities scholars from 3
different<br />
disciplines
in workshops where we will consider, discuss, and write about the connection<br />
between
the humanities and cultural affairs. The work resulting from these workshops
will be<br />
made available
online and through publication by a reputable press.</p>",
267540,FEL-267540-20,2,0,0,0,0,0,0,,Aurelian,,Craiutu,,,,,,Aurelian Craiutu (Project Director: April 2019 to present),"Aurelian Craiutu<br/>Trustees of Indiana University (Bloomington, IN 47405-7000)",Trustees of Indiana University,Bloomington,IN,47405-7000,USA,12/1/2019,2019,"Moderation and the Rise of Democracy in France, 1830-1900",Political Theory,"Intellectual History; Political Science, Other; Political Theory",318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,8/1/2021 &ndash; 7/31/2022,"<p>Building upon the conceptual framework outlined in my previous book A Virtue for Courageous Minds: Moderation in French Political Thought, 1748-1830 (Princeton, 2012), this new interdisciplinary project fills a significant gap in the existing literature on French 19tth-century political thought.  It  explores how post-revolutionary thinkers (A. de Tocqueville, V. Cousin, F. Guizot, C. de Rémusat, liberal Catholics, É. Laboulaye, and J. Ferry) used the legacy of the French Revolution to build new representative institutions and promote key reforms, most notably in the field of education. The project also addresses several important contemporary concerns. I argue that far from being of mere historical interest, moderation is particularly relevant in an eclectic age such as ours, because it can also serve as a powerful normative stance in the fight against new forms of political extremism and religious fundamentalism.</p>",
270735,FT-270735-20,2,0,0,0,0,0,0,,Damian,,Fleming,,,,,,Damian Fleming (Project Director: September 2019 to December 2021),"Damian  Fleming<br/>Indiana University, Purdue University at Fort Wayne (Fort Wayne, IN 46805-1445)","Indiana University, Purdue University at Fort Wayne",Fort Wayne,IN,46805-1445,USA,3/1/2020,2020,Hebrew in England Before and After the Norman Conquest,Medieval Studies,Medieval Studies,3,Summer Stipends,6,Research Programs,6000,0,6000,0,6000,0,6000,0,6/1/2021 &ndash; 7/31/2021,"<p>Writing the final chapter for a book on the use of the Hebrew language in early medieval England.</p>
<p>Manuscript materials that reveal early medieval Christian interest in the Hebrew language have never been researched or published before, outside of my brief preliminary studies. Standard intellectual and literary histories suggest that Christians only became interested in studying Hebrew in the thirteenth century and that study only flourished during the Reformation. My book, Reading Hebrew in Early Medieval England, will reconfigure how we think about Christian knowledge and engagement with the Hebrew language in the early Middle Ages, by addressing the intellectual history, material sources, uses, and implications of “Christian Hebrew” in early medieval England (c. 600-1150). I will use the Summer Stipend period to write the final and most challenging chapter: “Hebrew Across the Conquest: The Eadwine Psalter, Durham Jerome, and Stowe 57.”</p>",
