ApplicationID,ApplicationNumber,ApplicantType,SuppCount,ProductCount,CoverageCount,PrizeCount,ParticipatingInstitutionCount,WhitePaper,WhitePaperPath,PDFirstname,PDMiddlename,PDLastname,PDNameSuffix,CoPDFirstname,CoPDMiddlename,CoPDLastname,CoPDNameSuffix,Participants,GranteeDisplay,Institution,InstCity,InstState,InstPostalCode,InstCountry,CouncilDate,YearAwarded,ProjectTitle,PrimaryDiscipline,AllDisciplines,ProgramID,ProgramName,DivisionID,DivisionName,OfferedOutright,OfferedMatching,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,GrantPeriod,ProjectDesc,ToSupport
286060,FT-286060-22,2,0,0,0,0,0,0,,Marike,,Janzen,,,,,,Marike Janzen (Project Director: September 2021 to present),"Marike  Janzen<br/>University of Kansas, Lawrence (Lawrence, KS 66045-7505)","University of Kansas, Lawrence",Lawrence,KS,66045-7505,USA,3/1/2022,2022,Readers and Refugees as World Citizens in the Contemporary German Literary Sphere,German Literature,German Literature,3,Summer Stipends,6,Research Programs,6000,0,6000,0,6000,0,6000,0,6/1/2023 &ndash; 7/31/2023,"<p>Research leading to a book examining the forms of citizenship promoted by German state-sponsored literary initiatives.</p>
<p>Since 2015, when 890,000 refugees arrived in Germany, the state has funded literary initiatives that feature their voices. This project explores how Germany's approach to bringing non-citizens into the public sphere relates to the ways in which the nation has historically prioritized books and reading as tools for developing the ideal citizen--an educated and worldly-wise individual. This research analyzes how state-funded literary projects in Germany's capital, Berlin, invoke this citizenship ideal as they seek to teach citizens about refugees and introduce refugees to German cultural norms. These projects serve the goal of cultural integration, but, as this book argues, they conflate the statuses of citizen, non-citizen, and world citizen, which hold distinct relationships to the state. This study offers key insights into the practice, possibilities, and limitations of literature and the humanities in addressing recent challenges related to the state's obligations of hospitality.</p>",
273019,FEL-273019-21,2,0,0,0,0,0,0,,Anne,D.,Hedeman,,,,,,Anne D. Hedeman (Project Director: April 2020 to March 2022),"Anne D. Hedeman<br/>University of Kansas, Lawrence (Lawrence, KS 66045-7505)","University of Kansas, Lawrence",Lawrence,KS,66045-7505,USA,11/1/2020,2020,"Gothic Manuscripts, 1320-1390",Art History and Criticism,Art History and Criticism,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,1/1/2021 &ndash; 12/31/2021,"<p>Research and preparation of&nbsp;of a co-authored book on medieval illuminated manuscripts from France during the 14th century.</p>
<p>Anne D. Hedeman in collaboration with Elizabeth Morrison will co-author <em>Gothic Manuscripts, 1320-1390</em>, a volume in the series A Survey of Manuscripts Illuminated in France. The volume’s co-authored introductory essay and analysis of 100-150 individual manuscripts, with each scholar contributing fifty to seventy-five analyses, will create an indispensable reference work for established scholars while offering beginning scholars an overview of the visual culture of a distant time and place and of the material, intellectual, and art historical significance of fourteenth-century books. Fourteenth-century illumination in France has not been as well-studied as that from other eras. This volume will reveal that it is the very circumstances of political and societal upheaval in the fourteenth century that drove the book market to be one of the most active and inventive, impelling new types of books, illumination programs, and stylistic experimentation.</p>",
273163,FEL-273163-21,2,0,0,0,0,0,0,,Misty,Y.,Schieberle,,,,,,Misty Y. Schieberle (Project Director: April 2020 to present),"Misty Y. Schieberle<br/>University of Kansas, Lawrence (Lawrence, KS 66045-7505)","University of Kansas, Lawrence",Lawrence,KS,66045-7505,USA,11/1/2020,2020,"Patriarchy, Politics, and Christine de Pizan's Influence on English Literature, 1400-1478",Medieval Studies,British Literature; French Literature; Medieval Studies,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,8/1/2021 &ndash; 7/31/2022,"<p>Research and writing leading to a book on the reception of French author Christine de Pizan’s writing in late medieval English Literature.</p>
<p>This monograph recovers French author Christine de Pizan's substantial influence on late medieval English literature, an influence obscured by male writers' failure to cite her properly or at all, due to a combination of misogyny and political rivalries. Using a methodology that attends to gender, translators' practices, and political tensions between England and France, I reorient fifteenth-century English literary culture around Christine as the central figure whose inventive perspectives on authority, gender, war, and politics provided a rich opportunity for English writers to translate, adapt, and react to her ideas. New manuscript evidence reveals that writers such as Hoccleve and Lydgate knew Christine’s works better than their poems disclose, demonstrating that although they prefer to place themselves in the masculine English lineage of Chaucer, they owe many innovations in the form, content, and quality of their writings to the prominent French woman author instead.</p>",
277575,PW-277575-21,1,0,0,0,0,0,0,,Maryemma,,Graham,,,,,,Maryemma Graham (Project Director: July 2020 to present),"University of Kansas Center for Research, Inc. (Lawrence, KS 66045-3101)<br/>Maryemma Graham (Project Director: July 2020 to present)</div>","University of Kansas Center for Research, Inc.",Lawrence,KS,66045-3101,USA,3/1/2021,2021,Black Book Interactive Project III,American Literature,American Literature,253,Humanities Collections and Reference Resources,1,Preservation and Access,0,0,350000,0,316177,0,316177,0,7/1/2021 &ndash; 12/31/2023,"<p>Completing the digitization and professional curation of 2,100 texts in the History of Black Writing Novel Corpus, refining the&nbsp;PhiloLogic&nbsp;user-interface (in partnership with the University&nbsp;of Chicago’s Textual Optics Lab), and developing its BBIP Scholars Program network.</p>
<p>Of the thousands of African American (AA) novels written since the 19th century, the overwhelming majority are unknown and/or understudied. The Black Book Interactive Project (BBIP) provides a systematic approach to the study of these texts as a digital archive. During the course of the grant, BBIP will (a) produce and curate a digital database from 4,000 titles in its novel corpus; (b) refine its search user interface; and (c) support the development and dissemination of model projects through its Scholars Program. BBIP will be the most complete resource for project-based inquires in AA fiction, and serves as a model for bridging the digital divide in marginalized textual communities. By providing access to a wider range of cultural materials, BBIP advances humanities scholarship with benefits for research, education and public knowledge. The critical employment of computational approaches can raise compelling questions that push the study of AA literature in dynamic new directions.</p>",
278338,GI-278338-21,1,0,7,0,0,0,0,,Saralyn,Reece,Hardy,,,,,,Saralyn Reece Hardy (Project Director: September 2020 to present),"University of Kansas Center for Research, Inc. (Lawrence, KS 66045-3101)<br/>Saralyn Reece Hardy (Project Director: September 2020 to present)</div>","University of Kansas Center for Research, Inc.",Lawrence,KS,66045-3101,USA,3/1/2021,2021,Revisioning the Spencer Museum of Art’s Collection Galleries,Art History and Criticism,"Art History and Criticism; Arts, General; Interdisciplinary Studies, General",255,Exhibitions: Implementation,2,Public Programs,0,0,400000,0,400000,0,400000,0,5/1/2021 &ndash; 4/30/2025,"<p>Implementation of a thematic reinstallation of the permanent collection at the Spencer Museum of Art.</p>
<p>The revisioning of the Spencer Museum of Art's collection galleries will expand the diversity of cultures and identities represented in these exhibitions, center the experiences and comfort of visitors, and foster sustained inquiries into broad humanistic themes. The resulting exhibitions will be organized around four overlapping themes exploring ideas of intersections, empowerment, displacement, and illumination. These new thematic exhibitions will rebalance the collection galleries to showcase a breadth of mediums and foreground works of art by Black, Indigenous, and other artists of color and by women. An award from the National Endowment for the Humanities would provide critical support for continued community involvement in the realization of the project, as well as for casework, seating, production and installation, and evaluation of these fully reinstalled collection galleries across their first three years on view (2022-2025).</p>",
280282,FZ-280282-21,2,0,0,0,0,0,0,,Beth,,Bailey,,,,,,Beth Bailey (Project Director: December 2020 to present),"Beth Bailey<br/>University of Kansas, Lawrence (Lawrence, KS 66045-7505)","University of Kansas, Lawrence",Lawrence,KS,66045-7505,USA,7/1/2021,2021,"The U.S. Army and ""The Problem of Race"" during the Vietnam Era",U.S. History,Military History; U.S. History,289,Public Scholars,6,Research Programs,60000,0,60000,0,60000,0,60000,0,9/1/2021 &ndash; 8/31/2022,"<p>Research and writing of a history of race relations in the U.S. Army during the 1960s and 1970s.&nbsp;</p>
<p>Today, institutions throughout the United States face renewed calls for racial justice. “The U.S. Army and ‘the Problem of Race’” looks to a previous era of racial conflict, arguing that we need to understand not only the demands of those who fought for change, but also the ways that major institutions incorporated, rejected, or struggled with those demands. Here, I examine the army’s attempts to manage “race” during the late ‘60s and early ‘70s, exploring the struggles that yielded military justice reform, limited acceptance of cultural symbols (Afros; the dap), race relations education, and affirmative action programs. I show that, despite systemic racism, individuals made a difference, and argue that the army’s “institutional logic”-- the collective force of the army’s culture, history, and tradition, its structure and organization, its avowed mission—determined, to a great extent, how those attempted solutions played out: what would most easily succeed; what would more likely fail.</p>",
281030,HAA-281030-21,1,0,0,0,0,0,0,,Maryemma,,Graham,,Marilyn,,Thomas-Houston,PhD,Maryemma Graham (Project Director: January 2021 to present)<br/>Marilyn Thomas-Houston (Co Project Director: June 2021 to present),"University of Kansas Center for Research, Inc. (Lawrence, KS 66045-3101)<br/>Maryemma Graham (Project Director: January 2021 to present)<br/>Marilyn Thomas-Houston (Co Project Director: June 2021 to present)</div>","University of Kansas Center for Research, Inc.",Lawrence,KS,66045-3101,USA,7/1/2021,2021,Building Literacy and Curating (Critical Cultural) Knowledge in Black Humanities: BLACK DH,American Literature,American Literature,311,Digital Humanities Advancement Grants,12,Digital Humanities,325000,50000,325000,50000,325000,0,325000,0,1/1/2022 &ndash; 12/31/2024,"<p>Building of a digital hub and virtual community to support humanities research, teaching, and public engagement using digitized collections of African American literature available in the <em>History of Black Writing</em> project.</p>
<p>At a time when DH extends its reach into all areas of scholarly research and production, and with discussions of race more central than ever to academic and public discourse, the DH community must account for the ways in which it provides access to experiences and materials that have been marginalized. In response to this need, the Project on the History of Black Writing seeks funding for Building Literacy and Curating [Critical Cultural] Knowledge in Digital Humanities (BLACK DH), a 3-year project in community building that removes economic, social and technological barriers to DH learning and provides space for dialogue, debate, advancing knowledge and generating public-facing scholarship. Driven by 3 goals: building knowledge networks, content creation and pipeline development, BLACK DH will focus on the use of black materials to explore questions of humanity and diversity in American society through the increased involvement of those who remain outside the current DH network.</p>",
281161,HT-281161-21,1,0,0,0,0,0,0,,Brian,,Rosenblum,,David,W.,Tell,,Brian Rosenblum (Project Director: March 2021 to present)<br/>David W. Tell (Co Project Director: June 2021 to present),"University of Kansas Center for Research, Inc. (Lawrence, KS 66045-3101)<br/>Brian Rosenblum (Project Director: March 2021 to present)<br/>David W. Tell (Co Project Director: June 2021 to present)</div>","University of Kansas Center for Research, Inc.",Lawrence,KS,66045-3101,USA,7/1/2021,2021,The Public Digital Humanities: An Institute for Academic/Community Collaborations,"Interdisciplinary Studies, Other","Interdisciplinary Studies, Other",260,Institutes for Advanced Topics in the Digital Humanities,12,Digital Humanities,0,0,191879,0,185005,0,185005,0,9/1/2021 &ndash; 6/30/2023,"<p>An institute supporting 12 teams (24 people total) from collaborative public digital humanities projects hosted at the University of Kansas for one year of in-person and virtual training. <br /></p>
<p>The Institute for Digital Research in the Humanities (IDRH) at the University of Kansas (KU) seeks funding from the Institutes for Advanced Topics in the Digital Humanities Program to offer training in the public digital humanities. In order to focus on the under-resourced nexus of the digital humanities and public humanities, and in order to provide a one-of-a-kind opportunity for academics and their community partners to receive training together, we are inviting participants to attend in teams of two. We can host up to 12 teams and 24 participants. Each team represents a collaborative digital humanities project between the community and the academy. We will provide foundational knowledge, skills, and resources to successfully advance their public humanities projects, increasing the projects’ longevity, visibility, and impact.</p>",
271922,FZ-271922-20,2,0,0,0,0,0,0,,Randall,J.,Fuller,PhD,,,,,Randall J. Fuller (Project Director: January 2020 to March 2022),"Randall J. Fuller, PhD<br/>University of Kansas, Lawrence (Lawrence, KS 66045-7505)","University of Kansas, Lawrence",Lawrence,KS,66045-7505,USA,7/1/2020,2020,Bright Circle: Five Remarkable Women in the Age of Transcendentalism,American Literature,American Literature,289,Public Scholars,6,Research Programs,60000,0,60000,0,60000,0,60000,0,9/1/2020 &ndash; 8/31/2021,"<p>A group biography of five female members of the American transcendentalist movement: Mary Moody Emerson (1774-1863), Elizabeth Palmer Peabody (1804-94), Sophia Hawthorne (1809-71), Lidian Jackson Emerson (1802-92), and Margaret Fuller (1810-50).</p>
<p>This will be the first full-length group biography of women transcendentalists. Recounting the lives and intellectual work of five compelling personalities--Mary Moody Emerson, Elizabeth Palmer Peabody, Sophia Hawthorne, Lidian Jackson Emerson, and Margaret Fuller--""Bright Circle"" will be written for a broad audience of American literature and history buffs as well as for those interested in women who played a vital role in shaping our national culture. By tracing the biography of each woman, the book shows their connections to one another and how each explored the possibilities of feminine intellectual life. Unpublished letters and journals are used to reveal how these five women contributed to the first important literary and philosophical movement in the nation and, in the process, inaugurated a distinctively American form of feminism.</p>",
271970,PF-271970-20,1,0,0,1,0,0,0,,Whitney,,Baker,,,,,,Whitney Baker (Project Director: January 2020 to present),"University of Kansas Center for Research, Inc. (Lawrence, KS 66045-3101)<br/>Whitney Baker (Project Director: January 2020 to present)</div>","University of Kansas Center for Research, Inc.",Lawrence,KS,66045-3101,USA,7/1/2020,2020,"Improving energy efficiency in collection storage in Spencer Research Library, University of Kansas","Interdisciplinary Studies, Other","Interdisciplinary Studies, Other",272,Sustaining Cultural Heritage Collections,1,Preservation and Access,0,0,350000,0,350000,0,350000,0,10/1/2020 &ndash; 3/31/2023,"<p>The updating of a 1968 heating and air-conditioning system in Spencer Library to provide a more optimal preservation environment for the university’s collection of rare books and manuscripts, while achieving a significant reduction in overall energy costs for the building. </p>
<p>The University of Kansas Libraries requests funds to implement some of the recommendations provided by environmental consultants who conducted environmental testing on Spencer Library's heating, ventilation, and air conditioning system over 18 months during a 2017-2019 planning grant. In this implementation grant, the second phase of a multi-phased project, the Libraries hope to replace obsolete, 1968-era pneumatically controlled reheats in the ceilings of collection areas of the building with modern electric reheats, variable air volume (VAV) dampers, and new direct digital controls (DDC). At the beginning and end of the project, testing and balancing will be conducted to ensure that the installed equipment is working properly. The new devices will be significantly more energy efficient, individually controllable and serviceable by technicians, and will provide a more optimal preservation environment for Spencer’s collections.</p>",
