ApplicationID,ApplicationNumber,ApplicantType,SuppCount,ProductCount,CoverageCount,PrizeCount,ParticipatingInstitutionCount,WhitePaper,WhitePaperPath,PDFirstname,PDMiddlename,PDLastname,PDNameSuffix,CoPDFirstname,CoPDMiddlename,CoPDLastname,CoPDNameSuffix,Participants,GranteeDisplay,Institution,InstCity,InstState,InstPostalCode,InstCountry,CouncilDate,YearAwarded,ProjectTitle,PrimaryDiscipline,AllDisciplines,ProgramID,ProgramName,DivisionID,DivisionName,OfferedOutright,OfferedMatching,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,GrantPeriod,ProjectDesc,ToSupport
284835,HAA-284835-22,1,0,0,0,0,0,0,,Elizabeth,,Sneller,,,,,,Elizabeth Sneller (Project Director: June 2021 to present),"Michigan State University (East Lansing, MI 48824-3407)<br/>Elizabeth Sneller (Project Director: June 2021 to present)</div>",Michigan State University,East Lansing,MI,48824-3407,USA,11/1/2021,2021,Building and Disseminating an App for Ethnographic Remote Audio Recording,"Interdisciplinary Studies, General","Interdisciplinary Studies, General",311,Digital Humanities Advancement Grants,12,Digital Humanities,0,0,99908.02,0,99908,0,99908,0,1/1/2022 &ndash; 12/31/2023,"<p>The development and testing with humanities scholars of an open source mobile&nbsp;recording&nbsp;app for collecting “audio diaries” for use in research and public engagement.&nbsp;</p>
<p>This project builds on the success of an existing prototype for a remote recording mobile app used to collect ""audio diaries"" in 2020-2021. We aim to redevelop the code for the front end of the app and refactor the code for the back end, resulting in a shareable app infrastructure that may be adopted by researchers at any number of institutions. We will bring together a user community of beta testing researchers across the humanities who may benefit from a remote recording app, which we hope to expand during the second year of funding into a broad user community and support system. The code and user manual will be published on a public GitLab repository, enabling future improvements by the user community.</p>",
285041,PW-285041-22,1,0,0,0,0,0,0,,Marsha,L.,MacDowell,,Dean,,Rehberger,,Marsha L. MacDowell (Project Director: July 2021 to present)<br/>Dean Rehberger (Co Project Director: May 2022 to present),"Michigan State University (East Lansing, MI 48824-3407)<br/>Marsha L. MacDowell (Project Director: July 2021 to present)<br/>Dean Rehberger (Co Project Director: May 2022 to present)</div>",Michigan State University,East Lansing,MI,48824-3407,USA,3/1/2022,2022,"African-American, African, and African Diaspora Quilt Studies Digital Resource","Arts, Other","Arts, Other",253,Humanities Collections and Reference Resources,1,Preservation and Access,0,0,346206.31,0,346206,0,346206,0,6/1/2022 &ndash; 5/31/2024,"<p>The expansion of the Quilt Index to include nearly 3,900 new quilts, 100 pieces of&nbsp;ephemera, 54 oral histories,&nbsp;and expanded metadata&nbsp;representing&nbsp;African-American, African, and African Diasporic quilt history, as well as the development of up to 18 related resources, such as essays, lesson plans, and exhibits.</p>
<p>The proposed Quilt Index African American, African, and African Diaspora Quilt History Project is an intentional effort towards preserving and making accessible, in the Quilt Index, primary and secondary sources on African American, African, and African Diasporic quilt history drawn from geographically-dispersed public and private collections.</p>",
277479,PW-277479-21,1,0,0,0,0,0,0,,Dean,,Rehberger,,,,,,Dean Rehberger (Project Director: July 2020 to present),"Michigan State University (East Lansing, MI 48824-3407)<br/>Dean Rehberger (Project Director: July 2020 to present)</div>",Michigan State University,East Lansing,MI,48824-3407,USA,3/1/2021,2021,Expanding Enslaved Hub: Peoples of the Historical Slave Trade,African American History,African American History,253,Humanities Collections and Reference Resources,1,Preservation and Access,0,0,349744.03,0,349744,0,349744,0,6/1/2021 &ndash; 5/31/2023,"<p>Expanding&nbsp;the data platform&nbsp;of&nbsp;<em>Enslaved: Peoples of the Historical Slave Trade</em>&nbsp;(Enslaved.org)&nbsp;through the addition of ten digital collections ranging from those held at small, local institutions to those at large, university-based special collections&nbsp;in the mid-Atlantic, the Carolinas, and the Lower Mississippi.&nbsp;These additional data sets would&nbsp;increase&nbsp;the&nbsp;Enslaved.org&nbsp;linked open data platform to approximately 1.3 million records.</p>
<p>This proposed project, “Expanding Enslaved Hub: Peoples of the Historical Slave Trade,” submitted to the Humanities Collections and Reference Resources program of the National Endowment for the Humanities’ Division of Preservation and Access, will support linking digital collections from ten collaborators to the Enslaved.org linked open data platform. The project will convene meetings to engage with stakeholders and build community around the long term sustainability of Enslaved.org and collections related to the study of historical slavery.</p>",
268440,FEL-268440-20,2,0,6,0,0,0,0,,Andrea,,Louie,,,,,,Andrea Louie (Project Director: April 2019 to January 2022),"Andrea Louie<br/>Michigan State University (East Lansing, MI 48824-3407)",Michigan State University,East Lansing,MI,48824-3407,USA,12/1/2019,2019,Chinese American Mothering Across Generations: Toy Len Goon and the Creation and Recirculation of the Model Minority Myth,Ethnic Studies,Cultural Anthropology; Ethnic Studies; Immigration History,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,6/1/2020 &ndash; 5/31/2021,"<p>Research
and writing leading to the publication of a biography of Toy Len Goon, the
first Asian-American “Mother of the Year” awardee.</p>
<p>Like my two previous books, this project investigates how “Chineseness” as a cultural, political, and racialized identity is crafted in relation to legislation, discourses of cultural citizenship, and the positioning of Chinese Americans in relation to China. But it differs in a number of ways. First, Toy Len Goon was my maternal grandmother. Second, this is not a traditional anthropological ethnography, but one that integrates archival research with analysis of secondary newspaper and academic sources, and oral histories and interviews. Third, rather than a historical biography, it is more aptly described as an ethnography of the shifting terrain of the model minority discourse during the Cold War, focusing on a family that was at the center of the media attention, and exploring the continuing effects of this discourse as it circulated. I examine how it has been re-narrated to reflect current generations’ desired interpretations of their own history and future trajectory.</p>",
268776,CHA-268776-20,1,0,1,0,0,0,0,,Kathleen,,Fitzpatrick,,,,,,Kathleen Fitzpatrick (Project Director: May 2019 to present),"Michigan State University (East Lansing, MI 48824-3407)<br/>Kathleen Fitzpatrick (Project Director: May 2019 to present)</div>",Michigan State University,East Lansing,MI,48824-3407,USA,12/1/2019,2019,Humanities Commons,"Interdisciplinary Studies, General","Arts, General; Interdisciplinary Studies, General; Social Sciences, General",321,Infrastructure and Capacity Building Challenge Grants,4,Challenge Programs,0,500000,0,500000,0,446081,446081,0,5/1/2020 &ndash; 4/30/2027,"<p>Implementation of a sustainability plan for the digital
network “Humanities Commons” by enhancing the applicant’s technical and administrative
capacity to host the network and ensure its continuity.&nbsp;</p>
<p>Humanities Commons, launched in December 2016, is a trusted, not-for-profit network on which more than 17,000 humanities scholars post professional profiles, discuss their common interests, develop new publications, and share their work with the world. Humanities Commons is implementing a sustainability plan that includes transitioning the network’s hosting and fiscal sponsorship to Michigan State University, offering new institutional memberships to colleges and universities, and expanding its organizational member base. Our application for a Challenge Grant seeks to support that transition by adding (1) a lead developer and (2) a membership manager to the team at MSU, allowing both the platform and its community of support to scale in ways that facilitate the network’s long-term sustainability.</p>",
271609,PG-271609-20,1,0,0,0,0,0,0,,Lynne,,Swanson,,,,,,Lynne Swanson (Project Director: January 2020 to present),"Michigan State University (East Lansing, MI 48824-3407)<br/>Lynne Swanson (Project Director: January 2020 to present)</div>",Michigan State University,East Lansing,MI,48824-3407,USA,7/1/2020,2020,Michigan State University Museum Siyazama Collection Rehousing and Photography Project,"Arts, Other","Arts, General; Arts, Other",230,Preservation Assistance Grants,1,Preservation and Access,0,0,9900.8,0,9900,0,9900,0,9/1/2020 &ndash; 8/31/2021,"<p>The purchase of storage equipment for the Siyazama Project collection, which is housed at the university’s museum and consists of 66 traditional craft works created by South African women as part of an organized art and health initiative during the HIV/AIDS crisis. The collection is the most representative of this initiative located in any museum; smaller collections of Siyazama Project works can be found at the British Museum, the Fowler Museum at UCLA, and other institutions. Acquired in 2014, the collection has been incorporated into on-site and touring exhibitions, student-focused programs, and in scholarly publications.</p>
<p>Michigan State University Museum is the recent recipient of a collection of 66 objects made in South Africa by women as part of the Siyazama Project. The specific goal of this project is to appropriately house this collection in museum-quality cabinetry, using appropriate storage materials and methods.  The materials were donated in late 2014, have been cleaned, cataloged, photographed and numbered. New cabinetry is necessary to provide safe and permanently housing.  The goal of the project is to provide this protection to promote the preservation of the collection over time.   The Siyazama [Zulu for ""we are trying""] Project is an art and health initiative in South Africa (KwaZulu Natal Province )begun in the late 1990s. The project worked with rural traditional women artists on arts-based strategies to raise awareness about HIV/AIDS and strengthen opportunities for craft-based economic development.  MSU Museum's holdings are the best representation of the project in the world.</p>",
263588,PG-263588-19,1,0,0,0,0,0,0,,Lynne,,Swanson,,,,,,Lynne Swanson (Project Director: May 2018 to present),"Michigan State University (East Lansing, MI 48824-3407)<br/>Lynne Swanson (Project Director: May 2018 to present)</div>",Michigan State University,East Lansing,MI,48824-3407,USA,11/1/2018,2018,Michigan State University Museum Romani Collections Rehousing Project,"Arts, Other","Arts, Other",230,Preservation Assistance Grants,1,Preservation and Access,0,0,5968,0,5968,0,5968,0,1/1/2019 &ndash; 8/31/2019,"<p>The purchase of two storage cabinets for a recently
acquired collection of 433 items from Europe and the United States that were
made or used by, or that represent, the Romani people.&nbsp; The collection includes cooking equipment,
musical instruments, tools, jewelry, toys, and furnishings, as well as objects,
such as dolls, dishes, cookie tins, and tarot cards, that demonstrate
stereotypes of Romani people.</p>
<p>Michigan State University Museum is the recent recipient of a collection of 433 objects made and/or used by Romani people from around the world and objects that present stereotypes of Romani people. The William G. Lockwood Collection of Romani Ethnology and Gypsy Stereotypes is as geographically diverse as the Rom themselves, with objects from Europe, Asia, Africa, and the Americas. The collection will be an outstanding resource for students and scholars who are researching the lives and the stereotypes of the often misunderstood Romani People. The specific goal of this project is to appropriately house this collection in museum-quality cabinetry, using appropriate storage materials and methods. New cabinetry is necessary to provide safe and permanently housing, once cataloguing and photography have been completed. The goal of the project is to provide this protection to promote the preservation of the collection over time.</p>",
266644,PG-266644-19,1,0,0,0,0,0,0,,Lynne,,Swanson,,,,,,Lynne Swanson (Project Director: January 2019 to present),"Michigan State University (East Lansing, MI 48824-3407)<br/>Lynne Swanson (Project Director: January 2019 to present)</div>",Michigan State University,East Lansing,MI,48824-3407,USA,7/1/2019,2019,Michigan State University Museum Cultural Collections Rehousing Project,"Arts, Other","Arts, General; Arts, Other",230,Preservation Assistance Grants,1,Preservation and Access,0,0,10000,0,10000,0,10000,0,9/1/2019 &ndash; 2/28/2021,"<p>The purchase of cabinets and preservation
supplies to rehouse the university’s History, Folklife, and Anthropology
collections, totaling some 100,000 objects and representing cultures from
around the world.&nbsp; The History collection
contains clothing, textiles, tools, and utilitarian objects that date from the
early nineteenth to the mid-twentieth century and that document the history of
agriculture and rural life in Michigan, while the Folklife collection features
audio recordings of oral histories and musical performances and photographs that
document traditional cultures of Michigan and the Great Lakes region from the
mid-twentieth century to the present.&nbsp;
The Anthropology collection includes field-collected materials—weapons, decorative arts, and textiles—from various cultures of Africa, Asia,
and the Americas.&nbsp;</p>
<p>MSU Museum hosted a team of conservators in 2016 to perform a General Conservation Survey of the Museum's holdings of natural science and cultural collections.  The survey was funded by an IMLS Museums for America grant. The consultants surveyed collections and responded with written reports advising the Museum of next steps for the upgrade of the care and conservation of our collections.  This proposal is a request for funding for rehousing supplies to accomplish rehousing of portions of the MSU Museum's cultural collections, as recommended by the consultants in order to meet accepted standards of care. The plan of work will involve appropriately rehousing portions of the collection through the addition of storage supports, replacement of acidic materials, and re-organization of collections to reduce overcrowding.</p>",
257881,FEL-257881-18,2,0,0,0,0,0,0,,Ariel,Oscar,Helfer,,,,,,Ariel Oscar Helfer (Project Director: April 2017 to present),"Ariel Oscar Helfer<br/>Michigan State University (East Lansing, MI 48824-3407)",Michigan State University,East Lansing,MI,48824-3407,USA,11/1/2017,2017,"Plato's ""Letters"" as Political Philosophy: A New Interpretation and English Translation",Political Theory,Political Theory,318,Fellowships,6,Research Programs,0,0,50400,0,50400,0,50400,0,1/1/2019 &ndash; 12/31/2019,"<p>A new translation and interpretation of Plato's <em>Letters</em>.</p>
<p>Plato’s <em>Letters</em> portrays Plato’s political entanglements through a series of thirteen letters to tyrants, friends, and other acquaintances.  Modern scholars, forgetting or dismissing the judgment of ancient readers who both vouched for its Platonic authorship and extolled its philosophic merit, treat the <em>Letters</em> as a useful but motley collection of fragments and forgeries.  I maintain that the <em>Letters</em> is a coherent, unitary text, conveying the author’s profound reflections on the perilous position of the philosopher who wishes to defend the justice of philosophy and providing a crucial supplement to the high-flown rhetoric of the <em>Republic</em>.&nbsp;My book, besides providing a new English translation for students who wish to recover the <em>Letters</em> for philosophic study, will include a commentary on the text in which I explore Plato’s understanding of the relationship between the philosophic and political lives, restoring a crucial piece of the Platonic corpus to its proper place.</p>",
248733,FT-248733-16,2,0,0,0,0,0,0,,Jyotsna,G.,Singh,,,,,,Jyotsna G. Singh (Project Director: September 2015 to September 2016),"Jyotsna G. Singh<br/>Michigan State University (East Lansing, MI 48824-3407)",Michigan State University,East Lansing,MI,48824-3407,USA,3/1/2016,2016,Muslim and Christian Identities in the Early Modern World,Renaissance Studies,Comparative Religion; Renaissance Studies; South Asian Studies,3,Summer Stipends,6,Research Programs,0,0,6000,0,6000,0,6000,0,6/1/2016 &ndash; 7/31/2016,"<p>A study of Christian-Muslim encounters in the early modern period.</p>
<p>This is an interdisciplinary study that looks afresh at the expanding early modern European world with an emphasis on Christian-Muslim cross-cultural encounters. Recent scholarship has often focused on Europeans casting their gaze on the Islamic domains, especially on Anglo-Ottoman (Turkish) interactions. Transcultural Islam pluralizes that gaze by identifying distinct yet often overlapping processes of identity formation in both the Muslim and Christian worlds, with a particular emphasis on Mughal India from the mid-sixteenth to mid-seventeenth centuries. Developing five case studies on the shifting and diverse constructions of Islam within inter-cultural and intra-cultural contexts, this book draws on varied works, ranging from Anglican travel narratives, Western discourses on the Qur'an, and Mughal biographies and paintings, among others. In doing so, it charts historical struggles over the meaning of ""religion"" within Christian and Islamic histories and cultures.</p>",
