ApplicationID,ApplicationNumber,ApplicantType,SuppCount,ProductCount,CoverageCount,PrizeCount,ParticipatingInstitutionCount,WhitePaper,WhitePaperPath,PDFirstname,PDMiddlename,PDLastname,PDNameSuffix,CoPDFirstname,CoPDMiddlename,CoPDLastname,CoPDNameSuffix,Participants,GranteeDisplay,Institution,InstCity,InstState,InstPostalCode,InstCountry,CouncilDate,YearAwarded,ProjectTitle,PrimaryDiscipline,AllDisciplines,ProgramID,ProgramName,DivisionID,DivisionName,OfferedOutright,OfferedMatching,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,GrantPeriod,ProjectDesc,ToSupport
285786,FT-285786-22,2,0,0,0,0,0,0,,Samuel,Craig,Fletcher,,,,,,Samuel Craig Fletcher (Project Director: September 2021 to present),"Samuel Craig Fletcher<br/>University of Minnesota (Minneapolis, MN 55455-2009)",University of Minnesota,Minneapolis,MN,55455-2009,USA,3/1/2022,2022,Mary Somerville (1780-1872) on the Unity of Science,Philosophy of Science,"History and Philosophy of Science, Technology, and Medicine; History of Philosophy; Philosophy of Science",3,Summer Stipends,6,Research Programs,6000,0,6000,0,6000,0,6000,0,6/1/2022 &ndash; 7/31/2022,"<p>Archival research for a journal article and an encyclopedia entry on Scottish scientist Mary Somerville (1780-1872). &nbsp;</p>
<p>My project will provide the first extended explication of Mary Somerville’s (1780–1872) conception of the unity of science. I will contextualize how her ideas may have fit into and influenced 19th-century philosophical debates about this unity, thereby introducing her as a relevant figure in the history of philosophy of science. I aim to answer the following questions: What is the scope of her imperial metaphor for science? How might she be responding to anxieties about the fragmentation of knowledge and society in early Victorian Britain? Does “unity” for Somerville mean, e.g., having common mathematical formulations, shared simple principles, similar subject matter, or a univocal method of investigation or experiment? All these options were considered in contemporaneous and later 19th-century debates about the unity of scientific knowledge and method, e.g., between polymaths William Whewell (1794–1866) and John Herschel (1792–1871) and philosopher John Stuart Mill (1806–1873).</p>",
286142,FT-286142-22,2,0,0,0,0,0,0,,Aaron,,Hall,,,,,,Aaron Hall (Project Director: September 2021 to present),"Aaron  Hall<br/>University of Minnesota (Minneapolis, MN 55455-2009)",University of Minnesota,Minneapolis,MN,55455-2009,USA,3/1/2022,2022,"The Founding Rules: Slavery and the Creation of American Constitutionalism, 1787-1889",U.S. History,African American History; Legal History; U.S. History,3,Summer Stipends,6,Research Programs,6000,0,6000,0,6000,0,6000,0,6/1/2022 &ndash; 7/31/2022,"<p>Research and writing leading to a book on the emergence
and evolution of an authoritative Founding in American constitutional culture
(1789-1870s).</p>
<p>This book project explores the rise of an authoritative constitutional Founding in American culture, law, and politics during the century after Ratification. It asks how, why and to what effect did the United States develop a constitutionalism enthralled and enclosed by its own origin story. Over ten chapters, The Founding Rules charts a transformation in constitutional ideas and practices. It traces how a divided public, a generation after 1789, turned to the constitutional past to govern their unstable present; it illustrates how this realm of ascribed constitutional history became a locus of power; and it explains how that authority faltered and fragmented around the Civil War only to rise again as a force against Reconstruction. Drawing from a rich and diverse array of archival material expressing constitutional culture, the book will tell readers how and why the Founding was invented, inculcated, reshaped and reaffirmed in the nineteenth century.</p>",
286803,DR-286803-22,1,0,0,0,0,0,0,,Douglas,M.,Armato,,,,,,Douglas M. Armato (Project Director: November 2021 to present),"University of Minnesota (Minneapolis, MN 55455-2009)<br/>Douglas M. Armato (Project Director: November 2021 to present)</div>",University of Minnesota,Minneapolis,MN,55455-2009,USA,,2021,"Open access edition of ""The Silence of the Miskito Prince: Imagining across Cultures in Early America"" by Matt Cohen",American Studies,American Literature; American Studies; U.S. History,324,Fellowships Open Book Program,12,Digital Humanities,0,0,5500,0,5500,0,5500,0,4/1/2022 &ndash; 3/31/2023,"<p>This project will publish the book ""The Silence of the Miskito Prince: Imagining across Cultures in Early America"", written by NEH Fellow Matt Cohen (NEH grant number FA-251900-17), in an electronic open access format under a Creative Commons license, making it available for free download and distribution. The author will be paid a royalty of at least $500 upon release of the open access ebook.</p>",
279268,FT-279268-21,2,0,0,0,0,0,0,,Rachel,,Trocchio,,,,,,Rachel Trocchio (Project Director: September 2020 to present),"Rachel  Trocchio<br/>University of Minnesota (Minneapolis, MN 55455-2009)",University of Minnesota,Minneapolis,MN,55455-2009,USA,3/1/2021,2021,"Endless Things: Jonathan Edwards, Puritanism, and the Art of the Infinite",American Literature,American Literature; History of Religion; Intellectual History,3,Summer Stipends,6,Research Programs,6000,0,6000,0,6000,0,6000,0,7/1/2022 &ndash; 8/31/2022,"<p>Research and writing to complete one chapter of a book examining
various modes of thinking employed in developing American Puritan theology.</p>
<p>I apply for an NEH grant to complete research for the last chapter of my first manuscript, a study on Puritanism and cognition. Tracing how 18th-century theologian Jonathan Edwards plied the new science of infinity to explain religious “awakening,” this chapter revises our understanding of the circumstances and stakes of two disparate historical moments: the mass religious revivals in the Connecticut River Valley known as the Great Awakening (1730s-1740s), and the mathematical advancements that peaked with the introduction of calculus. “Jonathan Edwards, Puritanism, and the Art of the Infinite” argues that calculus gave Edwards a language for apprehending the heart of evangelical conversion: the experience of instantaneous change over time. I now solicit support for a final research trip to Connecticut archives, in order to discover whether application of the infinite was an art unique to Edwards.</p>",
273935,FO-273935-21,2,0,0,0,0,0,0,,Hiromi,,Mizuno,,,,,,Hiromi Mizuno (Project Director: April 2020 to present),"Hiromi Mizuno<br/>University of Minnesota (Minneapolis, MN 55455-2009)",University of Minnesota,Minneapolis,MN,55455-2009,USA,11/1/2020,2020,"The Age of Nitrogen: Japan, Empires, and Postcolonial Asia",East Asian History,East Asian History; History of Science; International Studies,207,Fellowships for Advanced Social Science Research on Japan,6,Research Programs,60000,0,60000,0,60000,0,60000,0,7/1/2021 &ndash; 6/30/2022,"<p>Research and writing leading to a book on how chemical nitrogen fertilizer affected the economic, political, and agricultural history of Japan and Asia from the 1900s to the 1970s.</p>
<p>My book examines how chemical nitrogen, the most important fertilizer for crop yield, changed the economic, political, and ecological landscapes of Japan and Asia. An intellectual, environment, and political history that re-examines the twentieth century, it critically analyzes the modern concept of the soil, the relationship between industrialization and agriculture, and various frontiers exploited under the banner of development and food security. It employs an innovative format that centers on the massive and dynamic flow of nitrogenous fertilizer in the Japanese empire, Cold-War Asia, and the world, while bringing in scientists, business leaders, farmers, and policy makers—ignored in the existing scholarship--playing important roles in the expansive fertilizer networks. NEH funding will enable me to complete the manuscript for submission. The book connects Japan to global development and environmental studies and will be accessible to both academic and non-academic readers.</p>",
267745,FEL-267745-20,2,0,0,0,0,0,0,,Katharine,,Gerbner,,,,,,Katharine Gerbner (Project Director: April 2019 to May 2022),"Katharine  Gerbner<br/>University of Minnesota (Minneapolis, MN 55455-2009)",University of Minnesota,Minneapolis,MN,55455-2009,USA,12/1/2019,2019,"Constructing Religion, Defining Crime: Slavery, Power, and Belief in Colonial America",History of Religion,African American History; History of Religion; U.S. History,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,1/1/2021 &ndash; 12/31/2021,"<p>Research and writing leading to a book on the development of ideas about religion and religious freedom in colonial America as they were shaped by slavery and the criminalization of black religious practices.</p>
<p>Religious freedom is one of the founding principles of American democracy. But what do we mean when we talk about “religion”? And how do we distinguish “religion” from “superstition” or “witchcraft”? Most importantly, who gets to decide what counts as a religion and what is a superstition – or a crime? My research, “Constructing Religion, Defining Crime: Slavery, Power and Belief,” examines how modern ideas about religion and freedom emerged within a colonial slave society. It shows how the institution of slavery made some religious practices criminal, while others were deemed legitimate. African diasporic religions were especially targeted for persecution and defined as rebellious. Examining this complex dynamic between race, belief, and danger shows that we must examine the history of slavery in order to understand the meaning of religion and the concept of religious freedom.</p>",
267903,FEL-267903-20,2,0,1,0,0,0,0,,Peter,Jameson,Mercer-Taylor,,,,,,Peter Jameson Mercer-Taylor (Project Director: April 2019 to present),"Peter Jameson Mercer-Taylor<br/>University of Minnesota (Minneapolis, MN 55455-2009)",University of Minnesota,Minneapolis,MN,55455-2009,USA,12/1/2019,2019,Classical Music in Pre-Civil War American Hymnody: A Digital Anthology for Listening and Singing,Music History and Criticism,Music History and Criticism,318,Fellowships,6,Research Programs,30000,0,30000,0,30000,0,30000,0,7/1/2020 &ndash; 12/31/2020,"<p>Preparation of an open-access digital anthology of almost 300 hymn melodies  published in the United States before 1861 derived from European classical music.</p>
<p>In the decades leading up to the Civil War,
American compilers of sacred tune books crafted hundreds of hymn tunes from
melodic stretches of European classical music. Hymn tunes being the
best-selling genre of music in the U.S. at the time, it was through these melodies that
many Americans first encountered classical music. This repertoire has all but
vanished today, and has been only very fleetingly explored by scholars. The
website proposed here will provide an online anthology of 276 pre-Civil War
hymn tunes that borrow material from Mozart, Beethoven, Schubert, and other
European composers, culled from over 70 antebellum American publications.
Modern scores and recorded piano renditions will be provided, but the website
will also offer a platform for sharing recordings of these tunes by whatever
ensembles choose to submit them, forming a growing, crowdsourced repository of
performances that, it is hoped, might serve as a hub for the reclamation of
this repertoire in modern musical life.</p>",
271653,HAA-271653-20,1,0,32,35,4,0,0,,Kirsten,,Delegard,,,,,,Kirsten Delegard (Project Director: January 2020 to present),"University of Minnesota (Minneapolis, MN 55455-2009)<br/>Kirsten Delegard (Project Director: January 2020 to present)</div>",University of Minnesota,Minneapolis,MN,55455-2009,USA,7/1/2020,2020,Mapping Racial Covenants in the United States: A Technical Toolkit,Urban Studies,Geography; Public History; Urban Studies,311,Digital Humanities Advancement Grants,12,Digital Humanities,0,49987,324473,49987,324473,49987,374460,0,9/1/2020 &ndash; 8/31/2023,"<p>To expand and refine a set of digital tools and workflows to generate and map datasets of racial covenants from communities across the United States within one web platform. <br /></p>
<p>Through a process of experimentation over the last four years, Mapping Prejudice has developed a powerful, new methodology that combines optical character recognition (OCR), crowd-sourcing and geographic information science (GIS), to map racial covenants found in property deeds at an unprecedented level of granularity. This has allowed the project to create a comprehensive spatial dataset of racial covenants for Hennepin County, Minnesota (Minneapolis and the surrounding suburbs)—the first such dataset in the country.  The Mapping Prejudice team will leverage what it has learned from mapping racial covenants in Hennepin County to open up new opportunities for public engagement and research on the history of segregation and the urban environment in the United States.</p>",
272556,HT-272556-20,1,0,0,0,0,0,0,,Evan,,Roberts,,,,,,Evan Roberts (Project Director: March 2020 to present)<br/>Samantha Blickhan (Co Project Director: May 2020 to August 2023)<br/>Benjamin Wiggins (Co Project Director: May 2020 to August 2023),"University of Minnesota (Minneapolis, MN 55455-2009)<br/>Evan Roberts (Project Director: March 2020 to present)<br/>Samantha Blickhan (Co Project Director: May 2020 to August 2023)<br/>Benjamin Wiggins (Co Project Director: May 2020 to August 2023)</div>",University of Minnesota,Minneapolis,MN,55455-2009,USA,7/1/2020,2020,Building capable communities for crowdsourced transcription,"Interdisciplinary Studies, Other","Interdisciplinary Studies, Other",260,Institutes for Advanced Topics in the Digital Humanities,12,Digital Humanities,0,0,249856,0,249056,0,249056,0,9/1/2020 &ndash; 8/31/2023,"<p>An institute to help cultural organizations plan, develop, and launch crowdsourcing projects focused on engaging communities with their collections. <br /></p>
<p>Converting printed texts into digital formats  is now straightforward, enabling humanities scholars to mine the world's cultural heritage. But many crucial sources exist only in manuscript form and are difficult to integrate into the future of the digital humanities. If we can convert handwriting into machine-readable text we can connect the past and present of the humanities. People can often decipher unfamiliar handwriting, and improvements in software and public engagement have made crowdsourced transcription effective. But getting it all right—design, engagement, and accuracy—remains tricky. The University of Minnesota, Adler Planetarium, and Zooniverse, as leaders in developing crowdsourcing transcription platforms, will convene an Institute developing a cohort of leaders who develop crowdsourced transcription projects. The Institute will take a cohort through the process together, led by a team with successful experience in crowdsourced transcription and teaching.</p>",
272616,DR-272616-20,1,0,3,0,0,0,0,,Douglas,M.,Armato,,,,,,Douglas M. Armato (Project Director: March 2020 to present),"University of Minnesota (Minneapolis, MN 55455-2009)<br/>Douglas M. Armato (Project Director: March 2020 to present)</div>",University of Minnesota,Minneapolis,MN,55455-2009,USA,,2020,Cut/Copy/Paste Open Book Fellowship,British Literature,British Literature; Cultural History,324,Fellowships Open Book Program,12,Digital Humanities,0,0,5500,0,5500,0,5500,0,9/1/2020 &ndash; 2/28/2022,"<p>The purpose of this project is to seek support for open-access digital publication of Whitney Trettien's book ""Cut/Copy/Paste: Echoes of Little Gidding"" on the Manifold Scholarship digital publishing platform.</p>",
