ApplicationID,ApplicationNumber,ApplicantType,SuppCount,ProductCount,CoverageCount,PrizeCount,ParticipatingInstitutionCount,WhitePaper,WhitePaperPath,PDFirstname,PDMiddlename,PDLastname,PDNameSuffix,CoPDFirstname,CoPDMiddlename,CoPDLastname,CoPDNameSuffix,Participants,GranteeDisplay,Institution,InstCity,InstState,InstPostalCode,InstCountry,CouncilDate,YearAwarded,ProjectTitle,PrimaryDiscipline,AllDisciplines,ProgramID,ProgramName,DivisionID,DivisionName,OfferedOutright,OfferedMatching,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,GrantPeriod,ProjectDesc,ToSupport
283045,FEL-283045-22,2,0,0,0,0,0,0,,Letitia,,Guran,,,,,,Letitia Guran (Project Director: April 2021 to present),"Letitia  Guran<br/>University of North Carolina at Chapel Hill (Chapel Hill, NC 27599-1350)",University of North Carolina at Chapel Hill,Chapel Hill,NC,27599-1350,USA,11/1/2021,2021,Walking on a Tightrope of Words : Langston Hughes’s Re-writings on Race in the Soviet Union and the U.S.,African American Studies,African American Studies,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,7/1/2022 &ndash; 6/30/2023,"<p>Research and writing leading to a&nbsp;digital monograph on&nbsp;the writing, publishing history, and reception of&nbsp;Langston Hughes’s&nbsp;<em>A Negro Looks at Soviet Central Asia&nbsp;</em>(1934).</p>
<p>The digital book I propose is an on online, open-access original contribution to the body of knowledge on Langston Hughes, designed  for scholars as well as for the general public.  It will expand existing resources by revealing Hughes’s prominence in the struggle for racial equality and social justice leading up to the Civil Rights movement.</p>",
284498,AA-284498-22,1,0,0,0,0,0,0,,Courtney,,Rivard,,,,,,Courtney Rivard (Project Director: May 2021 to present),"University of North Carolina at Chapel Hill (Chapel Hill, NC 27599-1350)<br/>Courtney Rivard (Project Director: May 2021 to present)</div>",University of North Carolina at Chapel Hill,Chapel Hill,NC,27599-1350,USA,11/1/2021,2021,Integrating Storytelling & Critical Game Studies into the Curriculum,"Literature, General","Composition and Rhetoric; Literature, General",325,Humanities Initiatives at Colleges and Universities,7,Education Programs,0,0,54981,0,54981,0,54981,0,7/1/2022 &ndash; 6/30/2023,"<p>A one-year curricular development and faculty training program leading to a minor in&nbsp;critical&nbsp;game&nbsp;studies.</p>
<p>This proposal seeks funding to create a one-year Initiative in Storytelling and Critical Game Studies at the UNC, Chapel Hill that will lead to a minor in Critical Game Studies (CGS) administered by the English & Comparative Literature Department. CGS brings rhetorical and literary theories together with feminist studies, queer studies and ethnic studies to investigate how game narratives shape and are shaped by power structures and cultural representations. The initiative includes five major objectives: (1) the creation of six courses that will constitute the core of the CGS minor, (2) faculty training in game studies scholarship and teaching strategies that incorporate games in the classroom, (3) the development of “plug and play” teaching modules with corresponding workshops, (4) the creation of a vodcast on teaching with games in the classroom, and (5) the submission of the proposal for a new minor.</p>",
284952,DR-284952-22,1,0,2,0,0,0,0,,Mark,,Simpson-Vos,,,,,,Mark Simpson-Vos (Project Director: July 2021 to present),"University of North Carolina Press (Chapel Hill, NC 27515-2288)<br/>Mark Simpson-Vos (Project Director: July 2021 to present)</div>",University of North Carolina Press,Chapel Hill,NC,27515-2288,USA,,2021,Open Access Edition of Race Characters: Ethnic Literature and the Figure of the American Dream by Swati Rana,American Literature,African American History; American Literature,324,Fellowships Open Book Program,12,Digital Humanities,0,0,5500,0,5500,0,5500,0,12/1/2021 &ndash; 5/31/2023,"<p>This project will publish the book Race Characters: Ethnic Literature and the Figure of the American Dream, written by NEH Fellow Swati Rana (NEH grant number FEL-XXXX), in an electronic open access format under a Creative Commons license, making it available for free download and distribution. The author will be paid a royalty of at least $500 upon release of the open access ebook.</p>",
287980,DR-287980-22,1,0,0,0,0,0,0,,Mark,,Simpson-Vos,,,,,,Mark Simpson-Vos (Project Director: February 2022 to present),"University of North Carolina Press (Chapel Hill, NC 27515-2288)<br/>Mark Simpson-Vos (Project Director: February 2022 to present)</div>",University of North Carolina Press,Chapel Hill,NC,27515-2288,USA,,2022,Open Access Edition of Atlantic Bonds: A Nineteenth-Century Odyssey from America to Africa by Lisa Lindsay,African American History,African American History; U.S. History,324,Fellowships Open Book Program,12,Digital Humanities,0,0,5500,0,5500,0,5500,0,8/1/2022 &ndash; 1/31/2024,"<p>This project will publish the book Atlantic Bonds: A Nineteenth-Century Odyssey from America to Africa, written by NEH Fellow Lisa Lindsay (Federal Award Identification Number FA-56633-12), in an electronic open access format under a Creative Commons license, making it available for free download and distribution. The author will be paid a royalty of at least $500 upon release of the open access ebook.</p>",
287981,DR-287981-22,1,0,0,0,0,0,0,,Mark,,Simpson-Vos,,,,,,Mark Simpson-Vos (Project Director: February 2022 to present),"University of North Carolina Press (Chapel Hill, NC 27515-2288)<br/>Mark Simpson-Vos (Project Director: February 2022 to present)</div>",University of North Carolina Press,Chapel Hill,NC,27515-2288,USA,,2022,Open Access edition of The Lumbee Indians: An American Struggle by Malinda Maynor Lowery,U.S. History,U.S. History,324,Fellowships Open Book Program,12,Digital Humanities,0,0,5500,0,5500,0,5500,0,8/1/2022 &ndash; 1/31/2024,"<p>This project will publish the book The Lumbee Indians: An American Struggle, written by NEH Fellow Malinda Maynor Lowery (Federal Award Identification Number FZ-231501-15), in an electronic open access format under a Creative Commons license, making it available for free download and distribution. The author will be paid a royalty of at least $500 upon release of the open access ebook.</p>",
287982,DR-287982-22,1,0,0,0,0,0,0,,Mark,,Simpson-Vos,,,,,,Mark Simpson-Vos (Project Director: February 2022 to present),"University of North Carolina Press (Chapel Hill, NC 27515-2288)<br/>Mark Simpson-Vos (Project Director: February 2022 to present)</div>",University of North Carolina Press,Chapel Hill,NC,27515-2288,USA,,2022,Open Access edition of Discovering the South: One Man's Travels through a Changing America in the 1930s by Jennifer Ritterhouse,U.S. History,U.S. History,324,Fellowships Open Book Program,12,Digital Humanities,0,0,5500,0,5500,0,5500,0,8/1/2022 &ndash; 1/31/2024,"<p>This project will publish the book Discovering the South: One Man's Travels through a Changing America in the 1930s, written by NEH Fellow Jennifer Ritterhouse (Federal Award Identification Number FA-55771-11), in an electronic open access format under a Creative Commons license, making it available for free download and distribution. The author will be paid a royalty of at least $500 upon release of the open access ebook.</p>",
287983,DR-287983-22,1,0,0,0,0,0,0,,Mark,,Simpson-Vos,,,,,,Mark Simpson-Vos (Project Director: February 2022 to present),"University of North Carolina Press (Chapel Hill, NC 27515-2288)<br/>Mark Simpson-Vos (Project Director: February 2022 to present)</div>",University of North Carolina Press,Chapel Hill,NC,27515-2288,USA,,2022,Open Access edition of Corazón de Dixie: Mexicanos in the U.S. South since 1910 by Julie M. Weise,Latino History,Latino History; U.S. History,324,Fellowships Open Book Program,12,Digital Humanities,0,0,5500,0,5500,0,5500,0,8/1/2022 &ndash; 1/31/2024,"<p>This project will publish the book Corazón de Dixie: Mexicanos in the U.S. South since 1910, written by NEH Fellow Julie M. Weise (Federal Award Identification Numbers HB-50136-11 and FT-58102-10), in an electronic open access format under a Creative Commons license, making it available for free download and distribution. The author will be paid a royalty of at least $500 upon release of the open access ebook.</p>",
278389,FT-278389-21,2,0,0,0,0,0,0,,William,Mychael,Sturkey,,,,,,William Mychael Sturkey (Project Director: September 2020 to March 2022),"William Mychael Sturkey<br/>University of North Carolina at Chapel Hill (Chapel Hill, NC 27599-1350)",University of North Carolina at Chapel Hill,Chapel Hill,NC,27599-1350,USA,3/1/2021,2021,To Be An American: The Ballad of Master Sergeant Roy P. Benavidez (1935-1998),U.S. History,Labor History; Latino History; U.S. History,3,Summer Stipends,6,Research Programs,6000,0,6000,0,6000,0,6000,0,6/1/2021 &ndash; 7/31/2021,"<p>Writing of a biography of Vietnam War veteran,
Congressional Medal of Honor winner, and iconic military figure Roy Benavidez
(1935-1998).</p>
<p>“To Be An American” is a biography of Vietnam War hero Roy Benavidez. Beginning with his family's history as Texas pioneers in the 1800s, it chronicles the saga of Benavidez, tracing his life from the Texas cotton fields to the Pentagon. Through the lens of this legendary Mexican American, this book explores the intersectionality of American citizenship, race, military service, political rhetoric, and public policy against the backdrop of the Cold War and the rise and fall of the liberal welfare state, ultimately examining America’s relationship with its most revered heroes, balanced against what it requires of them in return.</p>",
280005,DR-280005-21,1,0,4,0,8,0,0,,Mark,,Simpson-Vos,,,,,,Mark Simpson-Vos (Project Director: December 2020 to present),"University of North Carolina Press (Chapel Hill, NC 27515-2288)<br/>Mark Simpson-Vos (Project Director: December 2020 to present)</div>",University of North Carolina Press,Chapel Hill,NC,27515-2288,USA,,2021,Open Access Edition of A Saint of Our Own: How the Quest for a Holy Hero Helped Catholics Become American by Kathleen Cummings,History of Religion,History of Religion; U.S. History,324,Fellowships Open Book Program,12,Digital Humanities,0,0,5500,0,5500,0,5500,0,5/1/2021 &ndash; 10/31/2022,"<p>This project will publish the book A Saint of Our Own: How the Quest for a Holy Hero Helped Catholics Become American, written by NEH Fellow Kathleen Cummings (NEH grant number FA-55091-10), in an electronic open access format under a Creative Commons license, making it available for free download and distribution. The author will be paid a royalty of at least $500 upon release of the open access ebook.</p>",
280007,DR-280007-21,1,0,4,0,8,0,0,,Mark,,Simpson-Vos,,,,,,Mark Simpson-Vos (Project Director: December 2020 to present),"University of North Carolina Press (Chapel Hill, NC 27515-2288)<br/>Mark Simpson-Vos (Project Director: December 2020 to present)</div>",University of North Carolina Press,Chapel Hill,NC,27515-2288,USA,,2021,Open Access Edition of Aberration of Mind: Suicide and Suffering in the Civil War–Era South by Diane Miller Sommerville,Military History,Military History; U.S. History,324,Fellowships Open Book Program,12,Digital Humanities,0,0,5500,0,5500,0,5500,0,5/1/2021 &ndash; 10/31/2022,"<p>This project will publish the book Aberration of Mind: Suicide and Suffering in the Civil War–Era South, written by NEH Fellow Diane Miller Sommerville (NEH grant number FB-55859-11), in an electronic open access format under a Creative Commons license, making it available for free download and distribution. The author will be paid a royalty of at least $500 upon release of the open access ebook.</p>",
