ApplicationID,ApplicationNumber,ApplicantType,SuppCount,ProductCount,CoverageCount,PrizeCount,ParticipatingInstitutionCount,WhitePaper,WhitePaperPath,PDFirstname,PDMiddlename,PDLastname,PDNameSuffix,CoPDFirstname,CoPDMiddlename,CoPDLastname,CoPDNameSuffix,Participants,GranteeDisplay,Institution,InstCity,InstState,InstPostalCode,InstCountry,CouncilDate,YearAwarded,ProjectTitle,PrimaryDiscipline,AllDisciplines,ProgramID,ProgramName,DivisionID,DivisionName,OfferedOutright,OfferedMatching,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,GrantPeriod,ProjectDesc,ToSupport
281583,FEL-281583-22,2,0,0,0,0,0,0,,Kristina,Marie,Sessa,,,,,,Kristina Marie Sessa (Project Director: April 2021 to present),"Kristina Marie Sessa<br/>Ohio State University (Columbus, OH 43210-1132)",Ohio State University,Columbus,OH,43210-1132,USA,11/1/2021,2021,Disaster in Late Antiquity: A Cultural and Material History,Ancient History,"Ancient History; Interdisciplinary Studies, Other; Medieval History",318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,7/1/2022 &ndash; 6/30/2023,"<p>Research and writing leading to a book on&nbsp;natural&nbsp;and man-made&nbsp;disasters in Late Antiquity (<em>ca</em>&nbsp;250 – 700 CE).</p>
<p>This book is the first cultural and material study of human-made and natural disasters in Late Antiquity (<em>ca</em> 250 – 700 CE). Focusing on the fourth to seventh centuries CE and on the tri-continental expanse of the late Roman Empire, it places disaster at the center of analysis, and investigates how late ancient Romans from across the socio-economic spectrum variously perceived and experienced disasters like warfare, climate change, earthquakes, and pandemics. Instead of approaching disaster as the primary variable driving a predetermined narrative of “decline and fall,” this study presents a multi-scalar, differential history of disaster, and shows how it led to a variety of outcomes that were directly related to social and political status, available economic resources, religious identity, gender, and geographic location.</p>",
272961,FEL-272961-21,2,0,0,0,0,0,0,,Christopher,John,Pincock,,,,,,Christopher John Pincock (Project Director: April 2020 to present),"Christopher John Pincock<br/>Ohio State University (Columbus, OH 43210-1132)",Ohio State University,Columbus,OH,43210-1132,USA,11/1/2020,2020,"Scientific explanation, inference, and realism",Philosophy of Science,Philosophy of Science,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,1/1/2022 &ndash; 12/31/2022,"<p>Research and writing leading to publication of a book that defends scientific realism.</p>
<p>My project provides a novel defense of the view that our best, current science provides knowledge of unobservable entities like electrons and the Big Bang. This realistic approach to science faces many challenges, including the historical track-record of scientific errors and the ongoing need to deploy models that distort the features of target systems. I show how reflection on the nature of explanation and inference can be used to respond to these challenges. There is good reason to think that scientists now have an improved understanding of how models can explain and when they indicate the truth. This refined understanding shows how the technological and practical successes that science has offered are sufficient evidence for the truth of much of our scientific conception of the world.</p>",
273185,FEL-273185-21,2,0,0,0,0,0,0,,Amrita,,Dhar,,,,,,Amrita Dhar (Project Director: April 2020 to present),"Amrita  Dhar<br/>Ohio State University (Columbus, OH 43210-1132)",Ohio State University,Columbus,OH,43210-1132,USA,11/1/2020,2020,John Milton’s Blind Language,British Literature,British Literature; Literary Criticism,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,5/1/2021 &ndash; 4/30/2022,"<p>Research and writing leading to a book on the influence of blindness on the writing of English author John Milton (1608–1674).</p>
<p>This is a study of seventeenth-century author and polemic John Milton’s poetic language created in his years of partial and ultimately complete blindness: his psalm translations and some shorter poems, and significantly, the landmark achievements <em>Paradise Lost</em>, <em>Paradise Regained</em>, and <em>Samson Agonistes</em>. Examining, on one hand, blindness in terms of language, and on the other, poetic language in terms of visual transformation, this project demonstrates the workings of blindness towards the creation of some of our most enduring poetry. Similarly, this study shows how Milton’s final long blind verse bears the weight of its author’s lived visual difference. This work thus addresses a gap in early modern studies, scholarship on poetry, disability studies, and the literary humanities by establishing the affirmative capacities and far-reaching aesthetic consequences of blind writing.</p>",
274341,RJ-274341-20,1,0,0,0,0,0,0,,Tara,,Cyphers,,,,,,Tara Cyphers (Project Director: May 2020 to present),"Ohio State University (Columbus, OH 43210-1132)<br/>Tara Cyphers (Project Director: May 2020 to present)</div>",Ohio State University,Columbus,OH,43210-1132,USA,6/1/2020,2020,COVID-19 Support for Scholarly Publishing,"Literature, General","African American Studies; Literature, General; Medieval Studies",298,Cooperative Agreements and Special Projects (Research),6,Research Programs,80102,0,80102.21,0,80102,0,80102,0,7/1/2020 &ndash; 1/31/2021,"<p>Retention of two full-time Ohio State University Press staff members to continue publication of humanities scholarship.</p>
<p>This project retains positions at risk due to decreased revenues from the coronavirus pandemic. The project involves activities that are central to carrying out our mission of serving the scholarly community and general public through publications that focus on the relevance of humanistic methods to studying pressing social and cultural issues. The project focuses on acquisitions activities that ensure high-quality book projects in the humanities are contracted and keep flowing into the press; production activities that ensure print and electronic books and journals are brought to fruition; and marketing activities that ensure books and journals can be successfully sold and distributed. This project will focus on mission-critical work that will ensure the long-term viability of The Ohio State University Press (an “independent component” of the university) and its continued work to advance knowledge by publishing and disseminating scholarship in the humanities.</p>",
272433,FS-272433-20,1,0,0,0,0,0,0,,Mark,,Rankin,,,,,,Christopher Highley (Project Director: February 2020 to August 2020)<br/>Mark Rankin (Project Director: August 2020 to present)<br/>Christopher Highley (Co Project Director: August 2020 to October 2020),"Ohio State University (Columbus, OH 43210-1132)<br/>Christopher Highley (Project Director: February 2020 to August 2020)<br/>Mark Rankin (Project Director: August 2020 to present)<br/>Christopher Highley (Co Project Director: August 2020 to October 2020)</div>",Ohio State University,Columbus,OH,43210-1132,USA,7/1/2020,2020,Printing and the Book During the Reformation: 1450-1650,British Literature,"British Literature; Cultural History; Religion, General",23,Seminars for Higher Education Faculty,7,Education Programs,159005,0,159005,0,151278,0,151278,0,10/1/2020 &ndash; 9/30/2023,"<p>A four-week seminar for 16 higher education faculty on the history of the production and reception of books during the Reformation.</p>
<p>This NEH Summer Seminar for College and University Teachers, on “Printing and the Book During the Reformation: 1450-1650,"" is situated within the History of the Book and the history of reading. By drawing upon contemporary thought concerning cultural history and the reception of books by readers, this field of study now attracts teacher-scholars in many humanities disciplines. This seminar will focus on the production, dissemination, and reading of British and Western European books during the two centuries that followed the invention of printing with movable type on hand-operated presses circa 1450. We shall devote particular attention to the impact of the Protestant Reformation and Catholic Reformation (or Counter-Reformation) on the material nature of books and the book trade, as well as upon their reading and use, during a turbulent era of religious, intellectual, literary, and cultural change.</p>",
263554,PG-263554-19,1,0,1,0,0,0,0,,Gayle,,Strege,,,,,,Gayle Strege (Project Director: May 2018 to December 2021),"Ohio State University (Columbus, OH 43210-1132)<br/>Gayle Strege (Project Director: May 2018 to December 2021)</div>",Ohio State University,Columbus,OH,43210-1132,USA,11/1/2018,2018,Bonnie Cashin American Sportswear Collection Rehousing Project,Women's History,Women's History,230,Preservation Assistance Grants,1,Preservation and Access,0,0,6000,0,5019,0,5019,0,1/1/2019 &ndash; 12/31/2019,"<p>The rehousing of a collection of 400 apparel
materials that document the contribution of Bonnie Cashin to the fashion
industry from the 1950s through the 1970s. &nbsp;Cashin’s career ranged widely from costume
design on Broadway and for Hollywood movies to design of women’s uniforms in
World War II, as well as for major fashion houses, including Coach and
Hermès.&nbsp; The Historic Costume and Textile
Collection, and the Bonnie Cashin collection in particular, is used regularly
in major exhibits and in humanities courses at the university, including art
history, women and gender, aesthetics, literature, and the history of industry.</p>
<p>The project is to rehouse an archive collection of 400 apparel textile materials that document the partnership between American Sportswear designer Bonnie Cashin and manufacturer Philip Sills from 1952-1977. The collection is currently stored in at-risk conditions. The artifacts represent the years when Cashin’s design significance emerged in the history of American fashion, capitalizing on the influence of the baby boomers in post WWII American History and an emergence of global cultural awareness on design. Cashin is one of a handful of American women fashion designers whose focus on practical and functional clothing design along with a minimalist aesthetic appeal led to the development of a uniquely American contribution to the history of the garment industry, namely Sportswear. The grant would support purchase of archival hangers, boxes, tissue and other materials needed to properly store and preserve these artifacts.</p>",
264762,FT-264762-19,2,0,0,0,0,0,0,,Molly,Jeanne,Farrell,,,,,,Molly Jeanne Farrell (Project Director: September 2018 to January 2022),"Molly Jeanne Farrell<br/>Ohio State University (Columbus, OH 43210-1132)",Ohio State University,Columbus,OH,43210-1132,USA,3/1/2019,2019,New World Calculation: The Making of Numbers in Colonial America,American Literature,American Literature; American Studies; History of Science,3,Summer Stipends,6,Research Programs,6000,0,6000,0,6000,0,6000,0,6/3/2019 &ndash; 8/2/2019,"<p>Research and writing leading to publication of a book on the&nbsp;role of numbers and&nbsp;numerical thinking in colonial America.</p>
<p>What new possibilities arise if we embrace mathematics as a form of humanist inquiry? How would we tell stories differently if we came to see data as a means of personal expression? My project, New World Calculation: The Making of Numbers in Colonial America, investigates these questions in the context of seventeenth- and eighteenth-century colonialism. When enslaved, indigenous, and colonizing peoples interacted, they staged an encounter between groups who were each highly technically skilled mathematicians and held distinctive beliefs about what numbers are and what work they did in the world. At the same time, the tremendous accounting work required to support the economies of Atlantic slavery and settler colonialism, cultivated new forms of bookkeeping and ideas about the reliability of numerical facts. All of these developments led to shifting relationships to numbers and turned colonial spaces into testing grounds for forging novel forms of numerical thinking.</p>",
265099,FT-265099-19,2,0,0,0,0,0,0,,Alisa,Ballard,Lin,,,,,,Alisa Ballard Lin (Project Director: September 2018 to January 2022),"Alisa Ballard Lin<br/>Ohio State University (Columbus, OH 43210-1132)",Ohio State University,Columbus,OH,43210-1132,USA,3/1/2019,2019,"Theatrical Consciousness: Actor and Self in Russian Modernism, 1898-1934",Theater History and Criticism,Area Studies; Russian Literature; Theater History and Criticism,3,Summer Stipends,6,Research Programs,6000,0,6000,0,6000,0,6000,0,6/1/2019 &ndash; 7/31/2019,"<p>A book-length study&nbsp;of&nbsp;the impact of philosophy and psychology on acting
and theater&nbsp;in early twentieth-century Russia.</p>
<p>I am applying for NEH funds to complete the archival research and the writing of my book manuscript. The book argues that Russian modernism's radical reinvention of methodologies for theater acting drew on contemporaneous developments in philosophy and psychology to reimagine, via the actor, the broader nature of human consciousness and perception. In turn, I show that the Russian modernist theater directly influenced the development of both philosophy and psychology in the early-Soviet period. Through close study of theoretical writings on the actor, rehearsal notes, plays, and performances from the early-twentieth-century Russian theater, the book demonstrates that Russian modernism treated the theatrical experience as one that is sensory and lived by both actor and spectator, therein anticipating American and European interest in the phenomenology of theater by several decades.</p>",
259568,FT-259568-18,2,0,1,0,0,0,0,,Elizabeth,,Bond,,,,,,Elizabeth Bond (Project Director: September 2017 to September 2018),"Elizabeth  Bond<br/>Ohio State University (Columbus, OH 43210-1132)",Ohio State University,Columbus,OH,43210-1132,USA,3/1/2018,2018,The Writing Public: Participatory Knowledge Production in Enlightenment and Revolutionary France,European History,Cultural History; European History; Intellectual History,3,Summer Stipends,6,Research Programs,0,0,6000,0,6000,0,6000,0,6/1/2018 &ndash; 7/31/2018,"<p>Preparation for publication of a book-length study of&nbsp;the Enlightenment, the French Revolution,&nbsp;and French newspapers from 1770 to 1791.</p>
<p>My book project, 'Experiencing the Enlightenment: an Eighteenth-Century Information Network,' offers new insight into the cardinal question in my field: the link between the Enlightenment and the French Revolution. Drawing upon letters to the editor written by men and women throughout France between 1770 and 1791, I explore how thousands of readers consumed and interpreted the intellectual movements of their day. Representing a wide range of readers, such letters articulated solutions to everyday problems, honing habits of mind focused on knowing the world and changing society. Bringing previously unexamined sources and digital humanities approaches to bear on an enduring question, my work renders a more nuanced understanding of popular cultural responses to intellectual movements.</p>",
260602,AV-260602-18,1,0,0,0,0,0,0,,Bruno,,Cabanes,,,,,,Bruno Cabanes (Project Director: November 2017 to March 2021),"Ohio State University (Columbus, OH 43210-1132)<br/>Bruno Cabanes (Project Director: November 2017 to March 2021)</div>",Ohio State University,Columbus,OH,43210-1132,USA,3/1/2018,2018,Voices of War: Comparative Perspectives,Military History,Diplomatic History; Military History,297,Dialogues on the Experience of War,7,Education Programs,0,0,94116,0,82430.39,0,82430.39,0,8/1/2018 &ndash; 7/31/2019,"<p>A graduate-level course at Ohio State University and
two discussion groups in the Columbus, Ohio, area.</p>
<p>This program will train graduate students to conduct discussion sessions with local veterans and engage in a respectful dialogue founded upon a shared intellectual interest for humanities sources. Columbus, Ohio, is home to over 110,000 veterans, and over 1,800 veterans, dependents and Active Duty, National Guard and Reserve members are attending classes at Ohio State. Literature, films, and war memoirs will be used to provide insights into the experiences of deployment, combat and homecoming. The preparatory program for discussion leaders and the discussion sessions with veterans will focus on four topics, each associated with a conflict: the American Civil War and the Appropriation of Memory; the Wars in Afghanistan and the Ambiguity of Victory; World War I and the Trauma of War; and the Iraq War and the Soldier Experience.</p>",
