ApplicationID,ApplicationNumber,ApplicantType,SuppCount,ProductCount,CoverageCount,PrizeCount,ParticipatingInstitutionCount,WhitePaper,WhitePaperPath,PDFirstname,PDMiddlename,PDLastname,PDNameSuffix,CoPDFirstname,CoPDMiddlename,CoPDLastname,CoPDNameSuffix,Participants,GranteeDisplay,Institution,InstCity,InstState,InstPostalCode,InstCountry,CouncilDate,YearAwarded,ProjectTitle,PrimaryDiscipline,AllDisciplines,ProgramID,ProgramName,DivisionID,DivisionName,OfferedOutright,OfferedMatching,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,GrantPeriod,ProjectDesc,ToSupport
283883,ZPA-283883-22,1,0,0,0,0,0,0,,Gabriela,,Perez Baez,,,,,,Gabriela Perez Baez (Project Director: May 2021 to present),"University of Oregon (Eugene, OR 97403-5219)<br/>Gabriela Perez Baez (Project Director: May 2021 to present)</div>",University of Oregon,Eugene,OR,97403-5219,USA,8/1/2021,2021,Strengthening Distance Learning for Indigenous Languages in Response to the COVID-19 Pandemic,Linguistics,Linguistics,329,ARP-Organizations (Preservation-related),8,Agency-wide Projects,0,0,326233,0,326233,0,326233,0,10/1/2021 &ndash; 9/30/2022,"<p>The&nbsp;partial&nbsp;retention of&nbsp;three&nbsp;faculty and the addition of language experts and student workers&nbsp;to&nbsp;expand, through digital technology,&nbsp;two&nbsp;initiatives&nbsp;at the University of Oregon&nbsp;that&nbsp;encourage the preservation and teaching of&nbsp;Indigenous language restoration in the United States.&nbsp;</p>
<p>The Northwest Indian Language Institute and the National Breath of Life Archival Institute for Indigenous Languages share a common mission to support Indigenous language restoration efforts in the United States. These institutes endeavor to increase capacity within Native American communities for the preservation of their unique cultural, historical, and linguistic heritage. The COVID-19 pandemic has significantly impacted the ability of both institutes to carry out their work, which is primarily accomplished through in-person trainings. In the past year, both programs have pivoted toward online learning and on-demand trainings to continue a modified version of normal operations, expand program accessibility, and meet the varying needs of program participants. This project seeks funding to support humanities positions and to build upon the emerging online experience and resources to create a robust catalog of distance learning offerings that follow best practices in online pedagogy.</p>",
284385,PR-284385-22,1,0,0,0,0,0,0,,Sarah,,Seymore,,,,,,Sarah Seymore (Project Director: May 2021 to present),"University of Oregon (Eugene, OR 97403-5219)<br/>Sarah Seymore (Project Director: May 2021 to present)</div>",University of Oregon,Eugene,OR,97403-5219,USA,11/1/2021,2021,Getting the Latest Scoop: A New Tool to Expand Access to Online Newspaper Collections,"Interdisciplinary Studies, Other","Interdisciplinary Studies, Other",232,Research and Development,1,Preservation and Access,0,0,346391,0,346391,0,346391,0,3/1/2022 &ndash; 2/28/2025,"<p>The expansion of Open ONI, a collection of open-source, collaboratively developed newspaper-hosting software, that will&nbsp;make digitally accessible&nbsp;many kinds of serial publications, such as periodicals, born-digital news, and serials published after 1963.</p>
<p>The changing preservation and maintenance landscape for digital newspapers necessitates an innovative, customizable, and lightweight technical solution to support local newspaper digitization and preservation programs. The University of Oregon Libraries, in partnership with the Center for Digital Research in the Humanities at the University of Nebraska–Lincoln, seeks funding to expand on the impact of the National Digital Newspaper Program by enhancing the existing software for better distribution and easier adoption by managers and curators of digital and born-digital newspapers. This project addresses the gaps in the currently-available systems by creating an open-source alternative to vendor systems or other shared digital collections repositories, and to continue expanding the Open ONI partnership and initiative to better serve institutions that want an easily-deployable and maintainable website for their digital newspaper collections.</p>",
285984,FT-285984-22,2,0,0,0,0,0,0,,Drew,Frederick,Nobile,,,,,,Drew Frederick Nobile (Project Director: September 2021 to present),"Drew Frederick Nobile<br/>University of Oregon (Eugene, OR 97403-5219)",University of Oregon,Eugene,OR,97403-5219,USA,3/1/2022,2022,"Voicing Form in Rock and Pop, 1991–2020","History, Criticism, and Theory of the Arts","History, Criticism, and Theory of the Arts; Music History and Criticism",3,Summer Stipends,6,Research Programs,6000,0,6000,0,6000,0,6000,0,7/1/2022 &ndash; 8/31/2022,"<p>Research and writing leading to a book about voice,
sound and music analysis in rock and popular songs, 1991 to the present.</p>
<p>This book looks at the relationship between vocal delivery and song form in rock and pop songs since 1991. The project challenges the traditional opposition between sound and structure, arguing instead that in this repertoire, sound&nbsp;<em>creates</em> structure. Put another way, rock and pop singers are composing with their voices. In arguing for voice-based composition, I propose a new ontology for popular song that centers the human element, conceiving of a song not as an abstract collection of notes, chords, and words but as the direct statement of a singing persona, one whose voice communicates not only a lyrical message but also corporeality, emotional states, and social identity. Treating sound and voice not as so-called “secondary parameters” but as primary aspects of a popular song expands what counts as musical structure and recasts traditional notions of what gives music its value, which may help finally put to rest the tired notion that popular music is musically simplistic.</p>",
272833,FEL-272833-21,2,0,0,0,0,0,0,,Tara,,Fickle,,,,,,Tara Fickle (Project Director: April 2020 to present),"Tara  Fickle<br/>University of Oregon (Eugene, OR 97403-5219)",University of Oregon,Eugene,OR,97403-5219,USA,11/1/2020,2020,"Behind ""Aiiieeeee!"": A New History of Asian American Literature",Asian American Studies,"American Literature; Asian American Studies; Interdisciplinary Studies, Other",318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,9/1/2021 &ndash; 8/31/2022,"<p>Research, writing, and digital development of a
book examining the publication history of the first anthology of Asian-American
literature, <em>Aiiieeeee!</em></p>
<p>“Behind <em>Aiiieeeee!</em>:
A New History of Asian American Literature” is a scholarly monograph and
accompanying interactive, open-access online resource that transforms our
current understanding of the genesis of contemporary Asian American literature.
Its focus is the 1974 publication of <em>Aiiieeeee!</em>,
a canonical and deeply controversial Asian American literary anthology. Read
widely and reviewed everywhere from The New Yorker to Rolling Stone, <em>Aiiieeeee!</em> was the first – and remains
the only – Asian American literary anthology to achieve the status of trade
publication rather than an academic one primarily for classroom use. The
monograph, based on archival research of an enormous collection of previously
inaccessible documents, demonstrates how Asian American literature of the
post-WW2 period intersected with countercultural energies and US-Asian military
conflicts of the 1970s to create new modes of writing and reading about what it
meant to be a racial minority in America.</p>",
274329,AH-274329-20,1,0,11,1,0,0,0,,Janne,L,Underriner,,,,,,Janne L Underriner (Project Director: May 2020 to present),"University of Oregon (Eugene, OR 97403-5219)<br/>Janne L Underriner (Project Director: May 2020 to present)</div>",University of Oregon,Eugene,OR,97403-5219,USA,6/1/2020,2020,Creating a Digital Learning Space for Indigenous Language Revitalization,Linguistics,Linguistics; Native American Studies,287,Cooperative Agreements and Special Projects (Education),7,Education Programs,0,0,196399,0,173594.5,0,173594.5,0,6/15/2020 &ndash; 12/31/2021,"<p>Continued employment of indigenous language revitalization experts to develop online courses.</p>
<p>Due to COVID 19, The Northwest Indian Language Institute’s (NILI) annual Summer Institute (SI) for Indigenous language teachers and learners at the University of Oregon was cancelled, eliminating FTE for humanities faculty and ending the 22-year run of an educational program designed to boost language revitalization. SI typically hosts 50+ participants from around the nation and staffs 12-15 university and tribal faculty. The event is adapting by moving online. Building on our prior experiences in online education and years of delivering effective face-to-face training, NILI will create quality, online learning experiences for endangered language practitioners, and in so doing maintain a unique aspect of the linguistic and cultural heritage of America. We will form a team of university and tribal faculty to adapt 6-8 existing courses and develop 3-4 new courses to complete a full range of offerings that can be delivered as year-round courses and in conjunction with Summer Institutes.</p>",
267830,FEL-267830-20,2,0,0,0,0,0,0,,Stephen,James,Shoemaker,,,,,,Stephen James Shoemaker (Project Director: April 2019 to present),"Stephen James Shoemaker<br/>University of Oregon (Eugene, OR 97403-5219)",University of Oregon,Eugene,OR,97403-5219,USA,12/1/2019,2019,Qur’an and Canon: The Contours of Scripture at the End of Antiquity,Medieval Studies,History of Religion; Medieval Studies,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,7/1/2021 &ndash; 6/30/2022,"<p>Research and writing a book on the origins of the Qur’an in the context of late antiquity.</p>
<p>This project investigates the Qur’an’s emergence as a new scriptural tradition in the late ancient Near East from a novel perspective: it understands the Qur’an as a late ancient biblical apocryphon that eventually became the scripture of a new religious tradition. By approaching the Qur’an as a late ancient biblical apocryphon of uncertain origin, whose scriptural destiny is not yet determined, we can study the Qur’an as an invaluable witness to the diversity and creativity of religious culture in the late ancient Near East, and we can also newly examine how this writing eventually developed into the scripture of a new religious faith. Such an approach frees the Qur’an from the interpretive control of the (much) later Islamic tradition and allows us to see it afresh as product of the religious cultures of the late ancient Mediterranean world.</p>",
267967,FEL-267967-20,2,0,0,0,0,0,0,,Maria,Fernanda,Escallon,,,,,,Maria Fernanda Escallon (Project Director: April 2019 to June 2021),"Maria Fernanda Escallon<br/>University of Oregon (Eugene, OR 97403-5219)",University of Oregon,Eugene,OR,97403-5219,USA,12/1/2019,2019,Excluded: Black Cultural Heritage and the Politics of Diversity in Colombia,Anthropology,Anthropology; Cultural Anthropology,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,3/1/2020 &ndash; 2/28/2021,"<p>Research and writing leading to a book on cultural
heritage and preservation policies in Colombia.</p>
<p>My project, Excluded: Black Cultural Heritage and the Politics of Diversity in Colombia, examines why in Colombia disparities within Black groups continue to increase despite the heightened public attention for Afro-descendants and creation of public policies intended to combat ethno-racial inequality. I argue that by using visibility as a form of inclusion, state-sponsored multicultural policies have entrenched structural discrimination and preserved systematic inequities. By examining the harmful consequences of the declaration of San Basilio de Palenque's Afro-descendant culture as ""Intangible Heritage of Humanity"" by UNESCO, I trace how heritage policy ends up perpetuating, against declared intention, the inequalities that multicultural policies intend to resolve. My research advances scholarship on rights, heritage and identity, and establishes the framework for a deeper, more nuanced understanding of the pervasiveness of inequality on a larger scale.</p>",
271794,HAA-271794-20,1,0,0,0,0,0,0,,Daniel,Blake,Rosenberg,,Anthony,,Grafton,,Daniel Blake Rosenberg (Project Director: January 2020 to present)<br/>Anthony Grafton (Co Project Director: May 2020 to present),"University of Oregon (Eugene, OR 97403-5219)<br/>Daniel Blake Rosenberg (Project Director: January 2020 to present)<br/>Anthony Grafton (Co Project Director: May 2020 to present)</div>",University of Oregon,Eugene,OR,97403-5219,USA,7/1/2020,2020,Time Online II: The Time Charts of Joseph Priestley,History of Science,History of Science,311,Digital Humanities Advancement Grants,12,Digital Humanities,0,0,99985,0,99985,0,99985,0,9/1/2020 &ndash; 2/28/2023,"<p>The digital reconstruction of historical infographics, specifically the timelines originally designed by British polymath Joseph Priestley in the 18th century.&nbsp;</p>
<p>Timelines are powerful and intuitive tools of data visualization, but their visual clarity masks technical and historical complexity. As project investigators Daniel Rosenberg and Anthony Grafton argue in their book, Cartographies of Time: A History of the Timeline, the measured, linear timeline format that is so familiar today first emerged only in the eighteenth century at the start of the period of rapid innovation that established the main visual vocabulary of our contemporary infographic environment. Our project, “Time Online II: The Time Charts of Joseph Priestley,” studies the foundational time charts of the eighteenth century and derives from them lessons for both history and information design. We achieve this by reverse engineering eighteenth-century time charts to understand their rules and by employing tools from digital cartography to reconstruct them as interactive devices for the Web.</p>",
272543,FS-272543-20,1,0,0,0,0,0,0,,Maram,,Epstein,,Glynne,,Walley,,Maram Epstein (Project Director: March 2020 to present)<br/>Glynne Walley (Co Project Director: August 2020 to present),"University of Oregon (Eugene, OR 97403-5219)<br/>Maram Epstein (Project Director: March 2020 to present)<br/>Glynne Walley (Co Project Director: August 2020 to present)</div>",University of Oregon,Eugene,OR,97403-5219,USA,7/1/2020,2020,The Early Modern Vernacular Novel in China and Japan,East Asian Literature,East Asian Literature,23,Seminars for Higher Education Faculty,7,Education Programs,0,0,139652,0,139652,0,139652,0,10/1/2020 &ndash; 12/31/2022,"<p>A four-week seminar for 16 higher education faculty to study early modern vernacular literary works from China and Japan, in the context of the growth of global commercial markets and urbanization in these countries.</p>
<p>This four-week seminar, taking place from June 28-July 23, 2021, will invite sixteen participants from colleges and universities to the University of Oregon to broaden their Asian Studies and World Literature curricula. This seminar focuses on early modern vernacular literary works from China and Japan that emerged during periods of urbanization and growth of global commercial markets. The seminar concentrates on two novels: ""Jing Ping Mei"" (Plum in the Golden Vase; 1590s) from China and ""Nanso Satomi Hakkenden"" (Eight Dogs of the Satomi Clan of Southern Fusa; 1814-1842) from Japan. Both are adaptations of an earlier Chinese novel: ""Shuihu Zhuan"" (Outlaws of the Marsh; in circulation by 1541). By focusing on one work from each country that derives from the same source, we will sketch a larger picture of the circulation of texts, techniques, aesthetics, and the development of vernacular language and culture in urbanizing and commercializing societies.</p>",
262356,FEL-262356-19,2,0,1,0,0,0,0,,Nathalie,,Hester,,,,,,Nathalie Hester (Project Director: April 2018 to December 2020),"Nathalie Hester<br/>University of Oregon (Eugene, OR 97403-5219)",University of Oregon,Eugene,OR,97403-5219,USA,11/1/2018,2018,"Inventing America in Baroque Italy: Columbus, Vespucci, and New World Epic",Italian Literature,Italian Literature; Renaissance Studies,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,9/1/2019 &ndash; 8/31/2020,"<p>Research and writing leading to publication of a book on 16th- and 17th-century Italian epic poems about the Spanish conquest of the Americas.</p>
<p>“Inventing America in Baroque Italy” examines the ways in which, at a time when most of the Italian peninsula was a colony of Spain, seventeenth-century Italian poets represent Italy’s role in the exploration and conquest of the Americas.  Taking as its corpus eleven epic poems written in the Italian vernacular between 1596 and 1650, my book considers the relationship between baroque epic poetry and local politics; between Italian poems about the Americas and Spanish colonialism; and between literary production and emerging notions of Italian identity.  A principal argument of this study is that the heated debates about representing Columbus and Vespucci as epic heroes inevitably point to concerns about Europe’s global expansion and Italy’s role in that expansion. This project sheds light on texts that have not received adequate attention in studies of early modern European colonialism and in scholarship on the reception of the Americas in seventeenth-century Italy.</p>",
