ApplicationID,ApplicationNumber,ApplicantType,SuppCount,ProductCount,CoverageCount,PrizeCount,ParticipatingInstitutionCount,WhitePaper,WhitePaperPath,PDFirstname,PDMiddlename,PDLastname,PDNameSuffix,CoPDFirstname,CoPDMiddlename,CoPDLastname,CoPDNameSuffix,Participants,GranteeDisplay,Institution,InstCity,InstState,InstPostalCode,InstCountry,CouncilDate,YearAwarded,ProjectTitle,PrimaryDiscipline,AllDisciplines,ProgramID,ProgramName,DivisionID,DivisionName,OfferedOutright,OfferedMatching,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,GrantPeriod,ProjectDesc,ToSupport
278682,FT-278682-21,2,0,0,0,0,0,0,,Swati,,Srivastava,,,,,,Swati Srivastava (Project Director: September 2020 to January 2022),"Swati  Srivastava<br/>Purdue University (West Lafayette, IN 47907-2040)",Purdue University,West Lafayette,IN,47907-2040,USA,3/1/2021,2021,Algorithmic Empires: The Political and Ethical Implications of Data Extraction by Technology Companies,International Relations,"History and Philosophy of Science, Technology, and Medicine; International Relations; Political Theory",3,Summer Stipends,6,Research Programs,6000,0,6000,0,6000,0,6000,0,6/1/2021 &ndash; 7/31/2021,"<p>Writing two chapters for a book on the development and use of algorithms by big technology companies.</p>
<p>Big technology companies like Facebook and Google concentrate power over the world in “algorithmic empires” — the concept this book develops to describe the extraction of vast amounts of personal data to feed digital systems that structure what we know and how we are known. Algorithms convert individual experience into data, the most valuable global commodity, and generate artificially narrow content to capture our attention. Through mass surveillance and information manipulation, algorithmic empires contribute to an erosion of trust in technology and a misinformed citizenry. The book makes sense of algorithmic empires by: 1. Tracing the logic of algorithmic empires for resource extraction and social control and its relationship to “surveillance capitalism”; 2. Cataloguing Facebook scandals in privacy violations and microtargeting along with gaps in its global regulation; 3. Theorizing public responsibility that shifts our relationship to algorithmic empires from consumers to subjects.</p>",
279870,RQ-279870-21,1,0,0,0,0,0,0,,Daniel,W.,Smith,,Charles,J.,Stivale,,Daniel W. Smith (Project Director: December 2020 to present)<br/>Nicolae C. Morar (Co Project Director: February 2021 to present)<br/>Thomas Nail (Co Project Director: February 2021 to present)<br/>Charles J. Stivale (Co Project Director: February 2021 to present),"Purdue University (West Lafayette, IN 47907-2040)<br/>Daniel W. Smith (Project Director: December 2020 to present)<br/>Nicolae C. Morar (Co Project Director: February 2021 to present)<br/>Thomas Nail (Co Project Director: February 2021 to present)<br/>Charles J. Stivale (Co Project Director: February 2021 to present)</div>",Purdue University,West Lafayette,IN,47907-2040,USA,7/1/2021,2021,Translation of the Seminars of French Philosopher Gilles Deleuze (1925-1995),"Philosophy, General","Philosophy, General",193,Scholarly Editions and Translations,6,Research Programs,0,0,299276,0,299276,0,299276,0,10/1/2021 &ndash; 9/30/2024,"<p>Preparation for online publication of English translations of seminar lectures delivered by French philosopher Gilles Deleuze (1925-1995). (36 months)</p>
<p>The aim of our project (The Deleuze Seminars) is to translate the seminar lectures given at the University of Paris between 1979 and 1987 by the influential French philosopher Gilles Deleuze (1925-1995) and to make them available online at a website devoted to the project (deleuze.cla.purdue.edu). Deleuze is widely recognized as one of the most important and influential European philosophers of the twentieth century, and his writings have had a significant impact not only in philosophy but in disciplines such as film studies, psychology, political science, art history and art criticism, and literary theory. The project will make Deleuze’s work available to a broad English-speaking audience in the humanities.</p>",
268224,FEL-268224-20,2,0,0,0,0,0,0,,Michael,Linos,Jacovides,,,,,,Michael Linos Jacovides (Project Director: April 2019 to February 2022),"Michael Linos Jacovides<br/>Purdue University (West Lafayette, IN 47907-2040)",Purdue University,West Lafayette,IN,47907-2040,USA,12/1/2019,2019,Springs and Principles of the Universe: David Hume on Laws and Causes,History of Philosophy,History of Philosophy,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,7/1/2020 &ndash; 6/30/2021,"<p>My project is to write a coherent, developmental account of David Hume’s opinions on laws of nature, causes, and miracles. His views on these topics are of central interest for historians of philosophy, metaphysicians, epistemologists, philosophers of science, and philosophers of religion. The views that are generally attributed to him don’t cohere as a whole and many of these attributions aren’t well grounded in the texts. This state of affairs arises from the fact that previous commentators haven’t stepped back and presented a unified and historically sophisticated picture of Hume’s views on laws and causes. If my work is successful, it will upturn not just what people think about Hume, but also what they think about the philosophical positions that he advanced or that he was supposed to have advanced.</p>",
270141,AKA-270141-20,1,0,0,0,0,0,0,,Lori,A.,Czerwionka,,Eric,A.,Nauman,,Lori A. Czerwionka (Project Director: September 2019 to present)<br/>Eric A. Nauman (Co Project Director: March 2020 to present),"Purdue University (West Lafayette, IN 47907-2040)<br/>Lori A. Czerwionka (Project Director: September 2019 to present)<br/>Eric A. Nauman (Co Project Director: March 2020 to present)</div>",Purdue University,West Lafayette,IN,47907-2040,USA,3/1/2020,2020,Integrating the Humanities and Global Engineering,"Interdisciplinary Studies, Other","Interdisciplinary Studies, Other",319,Humanities Connections Planning Grants,7,Education Programs,0,0,35000,0,35000,0,35000,0,6/1/2020 &ndash; 5/31/2022,"<p>A curricular development project integrating the
humanities with global engineering through an expanded program of language and cultural
study.</p>
<p>This project expands the role of humanities in undergraduate education at Purdue by integrating language and cultural studies with global engineering. The project has four initiatives, an engineering design course linking engineering and cultural analyses, a research course in which students use a second language and apply humanistic-engineering skills in an internship abroad, a speaker series and associated hands-on academic activities that join cross-disciplinary programs, and a redesign of both pre- and post-internship abroad workshops based on our framework. Purdue, a world leader in engineering education and well-known for cross disciplinary humanities programs, is the ideal institution to highlight the professional and societal value of the humanities. This project will give students a unique set of analytical skills, shape the future practices of global engineering industries, and impact the broader society that will benefit from culturally-relevant engineering solutions.</p>",
270269,FT-270269-20,2,0,2,0,0,0,0,,Dana,,Tulodziecki,,,,,,Dana Tulodziecki (Project Director: September 2019 to December 2021),"Dana  Tulodziecki<br/>Purdue University (West Lafayette, IN 47907-2040)",Purdue University,West Lafayette,IN,47907-2040,USA,3/1/2020,2020,Scientific Progress without Truth: Expanding the Notion of Epistemic Success in Science,Philosophy of Science,"History and Philosophy of Science, Technology, and Medicine; Philosophy of Science",3,Summer Stipends,6,Research Programs,6000,0,6000,0,6000,0,6000,0,6/15/2020 &ndash; 8/14/2020,"<p>Writing one chapter of a book that
will argue for a new way of thinking about scientific progress.</p>
<p>I seek funding to write a formative section of a book-length original research monograph, tentatively titled 'Scientific Progress without Truth', to be submitted to a major university press by the end of 2020. This book addresses the question of what makes our scientific theories so successful, despite the fact that virtually all of them turn out to be false, as is shown by the historical record. I develop a new notion of scientific progress – divorced from the traditional notion of truth – that is based on non-evidential features of actual scientific practice which, I argue, play a central role in contributing to our theories’ epistemic value.</p>",
270735,FT-270735-20,2,0,0,0,0,0,0,,Damian,,Fleming,,,,,,Damian Fleming (Project Director: September 2019 to December 2021),"Damian  Fleming<br/>Indiana University, Purdue University at Fort Wayne (Fort Wayne, IN 46805-1445)","Indiana University, Purdue University at Fort Wayne",Fort Wayne,IN,46805-1445,USA,3/1/2020,2020,Hebrew in England Before and After the Norman Conquest,Medieval Studies,Medieval Studies,3,Summer Stipends,6,Research Programs,6000,0,6000,0,6000,0,6000,0,6/1/2021 &ndash; 7/31/2021,"<p>Writing the final chapter for a book on the use of the Hebrew language in early medieval England.</p>
<p>Manuscript materials that reveal early medieval Christian interest in the Hebrew language have never been researched or published before, outside of my brief preliminary studies. Standard intellectual and literary histories suggest that Christians only became interested in studying Hebrew in the thirteenth century and that study only flourished during the Reformation. My book, Reading Hebrew in Early Medieval England, will reconfigure how we think about Christian knowledge and engagement with the Hebrew language in the early Middle Ages, by addressing the intellectual history, material sources, uses, and implications of “Christian Hebrew” in early medieval England (c. 600-1150). I will use the Summer Stipend period to write the final and most challenging chapter: “Hebrew Across the Conquest: The Eadwine Psalter, Durham Jerome, and Stowe 57.”</p>",
271790,HAA-271790-20,1,0,0,0,0,0,0,,Kim,,Gallon,,,,,,Kim Gallon (Project Director: January 2020 to present)<br/>Christos Mousas (Co Project Director: May 2020 to August 2022),"Purdue University (West Lafayette, IN 47907-2040)<br/>Kim Gallon (Project Director: January 2020 to present)<br/>Christos Mousas (Co Project Director: May 2020 to August 2022)</div>",Purdue University,West Lafayette,IN,47907-2040,USA,7/1/2020,2020,The Stayed and Stolen: Building an Immersive Virtual Environment of Cape Coast Castle,"History, General","History, General",311,Digital Humanities Advancement Grants,12,Digital Humanities,0,0,99755,0,99755,0,99755,0,9/1/2020 &ndash; 5/31/2023,"<p>Development of an interactive virtual reality experience of Cape Coast Castle, in Cape Coast Ghana, one of the most important sites out of the 40 slave castles or commercial fortresses that dot the coastline of Ghana. This immersive experience centers Africa in the transatlantic slave trade, for use by scholars, teachers, students, and the public.</p>
<p>The Stayed the Stolen: An Immersive Virtual Experience of Cape Coast Castle is an immersive and interactive virtual reality experience of Cape Coast Castle in Cape Coast Ghana, one of the most important sites out of the 40 slave castles or commercial forts that dot the coastline of Ghana. The project offers users the opportunity to engage in an immersive experience that centers Africa in the history of the transatlantic slave trade. Developed to reach a broad audience of scholars, teachers, students and the general public, The Stayed &amp; The Stolen is an innovative, international project that provides a necessary and critical corrective to digital history projects on the transatlantic slave trade that fail to consider the significance of Africa in this history.</p>",
265066,FT-265066-19,2,0,0,0,0,0,0,,Richard,C.,Sutter,,,,,,Richard C. Sutter (Project Director: September 2018 to January 2022),"Richard C. Sutter<br/>Indiana University, Purdue University at Fort Wayne (Fort Wayne, IN 46805-1445)","Indiana University, Purdue University at Fort Wayne",Fort Wayne,IN,46805-1445,USA,3/1/2019,2019,"Political, Spatial, and Corporeal Transformations Through Ritualized Violence Among the Ancient Moche (AD 200 – 800) of the North Coast of Peru",Archaeology,Anthropology; Archaeology; Biological Anthropology,3,Summer Stipends,6,Research Programs,6000,0,6000,0,6000,0,6000,0,5/1/2019 &ndash; 6/30/2019,"<p>A book manuscript looking at the concept of
“sovereignty” in a pre-Columbian civilization in northern Peru as a comparative
example for discussing non-state sovereignty today.</p>
<p>I seek funding to help complete a book manuscript that examines how the ancient Moche (AD 200 - 800) of northern Peru used the built environment for performative ritual feasts that involved spectacular violence and human sacrifice of captured, foreign elite combatants as a strategy to assert and extend their sovereignty by making political subjects of participant-witnesses of these public spectacles. I will use the stipend to spend time writing and and expanding on relevant social theory as it relates to recent archaeological survey and excavations as well as my own data on biological relatedness among ancient Moche skeletal populations from throughout the north coast region.</p>",
260853,RQ-260853-18,1,0,1,0,0,0,0,,Daniel,W.,Smith,,,,,,Daniel W. Smith (Project Director: December 2017 to present),"Purdue University (West Lafayette, IN 47907-2040)<br/>Daniel W. Smith (Project Director: December 2017 to present)</div>",Purdue University,West Lafayette,IN,47907-2040,USA,7/1/2018,2018,The Seminars of Twentieth-Century French Philosopher Gilles Deleuze,Phenomenology - Existentialism,"History, Criticism, and Theory of the Arts; Interdisciplinary Studies, General; Phenomenology   Existentialism",193,Scholarly Editions and Translations,6,Research Programs,0,0,294236,0,294236,0,294236,0,9/1/2018 &ndash; 4/30/2022,"<p>Preparation for online publication of English translations of seminar
lectures given by the French philosopher Gilles Deleuze (1925-1995). (36 months)</p>
<p>The project participants will undertake a complete translation of the seminar lectures given by the French philosopher Gilles Deleuze (1925-1995) at the University of Paris between 1979 and 1987. A critical edition of the translations will be made available online on a project website hosted by Purdue University. Deleuze is widely recognized as one of the most important and influential European philosophers of the 20th century, and his writings have had a significant impact, not only in philosophy, but in disciplines such as film studies, psychology, political science, art history and art criticism, and literary theory. The project will make Deleuze’s work available to a broad English-speaking audience in the humanities.</p>",
260981,PD-260981-18,1,0,0,0,0,0,0,,Shannon,T,Bischoff,,,,,,Shannon T Bischoff (Project Director: September 2017 to present),"Purdue University (West Lafayette, IN 47907-2040)<br/>Shannon T Bischoff (Project Director: September 2017 to present)</div>",Purdue University,West Lafayette,IN,47907-2040,USA,3/1/2018,2018,Collaborative Research: The COLRC 2.0: A Coeur d’Alene Grassroots Community-Based Digital Documentation and Preservation Project,,,239,Documenting Endangered Languages - Preservation,1,Preservation and Access,0,0,116116,0,116116,0,116116,0,7/1/2018 &ndash; 6/30/2022,"<p>Technical
enhancements and ingest of additional language resources to the digital
repository, Coeur d’Alene Online Language Resource Center, for Coeur d’Alene,
an endangered language of the Salish family, spoken in northern Idaho by a few
native speakers and an increasing number of second-language learners.&nbsp; The project would include training for tribal
members and others in the development and maintenance of language resources.
&nbsp;
</p>
<p>Coeur d'Alene (ISO 639-3-crd/Salish USA, henceforth CRD) is a polysynthetic Salish language. Ethnologue classifies CRD as nearly extinct, with a small number of elderly speakers. The Tribe has had an active language revival program for more than twenty years, and there is a vibrant community of 12 learners who have developed fluency and grammatical knowledge of the language. They draw heavily on documentation of CRD, as it is made accessible in a variety of ways - including by the Coeur d'Alene Online Language Resource Center (henceforth COLRC, http://lasrv01.ipfw.edu/COLRC), which was developed and completed under NSF DEL as a collaborative grant (BCS1160394-BCS1160627) in 2012- 2016. The proposed project is to extend the reach of the COLRC to include (1) technical improvements to allow for real-time editing by Tribal Language Programs personnel, to ensure stable and reliable performance, and to include a large number of newly identified resources, resource views customized by user role, and a new section for pedagogical resources developed and (2), In collaboration with the American Indian Language Development Institute (AILDI), to develop and offer a series of three workshops at Coeur d'Alene Tribal Offices for Coeur d'Alene Tribal members, neighboring Tribes, and interested others to advance their skills in using resources such as the COLRC in language pedagogy, and in the skills needed to take on digital language resource development projects such as the COLRC in their own communities.</p>",
