ApplicationID,ApplicationNumber,ApplicantType,SuppCount,ProductCount,CoverageCount,PrizeCount,ParticipatingInstitutionCount,WhitePaper,WhitePaperPath,PDFirstname,PDMiddlename,PDLastname,PDNameSuffix,CoPDFirstname,CoPDMiddlename,CoPDLastname,CoPDNameSuffix,Participants,GranteeDisplay,Institution,InstCity,InstState,InstPostalCode,InstCountry,CouncilDate,YearAwarded,ProjectTitle,PrimaryDiscipline,AllDisciplines,ProgramID,ProgramName,DivisionID,DivisionName,OfferedOutright,OfferedMatching,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,GrantPeriod,ProjectDesc,ToSupport
272516,FV-272516-20,1,0,0,0,0,0,0,,Andrew,,Newman,,Jonna,,Perrillo,,Andrew Newman (Project Director: March 2020 to present)<br/>Jonna Perrillo (Co Project Director: August 2020 to present),"SUNY Research Foundation, Stony Brook (Stony Brook, NY 11794-0001)<br/>Andrew Newman (Project Director: March 2020 to present)<br/>Jonna Perrillo (Co Project Director: August 2020 to present)</div>","SUNY Research Foundation, Stony Brook",Stony Brook,NY,11794-0001,USA,7/1/2020,2020,Making the Good Reader and Citizen: The History of Literature Instruction in American Schools,"Literature, General","American Studies; Literature, General; U.S. History",15,Seminars for K-12 Educators,7,Education Programs,0,0,99490,0,99490,0,99490,0,10/1/2020 &ndash; 12/31/2022,"<p>A two-week seminar for 16 English teachers (grades 6-12) on the history of literature instruction in the twentieth century.&nbsp;</p>
<p>A 2-week seminar with a target audience of 6-12th grade educators that puts the present-day teaching of English in conversation with its past by exploring the history of literature instruction in the United States, especially its role in preparing students for citizenship.</p>",
250283,FZ-250283-17,2,0,1,0,0,0,0,,Jared,,Farmer,,,,,,Jared Farmer (Project Director: January 2016 to March 2019),"Jared  Farmer<br/>SUNY Research Foundation, Stony Brook (Stony Brook, NY 11794-0001)","SUNY Research Foundation, Stony Brook",Stony Brook,NY,11794-0001,USA,7/1/2016,2016,The Latest Oldest Tree: Survival Stories for a Time of Extinction,"History, General","History of Science; History, General; Interdisciplinary Studies, General",289,Public Scholars,6,Research Programs,0,0,50400,0,50400,0,50400,0,8/1/2017 &ndash; 7/31/2018,"<p>A meditation on the challenges that humans face in thinking about long spans of time, the book narrates the history of various searches for the oldest living tree in the world and explains the scientific developments that enable us to measure extreme biological age.</p>
<p>The oldest trees have lasted longer than any civilization. Determining the location and age of these biological record holders is a modern fixation. In my book, I’ll narrate the never-ending search for the oldest living tree in the world, as definitions of “oldest” and “living” and “tree” and “world” have changed over time. I’ll examine individual and clonal longevity, and the tools--including dendrochronology and radiocarbon dating--scientists have developed to measure extreme biological age. Along the way, I’ll ponder scientific-cum-philosophical questions: What does it mean to be young and old? Living and dead? Without minimizing the global environmental crisis, my project stresses persistence amid loss, devotion amid destruction. Arboreal survival stories are vital for contemplating the future of oldness in an anthropogenic epoch.</p>",
251796,FA-251796-17,2,0,1,0,0,0,0,,Daniela,,Flesler,,,,,,Daniela Flesler (Project Director: April 2016 to March 2019),"Daniela  Flesler<br/>SUNY Research Foundation, Stony Brook (Stony Brook, NY 11794-0001)","SUNY Research Foundation, Stony Brook",Stony Brook,NY,11794-0001,USA,11/1/2016,2016,The Memory Work of Sepharad: New Inheritances for 21st-Century Spain,Spanish Literature,Jewish Studies; Spanish Literature,1,Fellowships for University Teachers,6,Research Programs,0,0,50400,0,50400,0,50400,0,8/1/2017 &ndash; 7/31/2018,"<p>Completion of a book-length study of how modern&nbsp;Spain is addressing and developing&nbsp;its Jewish history.</p>
<p>My book project studies the long-ranging implications of the current &ldquo;re-discovery&rdquo; of Spain&rsquo;s Jewish past. Since the mid 1980s, many cultural and political initiatives have engaged with the memory of Jewish Spain and attempted to officially reconnect Spain with the Jewish world. Today, all things Sepharad are widely marketed throughout Spain, from cultural festivals, museums, former synagogues and Jewish quarters, to historical novels, travel guides, music and cookbooks. The 2015 Law granting Spanish nationality to the descendants of Jews expelled in 1492 is the latest example of this phenomenon. The broad public circulation of new narratives that are putting Spanish Jews at their center has the potential to produce profound social transformations. The book explores the ways in which the memory of Sepharad has allowed Spaniards to rethink long-established notions of cultural identity within the recent debates over Spain's historical memory.</p>",
255924,GA-255924-17,1,0,0,0,0,0,0,,Eliza,J,Reilly,,,,,,Eliza J Reilly (Project Director: December 2016 to July 2018),"SUNY Research Foundation, Stony Brook (Stony Brook, NY 11794-0001)<br/>Eliza J Reilly (Project Director: December 2016 to July 2018)</div>","SUNY Research Foundation, Stony Brook",Stony Brook,NY,11794-0001,USA,,2016,Algorithms and Us,,,286,Cooperative Agreements and Special Projects (Public Programs),2,Public Programs,0,0,30000,0,29668.96,0,29668.96,0,1/1/2017 &ndash; 3/31/2018,"<p>The proposed project is a symposium “Algorithms and Us” to
be held in late spring 2017 at Stony Brook University. The convening of experts
and educators from the humanities, social sciences and STEM fields, will
explore, from the perspective of the humanities, the expanding technological
phenomenon of “big data” and its impact on our social economic, political, and
emotional lives. While the collection of personal data affects nearly every
aspect of contemporary life, general knowledge and awareness of how this data
is analyzed and used lags far behind the technology and its ethical, social,
and civic implications are relatively obscure to most people. The outcome of
this cross-disciplinary convening will be to identify potential resources,
texts, models, and formats for future programming that would illuminate and
investigate this phenomenon for the public.&nbsp;<br /></p>",
231455,FZ-231455-16,2,0,3,0,0,0,0,,James,H.,Rubin,,,,,,James H. Rubin (Project Director: March 2015 to March 2017),"James H. Rubin<br/>SUNY Research Foundation, Stony Brook (Stony Brook, NY 11794-0001)","SUNY Research Foundation, Stony Brook",Stony Brook,NY,11794-0001,USA,7/1/2015,2015,"Why Monet Matters, or Meanings Among the Lily Pads",Art History and Criticism,Aesthetics; Art History and Criticism; Cultural History,289,Public Scholars,6,Research Programs,0,0,50400,0,50400,0,50400,0,1/1/2016 &ndash; 12/31/2016,"<p>The writing of a book placing&nbsp;the well-known art of a popular artist&nbsp;in&nbsp;literary, cultural, historical, and philosophical context to&nbsp;deepen understanding and appreciation of modern art&nbsp;in general.</p>
<p>Few painters are as famous as the great French Impressionist Claude Monet. He is a staple of the museum exhibition circuit, and few masters bring higher prices. His house and gardens in France, with their placid lily ponds, are among the most visited sites in Europe. Using this popularity to attract the widest audience, the book will offer ways of thinking beyond surfaces when looking at modern art. Monet&rsquo;s <em>Water Lilies</em> appear above all to be a call to visual experience. Their scale and aesthetic presence suspend thoughts of the outside world and its conflicts. Yet when one realizes that these works were made in a period of social and political turmoil-regime changes, the Dreyfus Affair, and WW I&mdash;questions must arise about the context&mdash;personal, cultural, and historical&mdash;in which an artist creates such sumptuous fantasies of nature. By revealing those conditions, it is possible show how Monet&rsquo;s work&mdash;a harbinger of American abstraction&mdash;appeals to something deep in modern consciousness.</p>",
221114,FA-57860-14,2,0,1,0,0,0,0,,Eva,Feder,Kittay,,,,,,Eva Feder Kittay (Project Director: May 2013 to August 2015),"Eva Feder Kittay<br/>SUNY Research Foundation, Stony Brook (Stony Brook, NY 11794-0001)","SUNY Research Foundation, Stony Brook",Stony Brook,NY,11794-0001,USA,11/1/2013,2013,Philosophy and Cognitive Disability,"Philosophy, Other","Interdisciplinary Studies, Other; Philosophy, Other",1,Fellowships for University Teachers,6,Research Programs,0,0,50400,0,50400,0,50400,0,1/1/2014 &ndash; 12/31/2014,"<p>Historical and contemporary philosophical accounts of persons, both with respect to what is due them (justice, an adequate level of care, full citizenship) and with respect to what is conducive to their good (requirements for well-being and a meaningful life), have given short shrift to individuals with significant cognitive disabilities. As a philosopher and a parent of a child with severe cognitive disabilities, the contradictions between philosophically normative conceptions of the human and those I have formed in my experiences with my disabled daughter have cried out for a resolution. The project, which will issue in a book, asks us to consider how certain traditional and contemporary questions in philosophy are reframed when we include people with serious cognitive disabilities within the scope of the inquiry and urges that actual relationships of care and love undermine a priori certitudes and thus enlarges our vision of who we are.</p>",
223216,FT-61520-14,2,0,2,0,0,0,0,,Lawrence,,Frohman,,,,,,Lawrence Frohman (Project Director: September 2013 to March 2015),"Lawrence  Frohman<br/>SUNY Research Foundation, Stony Brook (Stony Brook, NY 11794-0001)","SUNY Research Foundation, Stony Brook",Stony Brook,NY,11794-0001,USA,3/1/2014,2014,"Surveillance, Privacy and the Politics of Personal Information in West Germany, 1960-1990",European History,European History,3,Summer Stipends,6,Research Programs,0,0,6000,0,6000,0,6000,0,7/1/2014 &ndash; 8/31/2014,"<p>Surveillance and privacy are two of the primary concepts through which we seek to make sense of modernity and of a world in which virtually all forms of social interaction are now digitally mediated. They have already become--and are certain to remain--two of the most contentious policy issues of our age. From 1960 to 1990 West Germany pioneered both the use of new information technologies and computer privacy laws to regulate the processing of personal information. I argue that during these years the systematization of population surveillance gave rise to a new form of social politics, the politics of personal information, to new discourses on privacy, which became the primary means of theorizing the expansion of such surveillance, and to a corresponding privacy-based social movement. What can these precocious West German developments tell us about privacy, surveillance, and social power in modern information societies?</p>",
208839,RQ-50553-11,1,0,1,0,0,0,0,,Mauro,P.,Calcagno,,Giuseppe,,Gerbino,,Mauro P. Calcagno (Project Director: November 2010 to September 2014)<br/>Giuseppe Gerbino (Co Project Director: November 2010 to September 2014),"SUNY Research Foundation, Stony Brook (Stony Brook, NY 11794-0001)<br/>Mauro P. Calcagno (Project Director: November 2010 to September 2014)<br/>Giuseppe Gerbino (Co Project Director: November 2010 to September 2014)</div>","SUNY Research Foundation, Stony Brook",Stony Brook,NY,11794-0001,USA,7/1/2011,2011,Online Edition of the Secular Music of Luca Marenzio,Music History and Criticism,Music History and Criticism,193,Scholarly Editions and Translations,6,Research Programs,0,0,125000,0,78062.48,0,78062.48,0,9/1/2011 &ndash; 5/31/2014,"<p>Preparation for publication of volumes 4, 8, 13, 19, and 21 of the complete online digital edition of the secular music of Luca Marenzio. (33 months)</p>
<p>The goal of the Marenzio Online Digital Edition (MODE) is to make available, for the first time, the complete critical edition of the secular music of Luca Marenzio (c. 1553-1599), a preeminent composer of the Renaissance whose output had a fundamental impact on early modern European culture. By innovatively integrating music philology and digital technology, MODE introduces a model for both producing and disseminating editions of musical repertories of the Western tradition. The comparison of the sources through new digital tools allows editors not only to produce an accurate version of a composition and to enormously speed up the editing process, but also to improve scholarly understanding about the world of early modern printing. The output of the edition through a dynamic web-based digital interface offers users the flexibility well known to other humanities digital editions, but thus far unavailable to music. The NEH grant will be used to edit one fourth of the works.</p>",
199157,FB-54907-10,2,0,1,0,0,0,0,,William,C.,Chittick,,,,,,William C. Chittick (Project Director: May 2009 to October 2011),"William C. Chittick<br/>SUNY Research Foundation, Stony Brook (Stony Brook, NY 11794-0001)","SUNY Research Foundation, Stony Brook",Stony Brook,NY,11794-0001,USA,11/1/2009,2009,Divine and Human Love in the Islamic Tradition,History of Religion,History of Religion,2,Fellowships for College Teachers and Independent Scholars,6,Research Programs,0,0,50400,0,50400,0,50400,0,7/1/2010 &ndash; 6/30/2011,"<p>I plan to write a substantial book, arranged thematically, that will describe the role of love in Islamic thought and culture from the earliest period down into the nineteenth century. The narrative will be interspersed with detailed quotations from the most seminal theologians, philosophers, and mystics and will be seasoned with selections from Arab and Persian poets. The text will be aimed at undergraduates and general readers; ample apparatus, including a comprehensive index, will make it a useful tool for graduate students and scholars. Themes that will be illustrated in depth include God as love, God's love for creation generally and human beings specifically, human love for God, human love for creation and other human beings, love as the force that brings the universe into existence and then closes the gap between God and human beings, and love as the energy that establishes human perfection on the moral, ethical, and spiritual planes.</p>",
199219,FB-54969-10,2,0,0,0,0,0,0,,Barbara,E.,Frank,,,,,,Barbara E. Frank (Project Director: May 2009 to November 2012),"Barbara E. Frank<br/>SUNY Research Foundation, Stony Brook (Stony Brook, NY 11794-0001)","SUNY Research Foundation, Stony Brook",Stony Brook,NY,11794-0001,USA,11/1/2009,2009,Marks of Identity: Reconstructing the History of an African Ceramic Tradition,African Studies,African Studies,2,Fellowships for College Teachers and Independent Scholars,6,Research Programs,0,0,50400,0,50400,0,50400,0,8/1/2011 &ndash; 7/31/2012,"<p>This proposal seeks support for field research and time to complete a monograph on a remarkable group of women of the Folona region of southern Mali whose identity and artistry as potters provide clues to their complex history. My approach combines analyses of the formal qualities of pottery and the technological styles of ceramic production with the study of gender, artisan caste, language, and local histories within a regional perspective. Although they speak a Mande language and identify the Mande heartland as their ancestral home, the kinds of pots these women make, the way they form and fire them, and their identity as the wives of griot-leatherworkers rather than of blacksmiths suggests that the origins of this ceramic tradition may lie elsewhere. At the heart of my project is a desire for the ceramic arts of Africa to be recognized as art forms worthy of scholarly attention and for African women to be recognized as bearers of cultural heritage in their own right.</p>",
