ApplicationID,ApplicationNumber,ApplicantType,SuppCount,ProductCount,CoverageCount,PrizeCount,ParticipatingInstitutionCount,WhitePaper,WhitePaperPath,PDFirstname,PDMiddlename,PDLastname,PDNameSuffix,CoPDFirstname,CoPDMiddlename,CoPDLastname,CoPDNameSuffix,Participants,GranteeDisplay,Institution,InstCity,InstState,InstPostalCode,InstCountry,CouncilDate,YearAwarded,ProjectTitle,PrimaryDiscipline,AllDisciplines,ProgramID,ProgramName,DivisionID,DivisionName,OfferedOutright,OfferedMatching,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,GrantPeriod,ProjectDesc,ToSupport
283618,ZDH-283618-22,1,0,0,0,0,0,0,,Laurie,,Matheson,,,,,,Laurie Matheson (Project Director: May 2021 to present),"Board of Trustees of the University of Illinois (Champaign, IL 61801-3620)<br/>Laurie Matheson (Project Director: May 2021 to present)</div>",Board of Trustees of the University of Illinois,Champaign,IL,61801-3620,USA,8/1/2021,2021,Accelerating Accessibility: Expansion of University of Illinois Press E-book Program,"History, General","African American History; History, General; Women's History",327,ARP-Organizations (Digital humanities-related),8,Agency-wide Projects,0,0,199794,0,199794,0,199794,0,10/1/2021 &ndash; 9/30/2022,"<p>The creation of 200 new e-book editions of University of Illinois Press titles, the retention of three staff members, and the hiring of two graduate student and two undergraduate student workers from underrepresented groups.</p>
<p>This project will create new e-book editions of 200 University of Illinois Press titles, enlarging our e-book program by nearly 20%. These activities will support the retention of three staff members, offer skill-building opportunities to four students, and increase the reach, usage, impact, and accessibility of our humanities publications. The new e-books will benefit scholars, students, and general readers by providing humanities content in formats that are mobile, easily searched, and suited to read-assistive tools. These new e-book offerings will highlight the importance of humanities scholarship    in contextualizing and understanding historical and contemporary struggles for equity and justice. Drawing from field-defining series in African American history, women’s history, Asian American studies, working class history, and other subject areas, this project will bring to new audiences important stories of resistance, achievement, community building, and agency.</p>",
285185,PW-285185-22,1,0,0,0,0,0,0,,Mauro,,Nobili,,,,,,Mauro Nobili (Project Director: July 2021 to present),"Board of Trustees of the University of Illinois (Champaign, IL 61801-3620)<br/>Mauro Nobili (Project Director: July 2021 to present)</div>",Board of Trustees of the University of Illinois,Champaign,IL,61801-3620,USA,3/1/2022,2022,Building Maktaba: A Digital Collection of African Arabic Manuscripts in Translation,African History,African History; Intellectual History,253,Humanities Collections and Reference Resources,1,Preservation and Access,0,0,59571,0,58413,0,58413,0,6/1/2022 &ndash; 5/31/2024,"<p>A pilot project&nbsp;to&nbsp;create&nbsp;a digital collection of 20 African Arabic manuscripts from University of Illinois at Urbana-Champaign and Northwestern University with images, translations, and brief essays.</p>
<p>The University of Illinois at Urbana-Champaign (UIUC) and Northwestern University (NU) in Evanston propose a two-year Foundations grant to pilot an open-access digital collection that joins the rich West African Arabic manuscript holdings of our universities’ libraries. The digital collection, called Maktaba (meaning “library” in Arabic), will display images of a sample set of 20 manuscripts from the UIUC and NU collections. To make the manuscripts legible and teachable for non-specialists, each manuscript will be paired with its English translation and a brief essay providing historical and cultural context. The planning period (6/1/2022-5/31/2024) will allow the project team to establish processes and test concepts that will inform expansion of the collection after the planning period. The Maktaba project contributes to ongoing efforts to decolonize the production of knowledge about African societies at large.</p>",
286694,RFW-286694-22,1,0,0,0,0,0,0,,Elizabeth,,Watts Malouchos,,,,,,Elizabeth Watts Malouchos (Project Director: September 2021 to present),"Board of Trustees of the University of Illinois (Champaign, IL 61801-3620)<br/>Elizabeth Watts Malouchos (Project Director: September 2021 to present)</div>",Board of Trustees of the University of Illinois,Champaign,IL,61801-3620,USA,3/1/2022,2022,Steam Bath Ceremonialism and a New Vision of American Indian Urbanism,Archaeology,"Archaeology; Arts, Other",326,Archaeological and Ethnographic Field Research,6,Research Programs,0,0,95273,0,95273,0,95273,0,7/1/2022 &ndash; 6/30/2024,"<p>Archaeological research at the ancient Native American center of Cahokia resulting in tribal outreach and scholarly publications and presentations&nbsp;(24&nbsp;months).&nbsp;</p>
<p>Circular shrines, including sweat lodges, rotundas, and associated circular platform mounds appear de novo at or after AD 1050 in the Greater Cahokia region and then disappear around AD 1200. Originally thought to be part of the “paired mound” building blocks of Cahokian urbanism, their historical role in the spread of Middle Mississippian culture has been largely overlooked since. This proposed study will use non-invasive geophysical explorations and limited soil coring to determine the extent to which circular platform mounds and surmounting circular architecture comprised what we hypothesize to have been an 11th-century politico-religious or civilizing movement. This work will be conducted in consultation and participation with descendant Tribal Nations. Importantly, the project will incorporate 3D and VR technology to produce interactive visualizations that can be shared widely via the web and an onsite platform.</p>",
272890,FEL-272890-21,2,0,0,0,0,0,0,,Bobby,J.,Smith,II,,,,,Bobby J. Smith (Project Director: April 2020 to present),"Bobby J. Smith II<br/>Board of Trustees of the University of Illinois (Champaign, IL 61801-3620)",Board of Trustees of the University of Illinois,Champaign,IL,61801-3620,USA,11/1/2020,2020,"Food Power Politics: Race, Civil Rights, and Food Access in the Mississippi Delta",African American Studies,African American Studies,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,8/1/2022 &ndash; 7/31/2023,"<p>Writing and revision for a book on civil rights-era
food justice movements and contemporary food politics and activism in the rural
South.</p>
<p>Food Power Politics uses archival materials and qualitative data to examine the interaction between oppressive and emancipatory practices of food power as exercised in the Mississippi Delta from the civil rights era to today. By documenting these dynamics, my book shifts the way we understand civil rights history and current struggles against food disparities in black communities. It offers a new line of inquiry that uncovers a neglected period of the movement when activists expanded the meaning of civil rights to address food, and control over access to food, as integral to social and economic conditions. This meaning-making process is used as a model by black communities today that mobilize around the food justice movement. By making these connections, my book brings together histories of civil rights with food justice studies to illuminate the connections between civil rights activism and present-day food justice activism in rural black communities in the Delta.</p>",
273083,FEL-273083-21,2,0,0,0,0,0,0,,Eduardo,,Ledesma,,,,,,Eduardo Ledesma (Project Director: April 2020 to present),"Eduardo  Ledesma<br/>Board of Trustees of the University of Illinois (Champaign, IL 61801-3620)",Board of Trustees of the University of Illinois,Champaign,IL,61801-3620,USA,11/1/2020,2020,Blind Cinema: Visually Impaired Filmmakers and Technologies of Sight,Media Studies,Film History and Criticism; Media Studies,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,1/1/2022 &ndash; 12/31/2022,"<p>Research and writing leading to a book about visually impaired filmmakers and the experience of blindness through film.</p>
<p>""Blind Cinema,"" for which I seek a 12-month NEH Fellowship, has two key aims: first, to raise critical awareness about the work of blind filmmakers, and second, to establish the contours of a blind cinematic style through theories of the gaze and haptic film. It is the first book to study how visually impaired filmmakers use digital media both to make visible the experience of disability and to destabilize stereotypes about the blind. My analysis of films by blind and visually impaired directors, as well as of collaborations between blind and sighted filmmakers shows how the aesthetics and content of these works represent the experience of blindness. I bridge film and disability studies approaches to consider how new technologies of vision are giving blind filmmakers access to the tools and techniques of filmmaking and how their innovations are transforming our experience of film and of visual culture.</p>",
278065,DR-278065-21,1,0,2,0,0,0,0,,Laurie,,Matheson,,,,,,Laurie Matheson (Project Director: August 2020 to present),"Board of Trustees of the University of Illinois (Champaign, IL 61801-3620)<br/>Laurie Matheson (Project Director: August 2020 to present)</div>",Board of Trustees of the University of Illinois,Champaign,IL,61801-3620,USA,,2020,Photographic Presidents: Taking History from Daguerreotype to Digital by Cara A. Finnegan,Political History,Art History and Criticism; Communications; Communications; Political History,324,Fellowships Open Book Program,12,Digital Humanities,0,0,5500,0,5500,0,5500,0,1/1/2021 &ndash; 6/30/2022,"<p>Photographic Presidents tells a history of photography through stories of how presidents shaped and participated in transformative moments in the history of the medium. Cara A. Finnegan analyzes a wealth of newspaper and magazine articles, letters to the editor, trial testimony, books, and speeches produced by viewers in response to specific photos they encountered in public. Finnegan treats the photograph as a locus for viewer engagement and constructs a history of photography's viewers that shows how Americans used words about images to participate in the politics of their day. As she shows, encounters with photography helped viewers negotiate the emergent anxieties and crises of U.S. public life through not only persuasion but action as well. Telling a new story about a medium and an institution that have largely grown up together, this book offers readers an accessible, visually engaging story about photography, the presidency, and public life.</p>",
278112,HC-278112-21,1,0,0,0,0,0,0,,Gabriel,P.,Solis,,Adriana,,Cuervo,,Gabriel P. Solis (Project Director: August 2020 to present)<br/>Adriana Cuervo (Co Project Director: October 2020 to present),"Board of Trustees of the University of Illinois (Champaign, IL 61801-3620)<br/>Gabriel P. Solis (Project Director: August 2020 to present)<br/>Adriana Cuervo (Co Project Director: October 2020 to present)</div>",Board of Trustees of the University of Illinois,Champaign,IL,61801-3620,USA,11/1/2020,2020,New Directions in Digital Jazz Studies: Music Information Retrieval and AI Support for Jazz Scholarship in Digital Archives,Music History and Criticism,Music History and Criticism,250,Cooperative Agreements and Special Projects (Digital Humanities),12,Digital Humanities,0,0,149031,0,149031,0,149031,0,2/1/2021 &ndash; 1/31/2024,"<p>The development of artificial intelligence and music information retrieval tools and archival workflows to enhance access to archival jazz collections, including those held by the US Institute of Jazz Studies and the Scottish Jazz Archive. The UK partner, City, University of London, is requesting £199,659 from the Arts and Humanities Research Council.</p>
<p>New Directions in Digital Jazz Studies uses state of the art music information retrieval and artificial intelligence algorithms for the analysis of jazz recordings and linked data to enable novel approaches to co-creative use of materials in the archival collections of the Institute of Jazz Studies and Scottish Jazz Archive. This trans-Atlantic collaboration between jazz historians, technologists, and jazz archivists will expand access to unique materials held in archives and illuminate their musical relationships to more widely studied recordings. This project will create, analyse, and visualize relationships between audio and other materials and create rich research workflows to be shared within the scholarly community as a novel way to support co-creation with cultural institutions. We envision a disciplinary transformation through the discovery of new models for jazz historiography, and a broader, interdisciplinary transformation in methodology for digital humanities</p>",
278124,HC-278124-21,1,0,0,0,0,0,0,,Glen,,Worthey,,,,,,Glen Worthey (Project Director: August 2020 to present),"Board of Trustees of the University of Illinois (Champaign, IL 61801-3620)<br/>Glen Worthey (Project Director: August 2020 to present)</div>",Board of Trustees of the University of Illinois,Champaign,IL,61801-3620,USA,11/1/2020,2020,AEOLIAN (Artificial intelligence for cultural organisations),"Interdisciplinary Studies, Other","Interdisciplinary Studies, Other",250,Cooperative Agreements and Special Projects (Digital Humanities),12,Digital Humanities,0,0,49820,0,49820,0,49820,0,2/1/2021 &ndash; 4/30/2023,"<p>A series of meetings&nbsp;and case studies&nbsp;that will bring together a team of experts to develop new approaches to improving access&nbsp;to&nbsp;and use of digital archives that are currently&nbsp;private. The UK partner,&nbsp;Loughborough University, is requesting&nbsp;£47,987.70 from&nbsp;the Arts and Humanities Research Council.&nbsp;</p>
<p>AEOLIAN (Artificial intelligence for cultural organizations) focuses on born-digital and digitized collections with limited access due to privacy concerns (e.g. for email archives), copyright (e.g. for digital libraries), etc. AI shows real potential to address these issues. AEOLIAN’s 3 main objectives are: to make digital collections more accessible; to analyze these collections using innovative AI research methods; and to identify synergies and collaborative avenues between US and UK cultural organizations. AEOLIAN brings together humanists, computer scientists, archivists, librarians and others to transform digital archive access and use with machine learning and AI. We will organize 6 online workshops over 2 years focused on 5 case studies from US and UK cultural institutions, creating an international network of scholars and practitioners working with digital archives, and leading to a major report for an interdisciplinary audience and several agenda-setting publications.</p>",
278462,FT-278462-21,2,0,0,0,0,0,0,,Marc,A.,Hertzman,,,,,,Marc A. Hertzman (Project Director: September 2020 to present),"Marc A. Hertzman<br/>Board of Trustees of the University of Illinois (Champaign, IL 61801-3620)",Board of Trustees of the University of Illinois,Champaign,IL,61801-3620,USA,3/1/2021,2021,"Palmares after 1695: The Historical Afterlife of a Runaway Slave Community in Northeastern Brazil and Zumbi, its Leader",Latin American History,Latin American History; Latin American Studies,3,Summer Stipends,6,Research Programs,6000,0,6000,0,6000,0,6000,0,6/1/2022 &ndash; 7/31/2022,"<p>Research and writing of a book on the destruction of the Quilombo dos Palmares, a large community of runaway slaves in northeastern Brazil, and its legacy.</p>
<p>On November 20, 1695, the Black Brazilian maroon Zumbi died defending Palmares, one of history’s largest fugitive slave settlements. Most histories of Palmares conclude here. My book, however, treats Zumbi’s death and the destruction of Palmares as a starting point for new diasporas and forms of inheritance. By studying African and Afro-Brazilian religious beliefs and practices, place names, and oral traditions alongside previously overlooked colonial documents, I show how memories of Zumbi and Palmares survived in multiple forms in the aftermath of 1695. And I show that a full reckoning with slavery’s legacies and a truly comprehensive system of reparations are impossible without accounting for lineages and histories that derive from other, less commonly recognized forms of inheritance. This book project transforms how we think about fugitive slave communities and diaspora and reshapes conversations about reparations, not just in Brazil but across the Americas.</p>",
279054,FT-279054-21,2,0,0,0,0,0,0,,Lilya,,Kaganovsky,,,,,,Lilya Kaganovsky (Project Director: September 2020 to February 2022),"Lilya  Kaganovsky<br/>Board of Trustees of the University of Illinois (Champaign, IL 61801-3620)",Board of Trustees of the University of Illinois,Champaign,IL,61801-3620,USA,3/1/2021,2021,"Fifty Years of Soviet Women's Cinema, 1929-1979: The Visible and the Invisible",Russian Literature,Comparative Literature; Film History and Criticism; Russian Literature,3,Summer Stipends,6,Research Programs,6000,0,6000,0,6000,0,6000,0,6/1/2021 &ndash; 7/31/2021,"<p>Research
and writing one chapter of a book examining the role of women and attitudes
regarding gender in the development of the Soviet film industry.</p>
<p>Focusing on fifty years of women’s cinematic production (1929-79), this project makes crucial interventions in our understanding of the role of women filmmakers in the establishment and development of Soviet cinema. It tells a new story about Soviet film history with new archival evidence, giving attention to directors, cinematographers, and film editors whose significant contributions have been elided or erased by previous accounts, and offering case studies of films and filmmakers that provide an in-depth look at examples of women’s cinematic production from the 1920s avant-garde to the late Soviet period. It also engages with feminist film theory (classic and contemporary) to think about what “women’s cinema” is or might be. Soviet examples challenge our received notions of female authorship, the female gaze, and feminist filmmaking, because those were based on an incomplete historical archive that never included films or filmmakers from the USSR.</p>",
280483,GI-280483-21,1,0,0,0,0,0,0,,Allyson,,Purpura,,Kasia,,Szremski,,Allyson Purpura (Project Director: January 2021 to present)<br/>Kasia Szremski (Co Project Director: August 2021 to present),"Board of Trustees of the University of Illinois (Champaign, IL 61801-3620)<br/>Allyson Purpura (Project Director: January 2021 to present)<br/>Kasia Szremski (Co Project Director: August 2021 to present)</div>",Board of Trustees of the University of Illinois,Champaign,IL,61801-3620,USA,7/1/2021,2021,Ancient Andean Art Gallery Re-installation Implementation,"Arts, General","Art History and Criticism; Arts, General",255,Exhibitions: Implementation,2,Public Programs,200000,0,200000,0,200000,0,200000,0,9/1/2021 &ndash; 8/31/2023,"<p>Implementation of a reinterpretation of the museum’s permanent gallery of Andean art and&nbsp;the&nbsp;creation of a digital portal allowing deeper exploration of the collection.</p>
<p>Krannert Art Museum at the University of Illinois at Urbana-Champaign requests a $400,000 Implementation Grant for the reinstallation of its internationally acclaimed collection of ancient and colonial Andean art.</p>",
267755,FEL-267755-20,2,0,0,0,0,0,0,,Christina,,Bashford,,,,,,Christina Bashford (Project Director: April 2019 to May 2022),"Christina Bashford<br/>Board of Trustees of the University of Illinois (Champaign, IL 61801-3620)",Board of Trustees of the University of Illinois,Champaign,IL,61801-3620,USA,12/1/2019,2019,"Forgotten Voices, Hidden Pleasures: Violin Culture in Britain, c. 1870-1930",Music History and Criticism,Music History and Criticism,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,1/1/2021 &ndash; 12/31/2021,"<p>Research
and writing leading to a book about the cultural history of violins
and violin-playing in Britain, from 1870 to 1930.</p>
<p>My project identifies and rehabilitates a vigorous violin culture in Britain, c.1870-1930, through broad historical analysis of the practical and conceptual presence of the violin family there. The surge in musical activity, stimulated by newly affordable instruments, was underscored by changing social and cultural values that broke longstanding barriers of gender and class, and it was advanced by a growing commercial and educational infrastructure. It also endured, impacting the British compositional tradition and multiple performance spheres. Violin culture’s spread and vitality had a systemic and democratizing impact on music-making, its flowering bound up with ideas about the instruments that reflected contemporary concerns. Emphasizing amateur pursuits, mechanisms for learning, and structures that enabled or restricted the realization of professional ambitions, my work explores the meanings string instruments had for newcomer enthusiasts and gives voice to their experiences.</p>",
268817,PR-268817-20,1,0,1,0,0,0,1,20190515-PR-PR2019\GRANT12856750\Reports\13-2902220.pdf,William,,Underwood,,,,,,William Underwood (Project Director: May 2019 to present),"Board of Trustees of the University of Illinois (Champaign, IL 61801-3620)<br/>William Underwood (Project Director: May 2019 to present)</div>",Board of Trustees of the University of Illinois,Champaign,IL,61801-3620,USA,12/1/2019,2019,Broadening Access to Text Analysis by Describing Uncertainty,"Interdisciplinary Studies, General","American Literature; British Literature; Interdisciplinary Studies, General",232,Research and Development,1,Preservation and Access,0,0,73122,0,73122,0,73122,0,3/1/2020 &ndash; 5/31/2021,"<p>A Tier I project to study errors and paratextual
noise in optically transcribed digital library texts, and the consequences of
these errors on historical and humanistic conclusions measuring trends across
time.</p>
<p>The noise associated with
digital transcription has become an important obstacle to humanistic research.
While the errors in digital texts are easily observed, the downstream effects
of error on scholarship are far from clear. Consequential problems for the
humanities often spring less from the average level of error in a collection
than from the uneven distribution of noise across different periods, genres,
and social strata. Uncertainty about this problem undermines confidence in
research and discourages some scholars from using digital libraries at all. To
address these problems, we will 1) Create paired libraries of clean, manually
transcribed volumes and optically-transcribed versions of the same volumes,
with or without paratext. 2) Conduct parallel experiments in these corpora to
empirically measure the distortions affecting scholarship. 3) Construct a map
of error and share resources that help scholars estimate levels of uncertainty
in their work.</p>",
270008,FT-270008-20,2,0,0,0,0,0,0,,Bobby,J.,Smith,II,,,,,Bobby J. Smith (Project Director: September 2019 to December 2021),"Bobby J. Smith II<br/>Board of Trustees of the University of Illinois (Champaign, IL 61801-3620)",Board of Trustees of the University of Illinois,Champaign,IL,61801-3620,USA,3/1/2020,2020,"Food Power Politics: Race, Civil Rights, and Food Access in the Mississippi Delta",African American Studies,African American Studies,3,Summer Stipends,6,Research Programs,6000,0,6000,0,6000,0,6000,0,6/1/2020 &ndash; 7/31/2020,"<p>Research and writing two chapters of a book on food politics in the Mississippi Delta during and after the civil rights movement.</p>
<p>Food Power Politics is the first book to analyze the interaction between oppressive and emancipatory practices of food power as exercised in the Mississippi Delta from the civil rights era to today. By documenting this dynamic, my book shifts the way we understand civil rights history and current struggles against food disparities in black communities. It offers a new line of inquiry that uncovers a neglected period of the movement when activists expanded the meaning of civil rights to address food as integral to social and economic conditions. This meaning-making process is used as a model by black communities today that mobilize around the food justice movement. By making these connections, my book shows how current concerns for food disparities in black communities are rooted in the civil rights struggle and how black communities work to create solutions to those disparities locally and nationally.</p>",
