ApplicationID,ApplicationNumber,ApplicantType,SuppCount,ProductCount,CoverageCount,PrizeCount,ParticipatingInstitutionCount,WhitePaper,WhitePaperPath,PDFirstname,PDMiddlename,PDLastname,PDNameSuffix,CoPDFirstname,CoPDMiddlename,CoPDLastname,CoPDNameSuffix,Participants,GranteeDisplay,Institution,InstCity,InstState,InstPostalCode,InstCountry,CouncilDate,YearAwarded,ProjectTitle,PrimaryDiscipline,AllDisciplines,ProgramID,ProgramName,DivisionID,DivisionName,OfferedOutright,OfferedMatching,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,GrantPeriod,ProjectDesc,ToSupport
282783,FEL-282783-22,2,0,0,0,0,0,0,,Michaela,,Hoenicke Moore,,,,,,Michaela Hoenicke Moore (Project Director: April 2021 to present),"Michaela  Hoenicke Moore<br/>University of Iowa (Iowa City, IA 52242-1320)",University of Iowa,Iowa City,IA,52242-1320,USA,11/1/2021,2021,The Varieties of American Patriotism: Americans Debate Their Country's Role in the World from the 'Good War' to Vietnam,U.S. History,Diplomatic History; International Studies; U.S. History,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,8/1/2022 &ndash; 7/31/2023,"<p>Completing a book on American public opinion
about U.S foreign policy from 1938 to 1975.</p>
<p>How does our understanding of US foreign policy debates change if we take the people, that is citizen voices, into account? My primary-source-based study seeks to answer this question by examining foreign policy views at the grassroots level and interpreting them in the context of official rhetoric, policies, and expert discourse. Broadening our conception of domestic arguments over military interventions and America's role in the world, and re-integrating citizen voices, brings underexposed and unsettling questions about the nature of American democracy and its compatibility with military globalism into clearer focus. It reveals wider and deeper controversies over issues long debated by foreign policy experts: what purpose and whose interests does US foreign policy serve?</p>",
284529,AA-284529-22,1,0,0,0,0,0,0,,Matthew,P.,Brown,,Elizabeth,E.,Yale,,Matthew P. Brown (Project Director: May 2021 to present)<br/>Elizabeth E. Yale (Co Project Director: December 2021 to present),"University of Iowa (Iowa City, IA 52242-1320)<br/>Matthew P. Brown (Project Director: May 2021 to present)<br/>Elizabeth E. Yale (Co Project Director: December 2021 to present)</div>",University of Iowa,Iowa City,IA,52242-1320,USA,11/1/2021,2021,Global Book Cultures and the Student Laboratory: Undergraduate Education at the UI Center for the Book,Cultural History,"Cultural History; Interdisciplinary Studies, Other; Literature, Other",325,Humanities Initiatives at Colleges and Universities,7,Education Programs,0,0,150000,0,150000,0,150000,0,6/1/2022 &ndash; 5/31/2025,"<p>A three-year project to develop an undergraduate
laboratory space and related curriculum that would engage students in the study
of global print and manuscript cultures.</p>
<p>We seek to establish a dedicated undergraduate laboratory space anchored in the world-leading University of Iowa Center for the Book. Further, we propose to develop an undergraduate curriculum that will flourish in the envisioned workspace. The heart of the curricular proposal is a new introductory course in global print cultures, paired with an existing course on global manuscript cultures. Our goals are threefold: 1) to create and sustain spaces where students learn how material texts from diverse cultural traditions were made; 2) by integrating hands-on making into students’ education, to deepen their understanding of key humanities themes, such as the interpretation of texts and how humans transform, reinterpret, and sustain artifacts and ideas over time and across cultures; & 3) to strengthen the humanities at Iowa by building collaborative connections between faculty, curators, book artists, engineers, scientists, and librarians teaching with material texts across the university.</p>",
284617,AA-284617-22,1,0,0,0,0,0,0,,Kristine,,Munoz,,Daena,J.,Goldsmith,,Kristine Munoz (Project Director: May 2021 to present)<br/>Daena J. Goldsmith (Co Project Director: December 2021 to present),"University of Iowa (Iowa City, IA 52242-1320)<br/>Kristine Munoz (Project Director: May 2021 to present)<br/>Daena J. Goldsmith (Co Project Director: December 2021 to present)</div>",University of Iowa,Iowa City,IA,52242-1320,USA,11/1/2021,2021,"Salud, to your health!  Resources for Teaching Health Narratives in English and Spanish",Communications,"Communications; Communications; Interdisciplinary Studies, Other; Spanish Language",325,Humanities Initiatives at Colleges and Universities,7,Education Programs,0,0,149999,0,149999,0,149999,0,7/1/2022 &ndash; 6/30/2025,"<p>A three-year project to develop a digital resource for teaching health narratives in English and Spanish.</p>
<p>This project will construct a digital resource bank for teaching and learning health narratives at the postsecondary level, emphasizing the benefits to many kinds of learners of both reading and writing stories about health, illness, and caregiving. By the time they reach college age, many college students have increasingly complex experiences of mental and physical illness, their own or that of their loved ones. Courses that lead students through reading and writing about health issues teach them to contextualize those experiences within broader perspectives on language, meaning, relationship, and ethics. The digital resource bank will facilitate courses in many English disciplines and for Spanish majors and minors, encouraging both health humanities programming and community outreach. PIs will lead in person workshops and webinars to maximize use of the website, and an online journal will be created to publish peer-reviewed undergraduate health narratives in Spanish.</p>",
285126,PW-285126-22,1,0,0,0,0,0,0,,Margaret,,Gamm,,,,,,Margaret Gamm (Project Director: July 2021 to present),"University of Iowa (Iowa City, IA 52242-1320)<br/>Margaret Gamm (Project Director: July 2021 to present)</div>",University of Iowa,Iowa City,IA,52242-1320,USA,3/1/2022,2022,The Ruth and Marvin Sackner Archive of Concrete and Visual Poetry at Iowa: Increasing Access to 20th Century Avant-garde,Art History and Criticism,"Art History and Criticism; Literature, General",253,Humanities Collections and Reference Resources,1,Preservation and Access,0,0,350000,0,350000,0,350000,0,6/1/2022 &ndash; 5/31/2025,"<p>Preserving and providing access to the Ruth and Marvin&nbsp;Sackner&nbsp;Archive of Concrete and Visual Poetry, a collection of over 75,000 pieces, including artists’ books, typography, and other&nbsp;artistic&nbsp;works that combine writing&nbsp;and&nbsp;images.&nbsp;The project would produce an archival finding aid for the collection, catalog records for approximately 4,500 items, and&nbsp;a&nbsp;website&nbsp;featuring&nbsp;collection highlights.&nbsp;<br /></p>
<p>The Sackner Archive is the world’s largest repository of material documenting the international avant-garde movement of artists and writers who combined words and visual elements to create a new kind of artwork. Now contextualized by complementary collections of Dada, Fluxus, book arts, and more, this new collection at the University of Iowa Libraries promises to significantly expand the potential for scholarship in 20th Century avant-garde.  The Sackner Archive exists as a largely “hidden collection” due to the enormous amount of work needed to organize, catalog, and preserve the materials to make them accessible to researchers, educators and the general public. This Implementation Project will make the materials available to all by providing staffing to aid in the housing of objects, the standardization of metadata, and the creation of new finding aids, allowing improved discoverability for a large selection of collection material.</p>",
285608,FT-285608-22,2,0,0,0,0,0,0,,Mariola,,Espinosa,,,,,,Mariola Espinosa (Project Director: August 2021 to present),"Mariola  Espinosa<br/>University of Iowa (Iowa City, IA 52242-1320)",University of Iowa,Iowa City,IA,52242-1320,USA,3/1/2022,2022,"Sensational Cures: Medicine, Politics, and Popular Culture in the Spanish-Speaking World",History of Science,European History; History of Science; Latin American History,3,Summer Stipends,6,Research Programs,6000,0,6000,0,6000,0,6000,0,6/1/2022 &ndash; 7/31/2022,"<p>Archival research leading to a book on the global history of Spanish medicine, medical professionalization, and medical cures in the early 20th century.</p>
<p>The summer stipend will fund two months of archival research and writing. This project explores the relationships between medical professionals, populist leaders, and popular culture by relating the story of Dr. Fernando Asuero. In 1929, Asuero captivated Spain and Latin America with the claim that he could relieve pain, even cure paralysis, just by touching the trigeminal nerve. As thousands flocked to Asuero for relief, he and his cure became a transnational cultural phenomenon. The populist rulers of Spain, Italy, and Argentina were among Asuero’s admirers, but the medical establishments of those countries reacted harshly, arguing that he was a quack who should be arrested. The resulting book will make important contributions to the medical humanities by documenting how doctors, patients, and politicians were portrayed in transnational popular culture, to the history of the politicization of medicine, and to the history of medical professionalization in Spain and Latin America.</p>",
272632,FEL-272632-21,2,0,0,0,0,0,0,,Colin,H.,Gordon,,,,,,Colin H. Gordon (Project Director: March 2020 to present),"Colin H. Gordon<br/>University of Iowa (Iowa City, IA 52242-1320)",University of Iowa,Iowa City,IA,52242-1320,USA,11/1/2020,2020,"Segregation and Race-Restrictive Covenants in St. Louis, 1890-1950",U.S. History,African American History; U.S. History; Urban Studies,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,5/1/2021 &ndash; 4/30/2022,"<p>Research and writing leading to a book and digital companion on the origins, spread, and impact of race-restrictive deed covenants in greater St. Louis.</p>
<p>Race-restrictive deed covenants are an important, but relatively inaccessible and understudied, element of twentieth century urban history.  “Dividing the City” employs newly discovered catalogues of restrictions (for the City of St. Louis and neighboring St. Louis County), which make those restrictions accessible and discoverable, and make it possible to trace their use and diffusion across greater St. Louis between 1890 and 1950.  Close examination of these deed records, in the City of St. Louis and in suburban St. Louis County, will provide a detailed account of the use of deed restrictions (in new subdivisions and older neighborhoods alike), of their importance in inventing and sustaining racial segregation, and of the lasting impact of that segregation on local housing, wealth, and economic opportunity. In addition to the published monograph, a digital companion featuring interactive maps and documents will also be a resulting product of this proposal.</p>",
278486,FT-278486-21,2,0,0,0,0,0,0,,Anabel,,Maler,,,,,,Anabel Maler (Project Director: September 2020 to February 2022),"Anabel  Maler<br/>University of Iowa (Iowa City, IA 52242-1320)",University of Iowa,Iowa City,IA,52242-1320,USA,3/1/2021,2021,Seeing Voices: Analyzing Sign Language Music,Music History and Criticism,Music History and Criticism,3,Summer Stipends,6,Research Programs,6000,0,6000,0,6000,0,6000,0,6/1/2021 &ndash; 7/31/2021,"<p>Research and writing of a book about deafness
and music in the United States, including the history and analysis of sign
language music, from 1800 to the present.</p>
<p>This monograph contextualizes recent musical practices in Deaf culture within the history of deafness and deaf education in America, and proposes a methodology for engaging analytically with the musical products of Deaf culture, in the form of musical works created and performed in sign language. The project’s aim is to bring the long and rich history of sign language music to the attention of music theorists, to engage with it seriously and thoughtfully as a musical art, to understand what elements of music are resilient across modalities, and to grapple with the methodological quandaries that signed music raises for the discipline of music theory. In redefining music as movement, the book argues that sign language music, rather than being marginal or extraneous to histories and theories of music, is in fact central and crucial to our understanding of all musical expression and experience. It argues, above all, for the resilience of music in the face of enormous obstacles.</p>",
268042,FEL-268042-20,2,0,0,0,0,0,0,,David,Gerald,Stern,,,,,,David Gerald Stern (Project Director: April 2019 to September 2021),"David Gerald Stern<br/>University of Iowa (Iowa City, IA 52242-1320)",University of Iowa,Iowa City,IA,52242-1320,USA,12/1/2019,2019,Retranslating the Tractatus: The first complete translation of Wittgenstein’s Tractatus and its sources,History of Philosophy,History of Philosophy,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,6/1/2020 &ndash; 5/31/2021,"<p>Research and translation leading to publication of a
complete English-language edition of Austrian philosopher Ludwig Wittgenstein’s
(1889-1951) <em>Tractatus</em> (1921).</p>
<p>Wittgenstein’s <em>Tractatus Logico-Philosophicus</em>, first published in German in 1922, is a foundational work of early analytic philosophy and a modernist literary masterpiece. Two short books will provide the first consistent, accurate, and complete translation of <em>Tractatus </em>and its sources. It will be the first translation of the book’s 526 numbered remarks to use the tree-structured order used to write it, as well as the numerical order in which it was published. This new arrangement will give experts a fresh way of looking at how the book was written. Beginning readers will find it considerably less difficult to read. The new edition includes the first translation of three successive drafts of <em>Tractatus</em> from 1915, 1916, and 1917, and of ten thousand words of wartime diaries. The translations will also be used in the University of Iowa <em>Tractatus</em> Map website, which enables readers to study and explore the book’s structure and development.</p>",
268149,FEL-268149-20,2,0,0,0,0,0,0,,Simon,,Balto,,,,,,Simon Balto (Project Director: April 2019 to present),"Simon  Balto<br/>University of Wisconsin System (Iowa City, IA 52242-1320)",University of Wisconsin System,Iowa City,IA,52242-1320,USA,12/1/2019,2019,Racial Framing: Criminal Minstrelsy in Jim Crow America,African American History,African American History; African American Studies; U.S. History,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,8/1/2021 &ndash; 7/31/2022,"<p>Research and writing leading to a book on the practice and implications of Jim Crow-era criminal minstrelsy: white criminals donning blackface before committing crimes.</p>
<p>During America’s Jim Crow era, innumerable white criminals donned blackface before going out to commit crimes—a practice I call criminal minstrelsy in reference to the blackface minstrels who inspired their disguises. The practice may seem bizarre, but it&nbsp;had enormous consequences. When criminal minstrels donned their disguise, they were purposefully trying to frame black people for their crimes and often did so successfully. They were also drawing upon larger racist ideas about race and crime—in particular, pseudoscientific theories of African Americans as innately criminally prone. Their actions in turn provoked an array of responses, from NAACP investigations to furious editorials to condemnations&nbsp;by anti-lynching activists who argued that such acts provoked racial violence.  This project examines the history of criminal minstrelsy in the United States for the first time, and in so doing offers important new insights about the history of culture, crime, race, and punishment in America.</p>",
264916,FT-264916-19,2,0,0,0,0,0,0,,Brenda,J.,Longfellow,,,,,,Brenda J. Longfellow (Project Director: September 2018 to January 2022),"Brenda J. Longfellow<br/>University of Iowa (Iowa City, IA 52242-1320)",University of Iowa,Iowa City,IA,52242-1320,USA,3/1/2019,2019,Women in Public in Ancient Pompeii,Art History and Criticism,Art History and Criticism; Classics,3,Summer Stipends,6,Research Programs,6000,0,6000,0,6000,0,6000,0,6/1/2019 &ndash; 7/31/2019,"<p><span style=""background-color: #efebde;"">Preparation of a book on the public life and art patronage of women in the ancient Roman city of Pompeii.</span></p>
<p>I am applying for an NEH summer stipend in order to undertake field research at the ancient Roman city of Pompeii in Italy, where I will study the architectural, decorative, and epigraphic remains of Pompeian tombs built by women as well as the funerary equipment awarded to Pompeian women by the town council.  This research will provide the source material for a chapter in my single-author book titled <em>Women in Public in Ancient Pompeii</em>. Women comprise half of the known tomb builders in Pompeii and received more than one third of the tomb plots awarded to individuals by the city council, and so female economic agency and civic connections are more visible in the cemeteries than anywhere else in the city. This research and chapter will further our understanding of the historical nature of female involvement in the larger community and outside of the domestic sphere.</p>",
