ApplicationID,ApplicationNumber,ApplicantType,SuppCount,ProductCount,CoverageCount,PrizeCount,ParticipatingInstitutionCount,WhitePaper,WhitePaperPath,PDFirstname,PDMiddlename,PDLastname,PDNameSuffix,CoPDFirstname,CoPDMiddlename,CoPDLastname,CoPDNameSuffix,Participants,GranteeDisplay,Institution,InstCity,InstState,InstPostalCode,InstCountry,CouncilDate,YearAwarded,ProjectTitle,PrimaryDiscipline,AllDisciplines,ProgramID,ProgramName,DivisionID,DivisionName,OfferedOutright,OfferedMatching,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,GrantPeriod,ProjectDesc,ToSupport
279810,RQ-279810-22,1,0,0,0,0,0,0,,Robert,H.,Hirst,,,,,,Robert H. Hirst (Project Director: December 2020 to present),"University of California, Berkeley (Berkeley, CA 94704-5940)<br/>Robert H. Hirst (Project Director: December 2020 to present)</div>","University of California, Berkeley",Berkeley,CA,94704-5940,USA,7/1/2021,2021,Mark Twain Project,American Literature,American Literature,193,Scholarly Editions and Translations,6,Research Programs,0,450000,0,450000,0,307846,307846,0,10/1/2021 &ndash; 9/30/2024,"<p>Preparation for print publication of five volumes of works by Mark Twain (1835-1910) and updates to the Mark Twain Project Online. (36 months)</p>
<p>The Mark Twain Project asks support for a full-scale critical edition of <em>Following the Equator</em>, and for work needed to publish, both in print and on its digital edition, Mark Twain Project Online (MTPO), three major volumes in the Works of Mark Twain series: <em>Pudd’nhead Wilson</em>, <em>The Innocents Abroad</em>, and <em>San Francisco Correspondence 1865-1866</em>. The first two of these are also to be adapted for publication in the Mark Twain Library series, which brings the critically-established texts and explanatory notes to general readers and classrooms. Mark Twain's <em>Letters</em>, Volume 7 is to be prepared for publication on MTPO, along with five other editions already published in print by the UC Press; and the texts of 1,405 Mark Twain letters are to be transcribed, edited, supplied with critical apparatus, and published online. Support is sought for the ongoing management and curation of the project's textual and image datasets, improvements to the digital infrastructure, and development of MTPO's features and interface.</p>",
284581,AA-284581-22,1,0,0,0,0,0,0,,Bryan,E.,Wagner,,Jessica,Marie,Johnson,,Bryan E. Wagner (Project Director: May 2021 to present)<br/>Jessica Marie Johnson (Co Project Director: January 2022 to present),"University of California, Berkeley (Berkeley, CA 94704-5940)<br/>Bryan E. Wagner (Project Director: May 2021 to present)<br/>Jessica Marie Johnson (Co Project Director: January 2022 to present)</div>","University of California, Berkeley",Berkeley,CA,94704-5940,USA,11/1/2021,2021,An Open Curriculum on New Orleans Culture,"Arts, Other","Arts, Other",325,Humanities Initiatives at Colleges and Universities,7,Education Programs,0,0,149768,0,149768,0,149768,0,2/1/2022 &ndash; 9/30/2023,"<p>The creation of open educational resources on the art, music,&nbsp;culture,&nbsp;and related history of New Orleans.&nbsp;&nbsp;</p>
<p>Our purpose is to enhance college and university teaching by developing and sharing digital resources on art, music, history, politics, and culture in New Orleans. Our curriculum will be divided into modules that can be adapted in courses across the humanities and interpretive social sciences. Modules will combine original performance and demonstration videos with archival documents, photographs, and field recordings—all annotated with an eye to form, history, context, and technique. We are an outgrowth of a community institution in the Seventh Ward of New Orleans, Neighborhood Story Project, but our network of collaborators includes academics from sectors across higher education at various ranks and career stages as well as independent scholars, curators, archivists, artists, musicians, and culture bearers.</p>",
285905,FN-285905-22,2,0,0,0,0,0,0,,Christine,M.,Beier,,,,,,Christine M. Beier (Project Director: September 2021 to present),"Christine M. Beier<br/>University of California, Berkeley (Berkeley, CA 94704-5940)","University of California, Berkeley",Berkeley,CA,94704-5940,USA,3/1/2022,2022,"Transcription, parsing, and comparative analysis of tone in Iquito [iqu] texts from circa 1960 and 2002-2018",Linguistics,Linguistics,238,Dynamic Language Infrastructure-Documenting Endangered Languages - Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,7/1/2022 &ndash; 6/30/2023,"<p>Research
and writing of a book presenting a comparative analysis of grammatical
descriptions of Iquito, an endangered Zaparoan language of the northern
Peruvian Amazonia.</p>
<p>This project advances the documentation and description of Iquito (ISO 639-3: iqu), a critically endangered Zaparoan language of northern Peruvian Amazonia, with a focus on its complex tonal system. Core activities are transcription, parsing, and analysis of texts from circa 1960; re-parsing of re-analyzed texts from 2002-2018; and comparative analysis of these texts to inform ongoing grammatical description of Iquito. Because Iquito's tonal system includes both boundary Hs and HLL melodies that surface in multiple domains and across word boundaries, text-based analysis of connected speech is an indispensable tool for discovery. Thorough documentation of Iquito's tonal system will inform the typology of tone in Amazonia, and contribute to cross-linguistic typology and theories of grammatical tone. New textual data will also speak to other typologically unusual phenomena found in Iquito, including discontinuous constituency and the expression of reality status through word order.</p>",
286695,RFW-286695-22,1,0,0,0,0,0,0,,Sarah,Elizabeth,Vaughn,,,,,,Sarah Elizabeth Vaughn (Project Director: September 2021 to present),"University of California, Berkeley (Berkeley, CA 94704-5940)<br/>Sarah Elizabeth Vaughn (Project Director: September 2021 to present)</div>","University of California, Berkeley",Berkeley,CA,94704-5940,USA,3/1/2022,2022,"The Aesthetics of Corporate Resources: Databases, Climate Change, and Insurance in Bermuda",Cultural Anthropology,Cultural Anthropology,326,Archaeological and Ethnographic Field Research,6,Research Programs,0,0,105888,0,105888,0,105888,0,7/1/2022 &ndash; 8/31/2024,"<p>Ethnographic interviews and participant observation leading to a book on how communities and insurance companies in Bermuda assign value and understand risk caused by changing sea levels and climate change. (26 months)</p>
<p>My research examines how insurance shapes the natural and built environments of Bermuda. I propose an ethnographic study of the ways narratives, figures, and images of climate change become effective tools of place-making for the insurance industry.  Phase I analyzes work operations at the firm RenaissanceRe.  As the industry’s innovator in risk modeling, I use the firm as a case study to examine the effects of climate change predictions on corporate decision-making related to market expansion. Phase II analyzes local communities’ social perceptions of insurance products and their attempts to negotiate daily life around hurricanes and climate risks.  In addition, this project seeks to contribute to Bermudian public science forums, museum collections, and art publications. In doing so, this project drives new research in the humanities by bridging ecocriticism with the sociocultural history of risk while contributing a global South perspective on corporate computing practices.</p>",
277550,PW-277550-21,1,0,0,0,0,0,0,,Charles,Bailey,Faulhaber,,,,,,Charles Bailey Faulhaber (Project Director: July 2020 to present),"University of California, Berkeley (Berkeley, CA 94704-5940)<br/>Charles Bailey Faulhaber (Project Director: July 2020 to present)</div>","University of California, Berkeley",Berkeley,CA,94704-5940,USA,3/1/2021,2021,PhiloBiblon: From Siloed Databases to Linked Open Data via Wikibase: Proof of Concept,Spanish Literature,European History; Intellectual History; Spanish Literature,253,Humanities Collections and Reference Resources,1,Preservation and Access,0,0,46523,0,46523,0,46523,0,6/1/2021 &ndash; 11/30/2022,"<p>A&nbsp;one-year Foundations project&nbsp;to&nbsp;explore how&nbsp;Wikibase/FactGrid&nbsp;could move four siloed databases into a&nbsp;single&nbsp;online platform for access to scholarly research on medieval Iberia, including mapping of&nbsp;PhiloBiblon&nbsp;to&nbsp;Linked Open Data (LD) and Resource Description Framework&nbsp;(RDF),&nbsp;creating a&nbsp;prototype of certain modules, examining&nbsp;links between database access points and libraries, testing&nbsp;a&nbsp;model,&nbsp;and posting&nbsp;to GitHub.</p>
<p>UC Berkeley requests a one-year HCRR Foundations grant to explore the use of Wikibase on FactGrid. a database for historians as a technology platform for PhiloBiblon, which has supported scholarly research on medieval Iberia since 1975. The project will (1) study how Wikibase/FactGrid can move PhiloBiblon’s four siloed databases to an online platform with Findable, Accessible, Interoperable, Reusable data; (2) show how to map PhiloBiblon’s complex data model to LD/RDF as instantiated in Wikibase; (3) evaluate the Wikibase data entry module and create prototype discovery modules; (4) study Wikibase’s LD access points to and from libraries and archives; (5) test the Wikibase data export module for JSON-LD, RDF, and XML on PhiloBiblon data; (6) place software and documentation on GitHub.  We hope to demonstrate that this project developed in the FactGrid collaboratory, can serve as a model for low-cost light-weight database development for similar academic projects with limited resources.</p>",
278790,FT-278790-21,2,0,0,0,0,0,0,,Rita,,Lucarelli,,,,,,Rita Lucarelli (Project Director: September 2020 to February 2022),"Rita  Lucarelli<br/>University of California, Berkeley (Berkeley, CA 94704-5940)","University of California, Berkeley",Berkeley,CA,94704-5940,USA,3/1/2021,2021,Agents of Punishment and Protection. Assessing the Demonic in First Millennium BCE Egypt,Near and Middle Eastern History,History of Religion; Near and Middle Eastern History; Near and Middle Eastern Languages,3,Summer Stipends,6,Research Programs,6000,0,6000,0,6000,0,6000,0,5/1/2021 &ndash; 6/30/2021,"<p>Research leading to preparation of a book on ancient Egyptian texts about the place of demons in religion.&nbsp;</p>
<p>Demonology is an integral, though often neglected aspect of the ancient Egyptian religion. Defining “demons” poses issues of ontological classification, especially when dealing with an ancient civilization whose sources of study are not always descriptive neither comprehensive. In the ancient Egyptian magical texts and representations, a variegated series of liminal beings act as agents of punishment but also of protection towards the living and the dead. A contextualized and in-depth study of each of the available sources, which will be carried out in the proposed book-project, is necessary in order to understand the role that those agents played in the ancient Egyptian religious beliefs and how people would communicate with demons through magical practices and the help of professional ritualists. By assessing the existence of an ancient Egyptian demonology, the author will also attempt a comparative study with other discourses on demons in the ancient world.</p>",
268710,PR-268710-20,1,0,1,0,0,0,0,,Deborah,Winthrop,Anderson,,,,,,Deborah Winthrop Anderson (Project Director: May 2019 to present),"University of California, Berkeley (Berkeley, CA 94704-5940)<br/>Deborah Winthrop Anderson (Project Director: May 2019 to present)</div>","University of California, Berkeley",Berkeley,CA,94704-5940,USA,12/1/2019,2019,Universal Scripts Project,Linguistics,Linguistics,232,Research and Development,1,Preservation and Access,0,67000,239370,67000,235910,67000,302910,0,3/1/2020 &ndash; 2/28/2023,"<p>The preparation of eight scripts—six historical
and two modern—for inclusion in the international Unicode standard, to aid
research using materials in historical scripts and to promote communication in
minority language communities.</p>
<p>Although computer and mobile
users in many parts of the world can now communicate in hundreds of languages by
using their own native writing system, there are still linguistic minority
groups, and users of historical writing systems, who cannot. This is because
the letters and symbols of these scripts are not yet part of the international
character encoding standard, known as Unicode. More than one hundred and thirty
eligible scripts are not yet included in Unicode, which directly affects
humanities research, the creation of the global digital repository of
humankind's literary and cultural heritage and, for users of modern scripts,
basic communication. This project will fund proposals for two modern and six
historical scripts (or major script additions) for inclusion in the standard,
and pave the way for electronic communication in (and about) scripts by scholars
and other user communities.</p>",
269162,PW-269162-20,1,0,0,0,0,0,0,,Andrew,M.,Shanken,,,,,,Christina Marino (Project Director: July 2019 to June 2021)<br/>Andrew M. Shanken (Project Director: June 2021 to present),"University of California, Berkeley (Berkeley, CA 94704-5940)<br/>Christina Marino (Project Director: July 2019 to June 2021)<br/>Andrew M. Shanken (Project Director: June 2021 to present)</div>","University of California, Berkeley",Berkeley,CA,94704-5940,USA,3/1/2020,2020,"SMWM: Exploration, Innovation, Regeneration",Architecture,Architecture,253,Humanities Collections and Reference Resources,1,Preservation and Access,0,0,151586,0,151586,0,151586,0,1/1/2021 &ndash; 8/31/2023,"<p>The arrangement and description of the archives
of two California women architects/planners, Cathy Simon and Karen Alschuler, of
the architectural firm SMWM (Simon Martin-Vegue Winkelstein Moris), whose work
impacted California design in the late twentieth and early twenty-first
centuries.</p>
<p>A grant to preserve and make
accessible significant source materials generated by architect Cathy Simon and
urban designer Karen Alschuler of the firm SMWM (Simon Martin-Vegue Winkelstein
Moris).</p>",
269525,GE-269525-20,1,0,0,0,0,0,0,,Sanjyot,,Mehendale,,,,,,Sanjyot Mehendale (Project Director: August 2019 to present),"University of California, Berkeley (Berkeley, CA 94704-5940)<br/>Sanjyot Mehendale (Project Director: August 2019 to present)</div>","University of California, Berkeley",Berkeley,CA,94704-5940,USA,3/1/2020,2020,Lives of the Cosmos: Celestial Visions along the Silk Road,East Asian Studies,East Asian Studies,254,Exhibitions: Planning,2,Public Programs,0,0,74538,0,72647,0,72647,0,6/1/2020 &ndash; 5/31/2023,"<p>Planning
of a traveling exhibition on the cave-temples at Dunhuang.</p>
<p>UC Berkeley’s P.Y. and Kinmay W. Tang Center for Silk Road Studies along with partners from the Asian Art Museum of San Francisco and the Dunhuang Academy in China propose an exhibition project that utilizes current research on materials from the Buddhist cave-temples at Dunhuang to reveal how this outpost in the Gobi Desert, situated at the eastern convergence of the Central Asian Silk Roads, emerged simultaneously as a site famed for visionary experiences and as a major commercial, intellectual, and artistic hub. The exhibition will include original artifacts, replica caves, and virtual reality caves.</p>",
269830,FT-269830-20,2,0,0,0,0,0,0,,Leyla,,Ozgur Alhassen,,,,,,Leyla Ozgur Alhassen (Project Director: August 2019 to January 2022),"Leyla  Ozgur Alhassen<br/>University of California, Berkeley (Berkeley, CA 94704-5940)","University of California, Berkeley",Berkeley,CA,94704-5940,USA,3/1/2020,2020,"Qur’anic Stories: God, Revelation and the Audience",Arabic Literature,"Arabic Literature; Near and Middle Eastern Literature; Religion, Other",3,Summer Stipends,6,Research Programs,6000,0,6000,0,6000,0,6000,0,5/1/2020 &ndash; 6/30/2020,"<p>Completing a book analyzing the narrative and rhetoric of the Qur’an to understand the text and its worldview.</p>
<p>Despite excellent comparative work on biblical and qur’anic stories and research on historical aspects of the Qur’an, there are few books that exclusively explore qur’anic narrative technique. Yet, without such an understanding, we are left with an incomplete understanding of how qur’anic stories function as narrative. My book, Qur’anic Stories: God, Revelation and the Audience, remedies this gap by developing a methodology to analyze qur’anic stories, given their dual status as narratives that are religious, and analyzes a few qur’anic stories in order to explore the Qur’an’s use of narrative technique to reinforce theological beliefs. I am applying for a National Endowment for the Humanities Summer fellowship to support the revision of my book. Edinburgh University Press is considering this book for publication in the Edinburgh Studies in Classical Arabic Literature series. I am planning to revise the final manuscript, after it is sent out for peer review.</p>",
