ApplicationID,ApplicationNumber,ApplicantType,SuppCount,ProductCount,CoverageCount,PrizeCount,ParticipatingInstitutionCount,WhitePaper,WhitePaperPath,PDFirstname,PDMiddlename,PDLastname,PDNameSuffix,CoPDFirstname,CoPDMiddlename,CoPDLastname,CoPDNameSuffix,Participants,GranteeDisplay,Institution,InstCity,InstState,InstPostalCode,InstCountry,CouncilDate,YearAwarded,ProjectTitle,PrimaryDiscipline,AllDisciplines,ProgramID,ProgramName,DivisionID,DivisionName,OfferedOutright,OfferedMatching,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,GrantPeriod,ProjectDesc,ToSupport
284454,PE-284454-22,1,0,0,0,0,0,0,,Ellen,,Pearlstein,,,,,,Ellen Pearlstein (Project Director: May 2021 to present),"UCLA; Regents of the University of California, Los Angeles (Los Angeles, CA 90024-4201)<br/>Ellen Pearlstein (Project Director: May 2021 to present)</div>","UCLA; Regents of the University of California, Los Angeles",Los Angeles,CA,90024-4201,USA,11/1/2021,2021,Preservation of Indigenous Collections: Training for Tribal Materials and Museums,"Arts, Other","Arts, General; Arts, Other; Interdisciplinary Studies, General",231,Preservation and Access Education and Training,1,Preservation and Access,0,0,310362,0,310362,0,310362,0,4/1/2022 &ndash; 3/31/2025,"<p>A&nbsp;continuing education program&nbsp;for&nbsp;collections stewards&nbsp;that&nbsp;would&nbsp;include&nbsp;six online courses, two in-person regional workshops, and follow-up mentoring to support sustained application of lessons learned, targeted to Native Americans working with tribal materials at museums and cultural centers&nbsp;across the country.</p>
<p>UCLA/Getty respectfully requests $310,632 for: 1) six online courses, 2) two in-person regional workshops, and 3) follow-up mentoring designed to support sustained application of lessons learned, all targeted to reach Native Americans working with tribal materials at museums and cultural centers. The proposal builds on a successful UCLA/Getty history of working with Indigenous communities and will reach up to 136 participants and an equal number of mentees. Increased emergence of American Indian museums and cultural centers speaks to the importance of humanities collections in the preservation and even revitalization of cultural practices, and to the sovereignty behind self-representation. Humanities tribal collections serve to educate tribal youth, provide heritage in support of language learning, and instill pride in intergenerational heritage accomplishments of a community. Tribal museums reach non-tribal visitors and scholars as well, offering a crucial humanities perspective.</p>",
285050,PW-285050-22,1,0,0,0,0,0,0,,Virginia,,Steel,,Dawn,,Childress,,Virginia Steel (Project Director: July 2021 to present)<br/>Dawn Childress (Co Project Director: May 2022 to present),"UCLA; Regents of the University of California, Los Angeles (Los Angeles, CA 90024-4201)<br/>Virginia Steel (Project Director: July 2021 to present)<br/>Dawn Childress (Co Project Director: May 2022 to present)</div>","UCLA; Regents of the University of California, Los Angeles",Los Angeles,CA,90024-4201,USA,3/1/2022,2022,Identification and Description of the Syriac and Arabic Manuscripts at St. Catherine’s Monastery of the Sinai. Phase 1: Syriac Parchment Manuscripts,"History and Philosophy of Science, Technology, and Medicine","History and Philosophy of Science, Technology, and Medicine",253,Humanities Collections and Reference Resources,1,Preservation and Access,0,0,350000,0,350000,0,350000,0,6/1/2022 &ndash; 5/31/2024,"<p>The identification and description of 152 Syriac parchment manuscripts from St. Catherine’s Monastery in&nbsp;the Sinai&nbsp;Peninsula&nbsp;(Egypt), development of a data collection tool, and contribution of content to the Sinai Manuscripts Digital Library.&nbsp;<br class=""SCXW173598629 BCX0"" style=""margin: 0px; padding: 0px; user-select: text; -webkit-user-drag: none; -webkit-tap-highlight-color: transparent; white-space: pre !important;"" /></p>
<p>The Sinai Manuscripts Digital Library (SMDL) seeks to increase access to the over 1,000 digitized Arabic and Syriac manuscripts of St. Catherine’s Monastery through a multi-phased scholarly description project that will focus on the identification and description of texts and paratexts within the manuscript collections and on documenting codicological and contextual evidence. An NEH Humanities Collections and Reference Resources (HCRR) Implementation grant will allow the project team to complete Phase 1 of this project: the identification and description of 152 Syriac parchment manuscripts from the collection. Through these activities and the resulting descriptive outputs, the proposed project will contribute to the larger Syriac Studies corpus and community and serve as a major research tool for significant new discoveries related to Syriac history and culture, as well as the history and culture of the Mediterranean, Byzantium, and the Middle East</p>",
273329,FEL-273329-21,2,0,0,0,0,0,0,,Nina,Sun,Eidsheim,,,,,,Nina Sun Eidsheim (Project Director: April 2020 to present),"Nina Sun Eidsheim<br/>UCLA; Regents of the University of California, Los Angeles (Los Angeles, CA 90024-4201)","UCLA; Regents of the University of California, Los Angeles",Los Angeles,CA,90024-4201,USA,11/1/2020,2020,"In Search of Light: Wadada Leo Smith’s Creation of Sound, Symbol, and Breath",Music History and Criticism,American Studies; Art History and Criticism; Music History and Criticism,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,1/1/2022 &ndash; 12/31/2022,"<p>Research and writing leading to a book and companion website about the music and philosophy of American composer Wadada Leo Smith (b. 1941).</p>
<p>This project tells the story of composer Wadada Leo Smith’s (b. Mississippi, 1941) contribution to American music, and correctives to both what is considered improvisation and/or jazz and American classical music. Over the past fifty years, Smith has developed an original compositional language he calls Ankhrasmation, which may be described as consisting of multidimensional visual symbols and considered works of art. His compositional language represents an original synthesis of graphic notation-based composition and ritual music in several traditions, European and American art music, and blues, and may usefully be discussed within these contexts—as opposed to a focus on the context of jazz or improvisation to which, as George Lewis has pointed out, the consideration of African American composers is often limited. My methodologies include archival, ethnographic, and practice-based approaches and will build on and contribute to work in Black studies, American music, and sound studies.</p>",
276760,PR-276760-21,1,0,0,0,0,0,0,,Glenn,,Wharton,,Ellen,,Pearlstein,,Glenn Wharton (Project Director: May 2020 to present)<br/>Ellen Pearlstein (Co Project Director: February 2021 to present),"UCLA; Regents of the University of California, Los Angeles (Los Angeles, CA 90024-4201)<br/>Glenn Wharton (Project Director: May 2020 to present)<br/>Ellen Pearlstein (Co Project Director: February 2021 to present)</div>","UCLA; Regents of the University of California, Los Angeles",Los Angeles,CA,90024-4201,USA,11/1/2020,2020,Embedding Sustainability in Cultural Heritage Conservation Education,"Arts, Other","Arts, General; Arts, Other; Interdisciplinary Studies, Other",232,Research and Development,1,Preservation and Access,0,0,75000,0,75000,0,75000,0,3/1/2021 &ndash; 8/31/2022,"<p>An eighteen-month research project to develop&nbsp;models, tools, and&nbsp;a strategic plan for teaching sustainability in cultural heritage conservation programs.&nbsp;&nbsp;Funding would support a research associate for the duration of the project&nbsp;who&nbsp;would coordinate activities between UCLA&nbsp;faculty, Getty Conservation&nbsp;Institute scientists, and an outside advisory board consisting of engineers, architects,&nbsp;and conservators&nbsp;with demonstrated expertise in sustainability.</p>
<p>The UCLA/Getty Interdepartmental Program in the Conservation of Archaeological and Ethnographic Materials respectfully requests $75,000 for a Tier I National Endowment for the Humanities Research and Development Grant. We are proposing an eighteen month research project working with a Research Associate and an Advisory Committee to create a strategic plan for teaching sustainability in cultural heritage conservation. The project is the first phase of a larger initiative to integrate sustainability theory and practice into course offerings, convene a workshop of interdisciplinary experts, and create models and scalable curricular materials for publication by eScholarship, an open access publishing platform subsidized by the University of California. We will develop materials through research at UCLA and the Getty, and distribute them widely to benefit educational programs in cultural heritage conservation, library and archives preservation, and conservation of the built environment.</p>",
277142,PE-277142-21,1,0,0,0,0,0,0,,Glenn,,Wharton,,Ellen,,Pearlstein,,Glenn Wharton (Project Director: June 2020 to present)<br/>Ellen Pearlstein (Co Project Director: January 2021 to present),"UCLA; Regents of the University of California, Los Angeles (Los Angeles, CA 90024-4201)<br/>Glenn Wharton (Project Director: June 2020 to present)<br/>Ellen Pearlstein (Co Project Director: January 2021 to present)</div>","UCLA; Regents of the University of California, Los Angeles",Los Angeles,CA,90024-4201,USA,11/1/2020,2020,"Community, Collaboration, And Cultural Heritage Conservation Project","Arts, Other","Arts, General; Arts, Other; Interdisciplinary Studies, General",231,Preservation and Access Education and Training,1,Preservation and Access,0,0,250000,0,250000,0,250000,0,9/1/2021 &ndash; 8/31/2024,"<p>Three years of community collaboration training, internship support, and student stipends for three incoming graduate students to the UCLA/Getty Master’s Program in the Conservation of Archaeological and Ethnographic Materials.</p>
<p>The UCLA/Getty Conservation Program seeks $250,000 to support a project in which three Master's graduate students will focus on the specialized practices of collaborative conservation. Over the course of three years, the designated ""NEH fellows"" will develop capacity as conservators while working closely with community stewards to enhance collections care practices within their cultural context. This project will enable the Program to refine the pioneering model it has developed for collaborative work with tribal museums and extend it to other important, yet underserved collections and sites with a wider range of stakeholders. Requested funds include partial stipends to support fellows during the first two years of the program and on two summer internships; thesis research and a nine-month internship in the third year; a senior conservator who will provide summer internship supervision when in-house staff is not available; and, a modest sum for supplies and materials.</p>",
277190,HAA-277190-21,1,0,0,0,0,0,1,20200115-HAA-62020-HAA\GRANT13153613\Reports\WhitePaper-2912237.pdf,Marissa,Katherine,Lopez,,Kelley,Arlene,Kreitz,,Marissa Katherine Lopez (Project Director: June 2020 to present)<br/>Kelley Arlene Kreitz (Co Project Director: October 2020 to present),"UCLA; Regents of the University of California, Los Angeles (Los Angeles, CA 90024-4201)<br/>Marissa Katherine Lopez (Project Director: June 2020 to present)<br/>Kelley Arlene Kreitz (Co Project Director: October 2020 to present)</div>","UCLA; Regents of the University of California, Los Angeles",Los Angeles,CA,90024-4201,USA,11/1/2020,2020,Pursuing the Potential of Digital Mapping in Latinx Studies,American Literature,American Literature; Latino History,311,Digital Humanities Advancement Grants,12,Digital Humanities,0,0,50000,0,50000,0,50000,0,1/1/2021 &ndash; 12/31/2021,"<p>A two-day workshop and support network to build capacity in digital mapping methods for scholars in Latinx Studies.</p>
<p>We request a Level 1 grant for a two-day workshop at UCLA on August 12-13, 2021. Latinx Studies is built on understanding how spatial struggles shape racial, ethnic, and national identity. As Latinx Studies scholars increasingly use digital mapping in their research and teaching, we will bring scholars, GIS experts, and public and academic research librarians together to: 1) provide technical training to help participants build skills and advance their individual projects; and 2) plan a support network to facilitate the creation of shared data repositories, partnerships with libraries, training and mentoring opportunities, and an online hub of best practices and teaching materials. The workshop will draw on UCLA’s extensive resources and expertise in GIS research. In line with the “A More Perfect Union” initiative, this project will advance digital mapping as a method of increasing understanding of the enduring presence of people of Latin American descent in the history of our nation.</p>",
280677,HAA-280677-21,1,0,0,0,0,0,0,,Virginia,,Steel,,Dawn,,Childress,,Virginia Steel (Project Director: January 2021 to present)<br/>Dawn Childress (Co Project Director: June 2021 to present),"UCLA; Regents of the University of California, Los Angeles (Los Angeles, CA 90024-4201)<br/>Virginia Steel (Project Director: January 2021 to present)<br/>Dawn Childress (Co Project Director: June 2021 to present)</div>","UCLA; Regents of the University of California, Los Angeles",Los Angeles,CA,90024-4201,USA,7/1/2021,2021,Sinai Manuscripts Data Portal Project,Ancient History,Ancient History; Near and Middle Eastern History,311,Digital Humanities Advancement Grants,12,Digital Humanities,0,0,325000,0,325000,0,325000,0,9/1/2021 &ndash; 8/31/2023,"<p>The development of a Linked Open Data (LOD) web application to provide access to the data&nbsp;for&nbsp;contextualizing&nbsp;the digitized manuscripts of St. Catherine’s Monastery in the Sinai Peninsula that are hosted by the University of California, Los Angeles.</p>
<p>This proposal seeks Level III funding for the Sinai Manuscripts Data Portal, a web-based Linked Open Data application in support of a comprehensive data program that will both define and provide access to the rich data that describe and contextualize the manuscripts of St. Catherine’s Monastery.</p>",
269412,PW-269412-20,1,0,0,0,0,0,0,,Chon,,Noriega,,,,,,Chon Noriega (Project Director: July 2019 to present),"UCLA; Regents of the University of California, Los Angeles (Los Angeles, CA 90024-4201)<br/>Chon Noriega (Project Director: July 2019 to present)</div>","UCLA; Regents of the University of California, Los Angeles",Los Angeles,CA,90024-4201,USA,3/1/2020,2020,"Religion, Spirituality and Faith in Mexican American Social History 1940s-Present",Latin American History,Latin American History,253,Humanities Collections and Reference Resources,1,Preservation and Access,0,0,349289,0,329936,0,329936,0,7/1/2020 &ndash; 6/30/2023,"<p>The arrangement,
description, and selected digitization of archival collections pertaining to
the role of religion in Latino history.&nbsp;
Included are nine collections totaling 237 linear feet, among which are 12,000
photographs that would be digitized.</p>
<p>While there has been
significant and substantial work done in the general area of Mexican American
social history, the role of religion, spirituality, and faith have received
limited attention until recently. Researchers have documented the sociological
fact of religion as a significant factor among U.S. Latinos (with 91% identifying
with a religion or faith). But scholars also note a “surprising” absence of
humanities research that integrates this material into archive-based research
and educational curricula. This project proposes to reframe the approach to and
use of archival resources informing social histories, educational practices,
and public programming related to the Mexican American population.</p>",
263245,FEL-263245-19,2,0,0,0,0,0,0,,Satoko,,Shimazaki,,,,,,Satoko Shimazaki (Project Director: April 2018 to present),"Satoko  Shimazaki<br/>UCLA; Regents of the University of California, Los Angeles (Los Angeles, CA 90089-0012)","UCLA; Regents of the University of California, Los Angeles",Los Angeles,CA,90089-0012,USA,11/1/2018,2018,"Kabuki Actors, Print Technology, and the Theatrical Origins of Modern Media",East Asian Literature,East Asian Literature; Media Studies; Theater History and Criticism,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,9/1/2021 &ndash; 8/31/2022,"<p>Research and writing leading to publication of a book on the impact of new recording technologies on Japanese kabuki theater in the late nineteenth and early twentieth centuries.</p>
<p>This project uses kabuki actors and kabuki theater more broadly as a framework to reconsider the media history of early modern (1600-1867) and Meiji and Taisho Japan (1868-1926). I argue that long before the emergence of mechanical recording technology, public fascination with actors and the theater turned woodblock print into a vehicle for the production and circulation of a communally shared sense of star actors' corporeal and vocal ""presence."" I then turn to the early decades of the modern period to show how mechanical recordings were made to serve the same fascination with actors and the theater, and how, over time, the new technologies transformed the way actors' bodies, voices, and kabuki theater were understood by enabling machines to record what people had formerly remembered by looking at books and prints.</p>",
265761,AKA-265761-19,1,0,3,0,0,0,0,,Ali,,Behdad,,,,,,Ali Behdad (Project Director: October 2018 to September 2021),"UCLA; Regents of the University of California, Los Angeles (Los Angeles, CA 90024-4201)<br/>Ali Behdad (Project Director: October 2018 to September 2021)</div>","UCLA; Regents of the University of California, Los Angeles",Los Angeles,CA,90024-4201,USA,3/1/2019,2019,New Directions in Middle East Learning,"Interdisciplinary Studies, Other","Interdisciplinary Studies, Other",319,Humanities Connections Planning Grants,7,Education Programs,0,0,35000,0,34975.3,0,34975.3,0,5/1/2019 &ndash; 4/30/2020,"<p>A one-year
project aimed at developing a freshman-level interdisciplinary course sequence
on the Middle East and North Africa.</p>
<p>A faculty team from the departments of Anthropology, Comparative Literature, Islamic Studies, Law, and Sociology will transform UCLA's pedagogy on the Middle East and North Africa (MENA) by creating a multidisciplinary freshman course sequence exploring MENA cultures through diverse humanistic perspectives. The team-taught sequence, offered annually, will incorporate two terms of lecture courses followed by a term of experiential learning in the MENA communities of Los Angeles. The planning phase will explore methods and topics for a sequence that highlights the Middle East's rich cultural and religious traditions, histories, and literary and artistic practices. The product of this planning phase will be a detailed proposal to UCLA's Governance Committee for course approval, after which our team will establish working relationships with the course's assigned staff from the library, the writing program, and experiential learning partners.</p>",
