ApplicationID,ApplicationNumber,ApplicantType,SuppCount,ProductCount,CoverageCount,PrizeCount,ParticipatingInstitutionCount,WhitePaper,WhitePaperPath,PDFirstname,PDMiddlename,PDLastname,PDNameSuffix,CoPDFirstname,CoPDMiddlename,CoPDLastname,CoPDNameSuffix,Participants,GranteeDisplay,Institution,InstCity,InstState,InstPostalCode,InstCountry,CouncilDate,YearAwarded,ProjectTitle,PrimaryDiscipline,AllDisciplines,ProgramID,ProgramName,DivisionID,DivisionName,OfferedOutright,OfferedMatching,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,GrantPeriod,ProjectDesc,ToSupport
283897,ZED-283897-22,1,0,0,0,0,0,0,,Renee,Allyson,Fox,,,,,,Renee Allyson Fox (Project Director: May 2021 to present),"Regents of the University of California, Santa Cruz (Santa Cruz, CA 95064-1077)<br/>Renee Allyson Fox (Project Director: May 2021 to present)</div>","Regents of the University of California, Santa Cruz",Santa Cruz,CA,95064-1077,USA,8/1/2021,2021,"A Different Universe, at UCSC and Beyond: The Dickens Project's 2022 Programs on Race, Inequality, and 19th-Century Literature","Literature, General","Literature, General",328,ARP-Organizations (Education-related),8,Agency-wide Projects,0,0,50000,0,50000,0,50000,0,10/1/2021 &ndash; 8/31/2022,"<p>Retention of a staff position to support the activities of the Dickens Project.</p>
<p>The Dickens Project is a research consortium and community outreach organization based at UCSC and dedicated to creating communities around the study of 19th-century literature.  In 2022, our programming will focus on how reading 19th-century literature can help us better understand contemporary systemic racism and inequality.  Our week-long 2022 Dickens Universe will bring non-academic participants (ranging from high school students to senior citizens) together with Black studies and Victorian studies scholars to examine how 19th-century novels can sharpen our awareness of racist assumptions that underpin many of the structures that still organize our world today.  In concert with the Universe, our two high school programs will both use creative lesson plans and projects to help students make connections between portrayals of racism and poverty in 19th-century fiction and their own experiences of 21st-century inequality.</p>",
284519,AC-284519-22,1,0,0,0,0,0,0,,Jasmine,,Alinder,,Pranav,,Anand,,Jasmine Alinder (Project Director: May 2021 to present)<br/>Pranav Anand (Co Project Director: February 2022 to present)<br/>Sean Keilen (Co Project Director: February 2022 to present),"Regents of the University of California, Santa Cruz (Santa Cruz, CA 95064-1077)<br/>Jasmine Alinder (Project Director: May 2021 to present)<br/>Pranav Anand (Co Project Director: February 2022 to present)<br/>Sean Keilen (Co Project Director: February 2022 to present)</div>","Regents of the University of California, Santa Cruz",Santa Cruz,CA,95064-1077,USA,11/1/2021,2021,Humanizing Technology,"Interdisciplinary Studies, Other","Interdisciplinary Studies, Other",243,Humanities Initiatives at Hispanic-Serving Institutions,7,Education Programs,0,0,149500,0,149500,0,149500,0,3/1/2022 &ndash; 2/28/2025,"<p>The development and piloting of a new&nbsp;humanities&nbsp;certificate&nbsp;for engineering students.</p>
<p>With the NEH Initiatives for HSIs grant, we will create a new Certificate in the Humanities to provide rigorous humanistic training for our Engineering students. Our goal is to develop students' capacities as deliberative, critical thinkers about social and cultural systems and to train students who can attest to the relevance of humanistic thinking not simply for their occupational life, but for navigating their values and place in the world. The certificate will achieve three goals: ensure that our many Engineering students use humanistic methods to explore and understand the social, cultural, and historical ramifications of new technologies; make purposeful general education requirements that students now complete haphazardly; and, by introducing Engineering students to humanities disciplines earlier, give them options should they change majors, without prolonging their time to degree.</p>",
273539,HB-273539-21,2,0,0,0,0,0,0,,Benjamin,Patrick,Breen,,,,,,Benjamin Patrick Breen (Project Director: April 2020 to present),"Benjamin Patrick Breen<br/>Regents of the University of California, Santa Cruz (Santa Cruz, CA 95064-1077)","Regents of the University of California, Santa Cruz",Santa Cruz,CA,95064-1077,USA,11/1/2020,2020,"Experimental Drugs, Cold War Science, and the Future That Never Arrived, 1945-1965",History of Science,"Cultural History; History of Science; History, General",273,Awards for Faculty,6,Research Programs,32500,0,32500,0,32500,0,32500,0,1/1/2022 &ndash; 7/31/2022,"<p>Writing leading to a book on scientific and social scientific experimentation with mind- or body-altering drugs during the postwar era (1945-1965).</p>
<p>During the period between 1945 and 1965, some of the world’s leading scientists grew convinced that a newly-developed constellation of experimental drugs could help reshape postwar society. These substances (synthetic hormones, psychedelics like LSD, and sedatives used in a novel form of therapy called narcosynthesis) occupied an entirely new technological category. Unlike, say, penicillin, these new treatments didn’t just cure diseases — they held out the promise of enlarging the very boundaries of the human. It was a utopian future that never arrived. In its place came the past that we now remember: transformative pills refigured either as prosaic “mother’s little helpers” or as stigmatized drugs; the ploughshares of an idealistic postwar moment beaten back into swords. The proposed book is a history of this largely forgotten era of experimental drug research: the ambitious visions that energized it, the reasons that it failed, and the lessons it holds for today.</p>",
273733,FEL-273733-21,2,0,0,0,0,0,0,,Yasmeen,,Daifallah,,,,,,Yasmeen Daifallah (Project Director: April 2020 to present),"Yasmeen  Daifallah<br/>Regents of the University of California, Santa Cruz (Santa Cruz, CA 95064-1077)","Regents of the University of California, Santa Cruz",Santa Cruz,CA,95064-1077,USA,11/1/2020,2020,Thinking Past Islam and the West: Theorizing Politics in Contemporary Arab Thought,Political Theory,Area Studies; Non Western Philosophy; Political Theory,318,Fellowships,6,Research Programs,30000,0,30000,0,30000,0,30000,0,10/1/2021 &ndash; 3/31/2022,"<p>Research and writing leading to a book on the political thought of three prominent contemporary Arab philosophers and historians: Abdullah Laroui (1933—), Hassan Hanafi (1935—), and Mohamed ‘Abed Al-Jabri (1935-2010).</p>
<p>This study explores a critical question in political theory and postcolonial studies, namely: How can we envision political progress in the postcolonial world after the heyday of decolonization? What intellectual and practical resources do we have for theorizing the role of political agency after the demise of the revolutionary ideologies that gave a central role to that agency (e.g., of the nation, the working class, etc.), and the rise of post-independence states that seek to quell it? I address these questions by closely examining the oeuvres of three prominent political thinkers who lived and wrote in the postcolonial Arab world, and whose works heavily influenced intellectual debates about political change from the late 1980s till the eve of the Arab Spring in the 2000s. I shows how each of these thinkers variously defines the conditions for invigorating political agency by actively reinterpreting the Islamic tradition and European political thought for a postcolonial context.</p>",
272316,FZ-272316-20,2,0,0,0,0,0,0,,Gregory,E.,O'Malley,PhD,,,,,Gregory E. O'Malley (Project Director: February 2020 to present),"Gregory E. O'Malley, PhD<br/>Regents of the University of California, Santa Cruz (Santa Cruz, CA 95064-1077)","Regents of the University of California, Santa Cruz",Santa Cruz,CA,95064-1077,USA,7/1/2020,2020,The Escapes of David George (1743-1810): An Odyssey of Slavery and Freedom in the Revolutionary Era,U.S. History,African American History; British History; U.S. History,289,Public Scholars,6,Research Programs,60000,0,60000,0,60000,0,60000,0,7/1/2021 &ndash; 6/30/2022,"<p>Research and writing of a biography of David George (1743-1810), who was born a slave and whose pursuit of freedom intersects with major events of the Revolutionary Era.</p>
<p><em>The Escapes of David George</em> offers a biography of a man born enslaved in Virginia, who ran away repeatedly—to backcountry settlements, to Native American communities, and finally to the British Army during the Revolutionary War. As a refugee, he then moved to Nova Scotia and finally to the British colony of Sierra Leone for emancipated slaves. Since George’s life spanned the revolutionary era, his story offers a counterpoint to the many biographies of America’s white founders. Instead of typical narratives about political freedom from British monarchy, George’s life presents a parallel quest for freedom from American slavery. To achieve his own independence, George fled the U.S. at its creation. As the NEH looks toward the 250th anniversary of American independence, David George offers a vantage point on the lines of exclusion that limited liberty in the new nation, while also providing an inspiring story of an enslaved man’s quest for the ideal that “all men are created equal.”</p>",
262749,HB-262749-19,2,0,2,0,0,0,0,,Yiman,,Wang,,,,,,Yiman Wang (Project Director: April 2018 to June 2021),"Yiman Wang<br/>Regents of the University of California, Santa Cruz (Santa Cruz, CA 95064-1077)","Regents of the University of California, Santa Cruz",Santa Cruz,CA,95064-1077,USA,11/1/2018,2018,Cross-Media World in a Segregationist Era: Chinese-American Actress Anna May Wong (1905-1961),Film History and Criticism,Asian American Studies; Ethnic Studies; Film History and Criticism,273,Awards for Faculty,6,Research Programs,60000,0,60000,0,60000,0,60000,0,7/1/2019 &ndash; 6/30/2020,"<p>Preparation for publication of an open access digital publication&nbsp;about Chinese-American actress Anna May Wong (1905-1961).</p>
<p>This is the first book-length study to focus on the cross-media performances of Anna May Wong—a pioneering Chinese-American actress who forged a transnational career prior to the Civil Rights Movement. Grounded in my eight-year multi-continental archival research, this book answers a pressing question: how might a marginalized ethnic performer, despite her precarious citizenship status due to the 1882 Chinese Exclusion Act, instigate a race-gender-informed rethinking of Euro-American film/media history, and resist social injustices through performances and audience engagement? Foregrounding Wong’s perseverant labor as an actress and an anti-Fascist activist, this book retools glamor-based star studies as performer-worker studies to illuminate contributions rendered by women, minorities and all those considered “minor” players in dominant media and society. This book speaks to humanities and social sciences engagement with (post)coloniality, citizenship, precarious labor, and agency.</p>",
257873,FEL-257873-18,2,0,2,0,1,0,0,,Elaine,A.,Sullivan,,,,,,Elaine A. Sullivan (Project Director: April 2017 to present),"Elaine A. Sullivan<br/>Regents of the University of California, Santa Cruz (Santa Cruz, CA 95064-1077)","Regents of the University of California, Santa Cruz",Santa Cruz,CA,95064-1077,USA,11/1/2017,2017,"Visibility and Ritual Landscape at the Ancient Egyptian Necropolis of Saqqara, 2950-350 BCE",Ancient History,Ancient History; Archaeology,318,Fellowships,6,Research Programs,0,0,50400,0,50400,0,50400,0,1/1/2019 &ndash; 12/31/2019,"<p>Preparation of a digital monograph investigating the ancient Egyptian burial site of Saqqara (2950-350 BCE) comparatively through time and space.</p>
<p>Ancient landscapes are a major focus of study in the field of archaeology, with research centered on the interaction between humans, culture, and the natural and built environment at sites around the world. While clearly of great interest to scholars, these past places remain elusive. The archaeological sites we visit today are palimpsests, the result of thousands of years of change, both architectural and environmental. The born-digital monograph <em>Constructing the Sacred: Visibility and Ritual Landscape at the Egyptian Necropolis of Saqqara</em> addresses ancient ritual landscape from a unique perspective, utilizing emerging 3D technologies to examine development at the complex, multi-period archaeological site of Saqqara, Egypt. Harnessing the temporal layering abilities of the 3D environment, it demonstrates how 3D modeling allows archaeologists to approach questions of meaning and human experience in now-disappeared landscapes in new ways.</p>",
259941,FT-259941-18,2,0,0,0,0,0,0,,J. Cameron,,Monroe,,,,,,J. Cameron Monroe (Project Director: September 2017 to March 2019),"J. Cameron Monroe<br/>Regents of the University of California, Santa Cruz (Santa Cruz, CA 95064-1077)","Regents of the University of California, Santa Cruz",Santa Cruz,CA,95064-1077,USA,3/1/2018,2018,"Archaeology at Cana: A West African City of the Atlantic Era, 1600–1894",Archaeology,African History; Archaeology,3,Summer Stipends,6,Research Programs,0,0,6000,0,6000,0,6000,0,7/1/2018 &ndash; 8/31/2018,"<p>Completion of an archaeological study and publication of a two-volume monograph on the West African kingdom of Dahomey&nbsp;(1600-1894).</p>
<p>Western perspectives on African cities have long privileged external factors in the rise of cities across the continent. In recent decades, however, archaeologists have revealed the local origins of cities, countering such arguments for the exogenous origins of African civilizations. Yet the global trading networks that engulfed Africa in the second millennium AD had wide-reaching impacts on African urban systems, and we are only beginning to explore how local and global forces articulated. Since 2000, I have explored this question in reference to the kingdom of Dahomey in West Africa, which thrived in the era of the trans-Atlantic slave trade. In the coming year I plan to complete a two-volume monograph summarizing archaeological, documentary, and oral evidence from this research. The monograph will represent one of only a few detailed archaeological studies of a West Africa urban community in this period, providing comparative data for scholars working across the region.</p>",
261583,EH-261583-18,1,0,0,0,0,0,0,,Karen,,Bassi,,Gretchen,E.,Henderson,,Karen Bassi (Project Director: February 2018 to November 2021)<br/>Gretchen E. Henderson (Co Project Director: March 2018 to November 2021),"Regents of the University of California, Santa Cruz (Santa Cruz, CA 95064-1077)<br/>Karen Bassi (Project Director: February 2018 to November 2021)<br/>Gretchen E. Henderson (Co Project Director: March 2018 to November 2021)</div>","Regents of the University of California, Santa Cruz",Santa Cruz,CA,95064-1077,USA,7/1/2018,2018,Museums: Humanities in the Public Sphere,"Interdisciplinary Studies, General","Interdisciplinary Studies, General; Public History",13,Institutes for Higher Education Faculty,7,Education Programs,0,0,200000,0,200000,0,200000,0,10/1/2018 &ndash; 12/31/2019,"<p>A four-week summer institute for 25 college and university teachers to examine museums as sites of cultural meaning, to be held in Washington, DC.</p>
<p>""Museums: Humanities in the Public Sphere"" is an in-depth exploration of museums and curated cultural collections around Washington, D.C. The four-week Institute approaches museums as sites for interdisciplinary inquiry into advances in humanistic and scientific research, the effects of ongoing international conflicts, the speed of evolving technologies, and ethical debates over privacy and sustainability and cultural heritage. These explorations are guided by weekly lectures and seminars led by six outstanding Visiting Faculty and a renowned Visiting Artist, working together with local museum specialists. Complemented by carefully chosen readings, excellent library resources, and targeted museum visits as case studies, the Institute is guided by the principle that museums offer windows on the educational, ethical, and cultural debates that define the humanities today.</p>",
261751,FV-261751-18,1,0,0,0,0,0,0,,John,O.,Jordan,,Marty,Russell,Gould,,John O. Jordan (Project Director: February 2018 to November 2021)<br/>Marty Russell Gould (Co Project Director: August 2018 to November 2021),"Regents of the University of California, Santa Cruz (Santa Cruz, CA 95064-1077)<br/>John O. Jordan (Project Director: February 2018 to November 2021)<br/>Marty Russell Gould (Co Project Director: August 2018 to November 2021)</div>","Regents of the University of California, Santa Cruz",Santa Cruz,CA,95064-1077,USA,7/1/2018,2018,Reimagining the Literary Classic: Teaching Literature through Adaptations,British Literature,British Literature; Film History and Criticism; Literary Criticism,15,Seminars for K-12 Educators,7,Education Programs,0,0,94143,0,94143,0,94143,0,10/1/2018 &ndash; 9/30/2019,"<p>A three-week seminar for 16 school teachers on adaptations of literary
works.</p>
<p>This three-week seminar for middle and high school teachers uses two case studies - Charlotte Bronte's ""Jane Eyre"" and Charles Dickens's ""Great Expectations"" - to show teachers how they can use literary imitations and appropriations to connect the study of literature with the development of their students' skills in critical reading, analytical reasoning, argumentative writing, and creative production. Informed by current and emerging trends in adaptation studies and drawing on scholarship in literary, film, and cultural studies, the seminar examines two frequently taught nineteenth-century texts as reimagined and refracted in imitative texts, plays, and films, including ""Rebecca"", ""Wide Sargasso Sea"", ""Mr. Pip"", and more.</p>",
