ApplicationID,ApplicationNumber,ApplicantType,SuppCount,ProductCount,CoverageCount,PrizeCount,ParticipatingInstitutionCount,WhitePaper,WhitePaperPath,PDFirstname,PDMiddlename,PDLastname,PDNameSuffix,CoPDFirstname,CoPDMiddlename,CoPDLastname,CoPDNameSuffix,Participants,GranteeDisplay,Institution,InstCity,InstState,InstPostalCode,InstCountry,CouncilDate,YearAwarded,ProjectTitle,PrimaryDiscipline,AllDisciplines,ProgramID,ProgramName,DivisionID,DivisionName,OfferedOutright,OfferedMatching,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,GrantPeriod,ProjectDesc,ToSupport
270243,FT-270243-20,2,0,0,0,0,0,0,,Dana,Velasco,Murillo,,,,,,Dana Velasco Murillo (Project Director: September 2019 to December 2021),"Dana Velasco Murillo<br/>Regents of the University of California, San Diego (La Jolla, CA 92093-0013)","Regents of the University of California, San Diego",La Jolla,CA,92093-0013,USA,3/1/2020,2020,"The Chichimeca Arc: War, Peace, and Resettlement in America’s First Borderlands, 1546-1616",Latin American History,Cultural History; Latin American History; Women's History,3,Summer Stipends,6,Research Programs,6000,0,6000,0,6000,0,6000,0,7/1/2020 &ndash; 8/31/2020,"<p>Writing one chapter of a book on war and indigenous
peoples in central Mexico, 1546-1616.</p>
<p>The war against stateless peoples (1550-1590) in America’s first borderlands—New Spain’s emerging near northern silver mining district—devastated nomadic indigenous populations (generically called Chichimecas). Traditional native hunting and foraging lands experienced intense ecological change and native men and women were killed or sold into long-term enslavement. Worn down by years of violence and deprivation, native peoples gradually submitted to Spanish rule in the late 1580s, agreeing to resettlement in reducciones (reservations) near Spanish towns. The focus on state peoples and events casts Iberians and sedentary indigenous migrants from central Mexico as the main subjects of this foundational borderlands history. This book recovers and repositions Chichimecas as central protagonists. It considers how they experienced the war, took an active role in peacemaking, responded to social reorganization in reducciones, and navigated the state’s attempts to transform their lifeways.</p>",
261867,CHA-261867-19,1,0,0,0,0,0,0,,Cristina,,Della Coletta,,,,,,Cristina Della Coletta (Project Director: March 2018 to present),"Regents of the University of California, San Diego (La Jolla, CA 92093-0013)<br/>Cristina Della Coletta (Project Director: March 2018 to present)</div>","Regents of the University of California, San Diego",La Jolla,CA,92093-0013,USA,7/1/2018,2018,A Cornerstone for the Humanities: The Institute of Arts and Humanities,"Interdisciplinary Studies, General","Interdisciplinary Studies, General",321,Infrastructure and Capacity Building Challenge Grants,4,Challenge Programs,0,534361,0,534361,0,534361,534361,0,10/1/2018 &ndash; 9/30/2022,"<p>The construction of a new Institute of Arts and
Humanities, located in the university’s Arts and Humanities Building, to
support scholarly research and collaborative programming in the areas of
global, public, and digital humanities.</p>
<p>This proposal seeks NEH funding
to support construction costs of a new home for the Institute of Arts and
Humanities on the 6th floor of a brand new Arts and Humanities Building to be
completed in 2020-21. The Institute of Arts and Humanities launched in 2016-17
connects 15 interdisciplinary programs and centers and it is currently constrained
by space limitations. Under the banner of the Institute of Arts and Humanities,
curricula will be revised, interdisciplinary collaborations undertaken and
high-quality scholarly research completed with programs initiated in the areas
of global, public and digital humanities. The institute will bring visibility
to the humanities on a largely STEM campus, attracting top-caliber scholars,
graduate students and undergraduate majors in the humanities. Additionally,
off-campus visitors and the greater community will find this new location
easily accessible to the many public programs being offered.</p>",
262728,FEL-262728-19,2,0,0,0,0,0,0,,Roy,,Perez,,,,,,Roy Perez (Project Director: April 2018 to February 2022),"Roy  Perez<br/>Regents of the University of California, San Diego (Salem, OR 97301-3922)","Regents of the University of California, San Diego",Salem,OR,97301-3922,USA,11/1/2018,2018,Proximities: Cross-Cultural Collaboration in Latina/o Literature and Performance Since 1960,American Studies,"American Studies; Ethnic Studies; History, Criticism, and Theory of the Arts",318,Fellowships,6,Research Programs,35000,0,35000,0,35000,0,35000,0,1/1/2020 &ndash; 7/31/2020,"<p>Research and writing leading to a book on the
cultural and ethnic identity of Latina/o writers and artists since the 1960s.</p>
<p>This project will be the first book-length
study of cross-cultural collaboration and representation in Latina/o writing
and visual art. During the civil rights movements of the 1960s, Latino/a
artists often expressed their cultural identities and political aspirations
through their collaborations with, and representations of, other ethnic
groups such as Native Americans, Asian Americans and African Americans. <em>Proximities</em> examines collaborations
across race and ethnicity in Latina/o literature, visual art, and performance
in order to model cross-cultural methods that reveal instances of vital
collaboration and representation. Such a perspective rewrites the history of
Latina/o culture in the US. Through a combination of historical and aesthetic
analysis, <em>Proximities</em> reveals a
hidden archive of vital Latina/o cross-cultural flashpoints, beginning at the
turn of the nineteenth century and then proceeding from the civil rights era
to the contemporary moment.</p>",
253004,FA-253004-17,2,0,1,0,0,0,0,,Frank,,Biess,,,,,,Frank Biess (Project Director: May 2016 to November 2018),"Frank  Biess<br/>Regents of the University of California, San Diego (La Jolla, CA 92093-0013)","Regents of the University of California, San Diego",La Jolla,CA,92093-0013,USA,11/1/2016,2016,Fear and Democracy in West Germany during the Cold War,European History,Cultural History; European History; Political History,1,Fellowships for University Teachers,6,Research Programs,0,0,50400,0,50400,0,50400,0,7/1/2017 &ndash; 6/30/2018,"<p>A book-length study on fear and democracy in West Germany.</p>
<p>Drawing on multidisciplinary research on emotions, my project explains how recurrent waves of fear and anxiety shaped the history of West Germany and influenced the process of democratization from the 1940s through the 1980s. It challenges dominant teleological narratives of the Federal Republic's successful postwar stabilization and ""arrival in the West"" by taking seriously Germans' own apprehensions of their imagined futures. Based on a series of empirically rich case studies, the project analyzes the shifting objects of fear and anxiety, as well as the changing norms governing the experience and expression of these emotions. A synthetic analysis draws these cases together to offer a unique perspective on the development of the Federal Republic&mdash;one that underlines the importance of emotions for understanding the process of historical change. An epilogue analyzes the implications of the history of fear and anxiety before 1989 for the political culture of post-unification Germany.</p>",
250386,FZ-250386-16,2,0,0,0,0,0,0,,Natalia,,Molina,,,,,,Natalia Molina (Project Director: January 2016 to present),"Natalia Molina<br/>Regents of the University of California, San Diego (La Jolla, CA 92093-0013)","Regents of the University of California, San Diego",La Jolla,CA,92093-0013,USA,7/1/2016,2016,Place-Makers and Place-Making: The Story of a Los Angeles Community,Latino History,Immigration History; Latino History; Urban Studies,289,Public Scholars,6,Research Programs,0,0,50400,0,50400,0,50400,0,7/1/2017 &ndash; 6/30/2018,"<p>A history of the Echo Park neighborhood of Los Angeles, the book will highlight the role of six largely Mexican-owned restaurants and their clientele (including movie stars, baseball players, boxers, activists, musicians, and artists) in building a community for immigrants in the 1950s and 1960s. The book will also address gentrification and the loss of historical memory it often entails.&nbsp;</p>
<p>For decades, outsiders dismissed Echo Park, a neighborhood in the heart of Los Angeles, as just another barrio, dirty and dangerous. In the last ten years, gentrification has transformed it into a trendy, hipster zone. Neither label captures Echo Park&rsquo;s unique reality as a crossroads where a variety of communities intersected with the wider cosmopolitan city. ""Placemakers"" examines a century of change in Echo Park&rsquo;s diverse history. At the heart of the book is an in-depth look at six Echo Park restaurants during the 1950s and 60s that served to form community and preserve memory. ""Placemakers"" will open new dialogues focusing on the immigrant, urban, multicultural experience, social relations and political structures.  These dialogues are urgently relevant for every American neighborhood struggling to maintain its history and identity in the face of the transformational and history-erasing force of gentrification and displacement.</p>",
229538,FT-229538-15,2,0,2,0,0,0,0,,Daisuke,,Miyao,,,,,,Daisuke Miyao (Project Director: September 2014 to December 2015),"Daisuke  Miyao<br/>Regents of the University of California, San Diego (La Jolla, CA 92093-0013)","Regents of the University of California, San Diego",La Jolla,CA,92093-0013,USA,3/1/2015,2015,"The Influence of Japanese Art, Culture, and Aesthetics on the Birth of Cinema, 1860-1910",East Asian Studies,East Asian Studies; Film History and Criticism,3,Summer Stipends,6,Research Programs,0,0,6000,0,6000,0,6000,0,7/1/2015 &ndash; 8/31/2015,"<p>Summer research and writing on East Asian Studies and Film History and Criticism.</p>
<p>This is a new book project that examines the connections between Japonisme and the emergence of cinema. By doing so, the primary goal of this project is to clearly describe the complicated power relations among France, the United States, and Japan in the late nineteenth century to early twentieth century. In this sense, this is a perfect project that responds to NEH's Bridging Cultures initiative. I would argue that Japonisme--the influence of the Japanese art, culture and aesthetics on European and American art, roughly between the 1860s and 1910s--also had a significant impact on the emergence of cinema in Europe, the US, and East Asia. The book, tentatively titled Japonisme and the Birth of Cinema, has three parts with six chapters. I seek support from NEH Summer Stipends to conduct research in Japan for the second and the third parts.</p>",
224288,RZ-51658-14,1,0,2,0,1,0,0,,Robert,S.,Edelman,,Christopher,,Young,,Robert S. Edelman (Project Director: January 2014 to December 2019)<br/>Christopher Young (Co Project Director: January 2014 to December 2019),"Regents of the University of California, San Diego (La Jolla, CA 92093-0013)<br/>Robert S. Edelman (Project Director: January 2014 to December 2019)<br/>Christopher Young (Co Project Director: January 2014 to December 2019)</div>","Regents of the University of California, San Diego",La Jolla,CA,92093-0013,USA,7/1/2014,2014,The Global History of Sport in the Cold War,"History, General","History, General",5,Collaborative Research,6,Research Programs,0,0,64216,0,64206.2,0,64206.2,0,9/1/2014 &ndash; 8/31/2017,"<p>Three international scholarly workshops over a three-year period addressing the topic of politics and sport during the Cold War, as well as preparation of the resulting papers and associated materials for publication through two print volumes and an open-access website. (36 months)</p>
<p>Sport has long been linked with politics, but never more so than during the Cold War. In this highly precarious time, nations and peoples around the world used sport to promote their political, social, and economic development. The media promoted mega-events between capitalist and Communist athletes as surrogates for diplomatic and military tension. Yet, for all its obvious ideological freighting, sport in this period reflected a complex integration of commerce, celebrity, trans-regional and trans-national fan loyalties. It revealed different and shifting notions of race, class and gender (often within a single nation), and the uneasy mapping of sports and geopolitical allegiances could even make bitter rivals of strategic partners.</p>",
224751,ES-50554-14,1,0,0,0,0,0,0,,Matthew,T.,Herbst,,,,,,Matthew T. Herbst (Project Director: March 2014 to May 2016),"Regents of the University of California, San Diego (La Jolla, CA 92093-0013)<br/>Matthew T. Herbst (Project Director: March 2014 to May 2016)</div>","Regents of the University of California, San Diego",La Jolla,CA,92093-0013,USA,7/1/2014,2014,Istanbul Between East and West: Crossroads to History,"History, General","History, General",14,Institutes for K-12 Educators,7,Education Programs,0,0,200000,0,190933.51,0,190933.51,0,10/1/2014 &ndash; 12/31/2015,"<p>A three-week institute in Istanbul for twenty-five middle and high school teachers, exploring the history of the Byzantine Empire, the Ottoman Empire, and modern Turkey.</p>
<p>The University of California San Diego's Making of the Modern World (MMW), a general education world history program, proposes a three-week Summer Institute in Istanbul (Sunday July 5, 2015 to Saturday July 26, 2015), to provide 25 middle-and high-school social studies teachers a better understanding of a city and region that has long functioned as a critical crossroad of regional and world history. The Institute uses Istanbul as an intellectual point of departure to explore the Byzantine and Ottoman Empires and modern Turkey. The Institutes's program situates this history in the larger context of the Mediterranean and Middle East and in the even broader framework of world history with its emphasis on cross-cultural encounters and global comparisons.</p>",
210607,FA-56424-12,2,0,9,0,0,0,0,,Sarah,,Schneewind,,,,,,Sarah Schneewind (Project Director: May 2011 to June 2013),"Sarah Schneewind<br/>Regents of the University of California, San Diego (La Jolla, CA 92093-0013)","Regents of the University of California, San Diego",La Jolla,CA,92093-0013,USA,11/1/2011,2011,"Shrines to Living Officials and Political Participation in Ming China, 1368-1644",East Asian History,East Asian History,1,Fellowships for University Teachers,6,Research Programs,0,0,50400,0,50400,0,50400,0,7/1/2012 &ndash; 6/30/2013,"<p>Ming people inherited and created a landscape dotted with temples and shrines honoring not only deities, but men and women. Scholars have studied shrines to dead people, but have hardly noticed a very common set of shrines to men who were still alive. Ideally built by local commoners sorry to part with a good official moving to another post, pre-mortem shrines were legal, accepted, and ubiquitous. They could be temporary or permanent, large or small; some men were enshrined together, while one county magistrate had an image in each home. This first book on pre-mortem shrines will focus on Ming, whose autocratic, bureaucratic monarchy is often seen as the height of despotism in China, and posed as the defining other to a democratizing Europe. I will show that Ming subjects, not just elite men but also commoners, used pre-mortem shrines to claim roles in politics, claims recognized as legitimate within the Mandate of Heaven ideology that justified imperial power.</p>",
215184,ES-50442-12,1,0,0,0,0,0,0,,Matthew,T.,Herbst,,,,,,Matthew T. Herbst (Project Director: March 2012 to April 2015),"Regents of the University of California, San Diego (La Jolla, CA 92093-0013)<br/>Matthew T. Herbst (Project Director: March 2012 to April 2015)</div>","Regents of the University of California, San Diego",La Jolla,CA,92093-0013,USA,7/1/2012,2012,Istanbul Between East and West: Crossroads of History,"History, General","History, General",14,Institutes for K-12 Educators,7,Education Programs,0,0,199993,0,190608.01,0,190608.01,0,10/1/2012 &ndash; 12/31/2014,"<p>A three-week institute in Istanbul, Turkey, for twenty-five school teachers on the Byzantine and Ottoman Empires, and modern Turkey.</p>
<p>The Making of the Modern World, a general education world history program at the University of California San Diego, proposes a three-week Institute in Istanbul (June 23 -- July 14, 2013) to provide 25 middle- and high-school social studies teachers a better understanding of a city and region that has long functioned as a critical crossroad of regional and world history. The Institute uses Istanbul as an intellectual point of departure to explore the Byzantine and Ottoman Empires and modern Turkey. The Institute's program situates this history in the larger context of the Mediterranean and Middle East and in the even broader framework of world history with its emphasis on cross-cultural encounters and global comparisons.</p>",
