ApplicationID,ApplicationNumber,ApplicantType,SuppCount,ProductCount,CoverageCount,PrizeCount,ParticipatingInstitutionCount,WhitePaper,WhitePaperPath,PDFirstname,PDMiddlename,PDLastname,PDNameSuffix,CoPDFirstname,CoPDMiddlename,CoPDLastname,CoPDNameSuffix,Participants,GranteeDisplay,Institution,InstCity,InstState,InstPostalCode,InstCountry,CouncilDate,YearAwarded,ProjectTitle,PrimaryDiscipline,AllDisciplines,ProgramID,ProgramName,DivisionID,DivisionName,OfferedOutright,OfferedMatching,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,GrantPeriod,ProjectDesc,ToSupport
285080,PW-285080-22,1,0,0,0,0,0,0,,Lucas,,Richert,,,,,,Lucas Richert (Project Director: July 2021 to present),"University of Wisconsin System (Madison, WI 53715-1218)<br/>Lucas Richert (Project Director: July 2021 to present)</div>",University of Wisconsin System,Madison,WI,53715-1218,USA,3/1/2022,2022,"Accessing the History of Health, Pharmacy, and Medicines at UWSoP/AIHP","History, General","History of Science; History, General; Interdisciplinary Studies, General",253,Humanities Collections and Reference Resources,1,Preservation and Access,0,0,326326,0,326326,0,326326,0,6/1/2022 &ndash; 5/31/2025,"<p>The arrangement and
description of 1,000 linear feet and digitization of 2,000 artifacts and ephemera
documenting the history of pharmacy, pharmaceuticals, medicines, and public
health in the U.S. from 1850 to the late twentieth century.</p>
<p>The goal of this three-year project is to improve the ability of researchers to discover, use, and access important historical and archival collections held by the American Institute of the History of Pharmacy (AIHP) and the University of Wisconsin–Madison School of Pharmacy (UWSoP). The collections sit at the intersection of the humanities and the health sciences and provide valuable historical context about a range of contemporary issues related to pharmacy, pharmaceuticals, drugs, and public health. The project will (1) create a comprehensive and detailed finding aid for the Kremers Reference files, a deep, diverse, and uncataloged topical archival collection of about 1,000 cubic feet; (2) begin inventorying the significant and uncataloged AIHP and UWSoP ephemera and artifact collections that document the material culture of pharmacy; and (3) create an online freely accessible digital library populated by about 1,000 artifacts and 1,000 pieces of ephemera from the collections.</p>",
272983,FEL-272983-21,2,0,0,0,0,0,0,,Aparna,,Dharwadker,,,,,,Aparna Dharwadker (Project Director: April 2020 to present),"Aparna  Dharwadker<br/>University of Wisconsin System (Madison, WI 53715-1218)",University of Wisconsin System,Madison,WI,53715-1218,USA,11/1/2020,2020,"""Alternative Modernities"" and the Modernization of Urban Theatre in India",Theater History and Criticism,South Asian Literature; South Asian Studies; Theater History and Criticism,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,1/1/2022 &ndash; 12/31/2022,"<p>Research and writing leading of a book about urban theater and modernity in colonial and postcolonial India, from 1850 to the present.</p>
<p>This study argues that the development of urban theatre as a secular, competitive, artistic institution in colonial and postcolonial India exemplifies in uniquely complex ways the “alternative modernity” of cultural forms in the Global South. Given India’s long precolonial history of multilingual literacy and indigenous performance, the modernizing force of Anglo-European influences created aesthetic, material, and institutional conditions for theatre after 1850 that were historically unprecedented and culturally transformative, but still affected by the legacies of “tradition.” The new initiatives included the resurgence of classical Sanskrit models, print authorship, large-scale translation, anti-commercialism, and the formation as well as subversion of a “new national canon” after independence (1947-). My project thus delineates the evolving modernity of a major non-Western urban theatre field, connecting it to sociocultural shifts in India and to vital movements in world theatre.</p>",
273380,FEL-273380-21,2,0,0,0,0,0,0,,Patrick,Justus,Iber,,,,,,Patrick Justus Iber (Project Director: April 2020 to present),"Patrick Justus Iber<br/>University of Wisconsin System (Madison, WI 53715-1218)",University of Wisconsin System,Madison,WI,53715-1218,USA,11/1/2020,2020,"The Ford Foundation, Social Science, and the Politics of Poverty and Inequality in Cold War Latin America",Latin American History,Diplomatic History; Intellectual History; Latin American History,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,1/1/2022 &ndash; 12/31/2022,"<p>Research and writing leading to a book about the Ford Foundation’s social scientific research in Latin America during the Cold War.</p>
<p>This book will provide an examination of the development of social scientific thinking about poverty and inequality as seen through the operations of the Ford Foundation in Cold War Latin America. During the Cold War, the Ford Foundation was the major institution for the promotion and consolidation of the social sciences throughout the region, and Latin America was an essential site of Cold War contestation in what the United States understood to be its area of influence. Poverty was seen as a political danger, since it could lead the poor to embrace Communism; understanding it and alleviating was a matter of national security. This project will examine the grants, practices, and institutions developed and supported by the Ford Foundation. In so doing, it will make it possible to track changing understandings of poverty and inequality over time, and thus contribute to the intellectual history of the social sciences, U.S. diplomatic history, and Latin American history.</p>",
277395,PW-277395-21,1,0,0,0,0,0,0,,Matthew,H.,Edney,,,,,,Matthew H. Edney (Project Director: July 2020 to present),"University of Wisconsin System (Madison, WI 53715-1218)<br/>Matthew H. Edney (Project Director: July 2020 to present)</div>",University of Wisconsin System,Madison,WI,53715-1218,USA,3/1/2021,2021,The History of Cartography Project,"Interdisciplinary Studies, General","Cultural History; History, Other; Interdisciplinary Studies, General",253,Humanities Collections and Reference Resources,1,Preservation and Access,0,165000,185000,165000,185000,165000,350000,0,7/1/2021 &ndash; 6/30/2023,"<p>The&nbsp;production of the fifth and final volume of the History of Cartography, a standard reference for the field of maps and map history. This volume,&nbsp;<em>Cartography in the Nineteenth Century</em>, would include an interpretive encyclopedia of 408 entries written by 193 contributors, to be made available online and archived digitally.&nbsp;</p>
<p>We request an implementation grant for July 2021–June 2023 to advance towards completion the final volume of a major reference series, The History of Cartography. Work planned includes research and extensive preparation of Volume Five. This award-winning series is the only comprehensive and reliable resource to study the people, cultures, and societies that have produced and used maps from prehistory to the present. It provides intellectual access to the complex world of maps for scholars and the public. It promotes and sustains the humanistic interpretation of maps as evidentiary sources. Experienced editors, contributors, and staff thoroughly research and rigorously check its content. The University of Chicago Press is responsible for publishing and distributing the volumes, making them available to a broad audience in print, e-book, and eventually free online editions.</p>",
278085,DR-278085-21,1,0,0,0,0,0,0,,Dennis,,Lloyd,,,,,,Dennis Lloyd (Project Director: August 2020 to present),"University of Wisconsin System (Madison, WI 53715-1218)<br/>Dennis Lloyd (Project Director: August 2020 to present)</div>",University of Wisconsin System,Madison,WI,53715-1218,USA,,2020,"Open Access Edition of ""Citizen Countess: Sofia Panina and the Fate of Revolutionary Russia"" by Adele Lindenmeyr",Russian History,Russian History,324,Fellowships Open Book Program,12,Digital Humanities,0,0,5500,0,5500,0,5500,0,1/1/2021 &ndash; 6/30/2022,"<p>This project will publish the book ""Citizen Countess,"" written by NEH Fellow Adele Lindenmeyr (NEH grant number FB-3760-08), in an electronic open access format under a Creative Commons license, making it available for free download and distribution. The author will be paid a royalty of at least $500 upon release of the open access ebook.</p>",
278482,FT-278482-21,2,0,0,0,0,0,0,,Laila,,Amine,,,,,,Laila Amine (Project Director: September 2020 to January 2022),"Laila  Amine<br/>University of Wisconsin System (Madison, WI 53715-1218)",University of Wisconsin System,Madison,WI,53715-1218,USA,3/1/2021,2021,Return Travel: The African Diaspora Across Genres of Mobility,African American Studies,African American Studies; Comparative Literature; Literary Criticism,3,Summer Stipends,6,Research Programs,6000,0,6000,0,6000,0,6000,0,5/1/2021 &ndash; 6/30/2021,"<p>Research and writing one chapter of a
book examining Anglophone Black
literature’s representation of mobility in the African diaspora. &nbsp;</p>
<p>I am applying for the 2021 National Endowment for the Humanities Summer Stipend to research and write the third chapter of my second book, Return Travel: The African Diaspora Across Genres of Mobility. By return travel, I refer to critical discourses that have remained cordoned off in the study of contemporary black Anglophone literature: African diasporic return to an ancestral home, reverse migration to post-colonies, and the return visit of exiles to their country of origin. Whether temporary, frequent, or permanent, return constitutes quests for freedom. Drawing on and bridging travel, diaspora, and postcolonial studies, Return Travel explains the significance of ubiquitous homecomings that outlasted the American civil rights movement and the independence of African and Caribbean nations.</p>",
279683,RQ-279683-21,1,0,0,0,0,0,0,,John,,Kaminski,,,,,,John Kaminski (Project Director: November 2020 to present),"University of Wisconsin System (Madison, WI 53715-1218)<br/>John Kaminski (Project Director: November 2020 to present)</div>",University of Wisconsin System,Madison,WI,53715-1218,USA,7/1/2021,2021,The Documentary History of the Ratification of the Constitution and the Adoption of the Bill of Rights,U.S. History,American Government; Political History; U.S. History,193,Scholarly Editions and Translations,6,Research Programs,0,150000,300000,150000,300000,0,300000,0,10/1/2021 &ndash; 9/30/2024,"<p>Preparation for print publication of volumes 3, 4, and 5 on the
ratification of the Bill of Rights and digital publication of supplemental
documents. (36 months)&nbsp;</p>
<p>The Documentary History of the Ratification of the Constitution and the Bill of Rights (DHRC) is one of the premier scholarly editing projects in the United States. Its mandate is to collect and publish the documentary record of the debate over the ratification of the U.S. Constitution and the Bill of Rights between 1787 and 1791. Copies of relevant documents have been collected from several thousand libraries, archives, historical societies, town clerk and county offices, and private collections. All books, pamphlets, broadsides, newspapers, and magazines published during this period have been searched. Over 17,000 manuscripts and 48,000 newspaper items have been accessioned. All manuscript collections for the time period are searched. In addition to scholars, DHRC volumes are used by judges, lawyers, and politicians in shaping public law and policy. The volumes have been cited by the U.S. Supreme Court, the U.S. district and appeals courts, and in many law reviews.</p>",
280670,PG-280670-21,1,0,0,0,0,0,0,,Sarah,,Carter,,,,,,Sarah Carter (Project Director: January 2021 to present),"University of Wisconsin System (Madison, WI 53715-1218)<br/>Sarah Carter (Project Director: January 2021 to present)</div>",University of Wisconsin System,Madison,WI,53715-1218,USA,7/1/2021,2021,Preservation Supplies for Enhanced Collections Care at the Helen Louise Allen Textile Collection,"Arts, Other","Arts, Other",230,Preservation Assistance Grants,1,Preservation and Access,0,0,6417,0,6417,0,6417,0,9/1/2021 &ndash; 8/31/2022,"<p>The purchase of preservation supplies and storage hardware recommended by a Collections Assessment for Preservation report developed for the Helen Louise Allen Textile Collection (HLATC) in 2017.&nbsp;The&nbsp;collection&nbsp;began with 4,000 textiles collected by Helen Louise Allen, a professor of weaving and textile cultures for&nbsp;more than&nbsp;forty&nbsp;years at&nbsp;the University of Wisconsin,&nbsp;Madison.&nbsp;The collection&nbsp;represents 2,600 years of textile history from 108 countries.&nbsp;The oldest objects in HLATC are six ancient Peruvian fragments woven&nbsp;circa&nbsp;the&nbsp;second&nbsp;century BCE, while the newest objects are face masks collected in 2020&nbsp;during&nbsp;the&nbsp;COVID-19&nbsp;pandemic.&nbsp;The grant would&nbsp;help&nbsp;HLATC reduce or eliminate unnecessary environmental stressors on its delicate textile artifacts and prepare for emergency situations. This includes purchasing UV filters&nbsp;for&nbsp;the research room and classroom,&nbsp;removing and replacing non-archival plywood shelving with new archival storage cabinets,&nbsp;and purchasing supplies for emergency preparedness kits.</p>
<p>This grant would support the purchase of preservation supplies and storage hardware recommended by a Collections Assessment for Preservation (CAP) report developed for the Helen Louise Allen Textile Collection (HLATC) in 2017. The activities outlined in this application will allow HLATC to reduce or eliminate unnecessary environmental stressors on its delicate textile artifacts and prepare for emergency situations.</p>",
270308,FT-270308-20,2,0,0,0,0,0,0,,Katrina,Daly,Thompson,,,,,,Katrina Daly Thompson (Project Director: September 2019 to December 2021),"Katrina Daly Thompson<br/>University of Wisconsin System (Madison, WI 53715-1218)",University of Wisconsin System,Madison,WI,53715-1218,USA,3/1/2020,2020,A Multi-sited Ethnography of Non-Conforming North American Muslims,Linguistic Anthropology,"Linguistic Anthropology; Religion, Other",3,Summer Stipends,6,Research Programs,6000,0,6000,0,6000,0,6000,0,6/15/2020 &ndash; 8/15/2020,"<p>Research and writing leading to an ethnographic monograph
on the use of language (both Arabic and English) to create communities of nonconforming Muslims in North America.</p>
<p>Muslims on the Margins tells the ethnographic story of a multi-sited community coalescing around creative (re)interpretations of the Qur’an, critical questioning of taken-for-granted Muslim norms, and radical inclusion of those who are ‘queer’ in various ways. The book's humanizing, ethnographic, and sociolinguistic approach centers on the voices and interpretations of LGBT and gender-nonconforming Muslims and their allies collected over a 45-month period in North American face-to-face and international online groups that label themselves “progressive” or “inclusive.” By examining how eclectic participants form small and large-scale communities, learn and teach one another the norms of these communities, and find meaning in their practices, the book will lead to deeper understanding of Muslim diversity, overturn stereotypes that Islam and queerness are incompatible, and encourage appreciation for both similarities and differences across religious beliefs.</p>",
270692,FT-270692-20,2,0,0,0,0,0,0,,Anat,,Schechtman,,,,,,Anat Schechtman (Project Director: September 2019 to December 2021),"Anat  Schechtman<br/>University of Wisconsin System (Madison, WI 53715-1218)",University of Wisconsin System,Madison,WI,53715-1218,USA,3/1/2020,2020,Non-Quantitative Notions of Infinity in 17th Century Philosophy,History of Philosophy,History of Philosophy; Metaphysics; Philosophy of Religion,3,Summer Stipends,6,Research Programs,6000,0,6000,0,6000,0,6000,0,6/1/2020 &ndash; 7/31/2020,"<p>Writing two chapters of a book on the
concept of infinity in the writings of philosophers of the 17th century.</p>
<p>Relatively little attention has been devoted to the study of important, yet often overlooked, non-quantitative notions of infinity in 17th century philosophy, in contrast to the considerable attention devoted to treatments of infinity in quantitative contexts in the period, especially in mathematics and physics. My project aims to fill the lacuna left by such previous studies. One of its main innovations is that it will examine non-quantitative notions of infinity in the early modern period alongside quantitative notions, and clarify how they are different. The intended final product of the fellowship is a book manuscript, which is under contract with Oxford University Press. I anticipate that it will reshape the existing debate on infinity in medieval and early modern philosophy, and will be an invaluable resource for scholars and graduate students working in these fields.</p>",
