ApplicationID,ApplicationNumber,ApplicantType,SuppCount,ProductCount,CoverageCount,PrizeCount,ParticipatingInstitutionCount,WhitePaper,WhitePaperPath,PDFirstname,PDMiddlename,PDLastname,PDNameSuffix,CoPDFirstname,CoPDMiddlename,CoPDLastname,CoPDNameSuffix,Participants,GranteeDisplay,Institution,InstCity,InstState,InstPostalCode,InstCountry,CouncilDate,YearAwarded,ProjectTitle,PrimaryDiscipline,AllDisciplines,ProgramID,ProgramName,DivisionID,DivisionName,OfferedOutright,OfferedMatching,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,GrantPeriod,ProjectDesc,ToSupport
273567,HB-273567-22,2,0,0,0,0,0,0,,Derrais,Armarne,Carter,,,,,,Derrais Armarne Carter (Project Director: April 2020 to present),"Derrais Armarne Carter<br/>Arizona Board of Regents (Tucson, AZ 85721-0001)",Arizona Board of Regents,Tucson,AZ,85721-0001,USA,11/1/2020,2020,Blaxploitation: A Narrative History,African American Studies,African American Studies; Cultural History,273,Awards for Faculty,6,Research Programs,40000,0,40000,0,40000,0,40000,0,1/1/2022 &ndash; 8/31/2022,"<p>Research and writing leading to a narrative history book of Blaxploitation film framed in relation to multiple, contemporaneous politics of Black self-representation.</p>
<p>Blaxploitation: A Narrative History investigates the emergence of a Civil Rights Movement Black cultural discourse that wrestled over cinematic representation throughout the 1970s. Coined in 1972 by activist Junius Griffin, the term highlighted how upon “discovering” Black filmgoing audiences, the (white) film industry exploited Black actors to create and promote cheaply made films for Black people.  Rather than overtax the theme of white exploitation of Black labor, my book argues that the term blaxploitation also identifies lesser known, yet ongoing, intraracial conflicts among Black artists, activists, and intellectuals.</p>",
283658,ZPA-283658-22,1,0,0,0,0,0,0,,Javier,,Duran,PhD,,,,,Javier Duran (Project Director: May 2021 to present),"Arizona Board of Regents (Tucson, AZ 85721-0001)<br/>Javier Duran (Project Director: May 2021 to present)</div>",Arizona Board of Regents,Tucson,AZ,85721-0001,USA,8/1/2021,2021,Reclaiming Cultural Heritage in the Borderlands,"Interdisciplinary Studies, Other","Interdisciplinary Studies, Other",329,ARP-Organizations (Preservation-related),8,Agency-wide Projects,0,0,404769,0,385968,0,385968,0,10/1/2021 &ndash; 9/30/2022,"<p>The creation of two writing specialist positions and the&nbsp;hiring&nbsp;of five student workers&nbsp;to support&nbsp;a cross-institutional program at the University of Arizona that would bolster&nbsp;a variety of&nbsp;humanities&nbsp;programs&nbsp;about American borderlands cultural heritage.&nbsp;</p>
<p>Reclaiming Cultural Heritage in the Borderlands is a one-year project that bolsters vital humanities research, education, and public engagement programs rooted in the cultural identity and history of the borderlands region as well as in UArizona’s designation as Hispanic Serving Institution (HSI). This project will 1) support research and educational resources via the digitization of hundreds of UArizona Press books highlighting Latinx and Indigenous communities but currently only available in print, 2) create an archive of stories focused on efforts for racial justice and equality among underrepresented borderlands communities, 3) preserve UArizona’s cultural and historic spaces like the Norville Gem & Mineral Museum which connects with the Humanities via public programming on the history of mining in Arizona and Mexican communities, and 4) revamp Humanities skills resources for UArizona’s underrepresented students through writing workshops and mentorship programs.</p>",
284912,HAA-284912-22,1,0,1,1,1,0,0,,Jennifer,Lei,Jenkins,,,,,,Jennifer Lei Jenkins (Project Director: June 2021 to present),"Arizona Board of Regents (Tucson, AZ 85721-0001)<br/>Jennifer Lei Jenkins (Project Director: June 2021 to present)</div>",Arizona Board of Regents,Tucson,AZ,85721-0001,USA,11/1/2021,2021,Tribesourcing Southwest Film: Digital Repatriation,Film History and Criticism,Film History and Criticism; Native American Studies,311,Digital Humanities Advancement Grants,12,Digital Humanities,0,0,324573,0,324573,0,324573,0,1/1/2022 &ndash; 12/31/2024,"<p>A series of workshops in Arizona, New Mexico, and California and the development of a digital curriculum on the creation of culturally-appropriate descriptive metadata and narration for Native American films based on the&nbsp;Tribesourcing Southwest Film website.</p>
<p>Tribesourcing Southwest Film digitally repurposes a collection of midcentury educational and sponsored films about Native peoples of the Southwestern U.S., reclaiming visual content through recording culturally-informed alternate audio tracks voiced by Native narrators from within the cultures represented. This process, which we have termed “tribesourcing,” has the double benefit of repatriating historic images and decolonizing these archival films, visible at Tribesourcingfilm.com. In this proposal, we seek to extend the project by: recording additional narrations in Southern California, Arizona and New Mexico; developing a digital curriculum for workshops; and to begin decentralizing the project through a series of workshops to help communities who wish to do their own tribesourcing with their own archived audio-visual materials.</p>",
285001,HND-285001-22,1,0,0,0,0,1,0,,Jennifer,Lei,Jenkins,,,,,,Jennifer Lei Jenkins (Project Director: July 2021 to present),"Arizona Board of Regents (Tucson, AZ 85721-0001)<br/>Jennifer Lei Jenkins (Project Director: July 2021 to present)</div>",Arizona Board of Regents,Tucson,AZ,85721-0001,USA,11/1/2021,2021,Indigenous Knowledges: a Digital Residency Exchange and Best Practices Pilot,Native American Studies,"Interdisciplinary Studies, General; Native American Studies",335,NEH/AHRC New Directions for Digital Scholarship in Cultural Institutions,12,Digital Humanities,0,0,50000,0,47884,0,47884,0,4/1/2022 &ndash; 3/31/2023,"<p>The development of a reciprocal, consultative model for collaborative digital decolonizing of Indigenous materials between a&nbsp;US tribal college library (Kinyaa’áanii&nbsp;Charlie Benally Library at&nbsp;Diné&nbsp;College) and a UK cultural heritage collecting institution (Wellcome&nbsp;Collection). The UK partner, the University of Kent, is requesting £59,745 from the Arts and Humanities Research Council.</p>
<p>A collaborative team from Diné College Special Collections and Kinyaa’áanii Charlie Benally Library (Navajo Nation) and working with museum, library and archive professionals from the Wellcome Collection (UK) and supported by scholars from University of Arizona Southwest Center (US), and University of Kent Centre for Indigenous and Settler Colonial Studies,  propose to develop a reciprocal, consultative model for collaborative digital decolonizing of indigenous materials. This model pairs a UK cultural heritage collecting institution with a US tribal college library that fulfills plural functions as library, museum, archive, and cultural heritage institution in its community. Kinyaa’áanii Library and Wellcome Collection will exchange three-week residencies on location, followed by digital residencies for the remaining period of the grant, using the open-source content management system Local Contexts Hub.</p>",
278507,FT-278507-21,2,0,0,0,0,0,0,,Scott,,Selisker,,,,,,Scott Selisker (Project Director: September 2020 to January 2022),"Scott  Selisker<br/>Arizona Board of Regents (Tucson, AZ 85721-0001)",Arizona Board of Regents,Tucson,AZ,85721-0001,USA,3/1/2021,2021,“Networked Collectives in the Fiction of Silko and Yamashita”,American Literature,American Literature; Sociology,3,Summer Stipends,6,Research Programs,6000,0,6000,0,6000,0,6000,0,5/6/2021 &ndash; 7/5/2021,"<p>Research and writing to complete the final chapter of a book examining representations of social networks in contemporary
fiction.</p>
<p>I am requesting support for archival research for the final chapter of a book-in-progress on social networks in contemporary U.S. fiction. The book analyzes for the first time a formal feature of fictional narrative I call its “character network,” the web of connections between characters. It places contemporary fictional uses of character networks in conversation with the roles of network metaphors in discussions of media technologies, business networking, and centralized and grassroots political formations since the 1970s. Drawing on and complementing current sociological work in network analysis, I claim that recent fiction uses networks in innovative ways in its representations of precarity, exclusion, and individual and collective action. I seek funding to visit archives for key draft and process documents for two major novels on multiethnic coalitions in grassroots political movements, Leslie Marmon Silko’s Almanac of the Dead and Karen Tei Yamashita’s I Hotel.</p>",
281213,BH-281213-21,1,0,0,0,0,0,0,,Jeffrey,M.,Banister,,Jennifer,Lei,Jenkins,,Jeffrey M. Banister (Project Director: March 2021 to present)<br/>Jennifer Lei Jenkins (Co Project Director: August 2021 to present),"Arizona Board of Regents (Tucson, AZ 85721-0001)<br/>Jeffrey M. Banister (Project Director: March 2021 to present)<br/>Jennifer Lei Jenkins (Co Project Director: August 2021 to present)</div>",Arizona Board of Regents,Tucson,AZ,85721-0001,USA,7/1/2021,2021,"Arizona-Sonora Borderlands, Palimpsest of Cultures",U.S. Regional Studies,American Studies; Hispanic American Studies; U.S. Regional Studies,197,Landmarks of American History and Culture,7,Education Programs,0,0,190000,0,189882,0,189882,0,10/1/2021 &ndash; 9/30/2023,"<p>Two one-week workshops for 72 educators&nbsp;on the&nbsp;history, ecology, and cultures of the Arizona-Sonora borderland region.&nbsp;</p>
<p>This new project will bring K-12 educators to the Arizona-Sonora Borderlands for one week in summer 2022 to study the history, arts, environments, and plural cultures of the region in the context of past habitation and present conditions of tri-national (U.S., Mexico, Native Nations) coexistence. We pose the framing question: how do place, space, and identity intermingle in this region’s millennia of layered written, oral, aural, and visual histories to construct its futures?  Given current conversations about the nature of the US-Mexico border and global migration more generally, the Arizona-Sonora Borderlands present a compelling and real-time learning-lab in layered histories, cultures, arts, ecologies, and current events of the region.</p>",
274099,PB-274099-20,1,0,0,0,0,0,0,,Peter,William,Brewer,,,,,,Peter William Brewer (Project Director: May 2020 to March 2022),"Arizona Board of Regents (Tucson, AZ 85721-0001)<br/>Peter William Brewer (Project Director: May 2020 to March 2022)</div>",Arizona Board of Regents,Tucson,AZ,85721-0001,USA,6/1/2020,2020,Maintaining museum staff during the pandemic to safeguard archaeological specimens,"Interdisciplinary Studies, General","Interdisciplinary Studies, General",299,Cooperative Agreements and Special Projects (P&A),1,Preservation and Access,0,0,71699,0,71699,0,71699,0,6/15/2020 &ndash; 6/30/2021,"<p>The retention of seven staff members to preserve and catalog two dendroarchaeology collections at the Laboratory of Tree-Ring Research, one that derives from the U.S. Southwest, and the other, from the Aegean.</p>
<p>Proposal to retain key experienced museum staff during the pandemic. Staff will safeguard key archaeological specimens from the Laboratory of Tree-Ring Research</p>",
274190,RJ-274190-20,1,0,0,0,0,0,0,,Kathryn,M.,Conrad,,,,,,Kathryn M. Conrad (Project Director: May 2020 to present),"Arizona Board of Regents (Tucson, AZ 85721-0001)<br/>Kathryn M. Conrad (Project Director: May 2020 to present)</div>",Arizona Board of Regents,Tucson,AZ,85721-0001,USA,6/1/2020,2020,University of Arizona Press E-books in Indigenous and Latinx Studies,"Interdisciplinary Studies, General","Interdisciplinary Studies, General",298,Cooperative Agreements and Special Projects (Research),6,Research Programs,105044,0,105044.73,0,90038,0,90038,0,6/15/2020 &ndash; 6/30/2021,"<p>Retention of six permanent full-time jobs and creation of one temporary full-time position to expand the digitization and production of humanities e-books from the University of Arizona Press.</p>
<p>The University of Arizona Press will convert more than 400 humanities books into e-book formats to improve the organization's financial position, which has been destabilized by the COVID-19. The project will allow the Press to retain jobs while also increasing the availability of humanities scholarship, especially in Indigenous and Latinx studies, during the pandemic and beyond.</p>",
268007,FEL-268007-20,2,0,0,0,0,0,0,,Linda,B.,Green,,,,,,Linda B. Green (Project Director: April 2019 to June 2021),"Linda B. Green<br/>Arizona Board of Regents (Tucson, AZ 85721-0001)",Arizona Board of Regents,Tucson,AZ,85721-0001,USA,12/1/2019,2019,To Die in the Silence of History: Yu'pik Peoples and the Tuberculosis Epidemics in 20th Century Alaska,Cultural Anthropology,Cultural Anthropology; Native American Studies; U.S. History,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,2/1/2020 &ndash; 1/31/2021,"<p>Research and writing leading to a book on the unintended social and cultural consequences of a successful public health initiative combating 20th-century tuberculosis outbreaks among the indigenous peoples of Alaska.</p>
<p>Based on seven years of ethnographic and
archival research <em>To Die in the Silence
of History</em> examines the complexity of events and the contradictions
inherent in a radically changing social order in some of the rural indigenous
communities in the Yukon-Kuskokwim Delta of western Alaska. As such I analyze
the twentieth century tuberculosis epidemics in rural Alaska through the
conceptual framework of violence to connect the misery and suffering for many
that suffused these epidemics in such a way that “attends to the injustices of
history” (Evan and Carver 2017:3.), to make the case for what C. Wright Mills
referred to as linking private misery to public concerns (1959). What makes <em>To Die in the Silence of History</em> unique
is that it draws on comprehensive historical and ethnographic research to offer
a complex analysis of contemporary Yup’ik life in the Far North through the
lens of a particular disease entity.</p>",
269245,AC-269245-20,1,0,4,0,0,0,0,,Carine,,Bourget,,,,,,Carine Bourget (Project Director: July 2019 to present),"Arizona Board of Regents (Tucson, AZ 85721-0001)<br/>Carine Bourget (Project Director: July 2019 to present)</div>",Arizona Board of Regents,Tucson,AZ,85721-0001,USA,12/1/2019,2019,Developing Foreign Cultures Courses for the Professions,"Languages, General","Languages, General",243,Humanities Initiatives at Hispanic-Serving Institutions,7,Education Programs,0,0,99999,0,99999,0,99999,0,2/1/2020 &ndash; 1/31/2023,"<p>A
three-year curriculum development program to infuse foreign language and culture
content into courses in business, healthcare, and other professional programs.&nbsp;</p>
<p>The Humanities play a crucial role in developing
understanding of diverse cultures and appreciation of various perspectives,
skills that are necessary to solve global challenges, be they related to
economic or health issues, among others. One approach to make the pertinence of
the Humanities to professional life obvious is to design courses that blend the
Humanities with specific professional training. Such courses develop humanities
skills such as intercultural competence, advanced foreign language skills when
applicable, and knowledge specific to various parts of the world to help
prepare students for careers in a global world.</p>",
