ApplicationID,ApplicationNumber,ApplicantType,SuppCount,ProductCount,CoverageCount,PrizeCount,ParticipatingInstitutionCount,WhitePaper,WhitePaperPath,PDFirstname,PDMiddlename,PDLastname,PDNameSuffix,CoPDFirstname,CoPDMiddlename,CoPDLastname,CoPDNameSuffix,Participants,GranteeDisplay,Institution,InstCity,InstState,InstPostalCode,InstCountry,CouncilDate,YearAwarded,ProjectTitle,PrimaryDiscipline,AllDisciplines,ProgramID,ProgramName,DivisionID,DivisionName,OfferedOutright,OfferedMatching,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,GrantPeriod,ProjectDesc,ToSupport
268736,PE-268736-20,1,0,0,0,0,0,0,,Patrick,,Ravines,,,,,,Patrick Ravines (Project Director: May 2019 to present),"SUNY Research Foundation, Buffalo State College (Buffalo, NY 14222-1004)<br/>Patrick Ravines (Project Director: May 2019 to present)</div>","SUNY Research Foundation, Buffalo State College",Buffalo,NY,14222-1004,USA,12/1/2019,2019,Fellowships for Graduate Students in the Conservation of Cultural Heritage for the 2020-2022 Period at Buffalo State College’s Patricia H. and Richard E. Garman Art Conservation Department,"Arts, Other","Arts, Other",231,Preservation and Access Education and Training,1,Preservation and Access,0,0,350000,0,350000,0,350000,0,3/1/2020 &ndash; 12/31/2022,"<p>Partial fellowship stipends for 17 graduate
students enrolled in the State University of New
York College at Buffalo (SUNY Buffalo) program in art conservation. Students
to receive funding would include nine students in the class of 2021 and eight in
the class of 2022.</p>
<p>The preservation of our
cultural heritage is a never-ending process involving cultural heritage
institutions ranging from major libraries, museums, and archives to local historical
societies, and professionals from diverse fields such as historians,
librarians, archivists, curators, computer scientists, physical scientists, and
conservators. A critical portion of preservation is in the hands of
conservators. Conservators intimately interact with the works of cultural
heritage or art to restore them to functional use by today’s scholars and
historians. They return works to appropriate aesthetic levels for exhibition
and preserve them for future generations to learn from and appreciate. The
education and training of conservators is an essential component of all
preservation efforts and the Garman Art Conservation Department at the State
University of New York College at Buffalo is fully committed to this goal and
we are in need of NEH support to continue with our important mission.</p>",
258371,PE-258371-18,1,0,0,0,0,0,0,,Patrick,,Ravines,,Meredeth,,Lavelle,,Patrick Ravines (Project Director: May 2017 to May 2021)<br/>Meredeth Lavelle (Co Project Director: February 2018 to May 2021),"SUNY Research Foundation, Buffalo State College (Buffalo, NY 14222-1004)<br/>Patrick Ravines (Project Director: May 2017 to May 2021)<br/>Meredeth Lavelle (Co Project Director: February 2018 to May 2021)</div>","SUNY Research Foundation, Buffalo State College",Buffalo,NY,14222-1004,USA,11/1/2017,2017,Education and Training Fellowships in the Conservation of Cultural Heritage and Humanities Collections,"Arts, Other","Arts, Other",231,Preservation and Access Education and Training,1,Preservation and Access,150000,25000,150000,25000,146209.1,25000,171209.1,0,1/1/2018 &ndash; 8/31/2020,"<p>Partial stipends for the 30 graduate students
enrolled in the SUNY/Buffalo State program in art conservation. Remaining
stipend support comes from endowment funds, other federal and private grants, and
university cost-share.</p>
<p>The preservation of our
cultural heritage and humanities collections is a constant concern for our
nation’s libraries, archives, and museums no matter their size or stature.&nbsp; To ensure that our cultural heritage is
soundly preserved, it is imperative that these graduate programs be maintained
and supported by their respective universities in addition to national funding
agencies.</p>",
232475,FA-232475-16,2,0,1,0,0,0,0,,Victoria,W.,Wolcott,,,,,,Victoria W. Wolcott (Project Director: April 2015 to June 2016),"Victoria W. Wolcott<br/>SUNY Research Foundation, Buffalo State College (Buffalo, NY 14222-1004)","SUNY Research Foundation, Buffalo State College",Buffalo,NY,14222-1004,USA,11/1/2015,2015,The Utopian Strain in the Long Civil Rights Movement,U.S. History,African American History; African American Studies; U.S. History,1,Fellowships for University Teachers,6,Research Programs,0,0,25200,0,25200,0,25200,0,1/1/2016 &ndash; 6/30/2016,"<p>A&nbsp;book-length study of the long civil rights movement.</p>
<p>""Living in the Future: The Utopian Strain in the Long Civil Rights Movement"" explores the contributions intentional utopian communities that practiced interracialism, cooperative economics, and nonviolence made to the long civil rights movement. As early as the 1920s there were significant experiments in interracial communalism at labor colleges, folk schools, and urban and rural cooperatives. By the 1940s members of the Congress of Racial Equality and the Fellowship of Reconciliation living in interracial utopian communities began to actively train activists in radical nonviolence. By living cooperatively and communally they were creating a new reality that would serve as a model for civil rights activists. More pragmatically, these communities’ members trained activists and created real change in the economic and political fortunes of African Americans. Their vision of a future with full racial equality and economic justice fueled the utopian strain in the long civil rights movement.</p>",
233640,PE-233640-16,1,0,0,0,0,0,0,,Patrick,,Ravines,,,,,,Patrick Ravines (Project Director: May 2015 to June 2019),"SUNY Research Foundation, Buffalo State College (Buffalo, NY 14222-1004)<br/>Patrick Ravines (Project Director: May 2015 to June 2019)</div>","SUNY Research Foundation, Buffalo State College",Buffalo,NY,14222-1004,USA,11/1/2015,2015,Graduate Conservation Education and Training Fellowships,"Arts, Other","Arts, Other",231,Preservation and Access Education and Training,1,Preservation and Access,150000,25000,150000,25000,150000,25000,175000,0,1/1/2016 &ndash; 12/31/2018,"<p>Partial graduate student stipends for the 30 students enrolled in the SUNY/Buffalo program in art conservation. Remaining stipend support comes from endowment funds, federal and private grants, university cost-share, and fundraising.</p>
<p>Conservation of our cultural heritage is an issue that has and always will be at the forefront of our nation’s libraries, archives, and museums. To ensure that our cultural heritage is soundly preserved, it is imperative that these graduate programs be maintained and supported by their respective universities in addition to national funding agencies. </p>",
229124,FT-229124-15,2,0,0,0,0,0,0,,Camilo,Daniel,Trumper,,,,,,Camilo Daniel Trumper (Project Director: September 2014 to November 2015),"Camilo Daniel Trumper<br/>SUNY Research Foundation, Buffalo State College (Buffalo, NY 14222-1004)","SUNY Research Foundation, Buffalo State College",Buffalo,NY,14222-1004,USA,3/1/2015,2015,"The Politics of Public Space and Public Art in Santiago, Chile",Political History,Latin American History; Political History; Urban Studies,3,Summer Stipends,6,Research Programs,0,0,6000,0,6000,0,6000,0,6/1/2015 &ndash; 7/31/2015,"<p>Summer research and writing on Latin American and Political History and Urban Studies.</p>
<p>My book project is a study of Chilean politics in democracy and dictatorship. In the first five chapters, I study how Chileans turned urban and visual culture into important forms of political debate in the post-war period until the military coup of September 11, 1973. In the last, I situate the military junta's violent repression within this longer story of post-war democratic urban politics, revealing that the regime's violence was not an aberration but a brutal attempt to censure the very democratic public spheres and practices that urban residents had developed on the capital city's streets and walls. Paying attention to the material and visual culture of democratic politics, then, also allows us to see that clandestine forms of political resistance drew on post-war political practices (including urban protest, street photography and ephemera) that were re-imagined under the dictatorship. The Summer Stipend would fund my research travel to Chile for my final chapter and epilogue.</p>",
229150,FT-229150-15,2,0,1,1,0,0,0,,David,Michael,Alff,,,,,,David Michael Alff (Project Director: September 2014 to September 2015),"David Michael Alff<br/>SUNY Research Foundation, Buffalo State College (Buffalo, NY 14222-1004)","SUNY Research Foundation, Buffalo State College",Buffalo,NY,14222-1004,USA,3/1/2015,2015,"Projects in British Culture, 1660-1730",British History,British History; British Literature; Western Civilization,3,Summer Stipends,6,Research Programs,0,0,6000,0,6000,0,6000,0,6/1/2015 &ndash; 8/1/2015,"<p>Summer research and writing on British History and Literature, and Western Civilization.</p>
<p>My book manuscript investigates the idea of projects, concrete yet incomplete schemes for advancing British society during the 1600 and 1700s. Then, as now, a ""project"" was a discrete effort to achieve some goal, be it the construction of a bridge, the relief of the poor, or the composition of a poem. The word meant both a unit of human endeavor and a genre of writing for proposing new enterprise through specific literary devices and persuasive strategies. By attending to the rhetorical, material, and performative aspects of a broad range of proposals, my research argues for a more comprehensive British historiography attentive to old plans for futures that could have been.</p>",
221897,FB-57867-14,2,0,5,0,0,0,0,,Andreas,W.,Daum,,,,,,Andreas W. Daum (Project Director: May 2013 to August 2015),"Andreas W. Daum<br/>SUNY Research Foundation, Buffalo State College (Buffalo, NY 14222-1004)","SUNY Research Foundation, Buffalo State College",Buffalo,NY,14222-1004,USA,11/1/2013,2013,Alexander von Humboldt and the Emergence of the Modern World,"History, General","European History; History of Science; History, General",2,Fellowships for College Teachers and Independent Scholars,6,Research Programs,0,0,42000,0,42000,0,42000,0,8/1/2014 &ndash; 5/31/2015,"<p>My book project features the world-renowned naturalist, traveler, and scholar Alexander von Humboldt (1769-1859). It situates Humboldt's life and oeuvre in the context of the emergence of the modern world between circa 1760 and 1860. Humboldt lived and articulated, so my study argues, the dramatic transformations that changed the European and Atlantic worlds during this seminal period. He made a difference in mapping the world, promoting inter-cultural dialogue, and cultivating a particular style of observation that blended natural history and human history. By using a biographical prism to analyze the historical processes that generated the modern world, this project offers a novel contribution to Atlantic and European history as well as the history of knowledge and civil society in a transnational perspective. It speaks to scholars and students across the disciplines as well as to a general audience.</p>",
223189,FT-61493-14,2,0,2,0,0,0,0,,Deborah,Ellen,Reed-Danahay,,,,,,Deborah Ellen Reed-Danahay (Project Director: September 2013 to October 2014),"Deborah Ellen Reed-Danahay<br/>SUNY Research Foundation, Buffalo State College (Buffalo, NY 14222-1004)","SUNY Research Foundation, Buffalo State College",Buffalo,NY,14222-1004,USA,3/1/2014,2014,Pierre Bourdieu and Social Space,Cultural Anthropology,Cultural Anthropology,3,Summer Stipends,6,Research Programs,0,0,6000,0,6000,0,6000,0,6/1/2014 &ndash; 7/31/2014,"<p>With NEH support, I will complete a book manuscript that provides new insights on the work of French sociologist and anthropologist Pierre Bourdieu (1930-2002) by examining its relevance for the recent spatial turn in the humanities and social sciences. This project traces the centrality of the concept of social space across the span of Bourdieu's career, beginning with his early ethnographic research in Algeria and rural France. The relationship between social and physical space and the differences between field and space in Bourdieu’s work are explored. The lens of social space permits investigations of the ways in which people distant in physical space can feel socially close to each other, and vice versa, and of how ideas about social closeness and distance can shape processes of social inclusion and exclusion. This book relates to the BRIDGING CULTURES initiative and has relevance for critical issues in the humanities -- including those of global migration and civic engagement.</p>",
224639,BH-50627-14,1,0,0,2,0,0,0,,Jill,M.,Gradwell,,,,,,Jill M. Gradwell (Project Director: March 2014 to April 2017),"SUNY Research Foundation, Buffalo State College (Buffalo, NY 14222-1004)<br/>Jill M. Gradwell (Project Director: March 2014 to April 2017)</div>","SUNY Research Foundation, Buffalo State College",Buffalo,NY,14222-1004,USA,7/1/2014,2014,Buffalo's Pan-American Exposition and Ideas of Progress,U.S. History,U.S. History,197,Landmarks of American History and Culture,7,Education Programs,0,0,179000,0,173279.43,0,173279.43,0,10/1/2014 &ndash; 12/31/2015,"<p>For seventy-two teachers, two one-week workshops using the Pan-American Exposition of 1901, held in Buffalo, New York, to explore Gilded Age themes and events.</p>
<p>During the Gilded Age¸ the U.S. reveled in a time of prosperity. But as the Gilded Age infers, the gilding did not always disguise the adverse effects of rapid industrialization. This era of innovations, along with its accompanying negative repercussions, were shared explicitly and implicitly with the wider audience through World’s Fairs like the 1901 Pan-American Exposition held in Buffalo. Notably remembered as where Pres. McKinley was assassinated; there is more to the story. Illuminated by 80,000 electric lights, Buffalo was literally transformed into a City of Light. Symbolically, Buffalo’s light was a beacon welcoming a new century. The overarching question for the workshop is “Are World’s Fairs and Expositions the timekeepers of progress and do they record the world’s advancements?” and will be addressed in five day long landmark workshops.</p>",
217420,PE-50092-13,1,0,0,0,0,0,0,,Patrick,,Ravines,,,,,,Patrick Ravines (Project Director: July 2012 to March 2016),"SUNY Research Foundation, Buffalo State College (Buffalo, NY 14222-1004)<br/>Patrick Ravines (Project Director: July 2012 to March 2016)</div>","SUNY Research Foundation, Buffalo State College",Buffalo,NY,14222-1004,USA,11/1/2012,2012,Graduate Student Fellowships for Conservation Education and Training,Archival Management and Conservation,Archival Management and Conservation,231,Preservation and Access Education and Training,1,Preservation and Access,0,0,170000,0,170000,0,170000,0,1/1/2013 &ndash; 12/31/2015,"<p>Graduate training for conservators specializing in the preservation of humanities collections, including historical objects, ethnographic and archaeological artifacts, paintings, works on paper, books, and photographs.</p>
<p>The Art Conservation Department at Buffalo State College submits this grant proposal requesting funding to support education and training fellowships for graduate students in a three-year art conservation program from the National Endowment for the Humanities Preservation and Access Education and Training Grant program. </p>",
