ApplicationID,ApplicationNumber,ApplicantType,SuppCount,ProductCount,CoverageCount,PrizeCount,ParticipatingInstitutionCount,WhitePaper,WhitePaperPath,PDFirstname,PDMiddlename,PDLastname,PDNameSuffix,CoPDFirstname,CoPDMiddlename,CoPDLastname,CoPDNameSuffix,Participants,GranteeDisplay,Institution,InstCity,InstState,InstPostalCode,InstCountry,CouncilDate,YearAwarded,ProjectTitle,PrimaryDiscipline,AllDisciplines,ProgramID,ProgramName,DivisionID,DivisionName,OfferedOutright,OfferedMatching,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,GrantPeriod,ProjectDesc,ToSupport
285879,AKB-285879-22,1,0,0,0,0,0,0,,Jane,M.,Garrity,,Robin,,Burke,,Jane M. Garrity (Project Director: September 2021 to present)<br/>Eric Vance (Co Project Director: March 2022 to present)<br/>Robin Burke (Co Project Director: June 2022 to present),"Regents of the University of Colorado, Boulder (Boulder, CO 80309-0001)<br/>Jane M. Garrity (Project Director: September 2021 to present)<br/>Eric Vance (Co Project Director: March 2022 to present)<br/>Robin Burke (Co Project Director: June 2022 to present)</div>","Regents of the University of Colorado, Boulder",Boulder,CO,80309-0001,USA,3/1/2022,2022,Humanities Core Competencies as Data Acumen: Integrating Humanities and Data Science,"Interdisciplinary Studies, Other","Interdisciplinary Studies, Other",320,Humanities Connections Implementation Grants,7,Education Programs,0,0,149999.03,0,149999,0,149999,0,8/1/2022 &ndash; 7/31/2025,"<p>The development of eight new courses integrating humanities and data science through experiential learning.</p>
<p>We propose to expand the role of the humanities at the University of Colorado Boulder by developing a curricular initiative that combines the humanities and data science.  Team members will design eight courses, each of which will promote experiential learning and foster engagement with humanistic questions in the context of quantitative inquiry.  Key components of the project include, first, a two-year course design and development workshop facilitated by CU Boulder’s Center for Teaching and Learning.  Second, we describe an ambitious plan for disseminating our findings and for fostering local and national conversations about best practices for teaching data science and the humanities. Our project aims to provide a model of cutting-edge pedagogical collaboration and an example of how the humanities can help equip twenty-first century learners with the intellectual resources they will need responsibly to inhabit a world being remade by data.</p>",
286690,RFW-286690-22,1,0,0,0,0,0,0,,Susan,,Thomas,,,,,,Susan Thomas (Project Director: September 2021 to present),"Regents of the University of Colorado, Boulder (Boulder, CO 80309-0001)<br/>Susan Thomas (Project Director: September 2021 to present)</div>","Regents of the University of Colorado, Boulder",Boulder,CO,80309-0001,USA,3/1/2022,2022,"Soundscapes of the People: A Musical Ethnography of Pueblo, Colorado",Ethnomusicology,Ethnomusicology,326,Archaeological and Ethnographic Field Research,6,Research Programs,0,20000,109939,20000,109939,0,109939,0,10/1/2022 &ndash; 3/31/2025,"<p>Ethnographic interviews and participant observation leading to publications and presentations on how music has constructed identity among the multiple ethnic communities living in Pueblo, Colorado. (30 months)</p>
<p>Soundscapes of the People: A Musical Ethnography of Pueblo, Colorado” identifies music as an active force in identity formation and cultural resilience. This endeavor to explore the rich musical heritage of Pueblo will result in the first comprehensive study of the city’s musical culture. In exploring the protagonism of music in Puebloan identity, we will reveal music’s role as a means of social navigation through major 20th-21st century issues of industrialization, migration, urbanization, and the impacts of late capitalism. In doing so, we center the American West—a region long neglected in American music studies—in the history and experience of American music and the cultures and identities that it expresses and produces. Collaboration with local stakeholders will inform our gathering of ethnographic data and our creation of a free and accessible digital archive of interviews. This research will result in multiple publications and presentations for academic and general audiences.</p>",
273936,FEL-273936-21,2,0,0,0,0,0,0,,Vilja,,Hulden,,,,,,Vilja Hulden (Project Director: April 2020 to June 2022),"Vilja  Hulden<br/>Regents of the University of Colorado, Boulder (Boulder, CO 80309-0001)","Regents of the University of Colorado, Boulder",Boulder,CO,80309-0001,USA,11/1/2020,2020,A computational analysis of group representation at U.S. Congressional hearings since 1877,U.S. History,U.S. History,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,1/1/2021 &ndash; 12/31/2021,"<p>Research and preparation of a digital publication based on the computational analysis of Congressional hearing records to explore the history of group representation and lobbying between the mid-19th and later 20th centuries.</p>
<p>The United States Congress has historically held hundreds and even thousands of hearings a year to investigate societal problems and collect viewpoints on proposed legislation. This project aims to understand long-term patterns in representation at these hearings by conducting a large-scale computational analysis of hearings over the past 140 years using available metadata (hearings title, witness name, etc.) and the full text of hearings. The analysis will provide a birds-eye view as well as examine three case studies (labor, women, and the environment.) The final product will be a multifaceted digital book (using Scalar) aimed at scholarly and general audiences in equal measure. It constructs a narrative that engages scholarly arguments about lobbying and representation, but also offers a modular structure and multiple pathways that invite students and the general public to explore who and what Congress has paid attention to over the years.</p>",
276023,GA-276023-20,1,0,0,0,0,0,0,,Heidi,,Schmidt,,,,,,Heidi Schmidt (Project Director: May 2020 to present),"Regents of the University of Colorado, Boulder (Boulder, CO 80309-0001)<br/>Heidi Schmidt (Project Director: May 2020 to present)</div>","Regents of the University of Colorado, Boulder",Boulder,CO,80309-0001,USA,6/1/2020,2020,Colorado Shakespeare Festival Digital Engagement (Humanities Focus),Theater History and Criticism,British History; British Literature; Theater History and Criticism,286,Cooperative Agreements and Special Projects (Public Programs),2,Public Programs,0,0,72974,0,59706,0,59706,0,7/1/2020 &ndash; 12/31/2020,"<p>The retention of four staff to develop digital programming.</p>
<p>The Colorado Shakespeare Festival (CSF) is the 2nd oldest Shakespeare festival in the nation and a beloved cultural institution in Boulder. We were recently forced to postpone our entire 2020 season until 2021 to protect the health and safety of our artists and audiences. This decision comes with costs – we lost 142 seasonal employees and $1.19 million in projected revenue.   CSF seeks funding to retain staff and expand humanities-focused programs.  By entertaining and educating our audiences digitally while live performance is restricted, we are preserving CSF’s long-term viability. Proposed programs include: a digital, Shakespeare-themed book club; a book project documenting our interdisciplinary Shakespeare & Violence Prevention project in K-12 schools; creation and delivery of engaging, publicly available digital content for all audiences to enhance appreciation of Shakespeare; and development of Shakespeare curriculum revised for digital delivery to Colorado K-12 schools.</p>",
271117,FN-271117-20,2,0,7,0,0,0,0,,Kristine,S.,Stenzel,,,,,,Kristine S. Stenzel (Project Director: November 2019 to present),"Kristine S. Stenzel<br/>Regents of the University of Colorado, Boulder (Boulder, CO 80309-0001)","Regents of the University of Colorado, Boulder",Boulder,CO,80309-0001,USA,3/1/2020,2020,Investigating interaction in two endangered East Tukano languages: Kotiria [gvc] and Wa'ikhana [pir],,,238,Dynamic Language Infrastructure-Documenting Endangered Languages - Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,1/1/2021 &ndash; 4/30/2022,"<p>Analysis, annotation, and archiving of recordings of interactional dialogue among speakers of the Kotiria and Wa'ikhana languages from the northwestern Amazonian region.</p>
<p>This research will advance analysis of the data resulting from the NSF-DEL-funded project
<em>Grammar and multilingual practices through the lens of everyday interaction in two endangered
languages in the East Tukano family</em>. This successful project has produced an extensive documentary
corpus of everyday interaction and a set of sociolinguistic interviews involving members of the Kotiria
(or Wanano) and Wa'ikhana (or Piratapuyo) language communities in the multilingual
Vaupes region of northwestern Amazonia. This large
collection of primary linguistic and sociolinguistic data provides vital empirical input for more detailed
investigations of research questions related to (i) multilingual speech practices and language contact
phenomena; (ii) grammatical structures; and (iii) universal and language-particular properties of everyday
informal conversation. The proposed work during the fellowship will result in enhanced annotation of recordings (including
English translations, interlinear grammatical analysis, and interactional features) and collaborative
production of detailed transcripts from which collections of pertinent instances of structures and actions
can be drawn for a variety of planned publications. The project will additionally enhance the
documentation archive, deposited at ELAR, to make it more searchable and accessible, with all archival
materials open access. (Edited by staff)</p>",
271705,PG-271705-20,1,0,0,0,0,0,0,,Samantha,Gallagher,Fladd,,,,,,Samantha Gallagher Fladd (Project Director: January 2020 to March 2022),"Regents of the University of Colorado, Boulder (Boulder, CO 80309-0001)<br/>Samantha Gallagher Fladd (Project Director: January 2020 to March 2022)</div>","Regents of the University of Colorado, Boulder",Boulder,CO,80309-0001,USA,7/1/2020,2020,The Yellow Jacket Archive: Preservation Planning and Rehousing,Archaeology,Archaeology; History of Science; Native American Studies,230,Preservation Assistance Grants,1,Preservation and Access,0,0,15000,0,15000,0,15000,0,9/1/2020 &ndash; 8/31/2021,"<p>Hiring an archivist to assist the museum in planning for the preservation of and access to archaeological documentation associated with the Yellow Jacket site, part of the Mesa Verde cultural complex located in southwestern Colorado. The site was excavated from 1954-1991 and yielded 300,000 artifacts and 28 linear feet of field notes, maps, plans, and photographs. The museum’s anthropology and archaeology collections are used by academic researchers, teachers and students, and by Native American tribes and descendant communities. The request is in response to “A More Perfect Union,” and would be used to plan for improved access to collections that document the history of cultures in the American. Southwest.</p>
<p>The proposed project requests funding to employ an archivist to develop and implement a processing plan for a collection of original field documentation and research from 21 seasons of archaeological excavations at the Yellow Jacket complex in Southwest Colorado. Over 300,000 artifacts were collected during the field seasons. This vast cultural legacy is underutilized however, due to the state of the associated archival material: papers are stored in binders without hierarchical arrangement and folders bear incomplete or misleading labels. The current storage of the collection is causing papers to slump, tear, or stick to the binders. This project would increase access to the collection by providing an arrangement that meets professional archival standards, improving storage conditions, and paving the way for digitization. These improvements will result in greater interest in the history of this important series of sites occupied by the Mesa Verde branch of Ancestral Puebloan culture.</p>",
266572,FZ-266572-19,2,0,0,0,0,0,0,,Elizabeth,,Fenn,,,,,,Elizabeth Fenn (Project Director: January 2019 to February 2022),"Elizabeth  Fenn<br/>Regents of the University of Colorado, Boulder (Boulder, CO 80309-0001)","Regents of the University of Colorado, Boulder",Boulder,CO,80309-0001,USA,7/1/2019,2019,Sacagawea's World: Window on the American West,U.S. History,U.S. History,289,Public Scholars,6,Research Programs,60000,0,60000,0,60000,0,60000,0,1/1/2020 &ndash; 12/31/2020,"<p>Research and writing of a history of Native Americans in the Northern Plains and Rockies in the first half of the nineteenth century, structured around the life of Sacagawea, guide for the Lewis and Clark expedition.</p>
<p><em>Sacagawea’s World</em> uses the signal events and contested dimensions of one Native American woman’s life to convey a new, accessible narrative of the Northern Plains, Northern Rockies, and Pacific Northwest to 1850.  Sacagawea provided essential guidance to Lewis and Clark on their 1804–1806 trans-continental journey.  But her life also illuminates a world in upheaval as Indigenous peoples engaged with global commerce, new modes of warfare, altered hunting patterns, environmental change, and ever-shifting power dynamics.  How puzzling it is that despite Sacagawea’s renown, we know so little about the ways she and those around her experienced and engaged the world.       I use a wide array of source material, including archaeology, rock art, landscape, oral accounts, legends, ethnographies, manuscripts, and a plethora of existing scholarship to bring this new narrative to life.</p>",
257821,FEL-257821-18,2,0,2,0,0,0,0,,Kathleen,M.,Ryan,,,,,,Kathleen M. Ryan (Project Director: April 2017 to present),"Kathleen M. Ryan<br/>Regents of the University of Colorado, Boulder (Boulder, CO 80309-0001)","Regents of the University of Colorado, Boulder",Boulder,CO,80309-0001,USA,11/1/2017,2017,Women in the U.S. Navy During World War II: An Online Archive of the WAVES (“Women Accepted for Volunteer Emergency Service”),American Studies,American Studies; Journalism; Media Studies,318,Fellowships,6,Research Programs,0,0,50400,0,50400,0,50400,0,7/1/2018 &ndash; 6/30/2019,"<p>This project, an interactive online website, uses oral histories and archival photographs, film, and posters, to tell the story of the women who served in the Navy during World War II. They were the first group of women to be allowed into the Navy at the same rank and pay scale as men. The project these historical artifacts into a easily navigable virtual space, leading to a better understanding of an underrepresented area of American history.</p>",
251381,FA-251381-17,2,0,0,0,0,0,0,,Henry,Barrett,Lovejoy,,,,,,Henry Barrett Lovejoy (Project Director: April 2016 to December 2017)<br/>Ellen Stothard (Project Director: December 2017 to December 2017)<br/>Henry Barrett Lovejoy (Project Director: December 2017 to September 2018),"Henry Barrett Lovejoy<br/>Regents of the University of Colorado, Boulder (Boulder, CO 80309-0001)","Regents of the University of Colorado, Boulder",Boulder,CO,80309-0001,USA,11/1/2016,2016,"The Liberated Africans Project: A Digital Publication Documenting Emancipation Courts in Sierra Leone, 1808-1896","History, General","African History; European History; History, General",1,Fellowships for University Teachers,6,Research Programs,0,0,50400,0,50400,0,50400,0,7/1/2017 &ndash; 6/30/2018,"<p>The digital publication of an open-source archive relating to emancipation courts in Freetown, Sierra Leone.</p>
<p>Between 1808 and 1896, a network of British courts and international mixed commissions emancipated over 200,000 enslaved Africans in a global effort to abolish the slave trade. The website www.liberatedafricans.org will make accessible open-source archival materials from five courts located in Freetown, Sierra Leone, which was Britain&rsquo;s main base of operation to suppress the Atlantic trade. This project will mobilize knowledge about Liberated Africans with case-by-case summaries of their emancipation trials conducted by the world&rsquo;s earliest international human rights courts. The digital publication will include primary documents, synopses, maps, images, databases, tables, graphs, videos as well as query-based search engines. The long-term outcome will challenge and transform how we understand, analyze, and teach African and African Diaspora History, post-1807 intercontinental slave trades, the abolition movement, human rights law, and meanings associated with ""slavery"" and ""freedom.""</p>",
252104,FA-252104-17,2,0,0,0,0,0,0,,Paul,E. J.,Hammer,,,,,,Paul E. J. Hammer (Project Director: April 2016 to August 2018),"Paul E. J. Hammer<br/>Regents of the University of Colorado, Boulder (Boulder, CO 80309-0001)","Regents of the University of Colorado, Boulder",Boulder,CO,80309-0001,USA,11/1/2016,2016,"Queen Elizabeth I, Robert Earl of Essex and the Politics of the English Royal Succession, 1598-1603",British History,British History; Political History,1,Fellowships for University Teachers,6,Research Programs,0,0,37800,0,37800,0,37800,0,8/1/2017 &ndash; 5/31/2018,"<p>A book-length study on Robert Devereux, Earl of Essex, and the politics that led to his&nbsp;trial and&nbsp;execution for treason in 1601 under Queen&nbsp;Elizabeth I.</p>
<p>This project challenges the accepted
understanding of how James VI of Scotland was able to succeed Elizabeth I on
the English throne in 1603, thereby transforming Tudor England into Stuart
Britain. Using an unprecedented range of original sources, it offers a
radically new appraisal of the political significance of Robert Devereux, Earl
of Essex, and of the 'Essex Rising' which resulted in his execution in 1601.
Building on this foundation, it outlines a new political narrative for the
period 1598-1603, setting English events within a broader British context and
revealing a 'secret history' of James's path to the English crown.
Methodologically, this project breaks new ground in early modern British
history by the quantity and richness of its archival sources, its commitment to
reading all key documents in their original manuscript form, and its extensive
use of literary sources. The project's chief outcome will be the completion of
a substantial monograph entitled <em>The
Hunted Hart: Robert Earl of Essex, Queen Elizabeth I, and the Politics of
Treason in Shakespeare&rsquo;s Britain.</em></p>",
