ApplicationID,ApplicationNumber,ApplicantType,SuppCount,ProductCount,CoverageCount,PrizeCount,ParticipatingInstitutionCount,WhitePaper,WhitePaperPath,PDFirstname,PDMiddlename,PDLastname,PDNameSuffix,CoPDFirstname,CoPDMiddlename,CoPDLastname,CoPDNameSuffix,Participants,GranteeDisplay,Institution,InstCity,InstState,InstPostalCode,InstCountry,CouncilDate,YearAwarded,ProjectTitle,PrimaryDiscipline,AllDisciplines,ProgramID,ProgramName,DivisionID,DivisionName,OfferedOutright,OfferedMatching,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,GrantPeriod,ProjectDesc,ToSupport
257658,FEL-257658-18,2,0,0,0,0,0,0,,Lauren,Frederica,Klein,,,,,,Lauren Frederica Klein (Project Director: April 2017 to present),"Lauren Frederica Klein<br/>Georgia Tech (Atlanta, GA 30332-0001)",Georgia Tech,Atlanta,GA,30332-0001,USA,11/1/2017,2017,"Data by Design: An Interactive History of Data Visualization, 1786-1900",American Studies,"American Studies; History and Philosophy of Science, Technology, and Medicine; Media Studies",318,Fellowships,6,Research Programs,0,0,50400,0,50400,0,50400,0,7/1/2018 &ndash; 6/30/2019,"<p>Preparation of a web-accessible, digital monograph examining the history of data visualization in the United States and Great Britain from the late 18th to early 20th centuries.</p>
<p><em>Data by Design: An Interactive History of Data Visualization, 1786-1900</em>, challenges the common belief that visualization serves as a neutral method for data’s display. In a series of five “data narratives”—chapter-length web-based texts that employ interactive visualizations in order to advance their claims—I trace the rise of modern data visualization techniques. I connect what I term the “visualizing impulse” to Enlightenment ideas about the primacy of visual knowledge, and to the related concepts of subjectivity, agency, and the human. I show how data visualization carries a set of assumptions and arguments about how knowledge is produced, and who is authorized to produce it. Illustrating how these assumptions were both upheld and contested over the course of the nineteenth century, through both specific visual practices and key political events, I reveal how historical epistemologies, as much as visual form, continue to influence the design and reception of visualization today.</p>",
249114,FT-249114-16,2,0,2,11,0,0,0,,Gregory,,Zinman,,,,,,Gregory Zinman (Project Director: September 2015 to November 2016),"Gregory  Zinman<br/>Georgia Tech (Atlanta, GA 30332-0001)",Georgia Tech,Atlanta,GA,30332-0001,USA,3/1/2016,2016,The Moving Image Without Photography,Media Studies,Art History and Criticism; Film History and Criticism; Media Studies,3,Summer Stipends,6,Research Programs,0,0,6000,0,6000,0,6000,0,5/1/2016 &ndash; 7/31/2016,"<p>Writing and website development leading to publication of a book on the 19th- and 20th-century history of moving images created without cameras and an online supplement presenting related essays and videos.</p>
<p>Handmade: The Moving Image Without Photography reveals a new history of the moving image, told through its engagement with other media and art forms. Think of a Jackson Pollock painting that moves, or a hand-drawn score that produces music when read by a film projector, or a hand-crafted machine that fractures light and bends time without a camera. Through a traditional scholarly monograph complemented by a custom-designed digital companion, Handmade provides a historical and theoretical framework for understanding these artisanal moving-image works and the technologies that make them. Handmade moves from film to performance to video, crossing from the Americas to Asia, so as to demonstrate the global, cross-disciplinary impact of this seemingly anomalous subset of experimental films and practices. In doing so, Handmade also illuminates the intersection of global cinema with other arts, and fundamentally reorients our understanding of the moving image’s past, present, and future.   </p>",
172933,FA-51560-05,2,0,2,0,1,0,0,,Nancy,Joan,Nersessian,,,,,,Nancy Joan Nersessian (Project Director: May 2004 to August 2006),"Nancy Joan Nersessian<br/>Georgia Tech (Atlanta, GA 30332-0001)",Georgia Tech,Atlanta,GA,30332-0001,USA,11/1/2004,2004,Human Creativity in Science: An Integrated Look,"History and Philosophy of Science, Technology, and Medicine","History and Philosophy of Science, Technology, and Medicine",1,Fellowships for University Teachers,6,Research Programs,0,0,40000,0,40000,0,40000,0,8/1/2005 &ndash; 6/30/2006,"<p>Science is one of the greatest human achievements. Yet we lack deep understanding of the processes through which scientific understandings are generated. Further, what accounts do exist tend to focus exclusively either on ""cognitive"" or ""cultural"" factors, which are seen as separate interpretive categories. Yet the practice of science requires the sophisticated kind of cognition that only rich social, cultural, and material environments can enable. This project seeks to develop an account of the interplay of cognition and culture in perhaps the most ""cognitive"" of human activities: reasoning. It aims at an account in which cognition and culture are mutually implicative in the modeling practices that create novel understandings of nature.</p>",
174989,FT-53232-05,2,0,1,0,0,0,0,,Cynthia,Jennifer,Klestinec,,,,,,Cynthia Jennifer Klestinec (Project Director: October 2004 to August 2005),"Cynthia Jennifer Klestinec<br/>Georgia Tech (Atlanta, GA 30332-0001)",Georgia Tech,Atlanta,GA,30332-0001,USA,2/1/2005,2005,Science and Theater: The Early Modern Cultures of Anatomy,"History and Philosophy of Science, Technology, and Medicine","History and Philosophy of Science, Technology, and Medicine",3,Summer Stipends,6,Research Programs,0,0,5000,0,5000,0,5000,0,5/1/2005 &ndash; 6/30/2005,"<p>My project focuses on the rhetorical and theatrical underpinnings of Renaissance anatomy. Working closely with the archives in Padua and Venice, I argue that the shift from temporary to permanent anatomy theaters coincided with the development of theatrical yet philosophical demonstrations of anatomy. These demonstrations combined lectures on anatomy with musical performances; and they began to attract a range of spectators: students and professors as well as fish sellers, tailors, and shoemakers. Exploring this curious relationship between rhetoric, drama and science, my project addresses the academic study of anatomy as well as the literary and aesthetic conventions that shaped its popular reception.</p>",
169865,FT-52486-04,2,0,0,0,0,0,0,,Lisa,,Yaszek,,,,,,Lisa Yaszek (Project Director: October 2003 to September 2004),"Lisa Yaszek<br/>Georgia Tech (Atlanta, GA 30332-0001)",Georgia Tech,Atlanta,GA,30332-0001,USA,2/1/2004,2004,"Housewife Heroines, Lady Scientists, and Midcentury Women's Science Fiction","Literature, General","Literature, General",3,Summer Stipends,6,Research Programs,0,0,5000,0,5000,0,5000,0,6/1/2004 &ndash; 8/31/2004,"<p>My book demonstrates the significance of women’s science fiction in the ""domestic decades"" following World War II. Scholars increasingly recognize that midcentury women mobilized the postwar glorification of motherhood and domesticity to participate in the most pressing political debates of the day. To date, however, there has been no discussion of the relationship between these political practices and midcentury women’s literary activities. Galactic Suburbia shows how women used one of the period’s most popular literary genres, science fiction, to articulate the radical politics of motherhood. In doing so, they produced a rich, critically-engaged body of fiction, the import of which has gone unnoticed by standard literary and cultural histories.</p>",
163308,FT-51108-03,2,0,0,0,0,0,0,,Robert,,Kirkman,,,,,,Robert Kirkman (Project Director: September 2002 to August 2003),"Robert Kirkman<br/>Georgia Tech (Atlanta, GA 30332-0001)",Georgia Tech,Atlanta,GA,30332-0001,USA,2/1/2003,2003,The Ethical Complexity of the Built Environment: The Case of Atlanta,Ethics,Ethics,3,Summer Stipends,6,Research Programs,0,0,5000,0,5000,0,5000,0,6/1/2003 &ndash; 7/31/2003,"<p>I propose to develop a framework for describing the ethical complexity of the built environment, and to refine the framework by applying it to an evaluation of the Atlanta metropolitan area. During the grant period, I will conduct research in and around Atlanta, beginning with existing literature on the debate over growth management. Print sources will be supplemented by informal interviews with representatives of government agencies, business, NGOs, civic and neighborhood associations, and academic institutions. The product of this research is to be a scholarly article intended for peer review.</p>",
146790,FB-35713-99,2,0,0,0,0,0,0,,Rebecca,B.,Merrens,,,,,,Rebecca B. Merrens (Project Director: May 1998 to January 2001),"Rebecca B. Merrens<br/>Georgia Tech (Atlanta, GA 30332-0001)",Georgia Tech,Atlanta,GA,30332-0001,USA,11/1/1998,1999,"Kitchens and Chemistry: Receipt Books, Domestic Medicine, and Early Modern Chemistry",Renaissance Studies,Renaissance Studies,2,Fellowships for College Teachers and Independent Scholars,6,Research Programs,0,0,30000,0,30000,0,30000,0,9/1/1999 &ndash; 8/31/2000,<p>No project description available</p>,
145066,FA-35128-98,2,0,1,0,0,0,0,,Andrea,M.,Tone,,,,,,Andrea M. Tone (Project Director: May 1997 to June 2000),"Andrea M. Tone<br/>Georgia Tech (Atlanta, GA 30332-0001)",Georgia Tech,Atlanta,GA,30332-0001,USA,11/1/1997,1998,"Devices and Desires: Women and the Commercialization of Contraception in the U.S., 1873-1973",U.S. History,U.S. History,1,Fellowships for University Teachers,6,Research Programs,0,0,30000,0,30000,0,30000,0,1/1/1999 &ndash; 12/31/1999,<p>No project description available</p>,
144945,FA-34459-97,2,0,0,0,0,0,0,,Daniel,L.,Kleinman,,,,,,Daniel L. Kleinman (Project Director: May 1996 to September 1998),"Daniel L. Kleinman<br/>Georgia Tech (Atlanta, GA 30332-0001)",Georgia Tech,Atlanta,GA,30332-0001,USA,11/1/1996,1997,Untangling Context: Laboratory Life and the World Beyond,"History and Philosophy of Science, Technology, and Medicine","Anthropology; History and Philosophy of Science, Technology, and Medicine; Sociology",1,Fellowships for University Teachers,6,Research Programs,0,0,30000,0,30000,0,30000,0,7/1/1997 &ndash; 6/30/1998,<p>No project description available</p>,
153413,FT-42754-97,2,0,0,0,0,0,0,,Andrea,M.,Tone,,,,,,Andrea M. Tone (Project Director: October 1996 to January 1998),"Andrea M. Tone<br/>Georgia Tech (Atlanta, GA 30332-0001)",Georgia Tech,Atlanta,GA,30332-0001,USA,3/1/1997,1997,Family Planning in the United States,U.S. History,U.S. History,3,Summer Stipends,6,Research Programs,0,0,4000,0,4000,0,4000,0,5/1/1997 &ndash; 9/30/1997,<p>No project description available</p>,
