ApplicationID,ApplicationNumber,ApplicantType,SuppCount,ProductCount,CoverageCount,PrizeCount,ParticipatingInstitutionCount,WhitePaper,WhitePaperPath,PDFirstname,PDMiddlename,PDLastname,PDNameSuffix,CoPDFirstname,CoPDMiddlename,CoPDLastname,CoPDNameSuffix,Participants,GranteeDisplay,Institution,InstCity,InstState,InstPostalCode,InstCountry,CouncilDate,YearAwarded,ProjectTitle,PrimaryDiscipline,AllDisciplines,ProgramID,ProgramName,DivisionID,DivisionName,OfferedOutright,OfferedMatching,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,GrantPeriod,ProjectDesc,ToSupport
277203,HAA-277203-21,1,0,0,0,0,0,0,,Matthew,Thomas,Miller,,David,,Smith,,Matthew Thomas Miller (Project Director: June 2020 to present)<br/>David Smith (Co Project Director: November 2020 to present),"University of Maryland, College Park (College Park, MD 20742-5141)<br/>Matthew Thomas Miller (Project Director: June 2020 to present)<br/>David Smith (Co Project Director: November 2020 to present)</div>","University of Maryland, College Park",College Park,MD,20742-5141,USA,11/1/2020,2020,Automatic Collation for Diversifying Corpora: Improving Handwritten Text Recognition (HTR) for Arabic-script Manuscripts,"Interdisciplinary Studies, Other","Arabic Language; Interdisciplinary Studies, Other; Languages, Other",311,Digital Humanities Advancement Grants,12,Digital Humanities,0,0,324571,0,282905,0,282905,0,1/1/2021 &ndash; 6/30/2023,"<p>Refinement of machine learning methods to improve automatic handwritten text recognition of Persian and Arabic manuscripts and make these sources more accessible for humanities research and teaching.</p>
<p>The Automatic Collation for Diversifying Corpora (ACDC) project will significantly improve the accuracy of handwritten text recognition (HTR) for Arabic-script manuscripts by developing a collation tool to automatically create large amounts of training data from existing digital texts and manuscript images without time-consuming human annotation of individual manuscripts. The ACDC project will accomplish this task by extending the capabilities of the text alignment tool passim and the HTR engine Kraken to align very poor initial HTR transcriptions of diverse manuscript exemplars with existing digital texts in order to automatically produce training data in a “distantly supervised” manner. The ACDC tool’s acceleration of the training data production process will enable, for the first time, the creation of generalizable Arabic and Persian HTR models required for the digital transcription of large-scale Persian and Arabic manuscript collections.</p>",
277247,HAA-277247-21,1,0,0,0,0,0,0,,Stephanie,,Sapienza,,Eric,,Hoyt,,Stephanie Sapienza (Project Director: June 2020 to present)<br/>Eric Hoyt (Co Project Director: December 2020 to present),"University of Maryland, College Park (College Park, MD 20742-5141)<br/>Stephanie Sapienza (Project Director: June 2020 to present)<br/>Eric Hoyt (Co Project Director: December 2020 to present)</div>","University of Maryland, College Park",College Park,MD,20742-5141,USA,11/1/2020,2020,Broadcasting Audiovisual Data: Using linked data and local authority aggregators to enhance discoverability for broadcasting collections,U.S. History,American Studies; Media Studies; U.S. History,311,Digital Humanities Advancement Grants,12,Digital Humanities,0,0,294265,0,270311,0,270311,0,1/1/2021 &ndash; 12/31/2022,"<p>The federation of three archival radio collections held by the University of Maryland, the University of Wisconsin, Madison, and the University of Minnesota using a linked open data framework for use by scholars, students, and the general public.  Several case studies using the collections will be developed to demonstrate the project’s potential use by different audiences.</p>
<p>The Maryland Institute for Technology in the Humanities (MITH) in cooperation with the University of Wisconsin-Madison seeks Level III funding for a project entitled 'Broadcasting Audiovisual Data: Using linked data and local authority aggregators.' The project will expand the capabilities developed during the creation of the NEH-funded 'Unlocking the Airwaves' project (PW-259067-18) to virtually connect four historic collections across three institutions: University of Maryland, University of Wisconsin-Madison, and University of Minnesota which contain overlapping and complementary archival radio broadcasts. By linking these collections, we will deliver an innovative linked data framework that enables robust research across a number of fields, including media studies, cultural history, and sociology. The project will be a model for future initiatives that seek to connect and contextualize disbursed a/v collections.</p>",
278719,FT-278719-21,2,0,0,0,0,0,0,,Richard,J.,Bell,,,,,,Richard J. Bell (Project Director: September 2020 to January 2022),"Richard J. Bell<br/>University of Maryland, College Park (College Park, MD 20742-5141)","University of Maryland, College Park",College Park,MD,20742-5141,USA,3/1/2021,2021,The First Freedom Riders: Streetcars and Street Fights in Jim Crow New York,African American History,African American History; U.S. History; Women's History,3,Summer Stipends,6,Research Programs,6000,0,6000,0,6000,0,6000,0,6/21/2021 &ndash; 8/20/2021,"<p>Research for a book on the desegregation of mass transit
in New York City before and during the Civil War.</p>
<p>I seek the NEH Summer Stipend to conduct 2 months of archival research for a new book project. The First Freedom Riders is the story of Elizabeth Jennings, the 25-year-old New Yorker who launched the first successful civil disobedience campaign in U.S. history. On Sunday, July 16, 1854, Jennings stepped onto a ‘whites-only’ streetcar on Third Avenue becoming the first among a small army of young black women and men to fight to forcibly desegregate mass transit in New York City. The First Freedom Riders argues that their campaign to stage a civil war in miniature was unprecedented, radical, and highly coordinated. To disrupt and destroy Jim Crow in Gotham City, black activists built a new organization, the Legal Rights Association, that pioneered the art and science of protesting in public and developed strategies of civil disobedience—public set-pieces, boycotts, petitions, defense funds, etc.—that have become the hallmarks of grassroots anti-racism protests ever since.</p>",
280770,HAA-280770-21,1,0,0,1,0,0,0,,Elisa,,Gironzetti,,,,,,Elisa Gironzetti (Project Director: January 2021 to present),"University of Maryland, College Park (College Park, MD 20742-5141)<br/>Elisa Gironzetti (Project Director: January 2021 to present)</div>","University of Maryland, College Park",College Park,MD,20742-5141,USA,7/1/2021,2021,Multimodal Corpus of Heritage Spanish,Spanish Language,Linguistics; Spanish Language,311,Digital Humanities Advancement Grants,12,Digital Humanities,0,0,49987,0,49987,0,49987,0,9/1/2021 &ndash; 8/31/2023,"<p>Protocol development, data collection, and preliminary analysis of a multimodal corpus representing the written and oral discourse of regional Spanish heritage speakers in the United States.&nbsp;</p>
<p>We are applying to the Level I DHAG in order to support the initial stages of a large innovative project with the end goal of creating the first annotated, bilingual, multimodal corpus of written and oral discourse produced by heritage speakers of Spanish in the U. S. in English and Spanish. The corpus will include speakers from different sociolinguistic generations of the understudied and underrepresented varieties spoken in the DMV (the DC-Maryland-Virginia area). The project will engage scholars, educators, and students in the field of Spanish as a heritage language (SHL) as well as members of the Latinx community to create an open-access online resource that will facilitate the study of SHL discourse and support research in languages in contact, bilingualism, and heritage language discourse, and serve as a digital repository representing the voices and experiences of the diverse population of Latinx Spanish heritage speakers from the DMV area.</p>",
269068,HAA-269068-20,1,0,0,0,0,0,0,,Trevor,,Muñoz,,,,,,Trevor Muñoz (Project Director: June 2019 to present),"University of Maryland, College Park (College Park, MD 20742-5141)<br/>Trevor Muñoz (Project Director: June 2019 to present)</div>","University of Maryland, College Park",College Park,MD,20742-5141,USA,12/1/2019,2019,Advancing Community Digital Collections through Minimal Computing: The Lakeland Digital Archive,"Interdisciplinary Studies, Other","Interdisciplinary Studies, Other",311,Digital Humanities Advancement Grants,12,Digital Humanities,0,0,99993,0,98906,0,98906,0,2/1/2020 &ndash; 12/31/2022,"<p>The redesign of the <em>Lakeland Digital Archive</em> using minimal computing approaches and the creation of tutorials to teach other community organizations how to build and maintain digital public humanities projects.</p>
<p>Residents of Lakeland, a 130-year-old African American community adjacent to the University of Maryland (UMD) have worked for more than 10 years to document, preserve, and share their cultural heritage. Their ambition has been to capture a history that covers African American life in the long 20th century in their own voices as community members. This project will develop a working prototype of the Lakeland Digital Archive to demonstrate how digital humanities methods such as minimal computing can enhance community-led projects by empowering them to build digital publications that are resilient, shareable online and off, and amenable to models of shared governance. Continuing an existing community-university partnership, the Maryland Institute for Technology in the Humanities (MITH) will collaborate on this Level II grant with the Lakeland Community Heritage Project (LCHP) and other local partners.</p>",
271155,RQ-271155-20,1,0,0,0,0,0,0,,Leslie,S.,Rowland,,,,,,Leslie S. Rowland (Project Director: December 2019 to present),"University of Maryland, College Park (College Park, MD 20742-5141)<br/>Leslie S. Rowland (Project Director: December 2019 to present)</div>","University of Maryland, College Park",College Park,MD,20742-5141,USA,7/1/2020,2020,Freedmen and Southern Society Project,U.S. History,African American History; U.S. History,193,Scholarly Editions and Translations,6,Research Programs,350000,0,350000,0,350000,0,350000,0,7/1/2021 &ndash; 6/30/2023,"<p>Preparation for publication of volumes 8 and 9 of Freedom: A Documentary History of Emancipation, 1861-1867. (24 months)</p>
<p>The Freedmen and Southern Society Project is editing <em>Freedom: A Documentary History of Emancipation, 1861-1867</em>, a nine-volume documentary history of the transition from slavery to freedom in the U.S. South. The edition documents a critical juncture in American history: the moment four million slaves gained their freedom. It constitutes a social history in the words of emancipated slaves and their contemporaries. Seven volumes will be in print by the beginning of the proposed grant period; the eighth will be completed during the first year of the proposed grant; and the final volume will be the work of years 2 and 3 of the grant period. The editors have published four additional volumes for general audiences and use in the classroom. The project's website provides both documents and interpretive material.</p>",
271349,GA-271349-20,1,0,0,0,0,0,0,,Eyda,,Merediz,,,,,,Eyda Merediz (Project Director: December 2019 to present),"University of Maryland, College Park (College Park, MD 20742-5141)<br/>Eyda Merediz (Project Director: December 2019 to present)</div>","University of Maryland, College Park",College Park,MD,20742-5141,USA,,2019,The Shared Language of Poetry: Mexico and The United States,,Comparative Literature,286,Cooperative Agreements and Special Projects (Public Programs),2,Public Programs,0,0,30000,0,30000,0,30000,0,2/1/2020 &ndash; 12/31/2021,<p>No project description available</p>,
263763,PY-263763-19,1,0,1,0,0,0,0,,Mary,Corbin,Sies,,,,,,Mary Corbin Sies (Project Director: May 2018 to present),"University of Maryland, College Park (College Park, MD 20742-5141)<br/>Mary Corbin Sies (Project Director: May 2018 to present)</div>","University of Maryland, College Park",College Park,MD,20742-5141,USA,11/1/2018,2018,"Change and Resilience in Lakeland: African Americans in College Park, MD 1950-1980",American Studies,African American Studies; American Studies,293,Common Heritage,1,Preservation and Access,0,0,12000,0,12000,0,12000,0,1/1/2019 &ndash; 6/30/2021,"<p>A day-long digitization event, by-appointment collecting
visits to neighbors’ homes, and a public interpretation event to document and explore
the history of Lakeland, an African American community in Prince George's
County, Maryland.&nbsp; The proposed project
would build upon an existing collaboration between the Lakeland Community
Heritage Project (LCHP), which is Lakeland’s volunteer-run historical society, and
the American Studies Department and the Maryland Institute for Technology in
the Humanities at the University of Maryland, College Park.&nbsp; The project seeks to deepen understanding of
the impact of desegregation and urban renewal as experienced by Lakelanders
through their own keepsakes and historical documents.&nbsp; Professor Sies, the project director, is an
expert in suburban community studies, and with the LCHP, she co-developed the
Lakeland Digital Archive, to which the new materials would be added and made publicly
available.</p>
<p>Lakeland (1890) was central among a group of  historic African American communities from Prince George’s County, MD. Between 1950-1980, Lakeland experienced upheaval and change, particularly a contentious school desegregation process, urban renewal, and subsequent dispersal of residents. The grant will fund two kinds of collecting activities and a public interpretation event. A daylong event will invite Lakeland residents to bring items from this period to be digitized: images, letters, personal papers, artifacts, scrapbooks, and the like, followed by educational workshops about the importance of and best practices for preserving materials about their heritage. Team members will also visit households with a portable archival kit to digitize and preserve their papers. Later, the team and humanities consultants will present an interpretive program on the newly collected archival materials and moderate a community conversation about the changes Lakeland experienced between 1950-80.</p>",
264179,PW-264179-19,1,0,1,0,0,0,0,,Robin,C.,Pike,,,,,,Robin C. Pike (Project Director: July 2018 to present),"University of Maryland, College Park (College Park, MD 20742-5141)<br/>Robin C. Pike (Project Director: July 2018 to present)</div>","University of Maryland, College Park",College Park,MD,20742-5141,USA,3/1/2019,2019,"Preserving and Presenting the Past, Present, and Future of Dance History: Digitizing the Liz Lerman Dance Exchange Archives",Dance History and Criticism,Dance History and Criticism,253,Humanities Collections and Reference Resources,1,Preservation and Access,0,0,313753,0,294815,0,294815,0,5/1/2019 &ndash; 8/31/2021,"<p>The enhanced description and digitization of
1,329 video recordings and 1,000 pages of programs related to the work and
performances of the Liz Lerman Dance Exchange.</p>
<p>The UMD Libraries requests
$313,753.44 from the National Endowment for Humanities Humanities Collection
and Reference Resources Foundations Grant program to describe and digitize the
1,329 unique video media assets and 211 programs (approximately 1,000 pages)
from the Liz Lerman Dance Exchange collection held by Special Collections in
Performing Arts. Liz Lerman, a choreographer, performer, writer, educator, and
speaker, founded the Liz Lerman Dance Exchange in 1976. Over a 40-year career,
Lerman built a body of work and knowledge based on simple but radical ideas.
Aspects of her work have won critical and scholarly attention and serves as
important reference material for artists and collaborators within genomics,
physics, law and medicine. Digitization is necessary for the preservation of
this important documentation as they are deteriorating at a 15% rate. Lerman is
developing a toolbox in partnership with Special Collections in which this
digitized video are critical to the project.</p>",
266114,RZ-266114-19,1,0,1,0,0,0,0,,Julie,,Greene,,,,,,Julie Greene (Project Director: December 2018 to present),"University of Maryland, College Park (College Park, MD 20742-5141)<br/>Julie Greene (Project Director: December 2018 to present)</div>","University of Maryland, College Park",College Park,MD,20742-5141,USA,7/1/2019,2019,Immigration and the Making of African America,"History, General","History, General",5,Collaborative Research,6,Research Programs,0,0,50000,0,33421.97,0,33421.97,0,10/1/2019 &ndash; 9/30/2021,"<p>Preparation of a conference and a publication on how immigrants from Africa, the Caribbean, and Latin America have influenced African American culture and society since the mid-20th century. (12 months)</p>
<p>Immigration and the Making of African America will explore the largely untold history of African diasporic immigrants to the United States and their relations with native-born African Americans over the last 150 years. Black immigrants developed distinctive strategies for assimilating, even while maintaining ties with their countries of origin. They have profoundly influenced the social, political, and cultural history of the United States. In exploring these themes and by connecting immigration and African American history and culture, this conference will bring together scholars across the humanities to rethink the standard narratives of both fields, demonstrate that scholars in each area must be in dialogue with one another, and illuminate in new ways the complexity of blackness in historical and contemporary America.</p>",
257329,FEL-257329-18,2,0,10,3,0,0,0,,Renee,Deanne,Ater,,,,,,Renee Deanne Ater (Project Director: April 2017 to present),"Renee Deanne Ater<br/>University of Maryland, College Park (College Park, MD 20742-5141)","University of Maryland, College Park",College Park,MD,20742-5141,USA,11/1/2017,2017,"Contemporary Monuments to the History of Slavery: Race, Memorialization, Public Space, and Civic Engagement",Art History and Criticism,African American History; Art History and Criticism; U.S. History,318,Fellowships,6,Research Programs,0,0,50400,0,50400,0,50400,0,1/1/2018 &ndash; 12/31/2018,"<p>Research, writing, and development of a digital monograph on the design, construction, and changing meaning of contemporary monuments to the history of slavery.</p>
<p>My digital publication investigates how we visualize, interpret, and engage the slave past through contemporary monuments created for public spaces. In the past twenty-five years, there has been an upsurge in the building of three-dimensional monuments that commemorate the Middle Passage and slavery, the resistance to enslavement, the Underground Railroad, the participation of black soldiers in the Civil War, and emancipation and freedom. From Mississippi to Illinois to Rhode Island, governments (local, county, state), colleges and universities, individuals, communities, and artists are in difficult conversations about how to acknowledge the history and legacy of the slave past and its visual representation for their towns, cities, states, and higher educational institutions. These monuments and conversations are the subject of Contemporary Monuments to the Slave Past: Race, Memorialization, Public Space, and Civic Engagement.</p>",
257902,FEL-257902-18,2,0,0,0,0,0,0,,Clare,A.,Lyons,,,,,,Clare A. Lyons (Project Director: April 2017 to present),"Clare A. Lyons<br/>University of Maryland, College Park (College Park, MD 20742-5141)","University of Maryland, College Park",College Park,MD,20742-5141,USA,11/1/2017,2017,"18th-Century Ocean Voyagers, Enslavement, and the Invention of the Sexual Self, 1690-1800",U.S. History,"History, Other; U.S. History; Women's History",318,Fellowships,6,Research Programs,0,0,50400,0,50400,0,50400,0,6/1/2018 &ndash; 5/31/2019,"<p>A book-length study of 18<sup>th</sup>-century sexuality, as it was
affected by global geographic mobility and transregional colonial encounters.</p>
<p>This project  models a new approach to global histories of sexuality.  It explores what I have conceptualized as an eighteenth-century Anglo-Oceanic world: a world knit together by the movement of people and ideas through oceanic trade, migration and print culture.  It uncovers a transregional cultural space that stretched from particular places in the Americas to key places in Asia, and  analyzes the patterns of intimate behavior, and the ideas ascribed to them, created in this world.   It highlights the centrality of slavery and enslavement, sexual slavery and concubinage, and same-sex intimacy among free men.  It argues that transregional geographic mobility and cross-cultural colonial encounters played a constitutive role in creating new forms of subjectivity, particularly the sexual self; and that sexuality within the Anglo-Oceanic world was instrumental in shaping the eighteenth-century transformations in ideas about human sexuality in Western culture.</p>",
259067,PW-259067-18,1,0,15,0,0,0,0,,Stephanie,,Sapienza,,,,,,Stephanie Sapienza (Project Director: July 2017 to January 2022),"University of Maryland, College Park (College Park, MD 20742-5141)<br/>Stephanie Sapienza (Project Director: July 2017 to January 2022)</div>","University of Maryland, College Park",College Park,MD,20742-5141,USA,3/1/2018,2018,Unlocking the Airwaves: Revitalizing an Early Public Radio Collection,U.S. History,American Studies; Media Studies; U.S. History,253,Humanities Collections and Reference Resources,1,Preservation and Access,217000,0,217000,0,216996,0,216996,0,5/1/2018 &ndash; 5/31/2021,"<p>The creation of an online research environment
for up to 3,300 hours of digital audio files from the National Association of Educational Broadcasters (NAEB) and approximately 120,000 digitized images of
the NAEB’s historical paper records.</p>
<p>The Maryland Institute for Technology in the Humanities (MITH) in cooperation with the University of Wisconsin and the Wisconsin Historical Society proposes to create Unlocking the Airwaves: Revitalizing an Early Public Radio Collection, a curated online reference resource providing integrated access to finding aids, digitized paper collections and transcribed digital audio files relating to the National Association of Educational Broadcasters (NAEB), an historically-significant educational and public broadcasting collection. By coordinating the expertise of archivists, humanities researchers, and digital humanists, the creation of this new resource for humanities research will deliver enhanced access to important, often hidden, collections of archival audiovisual materials.</p>",
260842,RQ-260842-18,1,0,0,0,0,0,0,,Leslie,S.,Rowland,,,,,,Leslie S. Rowland (Project Director: December 2017 to present),"University of Maryland, College Park (College Park, MD 20742-5141)<br/>Leslie S. Rowland (Project Director: December 2017 to present)</div>","University of Maryland, College Park",College Park,MD,20742-5141,USA,7/1/2018,2018,Freedmen & Southern Society Project,U.S. History,African American History; U.S. History,193,Scholarly Editions and Translations,6,Research Programs,325000,0,325000,0,325000,0,325000,0,7/1/2019 &ndash; 6/30/2022,"<p>Completion of editorial work on volume 8 and start of work on volume 9 of the nine-volume
series, <em>Freedom: A Documentary History of Emancipation, 1861-1867</em>. (36 months)</p>
<p>The Freedmen and Southern Society Project is editing <em>Freedom:&nbsp;A Documentary History of Emancipation, 1861-1867</em>, a nine-volume documentary history of the transition from slavery to freedom in the U.S. South. The edition documents a critical juncture in American history: the moment four million slaves gained their freedom. It constitutes a social history in the words of emancipated slaves and their contemporaries. Seven volumes will be in print by the beginning of the proposed grant period, and work on the eighth will be nearing completion. Each volume of <em>Freedom</em>&nbsp;is between 800 and 1,100 pages, twice the size of the volumes in most editions. The editors have published four additional volumes for general audiences and use in the classroom, as well as article-length collections of documents. The project's website provides both documents and interpretive material.</p>",
