ApplicationID,ApplicationNumber,ApplicantType,SuppCount,ProductCount,CoverageCount,PrizeCount,ParticipatingInstitutionCount,WhitePaper,WhitePaperPath,PDFirstname,PDMiddlename,PDLastname,PDNameSuffix,CoPDFirstname,CoPDMiddlename,CoPDLastname,CoPDNameSuffix,Participants,GranteeDisplay,Institution,InstCity,InstState,InstPostalCode,InstCountry,CouncilDate,YearAwarded,ProjectTitle,PrimaryDiscipline,AllDisciplines,ProgramID,ProgramName,DivisionID,DivisionName,OfferedOutright,OfferedMatching,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,GrantPeriod,ProjectDesc,ToSupport
281941,FEL-281941-22,2,0,0,0,0,0,0,,Clare,Holloway,Croft,,,,,,Clare Holloway Croft (Project Director: April 2021 to present),"Clare Holloway Croft<br/>Regents of the University of Michigan (Ann Arbor, MI 48109-1382)",Regents of the University of Michigan,Ann Arbor,MI,48109-1382,USA,11/1/2021,2021,Her Disruptions: The Performances of Jill Johnston,Dance History and Criticism,Dance History and Criticism; Women's History,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,9/1/2022 &ndash; 8/31/2023,"<p>Completion of a biography of American dance critic and feminist Jill
Johnston (1929-2010).</p>
<p>An experimental cultural biography of dance critic and feminist activist Jill Johnston.</p>",
284966,HND-284966-22,1,0,0,0,0,1,0,,Audrey,G.,Bennett,,,,,,Audrey G. Bennett (Project Director: July 2021 to present),"Regents of the University of Michigan (Ann Arbor, MI 48109-1382)<br/>Audrey G. Bennett (Project Director: July 2021 to present)</div>",Regents of the University of Michigan,Ann Arbor,MI,48109-1382,USA,11/1/2021,2021,'I don't see what you mean': Broadening participation through co-created inclusive digital museum audio,"Arts, General","Arts, General",335,NEH/AHRC New Directions for Digital Scholarship in Cultural Institutions,12,Digital Humanities,0,0,50000,0,49116,0,49116,0,2/1/2022 &ndash; 11/30/2022,"<p>The development&nbsp;and testing&nbsp;of a one-day workshop for museum practitioners that will use the Inclusive Co-Created Audio Description model to change how museum workers understand and implement digital accessibility for blind, partially blind, and sighted audiences. The UK partner, the University of Westminster, is requesting £58,525 from the Arts and Humanities Research Council.</p>
<p>This project sits within the NEH/AHRC theme: Evolving institutions to face the 21st Century, and aims to develop and rigorously evaluate a 1-day Workshop for Inclusive Co-created Audio Description (WICAD) model, working with diverse blind, partially-blind, and sighted audiences in the UK and US to: 1) Provide museum practitioners with a robust model through which they can enrich and extend their digital provision to engage traditionally marginalized audiences. 2) Improve visitor-facing experiences of online access to a diverse range of artworks for all museum visitors to foster digitally-enabled equitable participation  To achieve these goals, we will compare the experiences of experienced and novice museum-goers to address these central questions:  1. What level of guidance do co-creation groups need to produce a draft audio description (AD) within a 1-day workshop? 2. How do groups choose to incorporate different voices, positionality, and identities within a co-created AD?</p>",
286260,FT-286260-22,2,0,0,0,0,0,0,,Ava,,Purkiss,,,,,,Ava Purkiss (Project Director: September 2021 to present),"Ava  Purkiss<br/>Regents of the University of Michigan (Ann Arbor, MI 48109-1382)",Regents of the University of Michigan,Ann Arbor,MI,48109-1382,USA,3/1/2022,2022,Fit Citizens: A History of Black Women’s Exercise from Post-Reconstruction to Postwar America,African American History,African American History; Women's History,3,Summer Stipends,6,Research Programs,6000,0,6000,0,6000,0,6000,0,6/1/2022 &ndash; 7/31/2022,"<p>Research and writing of a book about the intersections between Black   womanhood, exercise, and citizenship from the 1890s to the 1950s.&nbsp;</p>
<p>Fit Citizens explores how African American women used physical exercise to demonstrate their “fitness” for citizenship from the 1890s to the 1950s—a time when physically fit bodies garnered new political meaning. It will be the first monograph on the history of black exercise and seeks to expand conventional frameworks of health and citizenship in the humanities, particularly in the fields of history, Black Studies, Women’s and Gender Studies, and American Studies. The project shows that black women asserted their moral and physical fitness for citizenship through calisthenics, gymnastics, sports, walking, and other forms of cardiovascular exercise. In placing black women squarely within the history of American fitness, the book decenters labor as the primary mode of black mobility and physicality. It prompts humanities scholars to think more literally, and in effect more critically, about how African Americans actually “exercised citizenship.”</p>",
272641,FEL-272641-21,2,0,0,0,0,0,0,,Rebecca,Scharbach,Wollenberg,,,,,,Rebecca Scharbach Wollenberg (Project Director: March 2020 to present),"Rebecca Scharbach Wollenberg<br/>Regents of the University of Michigan (Ann Arbor, MI 48109-1382)",Regents of the University of Michigan,Ann Arbor,MI,48109-1382,USA,11/1/2020,2020,Reimagining Early Jewish Engagement with Biblical Text,"Religion, General","History of Religion; Religion, General",318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,7/1/2021 &ndash; 6/30/2022,"<p>Research and writing leading to publication of a book analyzing how rabbis in the post-temple period of Judaism understood and used scripture.</p>
<p>Early Judaism is often described as the religion of the book par excellence—a religious movement built around the study of the Bible and steeped in a culture of bookishness that evolved from that unrelenting focus on a canonical text. The proposed project argues, in contrast, that many early rabbinic authorities did not immediately embrace the biblical text as a source of religious knowledge when the Bible was first canonized but were instead deeply ambivalent about the biblical text and uneasy about its status as a written document. Drawing primarily on less frequently analyzed late antique Palestinian rabbinic texts, this project paints a portrait of early Judaism in which religious leaders seldom opened a Bible and even elite religious thinkers might maintain an indistinct notion of the contents of the biblical text.</p>",
273489,FEL-273489-21,2,0,0,0,0,0,0,,Sueann,,Caulfield,,,,,,Sueann Caulfield (Project Director: April 2020 to present),"Sueann Caulfield<br/>Regents of the University of Michigan (Ann Arbor, MI 48109-1382)",Regents of the University of Michigan,Ann Arbor,MI,48109-1382,USA,11/1/2020,2020,Stretching the Boundaries of Legitimacy: The Changing Meaning of Family in Brazil,Latin American History,Gender Studies; Latin American History,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,8/1/2021 &ndash; 7/31/2022,"<p>Research and writing leading to a social history of Brazilian family law during the nineteenth and twentieth centuries.</p>
<p>My study is a social history of Brazilian family law over two centuries, largely from the perspective of non-marital children. It examines a range of lived experiences and social expectations regarding fathers’ relationships with their children of varied birth-status, as revealed through struggles of non-marital children and unmarried mothers to gain access to family rights by petitioning for “legitimation,” suing for paternal acknowledgment, requesting state pensions or other family benefits, or joining political movements. Analyzing these individual struggles within the context of public debates over women’s and children’s rights, my book reveals ground-level dynamics of major paradigm shifts in the legal conception of the family as it shifted from what legal scholars identify as “the patriarchal, patrimonial model,” shaped by nineteenth-century liberalism, to the “egalitarian and pluralistic model” that emerged from anti-authoritarian movements of the late twentieth century.</p>",
276751,PR-276751-21,1,0,6,0,0,0,0,,Caroline,,Roberts,,,,,,Caroline Roberts (Project Director: May 2020 to present),"Regents of the University of Michigan (Ann Arbor, MI 48109-1382)<br/>Caroline Roberts (Project Director: May 2020 to present)</div>",Regents of the University of Michigan,Ann Arbor,MI,48109-1382,USA,11/1/2020,2020,Advancing the Technical Study of Color in Archaeological Collections,Archaeology,Archaeology,232,Research and Development,1,Preservation and Access,0,0,46595,0,46595,0,46595,0,3/1/2021 &ndash; 2/28/2023,"<p>The development of a research workflow and protocol based on capacity-building technical research in color studies using X-ray fluorescence spectroscopy (XRF) and multi-spectral imaging (MSI) techniques to study archaeological collections at the Kelsey Museum of Archaeology.</p>
<p>Color is a fundamental tool of human expression and has been for millennia. Understanding how people used color  in the ancient world can tell us about their beliefs, values, and how they viewed the world around them. Color could be found everywhere: in architectural spaces, on sculpture, and in the clothing people wore. Color choices were made at every level of society, from emperors to individuals in their daily lives. Color was a commodity that traveled across the ancient Mediterranean, from western Spain to the Fayoum region of Egypt. Certain colors were so valued – and so rare – that people devised ways to create them chemically. We know much of this thanks to the scientific study of color that survives on artifacts. Technical color research provides physical evidence of the prevalence and variety of color in antiquity, and is changing the way we think about the ancient world.</p>",
277570,PW-277570-21,1,0,0,0,0,0,0,,Cheney,J.,Schopieray,,,,,,Cheney J. Schopieray (Project Director: July 2020 to present),"Regents of the University of Michigan (Ann Arbor, MI 48109-1382)<br/>Cheney J. Schopieray (Project Director: July 2020 to present)</div>",Regents of the University of Michigan,Ann Arbor,MI,48109-1382,USA,3/1/2021,2021,Revolutionary America: Digitizing the Thomas Gage Papers,U.S. History,U.S. History,253,Humanities Collections and Reference Resources,1,Preservation and Access,0,0,350000,0,350000,0,350000,0,6/1/2021 &ndash; 5/31/2024,"<p>Rehousing,&nbsp;further cataloging, and digitization of&nbsp;the collection of Thomas Gage, who along with being Commander in Chief of the American colonies from 1763 through 1775 and Governor of Massachusetts Bay from 1774 to 1775, was responsible for managing all relations with Indigenous people in the British colonies from Canada to the Mississippi. The complete&nbsp;digitized collection would include 95,445 images with item-level metadata.</p>
<p>The Clements Library is applying for funding to support a three-year project to re-house and digitize the papers of British General Thomas Gage (1718/19-1787). Gage's papers comprise approximately 23,010 letters, documents, financial papers, maps, and broadsides, largely dating from his service in North America between 1763 and 1775.  Gage was responsible for the management of all territory in North America east of the Mississippi River, including Canada.  The Clements Library proposes to remove the items from their mounts/volumes and place them in archivally-sound folders and boxes, preserving their current arrangement and volume numbers. At the same time, two grant-funded digitization technicians will scan each item, crop and color-correct each image, and produce item-level metadata. The complete, digitized collection of 95,445 images will be made available freely online through the Clements Library's existing online digital collection platform.</p>",
278874,FT-278874-21,2,0,0,0,0,0,0,,Timothy,Wayne,Lorek,,,,,,Timothy Wayne Lorek (Project Director: September 2020 to present),"Timothy Wayne Lorek<br/>Regents of the University of Michigan (Ann Arbor, MI 48109-1382)",Regents of the University of Michigan,Ann Arbor,MI,48109-1382,USA,3/1/2021,2021,Making the Green Revolution: Landscapes of Conflict and Peace in Colombia,Latin American History,History of Science; Latin American History; Rural Studies,3,Summer Stipends,6,Research Programs,6000,0,6000,0,6000,0,6000,0,6/10/2022 &ndash; 8/9/2022,"<p>Research for a book analyzing the place of
Colombia in the history of the Green Revolution in agriculture that began in
the 1960s.&nbsp;</p>
<p>Making the Green Revolution connects the global Green Revolution in agricultural science and technology to modernization politics in Colombia and that country’s long-running rural conflict and violence. This book is based on archival research in over a dozen locations in Colombia, Puerto Rico, and the mainland United States. It is a revision of my 2019 Yale dissertation, which won prizes from Yale and the Agricultural History Society. The manuscript is under advanced contract with the University of North Carolina Press for the award-winning environmental history series “Flows, Migrations, and Exchanges.” An NEH Summer Stipend would facilitate targeted research to respond to reviewers' comments (in hand) and complete the manuscript by August 15, 2021. If public health conditions allow, I plan to spend June 1 - July 31, 2021 in Cali and Bogota, Colombia.</p>",
279990,DR-279990-21,1,0,0,0,0,0,0,,LeAnn,,Fields,,,,,,LeAnn Fields (Project Director: December 2020 to present),"Regents of the University of Michigan (Ann Arbor, MI 48109-1382)<br/>LeAnn Fields (Project Director: December 2020 to present)</div>",Regents of the University of Michigan,Ann Arbor,MI,48109-1382,USA,,2021,"Funding for an Open Access edition of A Player and a Gentleman: The Diary of Harry Watkins, Nineteenth - Century U.S. American Actor Written by Amy Hughes and Naomi Stubbs",Theater History and Criticism,Theater History and Criticism,324,Fellowships Open Book Program,12,Digital Humanities,0,0,5500,0,5500,0,5500,0,5/1/2021 &ndash; 4/30/2022,"<p>This project will publish the book A Player and a Gentleman: The Diary of Harry Watkins, Nineteenth-Century US American Actor edited by Amy E. Hughes and Naomi J. Stubbs an electronic open access format under a Creative Commons license, making it available for free download and distribution. This book offers selections from the diary of actor, playwright, and stage manager Harry Watkins (1825–94) providing a rare glimpse into American theater and society in the mid-nineteenth century. For fifteen years Watkins regularly recorded the plays he saw, the roles he performed, the books he read, and his impressions of current events. His travels included encounters with P. T. Barnum, Junius Brutus Booth, Edwin Forrest, Anna Cora Mowatt, and Lucy Stone, among other notable figures. His is the only known diary of substantial length and scope written by a U.S. actor before the Civil War—making Watkins, essentially, the antebellum equivalent of Samuel Pepys.</p>",
268081,FEL-268081-20,2,0,0,0,0,0,0,,Gabriel,S.,Mendlow,,,,,,Gabriel S. Mendlow (Project Director: April 2019 to present),"Gabriel S. Mendlow<br/>Regents of the University of Michigan (Ann Arbor, MI 48109-1382)",Regents of the University of Michigan,Ann Arbor,MI,48109-1382,USA,12/1/2019,2019,Thought Crime in Anglo-American Law and Legal Philosophy,Law and Jurisprudence,Ethics; Law and Jurisprudence; Political Theory,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,9/1/2021 &ndash; 8/31/2022,"<p>Research and writing leading to a book on the
criminalization of thought in Anglo-American law.</p>
<p>Thought crime is dystopian fiction, not contemporary law. Or so we’re told. Yet our legal system actually punishes thought regularly, while our legal philosophy fails to explain what’s wrong with thought crime or to recognize it for what it is. Anglo-American law quietly embraces a style of criminalization where statutes nominally prohibit acts but actually punish offenders for their underlying thoughts. This practice flouts critical but overlooked principles of political morality, principles concerning freedom of mind and the relationship between punishment and policing. Properly conceived, the controversy over thought crime is in fact just one battle in a larger war, a war fought on terrain common to many disciplines in the humanities. It is a war that pits our professed commitment to freedom of thought against our often legitimate interest in regulating the mind—not just in matters of criminal intent, but also in matters of education, mental health, preventive detention, and beyond.</p>",
