ApplicationID,ApplicationNumber,ApplicantType,SuppCount,ProductCount,CoverageCount,PrizeCount,ParticipatingInstitutionCount,WhitePaper,WhitePaperPath,PDFirstname,PDMiddlename,PDLastname,PDNameSuffix,CoPDFirstname,CoPDMiddlename,CoPDLastname,CoPDNameSuffix,Participants,GranteeDisplay,Institution,InstCity,InstState,InstPostalCode,InstCountry,CouncilDate,YearAwarded,ProjectTitle,PrimaryDiscipline,AllDisciplines,ProgramID,ProgramName,DivisionID,DivisionName,OfferedOutright,OfferedMatching,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,GrantPeriod,ProjectDesc,ToSupport
282608,FEL-282608-22,2,0,0,0,0,0,0,,Stephen,Edwin,Karian,,,,,,Stephen Edwin Karian (Project Director: April 2021 to present),"Stephen Edwin Karian<br/>Mizzou (Columbia, MO 65211-3020)",Mizzou,Columbia,MO,65211-3020,USA,11/1/2021,2021,The Oxford Edition of Alexander Pope's Miscellany Poems,British Literature,British Literature,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,8/1/2022 &ndash; 7/31/2023,"<p>Research and writing leading to a scholarly edition of the miscellany poems of English author Alexander Pope (1688-1744).</p>
<p>I am creating a major new edition of the Miscellany Poems of Alexander Pope (1688-1744). This 700-page volume is part of the 24-volume Oxford Edition of the Writings of Alexander Pope being published by Oxford University Press. For this most canonical poet, Miscellany Poems features non-canonical perspectives. It contains poems Pope deliberately excluded from authorized collections, instead allowing them to circulate anonymously in printed and manuscript texts. My edition will clarify which poems Pope wrote and how he revised them. It will also explain the meaning and significance of particular words and phrases, and will provide a reliable and authoritative edition that scholars will use for years to come.  Editorial work is foundational to humanistic study, giving scholars the opportunity to bridge historical and cultural gaps. Bridging such gaps is always difficult, but scholarly editions bring us into closer contact with past writers and thinkers.</p>",
271255,RQ-271255-20,1,0,0,0,0,0,0,,Noah,,Heringman,,Crystal,Belle-Lane,Lake,,Noah Heringman (Project Director: December 2019 to present)<br/>Crystal Belle-Lane Lake (Co Project Director: December 2019 to present),"Mizzou (Columbia, MO 65211-3020)<br/>Noah Heringman (Project Director: December 2019 to present)<br/>Crystal Belle-Lane Lake (Co Project Director: December 2019 to present)</div>",Mizzou,Columbia,MO,65211-3020,USA,7/1/2020,2020,"Vetusta Monumenta: Ancient Monuments, A Digital Edition",Intellectual History,"Art History and Criticism; Intellectual History; Interdisciplinary Studies, Other",193,Scholarly Editions and Translations,6,Research Programs,0,0,99085,0,99085,0,99085,0,1/1/2021 &ndash; 3/31/2022,"<p>Completion of an open access digital edition of Volume 3 of <em>Vetusta Monumenta</em>&nbsp;(<em>Ancient Monuments</em>), an 18th-century collection of engraved prints and essays published by the Society of Antiquaries of London from 1718 to 1906. (12 months)</p>
<p>This proposal seeks funding to support the completion and publication of a pioneering digital scholarly edition, a portion of which is already online at vetustamonumenta.org.  Forty-four of the 169 prints that appeared before 1800 in the series <em>Vetusta Monumenta</em> remain to be completed.  We are remediating these copperplate engravings, editing the original text that accompanied them, and making them accessible through scholarly commentary. This peer-reviewed scholarly edition has so far engaged more than 100 researchers in the task of reevaluating the history and significance of antiquarianism, the techniques and politics of preservation, and the visual and technical remediation of artifacts.</p>",
252169,FA-252169-17,2,0,1,0,0,0,0,,Joanna,Megan,Hearne,,,,,,Joanna Megan Hearne (Project Director: April 2016 to November 2018),"Joanna Megan Hearne<br/>Mizzou (Columbia, MO 65211-3020)",Mizzou,Columbia,MO,65211-3020,USA,11/1/2016,2016,"Chickasaw Hollywood: The Fox Brothers and the Studio System, 1914-1954",Native American Studies,Film History and Criticism; Media Studies; Native American Studies,1,Fellowships for University Teachers,6,Research Programs,0,0,50400,0,50400,0,50400,0,8/1/2017 &ndash; 7/31/2018,"<p>A book-length study of brothers Finis Fox,
Wallace Fox, and Edwin Carewe (the stage name of Jay Fox)--the first family of
Native American writer-director-producers in the Hollywood studio era.</p>
<p><em>Chickasaw Hollywood: The Fox Brothers and the Studio System, 1914-1954</em> retrieves the history of the first Indigenous family of writer-directors in Hollywood&mdash;the Chickasaw brothers Finis Fox, Edwin Carewe (stage name for Jay Fox), and Wallace Fox.  Taken together, the Fox brothers&rsquo; careers writing, directing and producing films in Hollywood spanned 40 years, from Carewe&rsquo;s directorial debut in 1914 to Wallace Fox&rsquo;s last television show in 1954.  This project expands our understanding of Indigenous, American, and international film history beyond stereotyped images of Indians on screen to consider issues of creative control, production practices, and the breadth, complexity and mobility of Indigenous representational politics in the studio era, bringing together theoretical models from Indigenous studies and cinema studies, and close textual analysis with extensive archival research.</p>",
255691,RQ-255691-17,1,0,8,0,0,0,0,,Noah,,Heringman,,Crystal,Belle-Lane,Lake,,Noah Heringman (Project Director: December 2016 to present)<br/>Crystal Belle-Lane Lake (Co Project Director: January 2017 to present),"Mizzou (Columbia, MO 65211-3020)<br/>Noah Heringman (Project Director: December 2016 to present)<br/>Crystal Belle-Lane Lake (Co Project Director: January 2017 to present)</div>",Mizzou,Columbia,MO,65211-3020,USA,7/1/2017,2017,Vetusta Monumenta: A Digital Edition and Antiquarian Archive,Intellectual History,"History, Criticism, and Theory of the Arts; Intellectual History; Interdisciplinary Studies, Other",193,Scholarly Editions and Translations,6,Research Programs,0,0,285508,0,285508,0,285508,0,10/1/2017 &ndash; 12/31/2020,"<p>Preparation of an open-access digital&nbsp;edition of the first three
volumes of <em>Vetusta Monumenta
</em>[Ancient Monuments],<em> </em>a series of prints and essays
published by the Society of Antiquaries of London from 1718 to 1906.&nbsp;(36 months)</p>
<p>We are producing a digital edition of <em>Vetusta Monumenta </em>[Ancient Monuments], the series of spectacular antiquarian prints published by the Society of Antiquaries of London from 1718 to 1906. The plates depict a huge variety of artifacts and monuments, ranging from the Rosetta Stone to the ruins of Fountains Abbey.  By commissioning these large engravings with accompanying essays, the Society of Antiquaries developed a research agenda based on preservation and set the stage for a widespread and enduring fascination with the past and its objects. We have digitized all 337 engravings, completed the introduction, and over two dozen commentaries while creating a state-of-the-art digital platform, now live at http://vetustamonumenta.org. We seek NEH support for the second phase of the project: researching and writing the commentary for the 144 remaining eighteenth-century plates, perfecting the interface, and seeing Volumes I-III through peer review and final publication.</p>",
223164,FT-61468-14,2,0,3,1,0,0,0,,Daniel,Barros,Domingues da Silva,,,,,,Daniel Barros Domingues da Silva (Project Director: September 2013 to September 2014),"Daniel Barros Domingues da Silva<br/>Mizzou (Columbia, MO 65211-3020)",Mizzou,Columbia,MO,65211-3020,USA,3/1/2014,2014,"The Resurgence of the Atlantic Slave Trade to Angola, c.1780-1867","History, Other","African History; History, Other",3,Summer Stipends,6,Research Programs,0,0,6000,0,6000,0,6000,0,6/1/2014 &ndash; 7/31/2014,"<p>In the nineteenth century, Angola, in West Central Africa, emerged as the principal source of slaves for the Americas, changing the social landscape on both sides of the Atlantic. However, scholars largely ignore the inland origins of these Africans, the causes for their enslavement, and the methods through which they were captured. This project will trace the origins of slaves leaving Angola in the nineteenth century and examine the principal causes and methods of their enslavement based on a variety of sources, including slave registers, customs records, travelers' accounts, lists of liberated Africans, and correspondence between British naval officers. The project results will be disseminated in the form of a book published by a major university press. They will show that the majority of the slaves leaving Angola in the nineteenth century came from regions relatively close to the coast and were victims of internal conflicts, judicial proceedings, and insolvent debts.</p>",
223637,FT-61941-14,2,0,3,0,0,0,0,,Joanna,Megan,Hearne,,,,,,Joanna Megan Hearne (Project Director: September 2013 to November 2014),"Joanna Megan Hearne<br/>Mizzou (Columbia, MO 65211-3020)",Mizzou,Columbia,MO,65211-3020,USA,3/1/2014,2014,"A Chickasaw Family in Studio-era Hollywood: Edwin Carewe, Finis Fox and Wallace Fox",Media Studies,Film History and Criticism; Media Studies; Native American Studies,3,Summer Stipends,6,Research Programs,0,0,6000,0,6000,0,6000,0,6/1/2014 &ndash; 7/31/2014,"<p>A Chickasaw Family in Studio-era Hollywood retrieves the history of the first Indigenous family of writer-directors in Hollywood--the Chickasaw brothers Finis Fox, Edwin Carewe (stage name for Jay Fox), and Wallace Fox. Taken together, the Fox brothers' careers writing, directing and producing films in Hollywood spanned 40 years, from Edwin Carewe's directorial debut in 1914 to Wallace Fox's last television show in 1954. Their family story expands our understanding of Indigenous contributions to American film history beyond stereotyped images on screen to consider production practices and issues of creative control. I argue that the brothers' success in appropriating dominant storytelling forms suggests a model of negotiated agency that requires us to ask both what is Chickasaw about their productions and how they selectively accommodated Hollywood's established studio system.</p>",
219833,GE-50790-13,1,0,0,0,0,0,0,,Fraser,Berkley,Hudson,,,,,,Fraser Berkley Hudson (Project Director: January 2013 to March 2016),"Mizzou (Columbia, MO 65211-3020)<br/>Fraser Berkley Hudson (Project Director: January 2013 to March 2016)</div>",Mizzou,Columbia,MO,65211-3020,USA,7/1/2013,2013,Possum Town: Pictures of a Place in the American South,"Interdisciplinary Studies, General","Interdisciplinary Studies, General",314,America's Historical and Cultural Organizations: Planning Grants,2,Public Programs,40000,0,40000,0,40000,0,40000,0,9/1/2013 &ndash; 7/31/2015,"<p>Planning of a traveling exhibition of 55 to 75 large-format photographs, a website, and related public and scholarly programming that examine the lives of blacks and whites in the rural, racially segregated community of Columbus, Mississippi.</p>
<p>This planning grant will aid in the development of the project ""Possum Town: Pictures of a Place in the American South"" which will feature a traveling exhibition of the work of O.N. Pruitt, a white man in a racially segregated community of Columbus, Mississippi, in the early and middle twentieth century. Unlike most photographers of his time, Pruitt recorded the local black community as well as the white, both inside and outside his studio, representing more fully everyday life in the South as well as the horrific sublime of the racially charged American South. Along with the exhibit will be related educational events, including three separate conferences at the University of Missouri, the Wilson Library at the University of North Carolina, and the Columbus-Lowndes Public Library in Columbus, Mississippi, to be held throughout in 2016.</p>",
214214,FT-60326-12,2,0,0,0,0,0,0,,Michael,Robert,Marlo,,,,,,Michael Robert Marlo (Project Director: October 2011 to November 2012),"Michael Robert Marlo<br/>Mizzou (Columbia, MO 65211-3020)",Mizzou,Columbia,MO,65211-3020,USA,3/1/2012,2012,"Documenting the Diversity of African Tonal Systems: Marachi and Wanga, two undescribed dialects of Luyia",Linguistics,Linguistics,3,Summer Stipends,6,Research Programs,0,0,6000,0,6000,0,6000,0,7/1/2012 &ndash; 8/31/2012,"<p>Two articles will be developed that document the tonal properties of Marachi and Wanga, two previously undescribed minority dialects of Luyia, a Bantu language of western Kenya and eastern Uganda that has remarkable internal linguistic diversity. Each article will systematically describe for the first time the factors that affect the tonal patterns in each dialect and will provide analyses of why words and phrases are pronounced as they are and not in other imaginable ways, following the format of previous publications on the Khayo and Tura dialects of Luyia. These articles will lay the foundation for understanding the linguistic variation and change within Luyia and also will make possible empirically grounded investigations into phenomena that are theoretically significant but largely unknown in the general linguistic literature, including the widespread and complex use of tone to mark grammatical differences among verb tenses.</p>",
215337,LB-50053-12,1,0,0,0,0,0,0,,Judith,A.,Mabary,,,,,,Judith A. Mabary (Project Director: March 2012 to present),"Mizzou (Columbia, MO 65211-3020)<br/>Judith A. Mabary (Project Director: March 2012 to present)</div>",Mizzou,Columbia,MO,65211-3020,USA,7/1/2012,2012,America's Music: A Film History of Our Popular Music from Blues to Bluegrass to Broadway,U.S. History,U.S. History,285,Small Grants to Libraries: America's Music,2,Public Programs,0,0,2500,0,2500,0,2500,0,8/1/2012 &ndash; 12/31/2013,"<p>America's Music is a six-week public program featuring documentary film screenings and scholar-led discussions about twentieth-century American popular music. The grantee will present six programs on these uniquely American musical traditions: blues and gospel, Broadway, jazz, bluegrass and country, rock, and mambo and hip hop. It will also encourage scholar-led discussion about the documentary films and the project's major humanities themes.</p>",
208075,FT-58889-11,2,0,0,0,0,0,0,,Susan,H.,Langdon,,,,,,Susan H. Langdon (Project Director: October 2010 to January 2012),"Susan H. Langdon<br/>Mizzou (Columbia, MO 65211-3020)",Mizzou,Columbia,MO,65211-3020,USA,3/1/2011,2011,"Archaic Terracotta Figurines from the Sanctuary of Demeter and Kore at Corinth, Greece",Archaeology,Archaeology,3,Summer Stipends,6,Research Programs,0,0,6000,0,6000,0,6000,0,6/1/2011 &ndash; 8/31/2011,"<p>Excavations in the 1960s at ancient Corinth in Greece revealed a sanctuary dedicated to the goddesses Demeter and Kore. The abundant finds included 24,000 terracotta figurines made as offerings from the 7th c BCE to the Roman conquest of the city. I have been invited by the excavators to publish the figurines that date from the earliest worship to the end of the Archaic period, 700-480 BCE. I have created a database for 500 well-preserved figurines and 1,800 for quantification purposes. Next summer I will work in the Corinth museum, analyzing the terracottas by date, source, fabric, and type based partly on comparison with figurines from other Greek sites and museums. My study is critical in determining precisely when worship began and what influences may have led to the establishment of the cult at this site. Moreover, it contributes to understanding how early communities created ritual activities and beliefs to serve a growing population within a complex regional setting.</p>",
