ApplicationID,ApplicationNumber,ApplicantType,SuppCount,ProductCount,CoverageCount,PrizeCount,ParticipatingInstitutionCount,WhitePaper,WhitePaperPath,PDFirstname,PDMiddlename,PDLastname,PDNameSuffix,CoPDFirstname,CoPDMiddlename,CoPDLastname,CoPDNameSuffix,Participants,GranteeDisplay,Institution,InstCity,InstState,InstPostalCode,InstCountry,CouncilDate,YearAwarded,ProjectTitle,PrimaryDiscipline,AllDisciplines,ProgramID,ProgramName,DivisionID,DivisionName,OfferedOutright,OfferedMatching,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,GrantPeriod,ProjectDesc,ToSupport
281310,SO-281310-22,1,3,0,0,0,0,0,,Suzette,,Chang,,,,,,Valorie Walters (Project Director: March 2021 to December 2021)<br/>Suzette Chang (Project Director: December 2021 to present),"Oklahoma Humanities Council (Oklahoma City, OK 73102-2215)<br/>Valorie Walters (Project Director: March 2021 to December 2021)<br/>Suzette Chang (Project Director: December 2021 to present)</div>",Oklahoma Humanities Council,Oklahoma City,OK,73102-2215,USA,7/1/2021,2021,State or Jurisdictional Humanities Program,"History, General","History, General; Literature, General; Philosophy, General",16,State Humanities Councils General Operating Support Grants,5,Federal/State Partnership,0,12998,880508,12998,880508,12998,893506,0,11/1/2021 &ndash; 10/31/2026,"<p>General operating support for state or territorial humanities council</p>
<p>With the General Operating Support Grant, the Oklahoma Humanities Council brings the humanities to life through subawards and/or public programming in Oklahoma. The council tailors its subaward-making and public programs to the needs, resources, and interests of Oklahoma. In doing so, it delivers on its mission to strengthen communities by helping Oklahomans learn about the human experience, understand new perspectives and participate knowledgeably in civic life.</p>",
281407,FEL-281407-22,2,0,0,0,0,0,0,,Stacy,,Takacs,,,,,,Stacy Takacs (Project Director: March 2021 to present),"Stacy Takacs<br/>Oklahoma State University (Stillwater, OK 74078-1016)",Oklahoma State University,Stillwater,OK,74078-1016,USA,11/1/2021,2021,‘We Bring You Home’: The American Forces Network and US Militarism Post-WWII,Media Studies,"American Studies; History, Other; Media Studies",318,Fellowships,6,Research Programs,35000,0,35000,0,35000,0,35000,0,6/1/2022 &ndash; 12/31/2022,"<p>Research and writing leading to a book on the history of the American Forces Network.</p>
<p>For over 75 years, the US military has run a global broadcast network designed to provide information and a “touch of home” to troops serving overseas. This monograph examines the origins, operations, and reception of the American Forces Network (AFN) overseas. My objectives are (1) to detail the history of this military network and the private-public partnerships that make it run; (2) to investigate AFN’s role in habituating US and other citizens to an increasingly militarized US foreign policy post-World War II, and (3) to show how AFN functioned, both formally and informally, as a tool of public diplomacy during the Cold War. The study fills a gap in US broadcast history and contributes to debates over the relationship between militarism and empire, hard versus soft power, in the fields of American Studies, critical military studies, public diplomacy, and the history of US foreign relations.</p>",
283186,ZPA-283186-22,1,0,0,0,0,0,0,,Brenda,,Granger,,,,,,Brenda Granger (Project Director: May 2021 to present),"Oklahoma Museums Association (Oklahoma City, OK 73111-7103)<br/>Brenda Granger (Project Director: May 2021 to present)</div>",Oklahoma Museums Association,Oklahoma City,OK,73111-7103,USA,8/1/2021,2021,Museum Accessioning and Registration of Collections Online Course for Rural and Isolated Museums (MARC Online),Cultural History,"Cultural History; History, General",329,ARP-Organizations (Preservation-related),8,Agency-wide Projects,0,0,33983,0,33983,0,33983,0,11/1/2021 &ndash; 10/31/2022,"<p>The retention of four positions involved in the production of a free, online course for museum professionals&nbsp;addressing fundamentals of&nbsp;museum collections&nbsp;management.&nbsp;</p>
<p>The Museum Accessioning and Registration of Collections (MARC) Course, developed by the Oklahoma Museums Association (OMA) historically has been offered as an in-person two-day course, but due to the pandemic, OMA plans to convert it to an online course. OMA believes the online format will make the information more accessible, especially to rural and isolated museums, collecting libraries and archives throughout the state of Oklahoma. This course teaches a solid foundation of basic museum collections knowledge. MARC is great for staff working with museum collections, artifact donations, exhibit loans, and much more. The MARC course will cover mission statements, conflicts of interest, ethics, collections management policies, collecting plans, collections committees, and legal issues relating to museum collections and deaccessioning as well as the process of artifact donations including documentation, the physical application of a number and more.</p>",
283505,ZPP-283505-22,1,0,0,0,0,0,0,,Kimberly,Jenkins,Marshall,,,,,,Kimberly Jenkins Marshall (Project Director: May 2021 to present),"Board of Regents of the University of Oklahoma (Norman, OK 73019-3003)<br/>Kimberly Jenkins Marshall (Project Director: May 2021 to present)</div>",Board of Regents of the University of Oklahoma,Norman,OK,73019-3003,USA,8/1/2021,2021,"New Stories of the West, for the West",U.S. History,"Literature, Other; Native American Studies; U.S. History",330,ARP-Organizations (Public-related),8,Agency-wide Projects,0,0,500000,0,500000,0,500000,0,1/1/2022 &ndash; 12/31/2022,"<p>Co-creation of a new Native American imprint at the University
of Oklahoma Press and extension of scholarship through a variety of public-facing
humanities projects.</p>
<p>The University of Oklahoma Press is one of the pre-eminent publishers of the story of the American West and Native North America, but the COVID-19 pandemic has put this core humanities mission in jeopardy with reduced productivity from all stages of book production threatening the viability of critical press staffing lines. And yet, the OU Press and its engaged partners at the University of Oklahoma (the New Stories of the West, for the West Team) also see the opportunities presented by the pandemic to both support the press and to expand the authorship and dissemination of the story of the West. Through the establishment of an Imprint housed by the Native-directed OU Native Nations Center, and by supporting some of OUs most impactful public-facing humanities entities, our team boldly envisions a more inclusive future for the humanities ecosystem at the University of Oklahoma: telling stories of the West in ways that all the people of the West can access and appreciate.</p>",
283724,ZED-283724-22,1,0,0,0,0,0,0,,Theresa,,Vaughan,,Justin,Quinn,Olmstead,,Theresa Vaughan (Project Director: May 2021 to present)<br/>Justin Quinn Olmstead (Co Project Director: December 2021 to present),"University of Central Oklahoma (Edmond, OK 73034-5209)<br/>Theresa Vaughan (Project Director: May 2021 to present)<br/>Justin Quinn Olmstead (Co Project Director: December 2021 to present)</div>",University of Central Oklahoma,Edmond,OK,73034-5209,USA,8/1/2021,2021,"Bridging the Gap: Advancing Equity, Diversity, and Inclusion through Humanities Education and Outreach at UCO","Interdisciplinary Studies, General","Interdisciplinary Studies, General",328,ARP-Organizations (Education-related),8,Agency-wide Projects,0,0,360029,0,360029,0,360029,0,1/1/2022 &ndash; 12/31/2022,"<p>The hiring of students and compensation for faculty advisors to continue and develop humanities programming with a focus on diversity and outreach.</p>
<p>The College of Liberal Arts at UCO delivers the university's humanities education and outreach. The requested funds are vital for bridging the gap between the current budget crisis and a more stabilized financial future. Most of our projects and programs included in the request are directly related to ""A More Perfect Union,"" an NEH area of special focus, as they emphasize equity, diversity, and inclusion. As a university in a traditionally underfunded state, we are also hoping this grant will help encourage further NEH applications from UCO and enrich the experience of our students and stakeholders. Projects will include: English Department journals & lectures; ""Diverse Oklahoma"" lecture series; digitization of the Herland Archives; Minority Graduate Student Mentoring Program; Interdisciplinary Cohort; History Ed. assessment; ""Central Diversity"" podcasts and documentaries.</p>",
284138,ZPA-284138-22,1,0,0,0,0,0,0,,Larry,,O'Dell,,,,,,Larry O'Dell (Project Director: May 2021 to present),"Oklahoma Historical Society (Oklahoma City, OK 73105-7917)<br/>Larry O'Dell (Project Director: May 2021 to present)</div>",Oklahoma Historical Society,Oklahoma City,OK,73105-7917,USA,8/1/2021,2021,Oklahoma Historical Society African American Collections Digitization Project,African American History,African American History,329,ARP-Organizations (Preservation-related),8,Agency-wide Projects,0,0,93442,0,93442,0,93442,0,10/1/2021 &ndash; 9/30/2022,"<p>Digitization of the Oklahoma Historical Society's African American collections, retaining two jobs.
<br /></p>
<p>Hire a full-time Project Coordinator and a part-time imaging specialist to identify, prioritize and digitize the Oklahoma Historical Society's African American archive collections. The digitized materials will be made availabe free to the public on the Oklahoma Historical Society's digital portal website, The Gateway to Oklahoma History.</p>",
284305,ZPP-284305-22,1,0,0,0,0,0,0,,Rachel,,Keith,,,,,,Rachel Keith (Project Director: May 2021 to present),"Philbrook Museum (Tulsa, OK 74114-4104)<br/>Rachel Keith (Project Director: May 2021 to present)</div>",Philbrook Museum,Tulsa,OK,74114-4104,USA,8/1/2021,2021,ARP Relief: Mexican Modernism Exhibition and Humanities Positions,"Arts, General","Art History and Criticism; Arts, General",330,ARP-Organizations (Public-related),8,Agency-wide Projects,0,0,200000,0,200000,0,200000,0,10/1/2021 &ndash; 9/30/2022,"<p>The development and presentation of an exhibition of Mexican modernist art at the Philbrook Museum of Art in Tulsa, OK; retention of eight existing jobs and creation of 10 new positions.</p>
<p>Philbrook Museum of Art will develop and present the traveling exhibition ""Frida Kahlo, Diego Rivera, and Mid-Century Mexican Modernism"" in June-September 2022.</p>",
285221,PW-285221-22,1,0,0,0,0,0,0,,Raina,,Heaton,,,,,,Raina Heaton (Project Director: July 2021 to present),"Board of Regents of the University of Oklahoma (Norman, OK 73019-3003)<br/>Raina Heaton (Project Director: July 2021 to present)</div>",Board of Regents of the University of Oklahoma,Norman,OK,73019-3003,USA,3/1/2022,2022,Creating Online Access for the Native American Languages Collection,Linguistic Anthropology,Linguistic Anthropology; Native American Studies,253,Humanities Collections and Reference Resources,1,Preservation and Access,0,0,345494,0,345494,0,345494,0,6/1/2022 &ndash; 5/31/2025,"<p>An Implementation project to create access through a collections database to Native language holdings at the Sam Noble Museum, University of Oklahoma. Activities include metadata enhancement, digitization, software development, and development of a web&nbsp;portal for access.&nbsp;&nbsp;&nbsp;</p>
<p>The Native American Languages collection at the Sam Noble Oklahoma Museum of Natural History at the University of Oklahoma seeks to fund a three-year project to provide online access to our collections for the first time. This project builds on the work of a previous NEH Foundations grant (PW- 269366-20) that funded workshops with community and academic partners to create the framework for a user-oriented website that will best serve the needs of our visitors and contributors. These activities will ultimately allow community members, researchers, and the public to make use of the collections Native American language materials in ways not previously possible. There are four components to achieving our goal of making the collections available online: 1) website development, 2) continuing archival software development, 3) digitization, and 4) collections metadata enhancement.</p>",
285634,FT-285634-22,2,0,0,0,0,0,0,,Joseph,David,Mansky,,,,,,Joseph David Mansky (Project Director: September 2021 to present),"Joseph David Mansky<br/>Board of Regents of the University of Oklahoma (Norman, OK 73019-3003)",Board of Regents of the University of Oklahoma,Norman,OK,73019-3003,USA,3/1/2022,2022,"Plays, Libels, and the Public Sphere in Shakespeare's England",British Literature,British History; British Literature; Renaissance Studies,3,Summer Stipends,6,Research Programs,6000,0,6000,0,6000,0,6000,0,6/1/2022 &ndash; 7/31/2022,"<p>Research and writing&nbsp;towards&nbsp;a book on the&nbsp;use of libels on the English stage&nbsp;in the 1590s.&nbsp;</p>
<p>My book project tracks libels through and around the early modern theater. In the 1590s, a series of crises—simmering xenophobia, years of dearth and hunger, surges of religious persecution—sparked an unprecedented explosion of libeling. The same years also saw the first appearances of libels on the London stage. These defamatory, seditious texts are launched into the sky, cast in a window, affixed to a statue, recited in court, read from a pulpit, and seized by informers. I argue that these overlooked representations of libel have much to tell us about England’s nascent public sphere and the place of drama within it. Libels were marked by mobility: they swirled across the early modern media and across class, confessional, and geographical boundaries. From London to Lincolnshire, amateur and professional playmakers alike staged all sorts of seditious scripts. I study the diverse contact zones between libels and plays, tracing the contours of a viral and virulent media ecosystem.</p>",
287439,PD-287439-22,1,0,0,0,0,0,0,,Michael,,Darrow,,Willem,J.,de Reuse,,Michael Darrow (Project Director: December 2021 to present)<br/>Willem J. de Reuse (Co Project Director: May 2022 to present)<br/>T. Christopher Aplin (Co Project Director: May 2022 to present),"Fort Sill Apache Tribe (Apache, OK 73006-8038)<br/>Michael Darrow (Project Director: December 2021 to present)<br/>Willem J. de Reuse (Co Project Director: May 2022 to present)<br/>T. Christopher Aplin (Co Project Director: May 2022 to present)</div>",Fort Sill Apache Tribe,Apache,OK,73006-8038,USA,3/1/2022,2022,Restoration and Early-Stage Documentation of Chiricahua-Mescalero Language (ISO 639-3: apm) Recordings,,,239,Documenting Endangered Languages - Preservation,1,Preservation and Access,0,0,425823,0,425823,0,425823,0,7/1/2022 &ndash; 6/30/2025,<p>No project description available</p>,
