ApplicationID,ApplicationNumber,ApplicantType,SuppCount,ProductCount,CoverageCount,PrizeCount,ParticipatingInstitutionCount,WhitePaper,WhitePaperPath,PDFirstname,PDMiddlename,PDLastname,PDNameSuffix,CoPDFirstname,CoPDMiddlename,CoPDLastname,CoPDNameSuffix,Participants,GranteeDisplay,Institution,InstCity,InstState,InstPostalCode,InstCountry,CouncilDate,YearAwarded,ProjectTitle,PrimaryDiscipline,AllDisciplines,ProgramID,ProgramName,DivisionID,DivisionName,OfferedOutright,OfferedMatching,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,GrantPeriod,ProjectDesc,ToSupport
281489,FEL-281489-22,2,0,0,0,0,0,0,,Rachel,A.,Shelden,,,,,,Rachel A. Shelden (Project Director: April 2021 to present),"Rachel A. Shelden<br/>Penn State (University Park, PA 16802-1503)",Penn State,University Park,PA,16802-1503,USA,11/1/2021,2021,"The Political Supreme Court: Justices, Partisanship, & Power, 1830-1900",U.S. History,Legal History; Political History; U.S. History,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,7/1/2022 &ndash; 6/30/2023,"<p>Research and writing leading to a book on the U.S.
Supreme Court’s evolving relationship to the political system across the nineteenth century.&nbsp;</p>
<p>Today most Americans believe the Supreme Court should remain outside of partisan politics. But in the 1830s, when partisanship became central to American life, justices were deeply enmeshed in the political system. These men conducted judicial work while actively politicking outside their chambers—building partisan coalitions, campaigning on behalf of state and federal officials, even running for political office themselves. This project investigates why the Supreme Court’s relationship to politics changed from these early years. It argues that by the end of the century, as partisan politics grew more complex and geographically dispersed, justices were increasingly unable to exert political influence from their positions on the Court. To bolster their power, justices instead began to describe themselves in apolitical ways and to advocate for a stronger judiciary; they no longer sought to influence national politics through partisan activity, but by judicial decision-making itself.</p>",
273273,FEL-273273-21,2,0,0,0,0,0,0,,Jens-Uwe,,Guettel,,,,,,Jens-Uwe Guettel (Project Director: April 2020 to present),"Jens-Uwe  Guettel<br/>Penn State (University Park, PA 16802-1503)",Penn State,University Park,PA,16802-1503,USA,11/1/2020,2020,"Radical Democracy in Germany, 1871-1918",European History,European History,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,7/1/2021 &ndash; 6/30/2022,"<p>Research and writing leading to a book on democratic movements in imperial Germany, 1871-1918.</p>
<p>Radical Democracy in Germany, 1871-1918, focuses on resistance to a patently undemocratic system. The project examines center-left reformers, socialists, feminists, and proponents of gay rights who between 1871 and the state’s demise at the end of the First World War profoundly altered the autocratic structure of the German Empire. While being targeted by the country’s authorities this study’s subjects pushed back against a system designed to protect small social and economic elites. They demanded reforms of gerrymandered franchise procedures; of sexual and gender norms; and of Germany’s nationalist and imperialist foreign and economic policies. The book highlights the potential for democratic change even under undemocratic conditions, and the chances taken or squandered by the champions of democratic reform in Germany before 1918. As such, it exposes understudied moments of historical contingency and tells stories of what was and suggests futures of what could have been.</p>",
278743,FT-278743-21,2,0,0,0,0,0,0,,Marissa,O'Connor,Nicosia,,,,,,Marissa O'Connor Nicosia (Project Director: September 2020 to December 2021),"Marissa O'Connor Nicosia<br/>Pennsylvania State University, Altoona Campus (Altoona, PA 16601-3777)","Pennsylvania State University, Altoona Campus",Altoona,PA,16601-3777,USA,3/1/2021,2021,"Seasonal Tastes: English Literary and Recipe Culture, 1550-1750",British Literature,British Literature; Renaissance Studies,3,Summer Stipends,6,Research Programs,6000,0,6000,0,6000,0,6000,0,6/1/2021 &ndash; 7/31/2021,"<p>Research and writing towards a book examining the intertextual links among domestic writing, food culture, and early modern English poetry.</p>
<p>Seasonal Tastes investigates poetic style, culinary flavor, and the construction of diurnal time in early modern English literary works and practical handbooks. In early modern usage, the word “season” was a verb, describing the act and art of flavoring dishes, and a noun, indicating a specific time of the year. Likewise, “taste” referred both to bodily sensation and readerly pleasure; the consumption of food as well as a discerning appetite for literary culture. Seasonal Tastes puts literary works and “how to” literature in dialogue to explore flavor, time, literary form, and climate in the early modern period. This project intervenes in debates about how nature is depicted within literary studies, and within the humanities more broadly, by taking seasons as its central focus.</p>",
279900,RZ-279900-21,1,0,0,0,0,0,0,,Michelle,Ursula,Campos,,Orit,,Bashkin,,Michelle Ursula Campos (Project Director: December 2020 to present)<br/>Orit Bashkin (Co Project Director: February 2021 to present)<br/>Lior B. Sternfeld (Co Project Director: February 2021 to present),"Penn State (University Park, PA 16802-1503)<br/>Michelle Ursula Campos (Project Director: December 2020 to present)<br/>Orit Bashkin (Co Project Director: February 2021 to present)<br/>Lior B. Sternfeld (Co Project Director: February 2021 to present)</div>",Penn State,University Park,PA,16802-1503,USA,7/1/2021,2021,"Reimagining Jewish Life in the Modern Middle East, 1800-Present: Culture, Society, and History",Jewish Studies,Jewish Studies; Near and Middle Eastern History,5,Collaborative Research,6,Research Programs,0,0,249842,0,249842,0,249842,0,10/1/2021 &ndash; 9/30/2024,"<p>Preparation for print publication of a multi-authored monograph on the history of Jewish life in the Middle East from 1800 to the present, for preparation of a special journal issue, and a website. (36 months)</p>
<p>We propose a large-scale collaborative project to rewrite the histories, narratives, and memories of and by Jews in the Middle East in the 19th-21st centuries. Drawing on original primary sources in numerous languages, diverse interdisciplinary approaches, and creative synthesis of the recent scholarship, we reframe Jews at the center of the modern Middle East and globe rather than on its margins. By analyzing, historicizing, and contextualizing the multifaceted processes of minoritization and sectarianization that took place in different contexts (imperial, colonial, national) beginning in the mid-19th century, we examine the overlapping ways that Jews were both incorporated into and excluded from Middle Eastern polities and societies. These varying trajectories across the region impacted the changing and ongoing political salience of remembering and erasing Jewish presence in the Middle East. We will publish a journal special issue, a multi-authored book, and a robust, dynamic website.</p>",
279901,RQ-279901-21,1,0,0,6,0,0,0,,Sandra,W.,Spanier,,,,,,Sandra W. Spanier (Project Director: December 2020 to present),"Penn State (University Park, PA 16802-1503)<br/>Sandra W. Spanier (Project Director: December 2020 to present)</div>",Penn State,University Park,PA,16802-1503,USA,7/1/2021,2021,The Letters of Ernest Hemingway,American Literature,American Literature,193,Scholarly Editions and Translations,6,Research Programs,0,150000,300000,150000,300000,0,300000,0,10/1/2021 &ndash; 9/30/2024,"<p>Preparation for print publication of volumes 6, 7, and 8 of a scholarly edition of the letters of American author Ernest Hemingway (1899-1961). (36 months)</p>
<p>The Letters of Ernest Hemingway is a comprehensive scholarly edition of the 6,000 surviving letters of Ernest Hemingway (1899-1961), 85% previously unpublished, planned for 17 volumes. A 1954 Nobel Laureate, Hemingway made a profound impact on modern prose and still commands enormous popular and scholarly interest worldwide. The letters afford new insights into the life and work of this most influential American writer and narrate a running eyewitness history of the 20th century. With prior NEH support, Vols. 1-5 (1907-May 1934) were published by Cambridge University Press between 2011 and 2020; an electronic edition was launched in August 2020. The entire project is expected to be completed in 2044. Our proposal responds to the ""A More Perfect Union"" initiative. We are requesting 3-year funding to publish Vol. 6, submit Vol. 7, and begin work on Vol. 8, spanning June 1934-1942. https://www.cambridge.org/hemingway-letters; https://www.hemingwaysociety.org/hemingway-letters-project.</p>",
267194,FEL-267194-20,2,0,0,0,0,0,0,,Sherry,,Roush,,,,,,Sherry Roush (Project Director: February 2019 to January 2021),"Sherry Roush<br/>Penn State (University Park, PA 16802-1503)",Penn State,University Park,PA,16802-1503,USA,12/1/2019,2019,The First Novel Specially Written for Women: An Edition and Translation of Jacopo Caviceo's Peregrino (1508),Italian Literature,Italian Literature,318,Fellowships,6,Research Programs,30000,0,30000,0,30000,0,30000,0,7/1/2020 &ndash; 12/31/2020,"<p>Research and writing leading to the first English translation of the popular
early Italian novel <em>Peregrino</em> by
Jacopo Caviceo (1508).</p>
<p>A six-month NEH Individual Fellowship will permit the completion of the first-ever English translation from Italian and a substantial critical introduction of Jacopo Caviceo's <em>Peregrino </em>(1508). The European bestseller has been called ""the first novel specially written for women"" (Letizia Panizza in <em>The Cambridge History of Italian Literature</em>) and was the first prose romance dedicated to a historical woman (Lucrezia Borgia).</p>",
267436,FEL-267436-20,2,0,1,0,0,0,0,,Eric,,Hayot,,,,,,Eric Hayot (Project Director: April 2019 to January 2022),"Eric  Hayot<br/>Penn State (University Park, PA 16802-1503)",Penn State,University Park,PA,16802-1503,USA,12/1/2019,2019,An Inquiry into Humanist Reason,Literary Criticism,Comparative Literature; Literary Criticism,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,7/1/2020 &ndash; 6/30/2021,"<p>Completion of a book on the philosophical
history of the divide between humanities, social sciences, and science, and the future of humanistic thought.</p>
<p>This project first describes, and then revises,
our understanding of how scholars in the humanities think -- how they use
evidence, how they argue, how they come to the truth. It begins with an
exploration of the philosophical roots of humanist epistemology in the
formation of the modern, tripartite university (characterized by the division
into the sciences, the humanities, and the social sciences). It continues
through an exploration of the Kantian roots of that philosophy, and closes with
""articles of reason:"" a list of principles that most humanists today
believe in and practice in their scholarship and teaching. Against caricatures
of the humanities as ideologically motivated, or even well-meaning descriptions
of humanist work as subjectively oriented toward the individual or the unique, this
project makes the case for the humanities as reason, as a critical social form
of thinking and argument that is, like every other such form, supported (and
changed) by the evidence it makes.</p>",
268629,FO-268629-20,2,0,0,0,0,0,0,,Ran,,Zwigenberg,,,,,,Ran Zwigenberg (Project Director: April 2019 to present),"Ran  Zwigenberg<br/>Penn State (University Park, PA 16802-1503)",Penn State,University Park,PA,16802-1503,USA,12/1/2019,2019,Nuclear Minds: Cold War Psychological Science and Hiroshima,East Asian History,Cultural History; East Asian History; History of Science,207,Fellowships for Advanced Social Science Research on Japan,6,Research Programs,60000,0,60000,0,60000,0,60000,0,7/1/2021 &ndash; 6/30/2022,"<p>Research and writing leading to a book on how mental health professionals and other researchers understood the psychological consequences of the atomic bombings of Hiroshima and Nagasaki.</p>
<p>This project examines the way mental health professionals in Japan, as well as those who studied <em>hibakusha</em> in the West, tackled the long term psychological consequences of the bomb. It places the various responses and clinical approaches taken in the stricken cities within the context of the larger history of trauma in Japan and elsewhere as well as the bigger historical responses of medicine to the threat and reality of nuclear weapons, tests and accidents. Coming out of a chapter I wrote for the Hiroshima book, this project looks, first, at how the A-bomb was understood within Japanese mental health circles  and what these responses meant for the history of the survivor and peace movement in Hiroshima, especially in terms of the struggle for compensation and medical recognition in the fifties. Second, I examine the way mental health professionals planned to handle psychiatric effects in&nbsp;the event of a future nuclear attack and the connection of these studies with the history of trauma.</p>",
269893,FT-269893-20,2,0,7,0,0,0,0,,John,,Eicher,,,,,,John Eicher (Project Director: September 2019 to December 2021),"John  Eicher<br/>Pennsylvania State University, Altoona Campus (Altoona, PA 16601-3777)","Pennsylvania State University, Altoona Campus",Altoona,PA,16601-3777,USA,3/1/2020,2020,"Influenza, War, and Religion in Rural Europe, 1918-1920",European History,Cultural History; European History; History of Science,3,Summer Stipends,6,Research Programs,6000,0,6000,0,6000,0,6000,0,10/1/2020 &ndash; 11/30/2020,"<p>Researching a history of the 1918 influenza epidemic in rural Europe, investigating the social, political, and religious factors shaping responses to the medical crisis.</p>
<p>This book project compares the 1918 influenza pandemic’s cultural effects on rural communities in the British isles (Great Britain and Ireland) and Central Europe (Germany and Switzerland) in order to understand popular perceptions of science and religion at the end of Europe’s first total war and the beginning of western medicine’s “golden age.” My transnational and comparative framework helps us understand the pandemic through multiple lenses including (1) wartime solidarities, (2) rurality, (3) religion, and, (4) empire. I hypothesize that: 1) Interpretations of the flu varied between urban/rural contexts and across national/confessional lines. 2) Rural communities placed greater trust in local leaders than in overburdened national authorities. 3) In contrast to modern Europeans’ dependency on a welfare state, rural Europeans in 1918 had fewer expectations that governments were responsible for citizens’ health, which enhanced social stability during the crisis.</p>",
271801,HAA-271801-20,1,0,2,1,0,0,0,,Elizabeth,C.,Mansfield,,James,Z.,Wang,,Elizabeth C. Mansfield (Project Director: January 2020 to present)<br/>James Z. Wang (Co Project Director: May 2020 to present),"Penn State (University Park, PA 16802-1503)<br/>Elizabeth C. Mansfield (Project Director: January 2020 to present)<br/>James Z. Wang (Co Project Director: May 2020 to present)</div>",Penn State,University Park,PA,16802-1503,USA,7/1/2020,2020,Seeing Constable’s Clouds: An Application of Machine Learning to Art Historical Research,Art History and Criticism,Art History and Criticism,311,Digital Humanities Advancement Grants,12,Digital Humanities,0,0,48487,0,48487,0,48487,0,9/1/2020 &ndash; 8/31/2022,"<p>The development of computational methods to analyze formal details in paintings, focusing on cloud studies by John Constable and his emulators, documentary photographs, and fine art photographs.&nbsp;&nbsp;</p>
<p>“Seeing Constable’s Clouds” proposes to use computer vision and machine learning to better understand the visual cues of 19th-century pictorial realism. Realist landscapes by British artist John Constable (1776-1837) are often split into two phases depending on whether they were made before or after an intense period spent observing and painting clouds in 1821-1822. Contemporaries disagreed about the effect this interlude had on the realism of his work, and art historians continue to debate how his empirical approach influenced his style and technique. The project team will use computer vision to seek formal details that art historians may have overlooked or been unable to discern. We will also use machine learning to discover whether there are formal features that contribute to the verisimilitude of three different types of pictorial realism: Constable’s paintings of clouds, fine art photographs of clouds, and research photographs of clouds made for scientific study.</p>",
