ApplicationID,ApplicationNumber,ApplicantType,SuppCount,ProductCount,CoverageCount,PrizeCount,ParticipatingInstitutionCount,WhitePaper,WhitePaperPath,PDFirstname,PDMiddlename,PDLastname,PDNameSuffix,CoPDFirstname,CoPDMiddlename,CoPDLastname,CoPDNameSuffix,Participants,GranteeDisplay,Institution,InstCity,InstState,InstPostalCode,InstCountry,CouncilDate,YearAwarded,ProjectTitle,PrimaryDiscipline,AllDisciplines,ProgramID,ProgramName,DivisionID,DivisionName,OfferedOutright,OfferedMatching,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,GrantPeriod,ProjectDesc,ToSupport
286400,FT-286400-22,2,0,0,0,0,0,0,,Shaun,,Myers,,,,,,Shaun Myers (Project Director: September 2021 to present),"Shaun  Myers<br/>University of Pittsburgh (Pittsburgh, PA 15260-6133)",University of Pittsburgh,Pittsburgh,PA,15260-6133,USA,3/1/2022,2022,Black Anaesthetics: African American Narrative Beyond Man,American Literature,African American Studies; American Literature; Literary Criticism,3,Summer Stipends,6,Research Programs,6000,0,6000,0,6000,0,6000,0,5/1/2022 &ndash; 6/30/2022,"<p>Research and writing one chapter of a book on Black women writers and the techniques they used to obscure blackness in the 1970s and 1980s.</p>
<p>In the 1970s and 1980s, Black women writers gained unprecedented visibility in a US cultural marketplace shaped, on the one hand, by the Black Arts Movement’s demand that Black artists represent lived racial experience and, on the other, by the historical white demand that blackness reliably take its appointed form: embodied and spectacular. Yet, even as these contending forces intersected, certain black women writers refused these expectations. Black Anaesthetics: African American Narrative Beyond Man argues that writers such as Toni Morrison, Octavia Butler, and Andrea Lee invented techniques of obscuring blackness to trouble the racial logics requiring that it always be uttered or seen. Studying their narrative racial experiments, Black Anaesthetics tells the story of how their integration of the mainstream publishing world conditioned the development of black anaesthetics, narrative practices figuring blackness as imperceptible, but always in the shadow of the racialized world.</p>",
277337,PW-277337-21,1,0,0,0,0,0,0,,James,,Cassaro,,,,,,James Cassaro (Project Director: July 2020 to present),"University of Pittsburgh (Pittsburgh, PA 15260-6133)<br/>James Cassaro (Project Director: July 2020 to present)</div>",University of Pittsburgh,Pittsburgh,PA,15260-6133,USA,3/1/2021,2021,Providing Open Access to Photoplay Music: The Mirskey Collection Digitization Project,Music History and Criticism,Music History and Criticism,253,Humanities Collections and Reference Resources,1,Preservation and Access,0,0,145897,0,145897,0,145897,0,7/1/2021 &ndash; 6/30/2023,"<p>The cataloging and digitization of the&nbsp;Mirskey&nbsp;Collection, a&nbsp;set of approximately 3,000&nbsp;cinema&nbsp;scores published during the early motion picture era,&nbsp;dating from&nbsp;ca.&nbsp;1895&nbsp;to 1927.</p>
<p>The University of Pittsburgh Library System (ULS) seeks a grant to support the Mirskey Collection Digitization Project. This two-year project will process and digitize sheet music for silent [mute] film accompaniment in the Mirskey Collection (MC), held by the ULS Theodore M. Finney Music Library. The MC contains approximately 3,000 sets of “photoplay” music, or music published specifically for cinema orchestra, with each set averaging fifteen instrumental parts, for a total of approximately 45,000 pages. Music for silent film accompaniment is an important resource for humanities scholars and musicologists exploring media studies, popular music, historical art music, gendered activities, class and social stratification, and a variety of other areas. Yet, silent film music remains very difficult for scholars and performers to access. The proposed project will preserve the entire MC and make it freely available online for research, performance, public programming, and exhibition.</p>",
281254,EH-281254-21,1,0,0,0,0,0,0,,Michele,,Reid-Vazquez,,,,,,Michele Reid-Vazquez (Project Director: March 2021 to present),"University of Pittsburgh (Pittsburgh, PA 15260-6133)<br/>Michele Reid-Vazquez (Project Director: March 2021 to present)</div>",University of Pittsburgh,Pittsburgh,PA,15260-6133,USA,7/1/2021,2021,Transnational Dialogues in Afro-Latin American and Afro-Latinx Studies,Ethnic Studies,African American Studies; Ethnic Studies; Latin American Studies,13,Institutes for Higher Education Faculty,7,Education Programs,0,0,175000,0,175000,0,175000,0,10/1/2021 &ndash; 12/31/2022,"<p>A two-week institute for 25 higher education faculty that would bring a transnational perspective to Afro-Latin American and Afro-Latinx cultures in the United States.</p>
<p>The Transnational Dialogues in Afro-Latin American and Afro-Latinx Studies Institute will explore transregional, transnational, and interdisciplinary scholarship and curricula addressing the African diaspora in Latin America and its diasporic populations in the U.S. Organized into three parts - Historical Dialogues, Cultural Dialogues, and Afrolatinidad Futurities - this two-week program is proposed for June 6-17, 2022. It will support 25 higher education faculty who seek a deeper scholarly engagement at the intersections of Africana, American, Latin American, and Latinx studies. Participants’ intellectual and pedagogical growth will be facilitated through presentations, discussions of texts and primary sources, mentoring opportunities, workshops, and excursions. All sessions will be available in a residential-hybrid format.</p>",
268654,FO-268654-20,2,0,0,0,0,0,0,,Raja,,Adal,,,,,,Raja Adal (Project Director: April 2019 to present),"Raja  Adal<br/>University of Pittsburgh (Pittsburgh, PA 15260-6133)",University of Pittsburgh,Pittsburgh,PA,15260-6133,USA,12/1/2019,2019,The Typewriter and the History of Writing Technologies in Japan,East Asian History,"East Asian History; History, General; Media Studies",207,Fellowships for Advanced Social Science Research on Japan,6,Research Programs,60000,0,60000,0,60000,0,60000,0,1/1/2021 &ndash; 12/31/2021,"<p>Research and writing leading to a book on the history of the typewriter in Japan.</p>
<p>Today, writing is undergoing revolutionary transformations.  Letters are increasingly rare while emails, posts, and tweets are growing more common; writing is de-territorialized, produced anywhere in the world including by non-human bots; and the consumption of written texts is often supplanted by other media like video.  This project suggests that the improbable success of the Chinese-character typewriter in Japan can help us understand the current transformations in writing.  It argues that the Chinese-character typewriter in Japan was successful not because it made writing faster but because it transformed the production, consumption, and circulation of written texts, bringing women into the office, redefining literacy, and enabling the circulation of multiple carbon copies of a document.</p>",
267062,BH-267062-19,1,0,0,0,0,0,0,,Kathryn,Miller,Haines,,Suzi,,Bloom,,Kathryn Miller Haines (Project Director: February 2019 to present)<br/>Suzi Bloom (Co Project Director: October 2019 to present),"University of Pittsburgh (Pittsburgh, PA 15260-6133)<br/>Kathryn Miller Haines (Project Director: February 2019 to present)<br/>Suzi Bloom (Co Project Director: October 2019 to present)</div>",University of Pittsburgh,Pittsburgh,PA,15260-6133,USA,7/1/2019,2019,The Homestead Steel Strike and the Growth of America as an Industrial Power,Labor History,Labor History,197,Landmarks of American History and Culture,7,Education Programs,0,0,177003,0,172681,0,172681,0,10/1/2019 &ndash; 7/31/2022,"<p>Two one-week workshops for 72 school teachers on the
Homestead Steel Strike.</p>
<p>The Homestead Steel Strike and the Growth of America as an Industrial Power is a one week workshop (offered twice) that will provide teachers with a full accounting of the circumstances that led to the Battle of Homestead and what its lasting impact has been in the United States. This program will provide a framework for participants to immerse themselves in the battle from both sides by examining primary sources, listening to lectures by leading historians and scholars, and visiting historic sites including the Original Homestead Works Pump House, the Bost Building, which served as headquarters for the Amalgamated Association of Iron and Steel Workers, and The Carrie Furnace, which produced iron for the Homestead Works from 1907 to 1978.</p>",
267285,HT-267285-19,1,0,1,0,0,0,0,,David,J.,Birnbaum,,,,,,David J. Birnbaum (Project Director: March 2019 to present),"University of Pittsburgh (Pittsburgh, PA 15260-6133)<br/>David J. Birnbaum (Project Director: March 2019 to present)</div>",University of Pittsburgh,Pittsburgh,PA,15260-6133,USA,7/1/2019,2019,Advanced Digital Editing: Modeling the Text and Making the Edition,Slavic Languages,Slavic Languages,260,Institutes for Advanced Topics in the Digital Humanities,12,Digital Humanities,0,0,249456,0,247596,0,247596,0,10/1/2019 &ndash; 9/30/2022,"<p>A two-week summer institute on the theory and development of digital scholarly editions for twenty-five participants to be hosted at the University of Pittsburgh.</p>
<p>The proposed NEH Institute, “Advanced digital editing: modeling the text and making the edition”, will train 25 participants who already know how to edit their texts in TEI XML to participate directly in the modeling, conceptualization, and implementation of their editions, empowering them to express innovative philological scholarship in a way that is informed by a deep understanding of what is possible technically, and of how to achieve it.</p>",
260426,AKB-260426-18,1,0,8,0,0,0,1,20171017-AKA-AKB2017\GRANT12503962\Reports\13-2913467.pdf,Nancy,,Condee,,Ruth,,Mostern,,Nancy Condee (Project Director: October 2017 to present)<br/>Ruth Mostern (Co Project Director: April 2019 to present),"University of Pittsburgh (Pittsburgh, PA 15260-6133)<br/>Nancy Condee (Project Director: October 2017 to present)<br/>Ruth Mostern (Co Project Director: April 2019 to present)</div>",University of Pittsburgh,Pittsburgh,PA,15260-6133,USA,3/1/2018,2018,Water in Central Asia: Tributaries of Change,Area Studies,Area Studies,320,Humanities Connections Implementation Grants,7,Education Programs,0,0,99898,0,99898,0,99898,0,5/1/2018 &ndash; 4/30/2021,"<p>A sequence of three courses focused on the past,
present, and future of water in Central Asia for students in the social
sciences, business, engineering, and the humanities.</p>
<p>The University of Pittsburgh’s Center for Russian and East European Studies (REES) and Asian Studies Center (ASC) propose a project to strengthen interdisciplinary connections among Pitt faculty and students across the humanities, social sciences, and pre-professional programs in business and engineering. Led by Dr. Nancy Condee (REES Director/Slavic Languages and Literatures) and Dr. Ruth Mostern (World History Center Director/ASC affiliate), the project faculty team will develop three new undergraduate courses on the theme of “Water in Central Asia.” This course sequence will incorporate high-impact experiential learning activities, including mentored research projects and virtual peer-to-peer exchanges with students at Nazarbayev University in Kazakhstan. The courses will be taught in spring 2019 through spring 2020 and then incorporated into Pitt’s regular curriculum and into two existing student credential programs, as well as a planned new Central Asian Studies Certificate.</p>",
260710,ZA-260710-18,1,0,0,0,0,0,1,20171129-ZA-ZA2017\GRANT12524399\Reports\13-2890745.pdf,Holger,,Hoock,,,,,,Holger Hoock (Project Director: November 2017 to present),"University of Pittsburgh (Pittsburgh, PA 15260-6133)<br/>Holger Hoock (Project Director: November 2017 to present)</div>",University of Pittsburgh,Pittsburgh,PA,15260-6133,USA,3/1/2018,2018,Humanities Careers: Re-Imagining Doctoral Training,"Interdisciplinary Studies, General","Interdisciplinary Studies, General",303,Next Generation Humanities PhD (Planning),4,Challenge Programs,0,24797,0,24797,0,24797,24797,0,8/1/2018 &ndash; 7/31/2019,"<p>The redesign of the doctoral program in the School
of Arts and Sciences to optimize preparation for diverse careers.</p>
<p>Humanities Careers will engage graduate faculty and students across fourteen Humanities programs at the University of Pittsburgh, as well as administrators, alumni, and other stakeholders, in a planning process to rethink humanities doctoral education so as to optimize every student’s preparation for diverse careers. Embracing multiple definitions of student and program success, we will focus on student and alumni data; curricular change; partnerships across and beyond campus, including alumni relations; and experiential learning. We will thus foster a cultural transformation in how faculty, students, and the University envisage the broader importance of Humanities PhDs and the societal impacts of humanistic training. Studying current culture and resources across programs, and investigating best practices nationally, we will create an initial suite of new resources and make actionable recommendations to the University, School of Arts and Sciences, and doctoral programs.</p>",
261794,HT-261794-18,1,0,2,0,0,4,1,20180313-HT-HT2018\GRANT12586226\Reports\13-2891346.pdf,Alison,,Langmead,,,,,,Alison Langmead (Project Director: March 2018 to May 2021),"University of Pittsburgh (Pittsburgh, PA 15260-6133)<br/>Alison Langmead (Project Director: March 2018 to May 2021)</div>",University of Pittsburgh,Pittsburgh,PA,15260-6133,USA,7/1/2018,2018,Workshops on Sustainability for Digital Projects,"Interdisciplinary Studies, Other","Interdisciplinary Studies, Other",260,Institutes for Advanced Topics in the Digital Humanities,12,Digital Humanities,0,0,215380,0,181796.65,0,181796.65,0,10/1/2018 &ndash; 9/30/2019,"<p>A series of five workshops for up to 150 participants to explore approaches to long term sustainability of digital humanities projects. The workshops would be hosted at the University of Pittsburgh, Brigham Young University, Brown University, the Georgia Institute of Technology, and Oklahoma State University.</p>
<p>The ongoing sustainability of digital humanities projects is of critical concern to the field. To help increase engagement with sustainability planning, the University of Pittsburgh has developed, with prior support from the NEH, the Socio-Technical Sustainability Roadmap (STSR). The STSR is a structured workshop that guides participants through the practice of creating effective sustainability plans, based on research findings that demonstrate that the needs of a project’s social infrastructure must be addressed alongside the needs of its technological infrastructure in order to successfully sustain digital work over time. We are applying to the NEH ODH IATDH Program to fund a series of five facilitated STSR workshops at regional digital humanities hubs located across the United States. We anticipate reaching 125-150 people in total and are particularly interested in attracting participants who lack access to digital sustainability infrastructures at their home institutions.</p>",
253719,PW-253719-17,1,0,0,0,0,0,0,,Ruth,,Mostern,,,,,,Ruth Mostern (Project Director: July 2016 to present),"University of Pittsburgh (Pittsburgh, PA 15260-6133)<br/>Ruth Mostern (Project Director: July 2016 to present)</div>",University of Pittsburgh,Pittsburgh,PA,15260-6133,USA,3/1/2017,2017,World-Historical Gazetteer,"History, General","Geography; History, General",253,Humanities Collections and Reference Resources,1,Preservation and Access,315000,0,315000,0,315000,0,315000,0,5/1/2017 &ndash; 12/31/2020,"<p>This is a project to create
content, standards and digital infrastructure for a World-Historical Gazetteer
(WHG): a spatially and temporally comprehensive index of significant world
historical place names (a Spine), and a system for collaborative digital and
data-driven historical scholarship at the global scale (an Ecosystem).&nbsp; It focuses significantly but not exclusively
on the centuries since 1500, so as to dovetail with synergistic efforts devoted
to the ancient and medieval world.</p>",
