ApplicationID,ApplicationNumber,ApplicantType,SuppCount,ProductCount,CoverageCount,PrizeCount,ParticipatingInstitutionCount,WhitePaper,WhitePaperPath,PDFirstname,PDMiddlename,PDLastname,PDNameSuffix,CoPDFirstname,CoPDMiddlename,CoPDLastname,CoPDNameSuffix,Participants,GranteeDisplay,Institution,InstCity,InstState,InstPostalCode,InstCountry,CouncilDate,YearAwarded,ProjectTitle,PrimaryDiscipline,AllDisciplines,ProgramID,ProgramName,DivisionID,DivisionName,OfferedOutright,OfferedMatching,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,GrantPeriod,ProjectDesc,ToSupport
281435,FEL-281435-22,2,0,0,0,0,0,0,,Yesenia,,Barragan,,,,,,Yesenia Barragan (Project Director: March 2021 to present),"Yesenia  Barragan<br/>Rutgers, The State University of New Jersey (New Brunswick, NJ 08901-8559)","Rutgers, The State University of New Jersey",New Brunswick,NJ,08901-8559,USA,11/1/2021,2021,A Country of Their Own: African Americans and the Promise of Antebellum Latin America (1820-1870),African American History,African American History; Latin American History; Political History,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,9/1/2022 &ndash; 8/31/2023,"<p>Research and writing leading to a book on Latin America
as a beacon of freedom and an immigration destination for African Americans
during the antebellum period.&nbsp;</p>
<p>A Country of Their Own explores the place and promise of Latin America in the political imagination of African Americans during the antebellum era. As slavery and anti-Black politics of the antebellum United States were increasingly consolidated, by the 1820s the newly independent republics of Latin America adopted abolitionist policies while officially eliminating racial caste systems. Utilizing an array of sources including newspapers, travelogues, and government correspondence among other records across several countries, my project recasts Latin American and African American History by charting African American perspectives on Latin America in addition to the antebellum migration of fugitive and free African Americans to the region in search of racial and social freedom. A Country of Our Own will be the first book to weave together a hemispheric exploration of antebellum African American and Latin American histories through the lens of emigration histories and political visioning.</p>",
281756,FEL-281756-22,2,0,0,0,0,0,0,,Rachel,Marie,Mundy,,,,,,Rachel Marie Mundy (Project Director: April 2021 to present),"Rachel Marie Mundy<br/>Rutgers, The State University of New Jersey, Newark (Newark, NJ 07104-3010)","Rutgers, The State University of New Jersey, Newark",Newark,NJ,07104-3010,USA,11/1/2021,2021,"Music, Animals, and Rights after 1950 in the United States",Music History and Criticism,History of Science; Music History and Criticism,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,9/1/2023 &ndash; 8/31/2024,"<p>Research and writing leading to a book about connections between music research and American zoology from 1950 to 2000.</p>
<p>Between 1950 and 2000, a group of women pioneered a wave of research that used music to transform the way we hear whales, parrots, bonobos, dolphins, elephants, and other animals. Why did musical skills accomplish what decades of science had not? My book project <em>Hearing Beyond Humanism: Music, Animals, and Rights</em> after 1950 asks this question in the first significant study of collaborations between American zoology and music research. In this book I examine how zoologists used musical listening skills, showing how they eventually argued that musical animals had rights traditionally understood as “human.” By placing this research within the broader context of civil and human rights during the 1960s and 1970s, my book shows how America’s postwar humanities culture shaped modern discoveries about the natural world.</p>",
282116,HB-282116-22,2,0,0,0,0,0,0,,Patricia,,Akhimie,,,,,,Patricia Akhimie (Project Director: April 2021 to present),"Patricia  Akhimie<br/>Rutgers, The State University of New Jersey, Newark (Newark, NJ 07104-3010)","Rutgers, The State University of New Jersey, Newark",Newark,NJ,07104-3010,USA,11/1/2021,2021,Editing Shakespeare's Othello,British Literature,British Literature,273,Awards for Faculty,6,Research Programs,60000,0,60000,0,60000,0,60000,0,9/1/2022 &ndash; 8/31/2023,"<p>Research and writing leading to a new edition of Shakespeare’s <em>Othello</em> to be published as part of the Arden Shakespeare Fourth Series.&nbsp;</p>
<p>An edition of Othello for the Arden Shakespeare Fourth Series, the internationally recognized scholarly standard of excellence in Shakespeare editions, and one of the first to be edited by a woman of color. Othello has a great deal to teach us about the work of language in the production of racist thinking and the creation and perpetuation of damaging stereotypes. Grounded in critical race theory, this edition addresses the dichotomy between an increasingly diverse readership and a relatively homogenous group of mediators, including editors and critics, endowed with the privilege of deciphering and disseminating Shakespeare’s plays. Projected to be one the best-selling plays in the series, slated to be distributed in print and digital editions, and designed to reach an even wider readership amongst high school and undergraduate students, as well as scholars, this edition—now under contract—is positioned to change scholarship and teaching for decades to come.</p>",
282233,HB-282233-22,2,0,0,0,0,0,0,,Manu,Samriti,Chander,,,,,,Manu Samriti Chander (Project Director: April 2021 to present),"Manu Samriti Chander<br/>Rutgers, The State University of New Jersey, Newark (Newark, NJ 07104-3010)","Rutgers, The State University of New Jersey, Newark",Newark,NJ,07104-3010,USA,11/1/2021,2021,The Complete Works of Egbert Martin,"Literature, Other","American Literature; British Literature; Literature, Other",273,Awards for Faculty,6,Research Programs,60000,0,60000,0,60000,0,60000,0,9/1/2022 &ndash; 8/31/2023,"<p>Writing and revision for an edition of the collected works
of Guyanese belletrist, Egbert Martin (c. 1861-1890).</p>
<p>Following emancipation in the 1830s, Guyana (then British Guiana) witnessed a boom in literary output. Technological advancements in printing in the colonies and the rise of a new Black middle class meant that, for the first time, Afro-Guyanese voices were being heard. At the forefront of a growing group of Black literary figures was Egbert Martin, the colony’s “most important nineteenth-century poet,” according to Laurence Breiner’s Introduction to West Indian Poetry (Cambridge UP, 1998) and, in the words of the Harlem Renaissance writer Arthur Schomburg, “one of the greatest Negro poets in history.” The Complete Works of Egbert Martin brings together all of Martin’s known writings, many of which have been remained unpublished since they first appeared in Guyanese periodicals in the 1880s and many of which I have newly discovered.</p>",
282626,FEL-282626-22,2,0,0,0,0,0,0,,Judith,,Surkis,,,,,,Judith Surkis (Project Director: April 2021 to present),"Judith  Surkis<br/>Rutgers, The State University of New Jersey (New Brunswick, NJ 08901-8559)","Rutgers, The State University of New Jersey",New Brunswick,NJ,08901-8559,USA,11/1/2021,2021,"Children, Law, and International Relations between France and Algeria after 1962",European History,European History; Gender Studies; Legal History,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,7/1/2022 &ndash; 6/30/2023,"<p>Research and writing leading to a book on the cultural history of postcolonial custody disputes over children with French and Algerian parents during the 1970s and 1980s.</p>
<p>In the wake of Algerian decolonization, fierce custody battles over thousands of Franco-Algerian children pit migrant Algerian fathers against the children’s French mothers. These family affairs became affairs of state, captivating publics on both sides of the Mediterranean in the 1970s and 80s. My cultural history of postcolonial children elucidates how these family disputes replicated geopolitical conflicts on a smaller scale. Weaving together family history with international relations, I offer new insight into how France’s difficult “divorce” from Algeria after 1962 reverberated across time and through individual lives. Freighted with conflicting political and cultural meanings, the fate of binational children came to represent the future of citizenship, secularism and fanaticism, national development and international cooperation, feminism and human rights. These concerns continue to shape debates over the legal and cultural belonging of so called migrant youth in France today.</p>",
284548,AC-284548-22,1,0,0,0,0,0,0,,Stephanie,,Rodriguez,,Jennifer,Byrnes,Austin,,Stephanie Rodriguez (Project Director: May 2021 to present)<br/>Jennifer Byrnes Austin (Co Project Director: December 2021 to present),"Rutgers, The State University of New Jersey, Newark (Newark, NJ 07104-3010)<br/>Stephanie Rodriguez (Project Director: May 2021 to present)<br/>Jennifer Byrnes Austin (Co Project Director: December 2021 to present)</div>","Rutgers, The State University of New Jersey, Newark",Newark,NJ,07104-3010,USA,11/1/2021,2021,Lives in Translation: Lead Through Language,"Languages, General","Languages, General",243,Humanities Initiatives at Hispanic-Serving Institutions,7,Education Programs,0,0,150000,0,150000,0,150000,0,2/1/2022 &ndash; 1/31/2025,"<p>The&nbsp;creation&nbsp;of a certificate program&nbsp;in translation and interpretation,&nbsp;and the&nbsp;development&nbsp;of&nbsp;its curricular,&nbsp;service-learning, and language-documentation&nbsp;components.</p>
<p>The Lives in Translation (LiT) program, which is housed within the Department of Spanish and Portuguese Studies at Rutgers University-Newark, where we embrace our role as an anchor institution in our diverse social milieu as central to our identity, is proposing a three-year humanities initiative to (1) expand curricular offerings in translation, interpreting, and multilingualism, (2) to provide language services in a multitude of languages to our Limited English Proficiency members of our community, including indigenous and endangered languages, and (3) to support innovative teaching and learning of language documentation of multilinguals. Through this proposal, Lives in Translation’s vision is to cultivate the linguistic richness of our Rutgers-Newark campus by making languages a cornerstone of educational opportunities and providing deeper knowledge and understanding of global cultures as an integral part of our academic capacity.</p>",
273547,FEL-273547-21,2,0,7,0,0,0,0,,Susanna,,Schellenberg,,,,,,Susanna Schellenberg (Project Director: April 2020 to present),"Susanna  Schellenberg<br/>Rutgers, The State University of New Jersey (New Brunswick, NJ 08901-8559)","Rutgers, The State University of New Jersey",New Brunswick,NJ,08901-8559,USA,11/1/2020,2020,"The Neural Basis of Perception: Discrimination, Information-Processing, and Biases","Philosophy, Other","Epistemology; Philosophy, Other",318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,1/1/2021 &ndash; 12/31/2021,"<p>Research and writing leading to publication of a book on the nature of perception based on current neuroscience.</p>
<p>The Neural Basis of Perception: Discrimination, Information-Processing, and Biases is a philosophical investigation into the neural underpinnings of how we experience the world through our senses. Neuroscience is currently one of the most exciting areas of scientific research. The last two decades have seen enormous progress in understanding the neural basis of perception. Despite obvious relevance, this research has barely been taken up in philosophical accounts of perception. Similarly, philosophical work on perception has had little influence on neuroscientific accounts. My book aims to develop an encompassing understanding of the nature of perception informed by both sides thereby contributing to debates in both philosophy and neuroscience while building a bridge between them.</p>",
278376,FT-278376-21,2,0,0,0,0,0,0,,David,,Greenberg,,,,,,David Greenberg (Project Director: September 2020 to May 2022),"David Greenberg<br/>Rutgers, The State University of New Jersey (New Brunswick, NJ 08901-8559)","Rutgers, The State University of New Jersey",New Brunswick,NJ,08901-8559,USA,3/1/2021,2021,"A Biography of John Lewis (1940-2020), Civil Rights Leader and Politician",U.S. History,African American History; Political History; U.S. History,3,Summer Stipends,6,Research Programs,6000,0,6000,0,6000,0,6000,0,7/1/2021 &ndash; 8/31/2021,"<p>Research for a biography of civil rights leader and
politician John Lewis (1940-2020).&nbsp;</p>
<p>John Lewis: A Life in Politics will be the first cradle-to-grave biography of the late Georgia congressman. Lewis was central to America’s fight for racial justice since 1960, when he and fellow Nashville students applied Gandhian ideas to integrate Jim Crow lunch counters. A founder and chair of the Student Nonviolent Coordinating Committee, Lewis led major campaigns from the Freedom Rides to the March on Washington to the Selma voting rights march. Ousted as SNCC chairman in 1966, Lewis entered politics, joining Robert Kennedy’s 1968 presidential bid, registering Blacks to vote in the 1970s, and in 1986 winning a seat in Congress, where he rose to be a deputy to the Speaker. Legislatively, he helped extend the Voting Rights Act, established a Black history museum in Washington, and served as “the conscience of Congress.” Lewis’s life story thus shows how the energies of the 1960s civil rights movement, in his person, carried on the drive for racial equality in the following decades.</p>",
279883,RZ-279883-21,1,0,0,0,0,0,0,,Lauren,M. E.,Goodlad,,,,,,Lauren M. E. Goodlad (Project Director: December 2020 to present),"Rutgers, The State University of New Jersey (New Brunswick, NJ 08901-8559)<br/>Lauren M. E. Goodlad (Project Director: December 2020 to present)</div>","Rutgers, The State University of New Jersey",New Brunswick,NJ,08901-8559,USA,7/1/2021,2021,Unboxing Artificial Intelligence: An International Collaboration Bringing Humanities Perspectives to AI,"Interdisciplinary Studies, General","Interdisciplinary Studies, General",5,Collaborative Research,6,Research Programs,0,0,24970,0,24970,0,24970,0,10/1/2021 &ndash; 9/30/2022,"<p>Planning of an international collaboration on the topic of bringing humanities perspectives to the creation of Artificial Intelligence. (12 months)</p>
<p>Artificial Intelligence (AI) is an emergent set of technologies. Though touted as a fourth industrial revolution, AI is subject to hype and misinformation. Despite increasing talk about making AI “ethical” and “human-centered,” humanists seldom shape these discussions. “Unboxing AI” is a new international collaboration: at Rutgers, Lauren Goodlad, is leading an interdisciplinary working group in “Critical AI.” At Australian National University, Katherine Bode works with faculty in three AI-related institutes. “Unboxing AI” will organize and publicize two exploratory workshops that put humanistic thinking at the core of research questions that move beyond the technical issue of AI’s “Black Box.” Our written plan will lay out steps for a peer-reviewed special issue and may also project 1) a jointly-hosted international conference, 2) jointly-developed and/or team-taught curricula for ANU/RU students, and 3) a white paper for international circulation.</p>",
280011,FZ-280011-21,2,0,0,0,0,0,0,,Audrey,,Truschke,,,,,,Audrey Truschke (Project Director: December 2020 to present),"Audrey  Truschke<br/>Rutgers, The State University of New Jersey, Newark (Newark, NJ 07104-3010)","Rutgers, The State University of New Jersey, Newark",Newark,NJ,07104-3010,USA,7/1/2021,2021,Indian Pasts (A History of India),South Asian History,South Asian History,289,Public Scholars,6,Research Programs,60000,0,60000,0,60000,0,60000,0,9/1/2022 &ndash; 8/31/2023,"<p>Research and writing of a book
on the history of South Asia from 2600 BCE to the early 2020s, highlighting
India's dynamic religious and cultural changes.</p>
<p>I propose to write a single volume history of India that spans 4,600 years of known human history on the subcontinent. The book will proceed roughly chronologically, covering some of the major social, political, religious, intellectual, and cultural developments in ancient, early modern, colonial, and independent South Asia. Several threads will tie the book together, including religious and political innovations, ecological change, an astonishing diversity of peoples and experiences, and connections between South Asia and other parts of the world. My goal is to change how people view India. I want them to see, not an inert place that stands out of time, but rather a dynamic, vibrant part of the history of human advancement, achievement, and change.</p>",
