ApplicationID,ApplicationNumber,ApplicantType,SuppCount,ProductCount,CoverageCount,PrizeCount,ParticipatingInstitutionCount,WhitePaper,WhitePaperPath,PDFirstname,PDMiddlename,PDLastname,PDNameSuffix,CoPDFirstname,CoPDMiddlename,CoPDLastname,CoPDNameSuffix,Participants,GranteeDisplay,Institution,InstCity,InstState,InstPostalCode,InstCountry,CouncilDate,YearAwarded,ProjectTitle,PrimaryDiscipline,AllDisciplines,ProgramID,ProgramName,DivisionID,DivisionName,OfferedOutright,OfferedMatching,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,GrantPeriod,ProjectDesc,ToSupport
273927,FEL-273927-21,2,0,7,0,0,0,0,,Amy,Elizabeth,Earhart,,,,,,Amy Elizabeth Earhart (Project Director: April 2020 to June 2022),"Amy Elizabeth Earhart<br/>Texas A & M University, College Station (College Station, TX 77843-0001)","Texas A & M University, College Station",College Station,TX,77843-0001,USA,11/1/2020,2020,Digital Humanities and the Infrastructures of Race in African-American Literature,African American Studies,African American Studies; American Literature; Media Studies,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,1/1/2021 &ndash; 12/31/2021,"<p>Research and preparation of a digital publication studying how digital tools and methods employed for literature studies may reflect biases built into the technological infrastructure.</p>
<p>This project examines how technological infrastructure and algorithms interact with African-American authored literary texts to construct and deconstruct racial identities. By employing multiple lenses of data, digital tools, and analysis, the project reveals how seemingly naturalized technological infrastructures impact meaning through an interactive Scalar project and reposited data, visualizations and project documents for use and remix. Further, the digital project is designed to explore questions of preservation and open data, particularly important to Black literary studies where we continue to struggle to represent the fullness of cultural expression within current infrastructures.</p>",
278123,FT-278123-21,2,0,0,0,0,0,0,,Jonathan,,Brunstedt,,,,,,Jonathan Brunstedt (Project Director: August 2020 to present),"Jonathan  Brunstedt<br/>Texas A & M University, College Station (College Station, TX 77843-0001)","Texas A & M University, College Station",College Station,TX,77843-0001,USA,3/1/2021,2021,The Soviet-Afghan War and the Shadow of Vietnam,Russian History,Cultural History; Russian History; U.S. History,3,Summer Stipends,6,Research Programs,6000,0,6000,0,6000,0,6000,0,5/1/2023 &ndash; 9/30/2023,"<p>Research and writing toward a monograph examining the cultural legacies of the Vietnam (1961–75) and Soviet-Afghan (1979–89) wars.</p>
<p>My project is a book-length historical examination of the entangled cultural legacies of the Vietnam (1961–75) and Soviet-Afghan (1979–89) wars. While Vietnam became a crude metaphor for military quagmire that observers readily applied to Soviet involvement in Afghanistan, my project pursues the far deeper cultural connections between the wars. Building on Michael Rothberg's concept of ""multidirectional memory,"" my book will explore the dynamic process by which the wars in Vietnam and Afghanistan, and by extension American and Soviet political identities, were continuously framed in relation to one another. The project's core hypothesis is that the Vietnam-Afghanistan analogy was central to how Americans and Soviet Russians negotiated both the meaning of these two conflicts and their countries’ place in the world. As I contend, these negotiations hastened the USSR’s collapse and fueled the revival of an American exceptionalism that outlived the Cold War itself.</p>",
281243,EH-281243-21,1,0,0,0,0,0,0,,Andrea,,Roberts,,Thaïsa,,Way,,Andrea Roberts (Project Director: March 2021 to present)<br/>Thaïsa Way (Co Project Director: July 2021 to present),"Texas A & M University, College Station (College Station, TX 77843-0001)<br/>Andrea Roberts (Project Director: March 2021 to present)<br/>Thaïsa Way (Co Project Director: July 2021 to present)</div>","Texas A & M University, College Station",College Station,TX,77843-0001,USA,7/1/2021,2021,Toward a People's History of Landscape: Black and Indigenous Histories of the Nation's Capital,Architecture,African American History; Architecture; Ethnic Studies,13,Institutes for Higher Education Faculty,7,Education Programs,0,0,198289,0,198289,0,198289,0,10/1/2021 &ndash; 12/31/2022,"<p>A
three-week, residential institute for 25 college and university faculty on social
and landscape history in Washington, DC, focusing on African American and Indigenous
contributions.</p>
<p>An NEH Summer Institute for twenty-five higher education faculty to convene at Dumbarton Oaks Research Library and Collection in Washington DC from June 12 to July 1, 2022, led by Dr. Roberts (Texas A&amp;M) and Dr. Way (Harvard). The Institute brings together humanist scholars to explore new approaches to the scholarship and teaching of landscape histories, centering Black and Indigenous historical narratives in the founding of the United States and the District of Columbia. Participants will develop a web-based repository of teaching modules focused on Washington DC and eight selected sites across the nation. While seminars organize the program, field trips contribute to stewarding a landscape scholarship of integration for educators and researchers. Participants will detect new ways and disciplinary frames for understanding and teaching place meaning, experience and significance as they collectively create a model for a peoples history of landscapes of the United States.</p>",
268376,FEL-268376-20,2,0,0,0,0,0,0,,Luke,A.,Nichter,,,,,,Luke A. Nichter (Project Director: April 2019 to June 2021),"Luke A. Nichter<br/>Texas A & M University, Central Texas (Killeen, TX 76549-5901)","Texas A & M University, Central Texas",Killeen,TX,76549-5901,USA,12/1/2019,2019,"The Making of the President, 1968: Johnson, Humphrey, Nixon, Wallace and the Election of the Century",U.S. History,Diplomatic History; Political History; U.S. History,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,2/1/2020 &ndash; 1/31/2021,"<p>Research and writing leading to a book on the
history of the 1968 U.S. presidential election.</p>
<p>The 1968 presidential election is called one of the most important in modern history, yet no one has written a thorough historical account. After research in dozens of archives in the U.S. and Vietnam, and 73 interviews to date – including cooperation by Johnson, Humphrey, Nixon, and Wallace family members, South Vietnamese officials, and Paris peace talks participants – a new international history emerges. Almost everything we “know” is a myth: the reason Johnson withdrew on March 31, his plan to accept the nomination in Chicago, the South Vietnamese role in the Chennault Affair which says Nixon sabotaged the Vietnam peace talks, Anna Chennault’s final interview with the author and unpublished records that reveal she was investigated by the FBI for lobbying on behalf of Taiwan and offered to work for Johnson and Humphrey as late as November 1967, Wallace’s surprisingly effective campaign that resonates with the Trump movement, and Johnson’s final preference not for Humphrey but Nixon.</p>",
262639,FEL-262639-19,2,0,0,0,0,0,0,,Evan,,Haefeli,,,,,,Evan Haefeli (Project Director: April 2018 to January 2022),"Evan  Haefeli<br/>Texas A & M University, College Station (College Station, TX 77843-0001)","Texas A & M University, College Station",College Station,TX,77843-0001,USA,11/1/2018,2018,"Tolerant Expansion: When England Established American Religious Diversity, 1660-1688",U.S. History,"British History; History, Other; U.S. History",318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,7/1/2019 &ndash; 6/30/2020,"<p>Writing to complete a book about the development of American religious pluralism and colonial British policy and practice of toleration from 1660 to 1688.</p>
<p>My book studies the politics of religious toleration in England and its emerging empire in the key period of the second half of the seventeenth century to explain how religious pluralism became so deeply rooted in colonial American society as to make a national religious establishment impossible by the American Revolution. Using a mix of local and official imperial records, its chapters examine the creation of new colonies (especially the middle colonies of New York, New Jersey, and Pennsylvania), the laws regulating religion in them, the challenges to pluralism in both the new and existing colonies, and the contrast between theories developed at the imperial center and their implementation on the colonial periphery to demonstrate the ambivalent character of colonial pluralism. My ultimate argument is that America’s path to religious freedom was unsteady, depended heavily on anti-democratic English politics, and intersected with growing inequalities like slavery and dispossession.</p>",
266101,RZ-266101-19,1,0,1,0,0,0,0,,Jose,Luis,Bermudez Ospina,,Catherine,,Conybeare,,Jose Luis Bermudez Ospina (Project Director: December 2018 to present)<br/>Catherine Conybeare (Co Project Director: February 2019 to present),"Texas A & M University, College Station (College Station, TX 77843-0001)<br/>Jose Luis Bermudez Ospina (Project Director: December 2018 to present)<br/>Catherine Conybeare (Co Project Director: February 2019 to present)</div>","Texas A & M University, College Station",College Station,TX,77843-0001,USA,7/1/2019,2019,"Reconsidering the Sources of the Self in the Ancient, Medieval, and Early Modern Periods",Western Civilization,Classics; History of Philosophy; Western Civilization,5,Collaborative Research,6,Research Programs,0,0,48961,0,41611.08,0,41611.08,0,10/1/2019 &ndash; 9/30/2021,"<p>A conference and preparation of an edited volume of essays on the influential <em>Sources of the Self: The Making of Modern Identity</em> by philosopher Charles Taylor (1931-). (12 months)</p>
<p>Reconsidering the<em> Sources of the Self </em>aims to reconfigure the historical study of conceptions of selfhood in the Western traditions, focusing on the ancient, medieval, and early modern periods. Highly interdisciplinary (Philosophy, Literature, Theology, Classics, and History), it will break new ground by (a) including thinkers outside the standard philosophical/theological canon, (b) incorporating medieval conceptions of selfhood, and (c) exploring how ideas of selfhood are articulated in forms and genres besides philosophical and theological treatises. We are seeking funding from an NEH Collaborative Research Convening Grant for a workshop to bring together 15 scholars (13 confirmed). During the funding period (10/1/19 – 9/30/20) we will produce and submit to a major press a book proposal for an edited volume with the workshop papers and an extended introduction. We will produce a website that explains the project and workshop for both scholarly and general audiences.</p>",
259620,FT-259620-18,2,0,1,0,0,0,0,,Jose,Luis,Bermudez Ospina,,,,,,Jose Luis Bermudez Ospina (Project Director: September 2017 to November 2018),"Jose Luis Bermudez Ospina<br/>Texas A & M University, College Station (College Station, TX 77843-0001)","Texas A & M University, College Station",College Station,TX,77843-0001,USA,3/1/2018,2018,The Power of Frames: Rethinking Models of Rational Decision-Making,"Philosophy, General","Philosophy, General; Psychology",3,Summer Stipends,6,Research Programs,0,0,6000,0,6000,0,6000,0,7/1/2018 &ndash; 8/31/2018,"<p>Research and writing leading to publication of a book on philosophical models&nbsp;of decision-making.</p>
<p>Should values and decisions be influenced by how we frame the outcomes we confront and the choices we have to make? The orthodox view (as found, for example, in psychology and behavioral economics) is that any such influence is fundamentally irrational. The goal of this project is a book, <em>The Power of Frames </em>(under contract to Cambridge University Press) in which&nbsp;I will argue against this orthodox view. Problems with standard ways of thinking about framing emerge when we apply insights from philosophy and related areas of the humanities. The book explores a range of cases illustrating how frame-sensitivity is an integral part of rational decision-making. I draw on examples from Greek and Shakespearean tragedy, ethical dilemmas, group identification, social coordination, and practical psychological problems such as exercising self-control in the face of temptation.</p>",
260429,AKA-260429-18,1,0,2,0,0,0,0,,Gabriela,,Zapata,,Maria,Irene,Moyna,,Gabriela Zapata (Project Director: October 2017 to November 2019)<br/>Leonardo Lombardini (Co Project Director: June 2018 to November 2019)<br/>Maria Irene Moyna (Co Project Director: June 2018 to November 2019),"Texas A & M University, College Station (College Station, TX 77843-0001)<br/>Gabriela Zapata (Project Director: October 2017 to November 2019)<br/>Leonardo Lombardini (Co Project Director: June 2018 to November 2019)<br/>Maria Irene Moyna (Co Project Director: June 2018 to November 2019)</div>","Texas A & M University, College Station",College Station,TX,77843-0001,USA,3/1/2018,2018,Growing the Heart of Texas: Exploring the Role of Mexican Americans in Food Production and Rural Communities,Hispanic American Studies,Hispanic American Studies; Spanish Language,319,Humanities Connections Planning Grants,7,Education Programs,0,0,35000,0,34757.08,0,34757.08,0,5/1/2018 &ndash; 7/31/2019,"<p>To develop a four-course interdisciplinary minor in
Hispanic Agriculture Studies for students in Texas A&amp; M University’s College
of Agriculture &amp; Life Sciences. </p>
<p>We propose to develop an interdisciplinary minor in Hispanic Agriculture Studies that will offer Texas A&amp;M students a deeper recognition of the social and economic role played by Mexican Americans in the state’s agricultural production and food culture. The curriculum will highlight Mexican American contributions to the demographic vitality and economic viability of Texas by integrating humanities (Spanish, sociolinguistics, discourse analysis) and agricultural sciences (soil, crops, animal husbandry, horticulture, nutrition). Aimed at majors in Agriculture but with broad appeal, the minor will develop linguistic and cultural skills through experiential and service learning activities. It will expose students to the state’s multi-layered social history. Four interdisciplinary courses will be developed about the land, food, peoples, and narratives of Hispanic Texas. They will be based on Open Educational Resources and framed within the multiliteracies pedagogy Learning by Design.</p>",
251216,HB-251216-17,2,0,0,0,0,0,0,,Sandrine,,Sanos,,,,,,Sandrine Sanos (Project Director: April 2016 to October 2018),"Sandrine  Sanos<br/>Texas A & M University, Corpus Christi (Corpus Christi, TX 78412-5503)","Texas A & M University, Corpus Christi",Corpus Christi,TX,78412-5503,USA,11/1/2016,2016,"Representations of Violence, Displacement, and Gender in Post-World War II France",European History,Cultural History; European History; Gender Studies,273,Awards for Faculty,6,Research Programs,0,0,50400,0,50400,0,50400,0,6/1/2017 &ndash; 5/31/2018,"<p>Completion of a book on the cultural and intellectual history of war and violence in post-World War II France.</p>
<p>This book is a cultural and intellectual history of political imagination in Cold War France from 1954 to 1967. It analyzes how war, genocide and displacement shaped political ideas and cultural identities in a ""postwar"" time rife with conflicts in France and abroad. While in the shadow of the Holocaust, the French empire was consumed by violence--especially the bloody and brutal Algerian War of Independence. This interdisciplinary project explores how two groups (Francophone writers and artists who had migrated to France after experiencing war, genocide, or torture as well as French anti-colonial authors) proposed new ways of thinking about political community and belonging. The gendered rhetoric they used anchored their vision of politics and framed how injured and violated bodies were discussed. While most histories of the postwar tend to cast war and displacement as exceptional, this project shows how they are central to political  imagination in a post-colonial global society.</p>",
253204,AC-253204-17,1,0,11,0,0,0,0,,Susan,Louise,Roberson,,,,,,Susan Louise Roberson (Project Director: June 2016 to September 2019),"Texas A & M University, Kingsville (Kingsville, TX 78363-8202)<br/>Susan Louise Roberson (Project Director: June 2016 to September 2019)</div>","Texas A & M University, Kingsville",Kingsville,TX,78363-8202,USA,11/1/2016,2016,Toward an Aesthetics of South Texas Women Artists,U.S. Regional Studies,American Studies; Hispanic American Studies; U.S. Regional Studies,243,Humanities Initiatives at Hispanic-Serving Institutions,7,Education Programs,0,0,99755,0,59140.91,0,59140.91,0,1/1/2017 &ndash; 5/30/2019,"<p>A two-year study and curricular development project on
the theory and works of South Texas women artists and writers, for Texas A&amp;
M University faculty and Kingsville school teachers.</p>
<p>""Towards an Aesthetics of South Texas Women Artists,” seeks to study and listen to the underrepresented voices of women writers and artist from South Texas.  Part of a larger regionalist project that “call[s] into question numerous cultural assumptions about literary history, poetics, thematics, genres, and reading strategies  . . .” (Fetterley and Pryse 2), our proposal aims to recover and analyze regional artistic productions as modes of discourse about location (Fetterley and Pryse 11).  We propose further to articulate a paradigm by which to discuss and characterize South Texas women’s art and literature in relation to the area, the larger traditions of women’s regionalist writing and art, and national discourses of nationhood.</p>",
