ApplicationID,ApplicationNumber,ApplicantType,SuppCount,ProductCount,CoverageCount,PrizeCount,ParticipatingInstitutionCount,WhitePaper,WhitePaperPath,PDFirstname,PDMiddlename,PDLastname,PDNameSuffix,CoPDFirstname,CoPDMiddlename,CoPDLastname,CoPDNameSuffix,Participants,GranteeDisplay,Institution,InstCity,InstState,InstPostalCode,InstCountry,CouncilDate,YearAwarded,ProjectTitle,PrimaryDiscipline,AllDisciplines,ProgramID,ProgramName,DivisionID,DivisionName,OfferedOutright,OfferedMatching,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,GrantPeriod,ProjectDesc,ToSupport
279836,RZ-279836-22,1,0,0,0,0,0,0,,Nicholas,R.,Jones,,Elizabeth,Rebecca,Wright,,Nicholas R. Jones (Project Director: December 2020 to present)<br/>Elizabeth Rebecca Wright (Co Project Director: February 2021 to present),"Regents of the University of California, Davis (Davis, CA 95618-6153)<br/>Nicholas R. Jones (Project Director: December 2020 to present)<br/>Elizabeth Rebecca Wright (Co Project Director: February 2021 to present)</div>","Regents of the University of California, Davis",Davis,CA,95618-6153,USA,7/1/2021,2021,Recovering Black Performance in Early Modern Iberia (1500–1800): A Conference and Special Journal Issue,Theater History and Criticism,Renaissance Studies; Spanish Literature; Theater History and Criticism,5,Collaborative Research,6,Research Programs,0,0,96347,0,96347,0,96347,0,10/1/2021 &ndash; 9/30/2023,"<p>Planning and holding a conference on Black performance in early modern Iberia (1500-1800) and preparation of conference papers for publication
in a journal special issue. (24 months)&nbsp;</p>
<p>This project will convene a conference on 29-30 April 2022 focusing on how the Atlantic slave trade and resulting African diaspora shaped Iberia’s “Golden Age” of theater. Diverse modes of Black performance enriched this quintessentially early modern entertainment as it took shape in Portugal and Spain on the Iberian Peninsula. This theater also thrived across the Atlantic as these two maritime empires extended their reach. To explore this topic in depth, we will bring together nineteen scholars from North America, Europe, and Latin America to present papers at the conference, which will be free and open to the public, at New York University’s King Juan Carlos I Center. After going through peer review, papers will be published in the <em>Bulletin of the Comediantes</em> (volume 75, no. 1 &amp; 2, 2023), reaching a worldwide audience through print and online editions.</p>",
285462,TT-285462-22,1,0,0,0,0,0,0,,Julie,F.,Wyman,,Grace,,Wang,,Julie F. Wyman (Project Director: August 2021 to present)<br/>Grace Wang (Co Project Director: May 2022 to present),"Regents of the University of California, Davis (Davis, CA 95618-6153)<br/>Julie F. Wyman (Project Director: August 2021 to present)<br/>Grace Wang (Co Project Director: May 2022 to present)</div>","Regents of the University of California, Davis",Davis,CA,95618-6153,USA,3/1/2022,2022,Instrumental: The Elayne Jones Story,Music History and Criticism,African American Studies; American Studies; Music History and Criticism,323,Short Documentaries,2,Public Programs,0,0,149996,0,149963,0,149963,0,5/1/2022 &ndash; 10/31/2023,"<p>Production
of a thirty-minute film about Elayne Jones, a pioneering percussionist who challenged
racial and gender stereotypes in classical music.</p>
<p>INSTRUMENTAL is a 30-minute documentary about Elayne Jones, who broke through racial and gender barriers in classical music but paid a personal toll for fighting against a culture of exclusivity. The film accompanies this 93-year-old African American timpanist as she reflects on the difference she’s made and the work that remains to be done. A collaboration between feminist documentary filmmaker Julie Wyman and American Studies scholar Grace Wang, INSTRUMENTAL is a critical, historical, and creative media research project that tells the story of Jones’s life, work, and fight for inclusion in classical music.</p>",
285785,AKA-285785-22,1,0,0,0,0,0,0,,Robert,M.,Irwin,,Emily,Celeste,Vazquez Enriquez,,Robert M. Irwin (Project Director: September 2021 to present)<br/>Emily Celeste Vazquez Enriquez (Co Project Director: April 2022 to present),"Regents of the University of California, Davis (Davis, CA 95618-6153)<br/>Robert M. Irwin (Project Director: September 2021 to present)<br/>Emily Celeste Vazquez Enriquez (Co Project Director: April 2022 to present)</div>","Regents of the University of California, Davis",Davis,CA,95618-6153,USA,3/1/2022,2022,Preparing Bilingual Spanish Speaking Students for Careers in Immigration Law,Hispanic American Studies,Hispanic American Studies; Law and Jurisprudence; Spanish Language,319,Humanities Connections Planning Grants,7,Education Programs,0,0,34305,0,34305,0,34305,0,7/1/2022 &ndash; 6/30/2023,"<p>The development of five interdisciplinary upper-level Spanish classes on immigration history and law in the United States.</p>
<p>We propose to better prepare bilingual students for careers in immigration law – including those aspiring to law school, as well as those who aim to work in civil organizations that serve Spanish speaking immigrant communities – by developing a series of upper division courses in Spanish that incorporate significant content on immigration law. The five courses we have in mind would focus on key events in US immigration history that are relevant to the contemporary populations of Spanish speaking immigrants in the US southwest, as well as the effects and implications on Latinx immigrant communities of laws and policies relating to immigration, deportation and asylum. Course content would draw from historical documents, legislation, policy mandates, and legal case studies, as well as testimonial narratives and other stories shared by migrants who have navigated the US legal system.</p>",
272668,FEL-272668-21,2,0,0,0,0,0,0,,Stacy,D.,Fahrenthold,,,,,,Stacy D. Fahrenthold (Project Director: March 2020 to present),"Stacy D. Fahrenthold<br/>Regents of the University of California, Davis (Davis, CA 95618-6153)","Regents of the University of California, Davis",Davis,CA,95618-6153,USA,11/1/2020,2020,"Syrian Textile Workers in the Arab Atlantic, 1890-1934",Near and Middle Eastern History,Immigration History; Latin American History; Near and Middle Eastern History,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,9/1/2021 &ndash; 8/31/2022,"<p>Research and writing leading to a book on the development of working-class identity among Syrian textile workers, focused on cities including Lowell, Lawrence, and Boston, Massachusetts and Sao Paulo, Brazil.</p>
<p>This project is a global history of the Syrian working class, from the advent of mass migration to the Great Depression. Examining a generation of textile workers from the Arab Middle East, I argue that the shared experiences of transit/passage, proletarianization, systemic precarity in immigrant neighborhoods, and labor activism generated a uniquely Syrian working-class milieu. The work is situated in three locales, joined by the commercial circuits of the textile industry: Ottoman Syria (Homs, Hama, Mount Lebanon); New England (Lowell, Lawrence, Boston); and Brazil (Sao Paulo). The emergence of Syrian communities in these towns was complemented by the liquidity of labor among them, and Syrian workers (men and women) circulated the Americas in pursuit of higher wages. Whether in Brazil or Boston, Syria or Sao Paulo, Arab textile workers communicated across oceans to strike better working conditions for themselves, developing a cosmopolitan outlook that was authentically working-class.</p>",
278538,FT-278538-21,2,0,0,0,0,0,0,,Gerardo,,Con Diaz,,,,,,Gerardo Con Diaz (Project Director: September 2020 to February 2022),"Gerardo  Con Diaz<br/>Regents of the University of California, Davis (Davis, CA 95618-6153)","Regents of the University of California, Davis",Davis,CA,95618-6153,USA,3/1/2021,2021,Digital Access: Copyright Law and the Birth of the Online World,"History and Philosophy of Science, Technology, and Medicine","History and Philosophy of Science, Technology, and Medicine; Legal History",3,Summer Stipends,6,Research Programs,6000,0,6000,0,6000,0,6000,0,5/1/2021 &ndash; 6/30/2021,"<p>Archival research and writing a book on the history of internet copyright law.</p>
<p>I will finish Digital Access, a book that recounts the human stories behind the rise and current state of Internet copyright (under contract, Yale Press). This is public-facing scholarship grounded entirely on original interdisciplinary research. It will show that the future of a media-rich, free-flowing Internet depends on understanding how the technological and commercial systems that sustain the online world have developed jointly with, and are inseparable from, the past and present of U.S. copyright law. The book argues that the struggle to regulate the flow of creative works online has 1) eroded the cultural and political boundaries that distinguish copyright enforcement from censorship, 2) transformed legal and legislative proceedings into battlegrounds for competing conceptions of the Internet and its future, and 3) infused global Internet governance with unsolved legal puzzles over the meaning of creativity and media reproduction that date as far back as the 1960s.</p>",
279494,AKA-279494-21,1,0,0,0,0,0,0,,Jaimey,,Fisher,,J.,David,Furlow,,Jaimey Fisher (Project Director: September 2020 to present)<br/>J. David Furlow (Co Project Director: April 2021 to present),"Regents of the University of California, Davis (Davis, CA 95618-6153)<br/>Jaimey Fisher (Project Director: September 2020 to present)<br/>J. David Furlow (Co Project Director: April 2021 to present)</div>","Regents of the University of California, Davis",Davis,CA,95618-6153,USA,3/1/2021,2021,Groundswell at the Intersection of STEM and Humanities,"Interdisciplinary Studies, General","Interdisciplinary Studies, General",319,Humanities Connections Planning Grants,7,Education Programs,0,0,33505,0,33505,0,33505,0,6/1/2021 &ndash; 6/30/2023,"<p>A one-year planning grant to develop and pilot a two-quarter sequence of co-taught interdisciplinary courses for first-year honors students.</p>
<p>This proposal for an NEH Humanities Connections planning grant aims to build meaningful collaborations by beginning with the self-selected and very motivated faculty and students involved in the UC Davis University Honors Program (UHP) and those affiliated with the UC Davis Humanities Institute (DHI). An excellent opportunity therefore exists to pilot and expand deeper connections between STEM and humanities disciplinary approaches and pedagogy around the greatest challenges of our time, beginning with a first-year common curriculum developed through the University Honors Program.</p>",
272163,FZ-272163-20,2,0,0,0,0,0,0,,Heghnar,,Watenpaugh,PhD,,,,,Heghnar Watenpaugh (Project Director: February 2020 to present),"Heghnar Watenpaugh, PhD<br/>Regents of the University of California, Davis (Davis, CA 95618-6153)","Regents of the University of California, Davis",Davis,CA,95618-6153,USA,7/1/2020,2020,"City of 1001 Churches: Architecture, Destruction, and Preservation at a World Heritage Site",Art History and Criticism,Art History and Criticism; Cultural History; Near and Middle Eastern History,289,Public Scholars,6,Research Programs,60000,0,60000,0,60000,0,60000,0,7/1/2021 &ndash; 6/30/2022,"<p>Research and writing of a book on Ani, a medieval Armenian ghost city and UNESCO World Heritage Site.</p>
<p>My book project tells the global history of a place: the medieval ghost city of Ani, a UNESCO World Heritage Site on the border between Armenia and Turkey. Its ruins, celebrated as masterpieces of world architecture, have long been endangered. Over the last 150 years, Ani has been excavated and preserved by imperial powers, looted and destroyed by a nation-state during genocide, and recently declared a UNESCO World Heritage Site. Ani’s past of violence and destruction as well as its present as a focus of global cultural heritage raise critical questions about human rights and culture, the cultural rights of persecuted groups, and contemporary global heritage. The book aims at weaving these questions into a readable narrative of the ghost city that features the captivating personalities of the creators of its astonishing architecture, archaeologists, pilgrims, vandals, cultural heritage professionals and activists, as well as poets and artists – all drawn to this crossroads of history.</p>",
272380,BH-272380-20,1,0,0,0,0,0,0,,Stacey,,Greer,,Robyn,M.,Rodriguez,,Stacey Greer (Project Director: February 2020 to present)<br/>Robyn M. Rodriguez (Co Project Director: September 2020 to present),"Regents of the University of California, Davis (Davis, CA 95618-6153)<br/>Stacey Greer (Project Director: February 2020 to present)<br/>Robyn M. Rodriguez (Co Project Director: September 2020 to present)</div>","Regents of the University of California, Davis",Davis,CA,95618-6153,USA,7/1/2020,2020,Building Community in California: The Chinese American Experience,Immigration History,Immigration History,197,Landmarks of American History and Culture,7,Education Programs,0,0,189883,0,189883,0,189883,0,10/1/2020 &ndash; 9/30/2023,"<p>Two one-week workshops for 72 school teachers on the Chinese American experience in California.</p>
<p>The University of California, Davis seeks $189,883 to fund Building Community in California: The Chinese American Experience, a Landmarks of American History and Culture Workshop for School Teachers to be held June 27 to July 2 and July 11 to 16, 2021.This program for K-12 teachers, hosted on the UC Davis campus, will highlight the significance of historic sites in Sacramento, Donner Summit, the town of Locke, and San Francisco, California. These spaces frame educators’ understanding of Chinese immigration and Chinese immigrants’ contributions from the Gold Rush era through the Immigration and Naturalization Act of 1965, which have a lasting impact. These two events in American history bookend our study. The Chinese American experience provides an important frame to understand the significance of immigration policy, and the contributions and experiences of those who came to and built community in Northern California.</p>",
262276,FEL-262276-19,2,0,3,0,0,0,0,,Elizabeth,Carolyn,Miller,PhD,,,,,Elizabeth Carolyn Miller (Project Director: April 2018 to December 2020),"Elizabeth Carolyn Miller, PhD<br/>Regents of the University of California, Davis (Davis, CA 95618-6153)","Regents of the University of California, Davis",Davis,CA,95618-6153,USA,11/1/2018,2018,"Mining, Ecology, and Literature, 1830-1930",British Literature,"British Literature; Literary Criticism; Literature, Other",318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,1/1/2019 &ndash; 12/31/2019,"<p>Research and writing leading to a book-length study of mining and extraction in 19th- and early-20th-century literature.</p>
<p>“Extraction Ecologies and the Literature of the Long Exhaustion, 1830-1930” is a study of mining, ecology, and literature in the first century of the industrial era. It explores the magnitude of industrial mining’s environmental impact – an impact that extends, I argue, deeply into literary form. An extraction boom followed from the nineteenth-century rise of the steam engine and discovery of new forms of explosives, and this boom left its mark on the literary, textual, and aesthetic forms of Britain and its Empire. During this period of rapid environmental change, key literary genres and modes adapted to convey in a new way how extraction is bound up in industrial ecologies and in the conditions of existence that govern modern life. My chapters describe how the following genres adapted to convey such new conditions: the provincial realist novel, the imperial adventure narrative, speculative fiction, poetry, and sociological prose.</p>",
258151,FEL-258151-18,2,0,0,0,0,0,0,,Baki,,Tezcan,,,,,,Baki Tezcan (Project Director: April 2017 to present),"Baki Tezcan<br/>Regents of the University of California, Davis (Davis, CA 95618-6153)","Regents of the University of California, Davis",Davis,CA,95618-6153,USA,11/1/2017,2017,"The Transformation of Islam in the Ottoman Empire, 1300-1924",Near and Middle Eastern History,Near and Middle Eastern History; Nonwestern Religion; Political History,318,Fellowships,6,Research Programs,0,0,50400,0,50400,0,50400,0,7/1/2018 &ndash; 6/30/2019,"<p>A book-length study of the transformation of Islam under the Ottoman
Empire, 1300-1924.</p>
<p>This project historicizes Islam as a socio-political experience in the Ottoman Empire, ca. 1300-1924, and offers a genealogy of the secular in that experience. I show how the prevalent ways in which Islam was experienced in the public space changed over these six and a quarter centuries and argue that these changes were products of major political transformations created by social dynamics, at times of a global nature, such as the increasing monetarization of the economy and urbanization. In terms of global history, the project emphasizes the parallels between the historical experiences of Europe and the Middle East, especially in the medieval and early modern periods. From the perspective of comparative religion, it invites scholars to consider the parallels one discovers between Christianity and Islam when one thinks of the Reformation as a call to discard some of the products of medieval socio-religious experiences and rationalize the faith by going back to the scriptural sources.</p>",
