ApplicationID,ApplicationNumber,ApplicantType,SuppCount,ProductCount,CoverageCount,PrizeCount,ParticipatingInstitutionCount,WhitePaper,WhitePaperPath,PDFirstname,PDMiddlename,PDLastname,PDNameSuffix,CoPDFirstname,CoPDMiddlename,CoPDLastname,CoPDNameSuffix,Participants,GranteeDisplay,Institution,InstCity,InstState,InstPostalCode,InstCountry,CouncilDate,YearAwarded,ProjectTitle,PrimaryDiscipline,AllDisciplines,ProgramID,ProgramName,DivisionID,DivisionName,OfferedOutright,OfferedMatching,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,GrantPeriod,ProjectDesc,ToSupport
281373,FEL-281373-22,2,0,0,0,0,0,0,,Long,Thanh,Bui,,,,,,Long Thanh Bui (Project Director: March 2021 to present),"Long Thanh Bui<br/>Regents of the University of California, Irvine (Irvine, CA 92617-3066)","Regents of the University of California, Irvine",Irvine,CA,92617-3066,USA,11/1/2021,2021,Model Machines: The Asian as Automaton in Technocultural History,Asian American Studies,"Asian American Studies; Cultural History; History and Philosophy of Science, Technology, and Medicine",318,Fellowships,6,Research Programs,30000,0,30000,0,30000,0,30000,0,7/1/2022 &ndash; 12/31/2022,"<p>Research and writing leading to a book on how Asians and Asian Americans have been construed in American culture as robotic machines.</p>
<p><em>Model Machines</em> explores the ways Asians and Asian Americans have been construed as robotic machines in history, from the 19th century to the 21st century. As the first historical monograph on this topic, it mines the ideological work behind the trope of what I am calling the ""model machine."" This stereotype and myth, I argue, shaped public perceptions and policies, determining the treatment of Asians as objects or things to be exploited, excluded, or exterminated. By tracking this technocultural figure across time and space, I interrogate the operations of racial capitalism behind the Western gaze. The book offers case studies concerning the representation of Chinese coolies as ""labor machines,"" Japanese soldiers as ""war machines,"" Asian women as ""sex machines,"" Asian new capitalists and migrants as ""virtual machines"" and Asian neoliberal workers as ""global machines."" I contend that the model machine helps understand how people are rendered as sub/human as a measure of US imperialism.</p>",
285183,PW-285183-22,1,0,0,0,0,0,0,,Keramet,,Reiter,,Naomi,,Sugie,,Keramet Reiter (Project Director: July 2021 to present)<br/>Naomi Sugie (Co Project Director: May 2022 to present)<br/>Kristin Turney (Co Project Director: May 2022 to present),"Regents of the University of California, Irvine (Irvine, CA 92617-3066)<br/>Keramet Reiter (Project Director: July 2021 to present)<br/>Naomi Sugie (Co Project Director: May 2022 to present)<br/>Kristin Turney (Co Project Director: May 2022 to present)</div>","Regents of the University of California, Irvine",Irvine,CA,92617-3066,USA,3/1/2022,2022,UC Irvine’s PrisonPandemic: Digitizing and Amplifying Stories of Incarceration During COVID-19,Public History,American Studies; Cultural History; Public History,253,Humanities Collections and Reference Resources,1,Preservation and Access,0,0,50000,0,50000,0,50000,0,6/1/2022 &ndash; 5/31/2024,"<p>A&nbsp;Foundations project to plan for the preservation&nbsp;and access&nbsp;of a multimedia collection&nbsp;chronicling the&nbsp;experience of incarcerated&nbsp;people in California during the&nbsp;COVID-19&nbsp;pandemic.&nbsp;</p>
<p>The University of California, Irvine (UCI) is fast becoming a center for incarcerated voices in the United States. Throughout the COVID-19 pandemic, UCI’s PrisonPandemic collection has received thousands of letters and hundreds of phone calls from incarcerated people describing their experiences in prison during this global crisis. With this Foundations proposal, UCI faculty and librarians seek planning support to develop processes for both ethically preserving this collection of stories (protecting incarcerated contributors from any risk of identification or retaliation) and maximizing public accessibility of these stories for research and public programming. If successful, UCI’s PrisonPandemic collection and digital interface will be the first university-based portal providing ongoing access -- and a model for continued acceptance and processing -- of these typically hidden and marginalized voices.</p>",
263438,FO-263438-19,2,0,2,0,0,0,0,,Tara,Alexa,Rodman,,,,,,Tara Alexa Rodman (Project Director: April 2018 to May 2022),"Tara Alexa Rodman<br/>Regents of the University of California, Irvine (Irvine, CA 92617-3066)","Regents of the University of California, Irvine",Irvine,CA,92617-3066,USA,11/1/2018,2018,"Transnationalism, Modernism, and the Orient in the Career of Japanese Dancer and Choreographer Ito Michio (1893-1961)",East Asian Studies,Dance History and Criticism; East Asian Studies; Theater History and Criticism,207,Fellowships for Advanced Social Science Research on Japan,6,Research Programs,60000,0,60000,0,60000,0,60000,0,1/1/2021 &ndash; 12/31/2021,"<p>Research and writing leading to publication of a book on the international career of the Japanese dancer and choreographer Ito Michio (1893-1961).</p>
<p>Performing Exceptionalism examines the full career of Japanese modern dancer and choreographer Ito Michio (1893-1961), whose transnational itinerary traversed three continents, spanned both World Wars, and intersected with modernist artists ranging from Ezra Pound to Martha Graham to Ishii Baku. Ito’s five-decade career exhibits a consistent strategy, one I call&nbsp;exceptionalism, in which he sought to leverage his outsider status as a source of expertise and a basis for belonging. The project is grounded in extensive new archival research integrating English and Japanese sources and scholarship to reveal Ito's significance to previously unrecognized groups and events, such as California's Japanese-American community, or Japan's Imperial war effort. Tracing Ito's career across the globe and over five decades reveals the continuities of his performance practices and the interrelation of sites, institutions, and cultural practices seemingly separated by geography, race, language, and war.</p>",
263878,HAA-263878-19,1,0,0,0,0,0,0,,Deanna,M.,Shemek,,,,,,Deanna M. Shemek (Project Director: June 2018 to present)<br/>Anne Elizabeth MacNeil (Co Project Director: November 2018 to July 2021),"Regents of the University of California, Irvine (Irvine, CA 92617-3066)<br/>Deanna M. Shemek (Project Director: June 2018 to present)<br/>Anne Elizabeth MacNeil (Co Project Director: November 2018 to July 2021)</div>","Regents of the University of California, Irvine",Irvine,CA,92617-3066,USA,11/1/2018,2018,Virtual Studiolo,Art History and Criticism,Art History and Criticism; Music History and Criticism; Women's History,311,Digital Humanities Advancement Grants,12,Digital Humanities,0,0,99897,0,99897,0,99897,0,1/1/2019 &ndash; 12/31/2022,"<p>The design and production of a 3D environment re-creating Isabella d’Este of Mantua’s (1474-1539) art and music “studiolo” for use with virtual reality headsets, laptops, and visualization walls.</p>
<p>The Italian Renaissance is famed for art, architecture, music, and learning. The integrated experience of these achievements is difficult to grasp, given the dispersal of physical evidence and the disciplinary confines of our learning.  It is also often gendered as male. This online, virtual reality project for study of one of Renaissance Italy's most stunning art spaces and collections -- the studiolo of Isabella d'Este (1474-1539) -- will address both of these problems with cross-disciplinary tools for approaching the period through one of its most important women. Its immersive, interactive character will convey the human scale, cognitive density, and aesthetic specificity of a Renaissance art space and capture the multi-sensory complexity of interiors meant to dazzle visitors with humanist ideals. Individual and collaborative work in this environment will foster new approaches to studying and teaching the multi-media Renaissance and provide models for analogous projects in other periods.</p>",
259499,FT-259499-18,2,0,0,0,0,0,0,,Cecile,,Whiting,,,,,,Cecile Whiting (Project Director: September 2017 to September 2018),"Cecile  Whiting<br/>Regents of the University of California, Irvine (Irvine, CA 92617-3066)","Regents of the University of California, Irvine",Irvine,CA,92617-3066,USA,3/1/2018,2018,"Global War and the New American Landscape, 1939–48",Art History and Criticism,Art History and Criticism,3,Summer Stipends,6,Research Programs,0,0,6000,0,6000,0,6000,0,7/1/2018 &ndash; 8/31/2018,"<p><span style=""background-color: #efebde;"">Research and preparation of a book on U.S. landscape painting during and after World War II.</span></p>
<p>During World War II, photographs and newsreels documenting death and destruction in theaters of war around the world prompted a change in painted representations of landscape in the United States. As a well-established genre in American art, landscape painting had a long tradition of celebrating the local, both bucolic settings and topographical wonders. The wider geographic scope of World War II challenged the regional focus of American landscape painting, especially as it had been practiced in the 1930s. My book examines the ways in which artists struggled to acknowledge an environment now understood to be global and interconnected, and also felt compelled to address the sheer scale of carnage caused by the war. Together these artists recast the terms of landscape painting, broadening its scope from the local to the international, and from the pastoral to the anti-pastoral.</p>",
254269,FT-254269-17,2,0,0,0,0,0,0,,David,,Fedman,,,,,,David Fedman (Project Director: September 2016 to February 2018),"David  Fedman<br/>Regents of the University of California, Irvine (Irvine, CA 92617-3066)","Regents of the University of California, Irvine",Irvine,CA,92617-3066,USA,3/1/2017,2017,"Forestry and the Politics of Conservation in Colonial Korea, 1910-1945",East Asian History,East Asian History,3,Summer Stipends,6,Research Programs,0,0,6000,0,6000,0,6000,0,8/1/2017 &ndash; 10/30/2017,"<p>Research and writing leading to publication of a book on conservationism and&nbsp;forest management in colonial Korea, 1910-1945.</p>
<p>This project examines Japanese efforts to rehabilitate, exploit, and showcase Korea’s forests during the period of colonial rule (1910-1945). Building on previous studies of the tangled roots of empire and conservationism, I argue that the forestry enterprise in colonial Korea was as concerned with the seed as it was with the saw: it placed reforestation at the very heart of its efforts to modernize the Korean landscape and the ecological sensibilities of its inhabitants. But forest reclamation in Korea was far from benevolent: it siphoned off forests to Japanese corporations, cut off communities from resources that had long sustained them, and placed vast stands of timber under state control. Afforestation, in other words, was a process rife with conflict and fraught with contradiction. By chronicling this intensive, contested, and largely forgotten forestry project, this book offers a path-breaking case study in the promise and perils of natural resource management in Japan’s empire.</p>",
250687,ZA-250687-16,1,0,3,0,0,0,1,20160217-ZA-ZA2016\GRANT12098459\Reports\13-2880540.pdf,Julia,R.,Lupton,,,,,,Julia R. Lupton (Project Director: February 2016 to present),"Regents of the University of California, Irvine (Irvine, CA 92617-3066)<br/>Julia R. Lupton (Project Director: February 2016 to present)</div>","Regents of the University of California, Irvine",Irvine,CA,92617-3066,USA,7/1/2016,2016,UCI Next Generation PhDs in the Humanities,"Interdisciplinary Studies, Other","Interdisciplinary Studies, Other",303,Next Generation Humanities PhD (Planning),4,Challenge Programs,0,25000,0,25000,0,25000,25000,0,10/1/2016 &ndash; 9/30/2017,"<p>Planning by the University
of California. Irvine (UCI) around four topics: 1) how to engage faculty and
graduate students in rethinking PhD training and employment horizons; 2) ways
to integrate multiple
career path outcomes into graduate curriculum and training; 3) methods for
creating community partnerships and mentoring opportunities; and 4) systems for documenting and disseminating information
about post-doctoral career paths.</p>
<p>The University of
California, Irvine&rsquo;s School of Humanities has the structures to enable us to take on a
leadership role in developing new models of humanities graduate
education. Building on  current and historic strengths in the area
of PhD reform, we will use an NEH Planning Grant to explore ways to restructure
graduate professionalization seminars for larger departments and to design
School-wide graduate professionalization seminars for small programs that can
leverage a critical mass of students so that these courses provide preparation for multiple career paths.</p>",
232235,FA-232235-16,2,0,0,0,0,0,0,,Kai,Frederick,Wehmeier,,,,,,Kai Frederick Wehmeier (Project Director: April 2015 to September 2018),"Kai Frederick Wehmeier<br/>Regents of the University of California, Irvine (Irvine, CA 92617-3066)","Regents of the University of California, Irvine",Irvine,CA,92617-3066,USA,11/1/2015,2015,A Critique of Philosopher Saul Kripke's Work on Identity and Necessity,Logic,Logic; Metaphysics; Philosophy of Language,1,Fellowships for University Teachers,6,Research Programs,0,0,50400,0,50400,0,50400,0,8/1/2017 &ndash; 7/31/2018,"<p>A&nbsp;book-length study on the logician Saul Kripke and his concepts of identity and necessity.</p>
<p>I propose to re-examine currently orthodox philosophical views concerning the logic, metaphysics and semantics of identity and necessity. The resulting alternative theory dispenses with the notion of a two-place relation that every object bears to itself, and to itself only, and proposes a more sophisticated conception of logical form for necessity statements that accounts, by way of explicit notation, for the distinction between indicative and non-indicative verb moods. It will be shown that a number of prominent philosophical theses, many of which were first articulated by Saul Kripke in the 1970s, require substantial revision or become outright untenable when the background logical framework is modified in the manner proposed. These include the necessity of identity, the existence of contingent a priori truths, and the principled non-synonymy of proper names with definite descriptions. The results will be of interest to philosophers, logicians and linguists. </p>",
228261,PW-228261-15,1,0,0,0,0,0,1,20140717-PW-PW2014\GRANT11705620\Reports\13-115031.pdf,John,,Renaud,,,,,,John Renaud (Project Director: July 2014 to July 2016),"Regents of the University of California, Irvine (Irvine, CA 92617-3066)<br/>John Renaud (Project Director: July 2014 to July 2016)</div>","Regents of the University of California, Irvine",Irvine,CA,92617-3066,USA,3/1/2015,2015,Piloting Linked Open Data for Artists' Books,"Arts, Other","Arts, Other",253,Humanities Collections and Reference Resources,1,Preservation and Access,0,0,36531,0,36531,0,36531,0,5/1/2015 &ndash; 4/30/2016,"<p>A pilot project to create linked open data for a collection of around 500 artists’ books, including works by and about women and contemporary American politics and works produced in Latin American countries.</p>
<p>The University of California, Irvine Libraries seeks planning support for an incubator project to connect scholars to artists’ books through the use of linked open data (LOD). The pilot project will incorporate expertise from special collections, visual arts, metadata, and information technology into development of a scalable resource for facilitating discovery of artists’ books and increase scholarly attention on these highly visual, sculptural, and interactive works of art.</p>",
229310,FT-229310-15,2,0,1,1,0,0,0,,Emily,Lauren,Baum,,,,,,Emily Lauren Baum (Project Director: September 2014 to September 2015),"Emily Lauren Baum<br/>Regents of the University of California, Irvine (Irvine, CA 92617-3066)","Regents of the University of California, Irvine",Irvine,CA,92617-3066,USA,3/1/2015,2015,"A History of Madness in Republican China, 1911-1937","History and Philosophy of Science, Technology, and Medicine","East Asian History; History and Philosophy of Science, Technology, and Medicine",3,Summer Stipends,6,Research Programs,0,0,6000,0,6000,0,6000,0,7/1/2015 &ndash; 8/31/2015,"<p>Summer research and writing on East Asian History, and History and Philosophy of Science.</p>
<p>My research examines the ways in which everyday men and women came to terms with new psychiatric epistemologies and institutions that were introduced to China in the Republican period (1911-1949). While previous works on Chinese medical history have focused exclusively on the attitudes of intellectuals and reformist political elites, my research shifts the focus onto the types of people who were not immediately concerned with the project to modernize Chinese medicine and Westernize Chinese society. Instead, I explore the more subtle ways in which Chinese healers, patients, and families integrated aspects of neuropsychiatry into their preexistent medical repertoires, appropriated new terms to describe their psychosomatic suffering, and invoked psychiatric concepts to explain the changing shape of twentieth-century Chinese society.</p>",
