ApplicationID,ApplicationNumber,ApplicantType,SuppCount,ProductCount,CoverageCount,PrizeCount,ParticipatingInstitutionCount,WhitePaper,WhitePaperPath,PDFirstname,PDMiddlename,PDLastname,PDNameSuffix,CoPDFirstname,CoPDMiddlename,CoPDLastname,CoPDNameSuffix,Participants,GranteeDisplay,Institution,InstCity,InstState,InstPostalCode,InstCountry,CouncilDate,YearAwarded,ProjectTitle,PrimaryDiscipline,AllDisciplines,ProgramID,ProgramName,DivisionID,DivisionName,OfferedOutright,OfferedMatching,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,GrantPeriod,ProjectDesc,ToSupport
281500,HB-281500-22,2,0,0,0,0,0,0,,Anthony,Jerome,Barbieri,,,,,,Anthony Jerome Barbieri (Project Director: April 2021 to present),"Anthony Jerome Barbieri<br/>Regents of the University of California, Santa Barbara (Santa Barbara, CA 93106-0001)","Regents of the University of California, Santa Barbara",Santa Barbara,CA,93106-0001,USA,11/1/2021,2021,Political Economy in Ancient China: Annotated Translation of the Discourses on Salt and Iron,East Asian History,East Asian History; East Asian Literature; Non Western Philosophy,273,Awards for Faculty,6,Research Programs,60000,0,60000,0,60000,0,60000,0,7/1/2023 &ndash; 6/30/2024,"<p>Translation and critical annotations of a Han Dynasty manuscript called the Discourses on Salt and Iron, dating from the first century BCE.</p>
<p>I will write the first complete English translation of one of the most important political and economic texts from early imperial China, the Yantielun (Discourses on Salt and Iron).  An English translation of this text from nearly a century ago is quite dated and more than half incomplete.  This project will generate an entirely new English translation of the whole text, with significant annotation based on the latest scholarship. A lengthy introduction will also discuss various aspects of the text, such as dating, and the economic and political arguments advanced.</p>",
281951,FEL-281951-22,2,0,0,0,0,0,0,,Sherene,R.,Seikaly,,,,,,Sherene R. Seikaly (Project Director: April 2021 to present),"Sherene R. Seikaly<br/>Regents of the University of California, Santa Barbara (Santa Barbara, CA 93106-0001)","Regents of the University of California, Santa Barbara",Santa Barbara,CA,93106-0001,USA,11/1/2021,2021,From Baltimore to Beirut: On the Question of Palestine,Near and Middle Eastern History,"History of Science; History, General; Near and Middle Eastern History",318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,9/1/2022 &ndash; 8/31/2023,"<p>Research and writing leading to a book that uses
the life of Naim Cotran (c.1877-1961) to understand Levantine mobility and the
challenges faced by Palestinian upper middle classes at the turn of the
twentieth century.&nbsp;</p>
<p>How do we understand conflicting claims to land and land’s relationship to colonialism? This is the question of Palestine. At its best, this question can offer new ways to think about land and history. Yet, histories and historiographies of Palestine remain limited to the territorial and conceptual borders of the nation-state. My book project, From Baltimore to Beirut: On the Question of Palestine, charts an escape from nationalist confines. The central figure of my narrative is a Palestinian man who was at once a colonial officer and a colonized subject, an enslaver and a refugee. I explore how his trajectory from nineteenth century mobility across Baltimore and Sudan to twentieth century immobility in Lebanon places the question of Palestine in a global history of race, capital, slavery, and dispossession.</p>",
277694,AC-277694-21,1,0,0,0,0,0,0,,Rachael,Scarborough,King,,Danielle,L.,Spratt,,Rachael Scarborough King (Project Director: July 2020 to present)<br/>Danielle L. Spratt (Co Project Director: December 2020 to present),"Regents of the University of California, Santa Barbara (Santa Barbara, CA 93106-0001)<br/>Rachael Scarborough King (Project Director: July 2020 to present)<br/>Danielle L. Spratt (Co Project Director: December 2020 to present)</div>","Regents of the University of California, Santa Barbara",Santa Barbara,CA,93106-0001,USA,11/1/2020,2020,"Hidden Archives: Race, Gender, and Religion in UCSB’s Ballitore Collection",British Literature,"British History; British Literature; Interdisciplinary Studies, Other",243,Humanities Initiatives at Hispanic-Serving Institutions,7,Education Programs,0,0,149402,0,149402,0,149402,0,2/1/2021 &ndash; 12/31/2022,"<p>A two-year project on the digitization and examination of abolitionist materials to be included in experiential learning and curriculum development.</p>
<p>Hidden Archives is a collaborative project between the University of California, Santa Barbara, California State University-Northridge, and Howard University that digitizes and researches a collection of abolitionist materials held at UCSB while introducing underrepresented students to archival research and the digital humanities. Although both archival and digital skills are necessary to address crucial topics regarding the history of race, enslavement, and protest, the fields of book history and the digital humanities remain exclusionary to scholars of color. Hidden Archives addresses such concerns through collaborative research between faculty, undergraduate, and graduate students. The project focuses on the Ballitore Collection, a group of 18th- and 19th-century Quaker materials. By examining the collection with a diverse research team, we make it available for scholars, students, and the public while shaping a generation of researchers attuned to questions of power and absence.</p>",
278675,FT-278675-21,2,0,0,0,0,0,0,,Elizabeth,,Perez,,,,,,Elizabeth Perez (Project Director: September 2020 to April 2022),"Elizabeth  Perez<br/>Regents of the University of California, Santa Barbara (Santa Barbara, CA 93106-0001)","Regents of the University of California, Santa Barbara",Santa Barbara,CA,93106-0001,USA,3/1/2021,2021,"Faces of Faith, Kindred Spirits: Black & Latinx Transgender Religious Lives","Religion, General","Gender Studies; History of Religion; Religion, General",3,Summer Stipends,6,Research Programs,6000,0,6000,0,6000,0,6000,0,6/1/2021 &ndash; 7/31/2021,"<p>Complete revisions of five chapters of a book on the religious practices of transgender African-Americans and Latinx people.</p>
<p>NEH’s Summer Stipend would support the completion of my second book, <em>Faces of Faith, Kindred Spirits: Black &amp; Latinx Transgender Religious Lives</em>. The fruit of a decade of ethnographic and archival research, the book reveals that the history of trans liberation is American religious history. Faces of Faith shows that trans people have re-envisioned established religious forms so as to be seen and heard within their chosen traditions. In the U.S., these forms include singing in Gospel choirs; cooking “church food”; quoting Bible verses and preaching; building altars for saints and the Virgin Mary; and paying homage to Afro-Diasporic gods and ancestors. <em>Faces of Faith</em> documents the reclamation of these religious forms through innovative “de-Othering” strategies. The first book to provide a richly textured analysis of Black and Latinx trans religious practitioners, <em>Faces of Faith</em> promises to be a pathbreaking contribution to religious studies, anthropology, and women’s and gender studies.</p>",
261870,CHA-261870-20,1,0,0,0,0,0,0,,Gabriel,R.,Ritter,,,,,,Bruce Robertson (Project Director: March 2018 to October 2019)<br/>Elyse A. Gonzales (Project Director: October 2019 to March 2020)<br/>Silvia  Perea (Project Director: March 2020 to November 2021)<br/>Gabriel R. Ritter (Project Director: November 2021 to present),"Regents of the University of California, Santa Barbara (Santa Barbara, CA 93106-0001)<br/>Bruce Robertson (Project Director: March 2018 to October 2019)<br/>Elyse A. Gonzales (Project Director: October 2019 to March 2020)<br/>Silvia  Perea (Project Director: March 2020 to November 2021)<br/>Gabriel R. Ritter (Project Director: November 2021 to present)</div>","Regents of the University of California, Santa Barbara",Santa Barbara,CA,93106-0001,USA,7/1/2018,2018,Collection Preservation and Study Center,Art History and Criticism,Art History and Criticism,321,Infrastructure and Capacity Building Challenge Grants,4,Challenge Programs,0,326593,0,326593,0,69500,69500,0,8/1/2018 &ndash; 5/31/2023,"<p>Renovation of a university property to house the
museum’s collections as well as a research and study center.</p>
<p>The Art, Design &amp; Architecture Museum at the University
of California, Santa Barbara (AD&amp;AM) has built an international reputation
through its Architecture and Design Collection. Encompassing the history of
Southern California architecture, landscape design, and urbanism from the late
19th to the early 21st century, this still growing collection is the essential
archival resource for the study of Southern California through the prism of the
built environment. The AD&amp;AM requests $326,593 as part of a $1,306,371 NEH
Challenge grant to enhance the Museum’s infrastructure for collection preservation,
access and growth by supporting the renovation of a new Collection Preservation
and Study Center. The Center is needed to preserve and enable growth of the
collection, and to foster intensive and innovative use of the collection by
students and scholars through on-site visits and online access. Funds will be
raised from foundations, individual and corporate donors.<br /></p>",
268167,HB-268167-20,2,0,0,0,0,0,0,,Mona,,Damluji,,,,,,Mona Damluji (Project Director: April 2019 to present),"Mona  Damluji<br/>Regents of the University of California, Santa Barbara (Santa Barbara, CA 93106-0001)","Regents of the University of California, Santa Barbara",Santa Barbara,CA,93106-0001,USA,12/1/2019,2019,"Pipeline Cinema: A History of Oil, Culture and Infrastructure in Iraq",Film History and Criticism,Film History and Criticism; Media Studies; Near and Middle Eastern History,273,Awards for Faculty,6,Research Programs,60000,0,60000,0,60000,0,60000,0,7/1/2021 &ndash; 6/30/2022,"<p>Research
and writing leading to a book on the relationship between the oil
industry and cinema culture in Iraq between 1920 and 1958.</p>
<p>Pipeline Cinema is a history of the social and spatial entanglements between the oil industry and cinema culture in modern Iraq: an emblematic case of oil media and its origins in documentary film sponsorship. I introduce the conceptual framework “cultural infrastructure” as a new approach to the study of how corporations create culture. Based on extensive primary research, the monograph presents four chapters that draw together corporate archives, films, periodicals, trade publications, recorded interviews and oral histories with living informants to tell the story of local film production and exhibition practices that are inextricable from global networks of physical infrastructure built to extract, transport and refine crude oil, what I call pipeline cinema. Building on pathbreaking work in the energy humanities, this project contributes to three key fields of scholarship: critical infrastructure studies, documentary film history, and Middle East studies.</p>",
269273,PW-269273-20,1,0,2,0,0,0,0,,Patricia,,Fumerton,,,,,,Patricia Fumerton (Project Director: July 2019 to present),"Regents of the University of California, Santa Barbara (Santa Barbara, CA 93106-0001)<br/>Patricia Fumerton (Project Director: July 2019 to present)</div>","Regents of the University of California, Santa Barbara",Santa Barbara,CA,93106-0001,USA,3/1/2020,2020,Early English Broadside Ballads (EBBA): Local and Global,British Literature,British Literature,253,Humanities Collections and Reference Resources,1,Preservation and Access,0,0,350000,0,350000,0,350000,0,6/1/2020 &ndash; 5/31/2023,"<p>The continued development of the English
Broadside Ballad Archive (EBBA), with the addition of 1,178 pre-1701 printed
ballad sheets from 101 institutions in the United States, Canada, the United
Kingdom, and Australia. In addition, the applicant would catalog 923 tune
titles and approximately 18,200 woodcut impressions and would enhance access to
the entire ballad collection through the project’s new website, EBBA 4.0.</p>
<p>The University of California at
Santa Barbara requests critical funding to launch the vital 8th and final stage
of its digital English Broadside Ballad Archive (EBBA) to include the 1,178
extant but as-yet-unarchived pre-1701 English broadside ballads held at 101
institutions across the US, Canada, UK, and Australia. We have reviewed the
largest collections on site at 15 institutions and have procured agreements
from all to include their 850 items in EBBA. This signals great enthusiasm that
we anticipate will extend to the remaining institutions with smaller holdings.
Keeping to EBBA standards, we will provide high-quality facsimiles and
transcriptions of the ballads, granular cataloging in TEI/XML/MARC (and now
MEI), recordings, visual aids, and informative essays. Finally, we will launch
our new website, EBBA 4.0, which will enhance user access to ballads as texts,
music, and art.</p>",
269283,PW-269283-20,1,0,1,0,0,0,0,,David,,Seubert,,,,,,David Seubert (Project Director: July 2019 to present),"Regents of the University of California, Santa Barbara (Santa Barbara, CA 93106-0001)<br/>David Seubert (Project Director: July 2019 to present)</div>","Regents of the University of California, Santa Barbara",Santa Barbara,CA,93106-0001,USA,3/1/2020,2020,The American Discography Project-Victor and Bluebird Records Access Initiative,Music History and Criticism,American Studies; Music History and Criticism,253,Humanities Collections and Reference Resources,1,Preservation and Access,0,0,349721,0,349721,0,349721,0,6/1/2020 &ndash; 5/31/2023,"<p>The expansion of the <em>Discography of American Historical Recordings</em> online database
through the creation of 14,000 discographic records and the digitization of
recordings on 8,500 disc sides produced by the Bluebird and Victor record
labels, covering the period from the 1920s to 1948.</p>
<p>The American Discography
Project-Victor and Bluebird Records Access Initiative is a project to add
discographic data for 14,000 Victor and Bluebird recordings from the 1940s to
UC Santa Barbara's Discography of American Historical Recordings (DAHR) as well
as digitize 8,500 sides from 1925 through 1948 for free online access under a
new agreement from Sony Music, the copyright holder. The project will provide
access to an important body of little known works from one of the most fertile
eras in American recording history.</p>",
270519,FT-270519-20,2,0,0,0,0,0,0,,Vladimir,,Hamed-Troyansky,,,,,,Vladimir Hamed-Troyansky (Project Director: September 2019 to December 2021),"Vladimir  Hamed-Troyansky<br/>Regents of the University of California, Santa Barbara (Greenville, SC 29613-0002)","Regents of the University of California, Santa Barbara",Greenville,SC,29613-0002,USA,3/1/2020,2020,An Empire of Refugees: Muslim Migration and the Late Ottoman State,Near and Middle Eastern History,Immigration History; Near and Middle Eastern History; Russian History,3,Summer Stipends,6,Research Programs,6000,0,6000,0,6000,0,6000,0,7/1/2021 &ndash; 8/31/2021,"<p>Research and writing two chapters for a book on Muslim Refugee&nbsp;Resettlement&nbsp;in the Late Ottoman Empire (1860-1914).</p>
<p>Completion of research and writing for a book on Muslim refugee resettlement in the Ottoman Empire between 1860 and 1914.  In the half century before World War I, over a million Muslims from Russia arrived as refugees in the Ottoman Empire. The Ottoman government resettled them throughout the empire: from the Balkans in the west, through Anatolia, to Iraq and Transjordan in the east. This book project is a social history of migration that shows how Muslim refugees transformed the late Ottoman Empire and how the Ottomans constructed a massive infrastructure to manage refugee flows. Using documents in Ottoman Turkish, Arabic, and Russian, I argue that imperial support, in the form of financial aid and infrastructure, was critical for the economic success of refugee villages, which in turn proved fundamental to Ottoman political stability. By asserting the notion of an Ottoman refugee regime, the book marries Ottoman and Islamic history with global refugee and migration studies.</p>",
257341,FEL-257341-18,2,0,2,0,0,0,0,,Ryan,,Horne,,,,,,Ryan Horne (Project Director: April 2017 to present),"Ryan Horne<br/>Regents of the University of California, Santa Barbara (Chapel Hill, NC 27599-1350)","Regents of the University of California, Santa Barbara",Chapel Hill,NC,27599-1350,USA,11/1/2017,2017,Understanding Ancient Economic and Social Networks Based on Evidence from Aeolian Coins,Ancient History,"Ancient History; Geography; Interdisciplinary Studies, Other",318,Fellowships,6,Research Programs,0,0,50400,0,50400,0,50400,0,6/1/2019 &ndash; 5/31/2020,"<p>Preparation of a digital publication that analyzes coins from Aeolia to investigate ancient Greek economy, politics, and society during the Hellenistic period (ca. 350-31 BCE).</p>
<p>My project,<em> Economic, Material, and Social Networks in Antiquity: Aeolian Alexanders</em>, uses social network analysis (SNA) and geographic information systems (GIS) to analyze the understudied region of ancient Aeolis in western Turkey, and reimagines traditional die studies as digital publications which illustrate economic and social networks in geographic space. I am applying to the NEH-Mellon Fellowships for Digital Publication to complete the first born-digital die study using modern techniques, and to publish the results as a publicly accessible web-application. Focusing on coinage in the name of Alexander the Great from the mints of Kyme, Myrina, and Temnos in Hellenistic Turkey, the project expands the traditional bounds of die studies by theorizing die linkages, coin circulation patterns, and hoard data as networks of material and social interaction, which are geographically contextualized through the use of GIS tools.</p>",
