ApplicationID,ApplicationNumber,ApplicantType,SuppCount,ProductCount,CoverageCount,PrizeCount,ParticipatingInstitutionCount,WhitePaper,WhitePaperPath,PDFirstname,PDMiddlename,PDLastname,PDNameSuffix,CoPDFirstname,CoPDMiddlename,CoPDLastname,CoPDNameSuffix,Participants,GranteeDisplay,Institution,InstCity,InstState,InstPostalCode,InstCountry,CouncilDate,YearAwarded,ProjectTitle,PrimaryDiscipline,AllDisciplines,ProgramID,ProgramName,DivisionID,DivisionName,OfferedOutright,OfferedMatching,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,GrantPeriod,ProjectDesc,ToSupport
282209,FEL-282209-22,2,0,0,0,0,0,0,,Phillip,J.,Barrish,,,,,,Phillip J. Barrish (Project Director: April 2021 to present),"Phillip J. Barrish<br/>University of Texas, Austin (Austin, TX 78712-0100)","University of Texas, Austin",Austin,TX,78712-0100,USA,11/1/2021,2021,"Health Care, Social Justice, and United States Literature since 1900","History and Philosophy of Science, Technology, and Medicine","American Literature; History and Philosophy of Science, Technology, and Medicine; Interdisciplinary Studies, Other",318,Fellowships,6,Research Programs,50000,0,50000,0,50000,0,50000,0,9/1/2023 &ndash; 6/30/2024,"<p>Research and writing leading to a book examining
U.S. literary works that engage health care at a systemic level.&nbsp;</p>
<p>My book project seeks to intervene in the closely related fields of literature and medicine and narrative medicine. Most existing scholarship in these fields draws on literary works and other expressive culture as a resource for understanding the illness experience, analyzing representations of medical practitioners, or probing—and deepening—practitioner-provider interactions. By contrast, my book explores U.S. literary works that grapple with health care as a system: a complex, often fragmented set of public and private institutions, political choices, delivery models, and people who play a wide range of roles both within and outside of clinical spaces. Critically engaging with literary works that approach health care as a system expands our ability to speak to issues of social justice in ways that include but also transcend individual patient or provider experiences. I seek support to finish two remaining book chapters and prepare the manuscript for submission to an academic press.</p>",
283989,ZPA-283989-22,1,0,0,0,0,0,0,,Patience,L.,Epps,,Susan,,Smythe Kung,,Patience L. Epps (Project Director: May 2021 to present)<br/>Susan Smythe Kung (Co Project Director: October 2021 to present),"University of Texas, Austin (Austin, TX 78712-0100)<br/>Patience L. Epps (Project Director: May 2021 to present)<br/>Susan Smythe Kung (Co Project Director: October 2021 to present)</div>","University of Texas, Austin",Austin,TX,78712-0100,USA,8/1/2021,2021,"Sustainable curation, preservation and online access for multilingual cultural heritage collections at the Archive of the Indigenous Languages of Latin America",Latin American Languages,Latin American Languages; Linguistic Anthropology; Linguistics,329,ARP-Organizations (Preservation-related),8,Agency-wide Projects,0,0,60306,0,33459,0,33459,0,1/1/2022 &ndash; 8/31/2022,"<p>The retention of&nbsp;one staff position and one student&nbsp;technician&nbsp;to&nbsp;sustain the operations of&nbsp;the&nbsp;Archive of the Indigenous Languages&nbsp;of Latin America.&nbsp;<br /></p>
<p>The University of Texas at Austin's Archive of the Indigenous Languages of Latin America (AILLA) seeks American Rescue Plan: Humanities Organizations funding to sustain operations and support for the successful completion of its existing NEH grant PD-260978-18 ""Archiving Significant Collections of Endangered Languages: Two Multilingual Regions of Northwestern South America."" This project will digitize, curate, and archive eight significant collections of multilingual, multimedia materials that document Indigenous languages and cultures from Highland Ecuador and the Upper Rio Negro region of northwest Brazil and eastern Colombia. As the university, the country, and the entire world begin the difficult post-pandemic economic recovery, ARP support will ensure AILLA's continued growth, development, long-term preservation, accessibility, and discoverability by safeguarding critical staff positions, which are at risk of being lost.</p>",
285960,FT-285960-22,2,0,0,0,0,0,0,,Alex,,Beasley,,,,,,Alex Beasley (Project Director: September 2021 to present),"Alex  Beasley<br/>University of Texas, Austin (Austin, TX 78712-0100)","University of Texas, Austin",Austin,TX,78712-0100,USA,3/1/2022,2022,"Oilfield Services Companies, Decolonization, and the Changing Shape of U.S. Global Power",Economic History,American Studies; Cultural History; Economic History,3,Summer Stipends,6,Research Programs,6000,0,6000,0,6000,0,6000,0,6/1/2022 &ndash; 7/31/2022,"<p>Research and writing two new chapters of a book on the cultural, political, and economic development of the globally integrated economy through the lens of the oilfield services industry.</p>
<p>This project examines the cultural, political, and economic development of the globally integrated economy through the lens of the oilfield services industry. I argue that oilfield services executives promoted a new ideology of American internationalism that envisioned the U.S. not as a center of manufacturing and production but as a white-collar headquarters serving the world through its provision of expertise. In negotiations with domestic and international workers and with foreign governments, these companies promoted a new version of global capitalism, which I call “service empire,” that provided a way for U.S.-based firms to maintain cultural and economic power in an era of postcolonial nations’ rising political strength.</p>",
286071,FT-286071-22,2,0,0,0,0,0,0,,Ashley,Dawn,Farmer,,,,,,Ashley Dawn Farmer (Project Director: September 2021 to present),"Ashley Dawn Farmer<br/>University of Texas, Austin (Austin, TX 78712-0100)","University of Texas, Austin",Austin,TX,78712-0100,USA,3/1/2022,2022,Black Women Activists and the FBI,African American History,African American History; Women's History,3,Summer Stipends,6,Research Programs,6000,0,6000,0,6000,0,6000,0,6/1/2022 &ndash; 7/31/2022,"<p>Research and writing of a book that charts the rise and fall of the FBI’s twentieth-century Counterintelligence Program (COINTELPRO) through surveillance records of Black women activists and allies.</p>
<p>The FBI’s targeting of Black male leaders such as Dr. King and Malcolm X is now the subject of scholarly and popular lore. Often overlooked, however, are the Black women who endured similar government repression. Gendering Surveillance: Black Women Activists and the FBI charts the rise and fall of the FBI’s twentieth-century Counterintelligence Program (COINTELPRO) through surveillance records of Black women activists and allies. The book explains the intertwined histories of the Black Freedom Struggle and the FBI, explores the origins of COINTELPRO; its expansion at home and abroad; and agents’ targeting, jailing, and attempted murder of Black women. An investigation of Black women’s experiences with government surveillance further elucidates how marginalized groups define democracy and shape the contours of citizenship and civil rights. The project will help deepen discussions about the complicated relationships between rights, government protections, and federal surveillance.</p>",
278116,HC-278116-21,1,0,14,0,0,0,0,,Kelly,,McDonough,PhD,,,,,Kelly McDonough (Project Director: August 2020 to present),"University of Texas, Austin (Austin, TX 78712-0100)<br/>Kelly McDonough (Project Director: August 2020 to present)</div>","University of Texas, Austin",Austin,TX,78712-0100,USA,11/1/2020,2020,Unlocking the Colonial Archive: Harnessing Artificial Intelligence for Indigenous and Spanish American Historical Collections,Latin American Studies,Latin American History; Latin American Studies,250,Cooperative Agreements and Special Projects (Digital Humanities),12,Digital Humanities,0,0,149915,0,149915,0,149915,0,2/1/2021 &ndash; 12/31/2023,"<p>The transformation of Indigenous and Spanish colonial archives into readable and accessible data using artificial intelligence technologies, including transcribed texts, linked information, and automated search and analysis of pictorial elements. The UK partner, Lancaster University, is requesting £199,910 from the Arts and Humanities Research Council.</p>
<p>This project seeks to transform unreadable Indigenous and Spanish colonial archives into accessible data using artificial intelligence technologies. The core project team will consist of interdisciplinary researchers from LLILAS Benson Latin American Studies and Collections at the University of Texas at Austin, the Digital Humanities Hub at Lancaster University, and Liverpool John Moores University. We propose three main research areas to (1) expedite the transcription of Spanish American documents using handwritten text recognition technology, (2) automate the identification and linking of information within this corpora using natural language processing techniques and linked open data models, and (3) facilitate the automated search and analysis of pictorial elements in the Spanish colonial archive through computer vision approaches. The research will be based on three digital collections under the aegis of LLILAS Benson and one from the National Archive of Mexico.</p>",
278325,GI-278325-21,1,0,0,0,0,0,0,,Simone,J.,Wicha,,,,,,Simone J. Wicha (Project Director: September 2020 to present),"University of Texas, Austin (Austin, TX 78712-0100)<br/>Simone J. Wicha (Project Director: September 2020 to present)</div>","University of Texas, Austin",Austin,TX,78712-0100,USA,3/1/2021,2021,Painted Cloth: Fashion and Ritual in Colonial Latin America,Art History and Criticism,Art History and Criticism,255,Exhibitions: Implementation,2,Public Programs,0,0,99999,0,99999,0,99999,0,5/1/2021 &ndash; 1/30/2023,"<p>Implementation of a single-site, temporary exhibition on the relationships between secular and liturgical garments and the art of seventeenth- and eighteenth-century Latin America.</p>
<p>The Blanton Museum of Art respectfully requests $100,000 in support of our upcoming 2021 exhibition, ""Painted Cloth: Fashion and Ritual in Colonial Latin America"". ""Painted Cloth"" is organized by Rosario I. Granados, the Blanton’s Marilynn Thoma Associate Curator, Art of the Spanish Americas, and explores the production and meaning of garments used in civil and religious settings across Latin America in the late 1600s and 1700s. There are approximately seventy-seven works in the exhibition (from paintings, to sculptures, prints, furniture and garments), with twenty drawn from the Blanton’s permanent collection, and upon installation will take up the entirety of the Blanton’s temporary exhibition galleries (approximately 8,000 square feet).</p>",
279175,FT-279175-21,2,0,0,0,0,0,0,,Emily,,Drumsta,,,,,,Emily Drumsta (Project Director: September 2020 to present),"Emily  Drumsta<br/>University of Texas, Austin (Austin, TX 78712-0100)","University of Texas, Austin",Austin,TX,78712-0100,USA,3/1/2021,2021,"Good Measure: Poetic Form, Popular Politics, and Questions of Meter in Modern Arabic Poetry",Arabic Literature,Arabic Literature; Comparative Literature; Near and Middle Eastern History,3,Summer Stipends,6,Research Programs,6000,0,6000,0,6000,0,6000,0,6/1/2022 &ndash; 7/31/2022,"<p>Research primary sources and write the first
chapter of a book that examines the use of classical poetry forms among modern
Arab poets.</p>
<p>Good Measure offers a new history of modernity in the Arab world, focusing not on changes in political leadership or economic relations, but rather on poetry and poetics— and specifically, on the surprising durability of classical poetic forms in modern Arabic poetry. To compose metered poetry in Arabic, I argue, was not necessarily to be backward-looking or conservative. Meter and rhyme facilitated the oral transmission of poetry when publishing resources were limited, and the ancient meters were often used as forms of anti-colonial protest. When Arab poets discussed topics like “freedom,” “constraint,” “unity,” and “originality” in poetry, they were talking about much more than meters, strophes, and rhymes. The language of poetic form, I argue, was a metonymic one: poetry and its critical paratexts became the spaces where Arab intellectuals worked through questions of Arab identity, national citizenship, technological modernity, religion, secularism, and interactions with the West.</p>",
279411,FN-279411-21,2,0,0,0,0,0,0,,Kelsey,Caitlyn,Neely,,,,,,Kelsey Caitlyn Neely (Project Director: September 2020 to present),"Kelsey Caitlyn Neely<br/>University of Texas, Austin (Austin, TX 78712-0100)","University of Texas, Austin",Austin,TX,78712-0100,USA,3/1/2021,2021,"Documenting Diversification in the Yaminawa Dialect Complex (Panoan, Peru) [ISO 639-3: yaa, mts, mcd]",Linguistics,Latin American Languages; Linguistic Anthropology; Linguistics,238,Dynamic Language Infrastructure-Documenting Endangered Languages - Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,9/1/2021 &ndash; 6/30/2022,"<p>Research
and writing of a bilingual, multidialectal dictionary of Yaminahua (ISO 639-3:
yaa), Nahua (ISO 639-3: mts), and Sharanahua (ISO 639-3: mcd), three Panoan
languages of the Peruvian Amazon</p>
<p>This project will produce comparative documentation and description for Yaminahua (ISO 639-3: yaa), Nahua (ISO 639-3: mts), and Sharanahua (ISO 639-3: mcd), three closely related, endangered Panoan languages of the Peruvian Amazon. The concrete products of this project include a bilingual, multi-dialectal dictionary of these languages with indices in Spanish and English, and a comparative description of the morphology (e.g. prefixes and suffixes) of the study languages. More broadly, the project seeks to enhance the understanding of the diversification of related languages in contexts where geographic isolation and contact with unrelated languages are not significant factors. The fellowship will support 12 months of full-time work consisting of fieldwork in Peru; transcription, translation, and analysis of primary data; and the preparation of materials and publications. Primary data and resulting products will be archived with the California Language Archive.</p>",
267541,FEL-267541-20,2,0,3,1,0,0,0,,Ashley,Dawn,Farmer,,,,,,Ashley Dawn Farmer (Project Director: April 2019 to March 2022),"Ashley Dawn Farmer<br/>University of Texas, Austin (Austin, TX 78712-0100)","University of Texas, Austin",Austin,TX,78712-0100,USA,12/1/2019,2019,A Biography of Audley Moore (d. 1997): Mother of Black Nationalism,African American History,African American History; African American Studies; Women's History,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,1/1/2021 &ndash; 12/31/2021,"<p>Research and writing leading to a biography of black nationalist Audley Moore (1890s-1997), whose political life spanned much of the 20th century’s black nationalist movement.</p>
<p>If Rosa Parks was the mother of the civil rights movement, then Audley Moore midwifed modern black nationalism. Indeed, Moore created or was involved in many of the major movement moments and organizations now considered to be central to 20th century black radical organizing from the 1920s to the 1990s. Queen Mother” Audley Moore: Mother of Black Nationalism is the first full length biography of Moore—one of the most influential yet understudied activists and thinkers of the 20th century. The book examines Moore’s life and activism from the 1890s until her death in 1997 and argues that she was an important but overlooked progenitor of 20th century black radical thought whose organizing approaches and ideas became the architecture of modern radical black activism. Using Moore as a thread, the book offers a wide-ranging history of twentieth-century black nationalist movements, moments, and organizations, foregrounding black women’s roles in creating a sustained ideological tradition.</p>",
268126,FEL-268126-20,2,0,0,0,0,0,0,,Joan,,Neuberger,,,,,,Joan Neuberger (Project Director: April 2019 to January 2022),"Joan Neuberger<br/>University of Texas, Austin (Austin, TX 78712-0100)","University of Texas, Austin",Austin,TX,78712-0100,USA,12/1/2019,2019,Landscape and Politics in the Writings of Russian Film Director and Theorist Sergei Eisenstein (1898-1948),Film History and Criticism,Film History and Criticism; Russian History,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,9/1/2020 &ndash; 8/31/2021,"<p>Research
and writing leading to a book on&nbsp;Soviet film director and
theorist Sergei Eisenstein (1898-1948) and his late writings about art, landscape, and politics.</p>
<p>Sergei Eisenstein is one of the most famous film makers and theorists in the world but outside of a small number of specialists, few know about the second half of his career, which significantly modified the ideas that made him famous. My book establishes a new foundation for understanding his work of that period. It shows that his film theory was embedded in a larger framework about the production and reception of all art, which he linked with the human feeling for immersion in nature, and the individual's feeling for immersion in the collective. These ideas prefigured and speak to&nbsp;issues we care about today:  the place of immersion in new media, inter-subjectivity between humans and nature, and between humans and the endangered landscape of the Anthropocene, and the revived possibilities for non-Soviet socialism and socialist activism.</p>",
