ApplicationID,ApplicationNumber,ApplicantType,SuppCount,ProductCount,CoverageCount,PrizeCount,ParticipatingInstitutionCount,WhitePaper,WhitePaperPath,PDFirstname,PDMiddlename,PDLastname,PDNameSuffix,CoPDFirstname,CoPDMiddlename,CoPDLastname,CoPDNameSuffix,Participants,GranteeDisplay,Institution,InstCity,InstState,InstPostalCode,InstCountry,CouncilDate,YearAwarded,ProjectTitle,PrimaryDiscipline,AllDisciplines,ProgramID,ProgramName,DivisionID,DivisionName,OfferedOutright,OfferedMatching,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,GrantPeriod,ProjectDesc,ToSupport
284893,HAA-284893-22,1,0,0,0,0,0,0,,Jennifer,,Stertzer,,James,P.,McClure,,Jennifer Stertzer (Project Director: June 2021 to present)<br/>Bayard Miller (Co Project Director: December 2021 to present)<br/>James P. McClure (Co Project Director: December 2021 to present),"University of Virginia (Charlottesville, VA 22903-4833)<br/>Jennifer Stertzer (Project Director: June 2021 to present)<br/>Bayard Miller (Co Project Director: December 2021 to present)<br/>James P. McClure (Co Project Director: December 2021 to present)</div>",University of Virginia,Charlottesville,VA,22903-4833,USA,11/1/2021,2021,Planning a Federated Early North American Weather Records Digital Resource,History of Science,"History and Philosophy of Science, Technology, and Medicine; History of Science; U.S. History",311,Digital Humanities Advancement Grants,12,Digital Humanities,0,0,44570,0,44570,0,44570,0,7/1/2022 &ndash; 12/31/2023,"<p>A series of meetings to develop a prototype for a federated digital resource on North American weather and climate data collected during the 18th- and 19th-centuries.</p>
<p>The proposed project is a collaborative effort between the Papers of Thomas Jefferson at Princeton University, the Center for Digital Editing at the University of Virginia, and the Center for Digital Scholarship at the American Philosophical Society. The project is seeking level one funding to support planning meetings, a workshop, drafting of technical specifications, and the development of a prototype for federated weather and climate records digital resource. Planning and experimentation work during this grant period will lay the groundwork for the future development of a federated weather and climate records platform. This platform will support both the editorial preparation (broadly conceived) and publication of weather and climate records. Planning and development work will ultimately result in the publication of the Federated Early North American Weather Records Digital Resource.</p>",
285169,PW-285169-22,1,0,0,0,0,0,0,,Peter,M.,Hedlund,,,,,,Peter M. Hedlund (Project Director: July 2021 to April 2022)<br/>Peter M. Hedlund (Project Director: April 2022 to present),"University of Virginia (Charlottesville, VA 22903-4833)<br/>Peter M. Hedlund (Project Director: July 2021 to April 2022)<br/>Peter M. Hedlund (Project Director: April 2022 to present)</div>",University of Virginia,Charlottesville,VA,22903-4833,USA,3/1/2022,2022,"By the People: The Inclusive Story of Revolution in Virginia, 1763–1800",U.S. History,"History, General; U.S. History",253,Humanities Collections and Reference Resources,1,Preservation and Access,0,0,348670,0,348670,0,348670,0,6/1/2022 &ndash; 5/31/2025,"<p>The addition of 200 entries to Encyclopedia Virginia to make more inclusive its coverage of the Revolutionary era (1763–1800), and the addition of primary sources, artifacts, lesson plans, and digital public history experiences, all in preparation for the 250th anniversary&nbsp;of American independence.&nbsp;</p>
<p>This project proposes to develop content about the American Revolution and Early Republic (1763–1800) for Encyclopedia Virginia, a free, online resource about the history and culture of Virginia. In partnership with leading cultural institutions, a consulting group that specializes in collaborating with Native communities, and an educational consultant, Encyclopedia Virginia will develop and publish entries, primary resources, media objects, virtual tours, and leveled content that addresses Virginia history from 1763 to 1800—with a particular focus on the experiences and contributions of Indigenous people, Black people, and women.</p>",
285176,DR-285176-22,1,0,0,0,0,0,0,,Eric,,Brandt,,,,,,Eric Brandt (Project Director: July 2021 to present),"University of Virginia (Charlottesville, VA 22903-4833)<br/>Eric Brandt (Project Director: July 2021 to present)</div>",University of Virginia,Charlottesville,VA,22903-4833,USA,,2021,Open Access edition of The Quebec Connection by Julie-Francoise Tolliver,Literary Criticism,"History, General; Literary Criticism",324,Fellowships Open Book Program,12,Digital Humanities,0,0,5500,0,5500,0,5500,0,12/1/2021 &ndash; 5/31/2022,"<p>This project will publish the book The Quebec Connection: A Poetics of Solidarity in Global Francophone Literatures, written by NEH Fellow Julie-Françoise Tolliver (NEH grant number FA-252195-17), in an electronic open access format under a Creative Commons license, making it available for free download and distribution. The author will be paid a royalty of at least $500 upon release of the open access ebook.</p>",
285177,DR-285177-22,1,0,0,0,0,0,0,,Eric,,Brandt,,,,,,Eric Brandt (Project Director: July 2021 to present),"University of Virginia (Charlottesville, VA 22903-4833)<br/>Eric Brandt (Project Director: July 2021 to present)</div>",University of Virginia,Charlottesville,VA,22903-4833,USA,,2021,Open Access edition of American Abolitionism: Its Direct Political Impact from Colonial Times into Reconstruction by Stanley Harrold,U.S. History,African American History; U.S. History,324,Fellowships Open Book Program,12,Digital Humanities,0,0,5500,0,5500,0,5500,0,12/1/2021 &ndash; 5/31/2023,"<p>This project will publish the book, American Abolitionism: Its Direct Political Impact from Colonial Times into Reconstruction, written by NEH Fellow Stanley Harrold (NEH grant number HB-50274-13), in an electronic open access format under a Creative Commons license, making it available for free download and distribution. The author will be paid a royalty of at least $500 upon release of the open access ebook.</p>",
285471,TR-285471-22,1,0,0,0,0,0,0,,Kurtis,R.,Schaeffer,,,,,,Kurtis R. Schaeffer (Project Director: August 2021 to present),"University of Virginia (Charlottesville, VA 22903-4833)<br/>Kurtis R. Schaeffer (Project Director: August 2021 to present)</div>",University of Virginia,Charlottesville,VA,22903-4833,USA,3/1/2022,2022,"Between Heaven and Earth: An Audio Documentary Series on Spirituality, Place, and Climate in America","Religion, General","Interdisciplinary Studies, General; Religion, General",259,Media Projects Production,2,Public Programs,0,0,199663,0,199663,0,199663,0,7/1/2022 &ndash; 6/30/2023,"<p>Production
of a podcast series of ten episodes on how religious groups and movements have understood
human interaction with the natural world and addressed environmental issues.</p>
<p>Fully understanding the significance of the climate crisis requires the skills and methods of the humanities. Scientists have measured the grave effects of this crisis for decades, but the interpretive approaches afforded by the humanities are crucial for appreciating human responses to a rapidly evolving scientific reality. The climate crisis demands that humanity reckon and wrestle with its relationship to the environment, and as global citizens become ever more aware of the urgency of the climate crisis, the need for rigorous reporting on multifaceted responses to environmental change has never been more crucial. Recognizing that these responses are influenced by a complex constellation of religious, political, and socioeconomic factors, our project will offer a ten-episode podcast season exploring the rich stories of how various groups and movements have interpreted and re-imagined human modes of interaction with the natural world.</p>",
272993,FEL-272993-21,2,0,0,0,0,0,0,,Marlene,Leydy,Daut,,,,,,Marlene Leydy Daut (Project Director: April 2020 to present),"Marlene Leydy Daut<br/>University of Virginia (Charlottesville, VA 22903-4833)",University of Virginia,Charlottesville,VA,22903-4833,USA,11/1/2020,2020,Awakening the Ashes: An Intellectual History of Haiti,Latin American History,Cultural History; Intellectual History; Latin American History,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,7/1/2021 &ndash; 6/30/2022,"<p>Research and writing leading to an intellectual history of Haiti from 1804 to the 1950s.</p>
<p>In recent years, scholars of historiography have argued the need for a more comparative and capacious understanding of global intellectual history that moves beyond Europe. Awakening the Ashes, which will be the first comprehensive intellectual history of Haiti published in the English language, contributes to this move by placing Haitian writers and politicians within the global history of ideas. Beginning with Haitian independence in 1804 and ending around the time of the second World War, this book is designed to provide an in-depth study of key figures of 19th- and early 20th-century Haitian intellectual history and a broad analysis of what Haitian political, literary, and historical ideas writ large might reveal.</p>",
273354,FEL-273354-21,2,0,0,0,0,0,0,,Andrew,William,Kahrl,,,,,,Andrew William Kahrl (Project Director: April 2020 to present),"Andrew William Kahrl<br/>University of Virginia (Charlottesville, VA 22903-4833)",University of Virginia,Charlottesville,VA,22903-4833,USA,11/1/2020,2020,The Power to Destroy: A Hidden History of Race and Taxes in America,U.S. History,African American History; U.S. History; Urban History,318,Fellowships,6,Research Programs,30000,0,30000,0,30000,0,30000,0,1/1/2022 &ndash; 6/30/2022,"<p>Research and writing leading to a book and digital map on property taxation and race from Reconstruction through the aftermath of the 2008 financial crisis.</p>
<p>The Power to Destroy tells, for the first time, the history of African American taxpayers from Reconstruction to the present and, through gripping personal stories of struggle and loss, reveals how discriminatory and inequitable local tax policies and practices undermined Black attempts to accumulate property and build wealth. Property ownership was central to Black visions of freedom following emancipation. But racist practices, invisible obstacles, and hidden traps made it difficult for them to hang on to their property. Of these, few were more powerful, or more quietly destructive, than the property tax. This project shows how discriminatory over-assessment of Black-owned property and manipulation of tax delinquency laws by local officials and private investors fueled Black land loss and shaped the landscape of racial inequality in 20th century America. It also shows how Blacks fought for fair and equitable tax laws and their rights as taxpayers and citizens.</p>",
273882,FEL-273882-21,2,0,0,0,0,0,0,,Ariana,,Maki,,,,,,Ariana Maki (Project Director: April 2020 to present),"Ariana  Maki<br/>University of Virginia (Charlottesville, VA 22903-4833)",University of Virginia,Charlottesville,VA,22903-4833,USA,11/1/2020,2020,Digital Biography: Teaching the Life of the Buddha Using Literature and Art,Art History and Criticism,Art History and Criticism; East Asian Literature; Nonwestern Religion,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,3/1/2022 &ndash; 2/28/2023,"<p>Art historical research and writing on the extensive seventeenth-century murals at the Tibetan Buddhist monastery of Jonang Puntsokling for the Life of the Buddha project.</p>
<p>The Life of the Buddha project (LOTB; lifeofthebuddha.org) is the first full-scale study of the life of the Buddha in a Tibetan setting, based on a series of 17th century murals and their associated contemporaneous texts. Three of the mural program’s fifteen panels have been correlated with the extant literature—a biography, a painting manual, and painted inscriptions—and are online on a highly interactive platform. This proposal seeks support for an art historian to correlate the remaining twelve panels with its associated literary sources, and to create project-based learning activities for teaching the relationships between text and image in their wider historical, religious, social, and political contexts. This will significantly expand content, and accordingly, audience, providing easily navigable, fully translated English content for educators addressing world religions, global art history, biographic literature, textual studies and South Asia-focused courses, among others.</p>",
277539,PW-277539-21,1,0,0,0,0,0,0,,Worthy,N.,Martin,,Anne,Conyers,Leader,,Worthy N. Martin (Project Director: July 2020 to present)<br/>Anne Conyers Leader (Co Project Director: June 2021 to present),"University of Virginia (Charlottesville, VA 22903-4833)<br/>Worthy N. Martin (Project Director: July 2020 to present)<br/>Anne Conyers Leader (Co Project Director: June 2021 to present)</div>",University of Virginia,Charlottesville,VA,22903-4833,USA,3/1/2021,2021,"Digital Sepoltuario, The Tombs of Renaissance Florence: Scholarly Access and Search",Renaissance History,Cultural History; Renaissance History; Renaissance Studies,253,Humanities Collections and Reference Resources,1,Preservation and Access,0,0,349812,0,298911,0,298911,0,6/1/2021 &ndash; 5/31/2023,"<p>The development and implementation of a public interface for research into medieval and early modern burial and commemoration through&nbsp;Digital&nbsp;Sepoltuario: Scholarly Access and Search (DSsas),&nbsp;a database and platform documenting the tombs of Renaissance Florence.</p>
<p>Digital Sepoltuario will support research on a fundamental human activity: caring for and commemorating the dead. It will make accessible a catalogue of memorials installed in Florence’s church buildings 1250-1650. Manuscript tomb registers (sepoltuari) in the Florentine State Archives provide information on location, ownership, and decoration of Florence’s tombs and burial chapels. We propose to interlink these records to social, professional, political, and family networks of those interred in these sepulchers over successive generations; substantially expand the dataset already curated; design and build an interactive interface enabling access to this rich material from several scholarly perspectives; and create methods to visualize spatial and social relationships. The creation and re-use of these omnipresent tombs are untapped sources to investigate and contextualize religious beliefs, power struggles, economic growth, and cultural products of the late middle ages and Renaissance.</p>",
279890,RQ-279890-21,1,0,0,0,0,0,0,,John,C. A.,Stagg,,,,,,John C. A. Stagg (Project Director: December 2020 to present),"University of Virginia (Charlottesville, VA 22903-4833)<br/>John C. A. Stagg (Project Director: December 2020 to present)</div>",University of Virginia,Charlottesville,VA,22903-4833,USA,7/1/2021,2021,The Papers of James Madison,U.S. History,American Government; Political History; U.S. History,193,Scholarly Editions and Translations,6,Research Programs,0,100000,200000,100000,200000,0,200000,0,10/1/2021 &ndash; 9/30/2023,"<p>Preparation for publication of two volumes and work toward the completion of three additional volumes of the papers of James Madison (1751-1836), president, secretary of state, and drafter of the Constitution. (24 months)</p>
<p>The Papers of James Madison is a documentary project devoted to annotating and editing the complete papers of ""The Father of the Constitution” and the fourth president of the United States. The project needs to complete its publication of his papers for the years 1806-09 and 1826-36. Forty volumes are already available in letterpress and digital formats. The edition will be completed in forty-nine volumes sometime between 2028 and 2030.</p>",
