ApplicationID,ApplicationNumber,ApplicantType,SuppCount,ProductCount,CoverageCount,PrizeCount,ParticipatingInstitutionCount,WhitePaper,WhitePaperPath,PDFirstname,PDMiddlename,PDLastname,PDNameSuffix,CoPDFirstname,CoPDMiddlename,CoPDLastname,CoPDNameSuffix,Participants,GranteeDisplay,Institution,InstCity,InstState,InstPostalCode,InstCountry,CouncilDate,YearAwarded,ProjectTitle,PrimaryDiscipline,AllDisciplines,ProgramID,ProgramName,DivisionID,DivisionName,OfferedOutright,OfferedMatching,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,GrantPeriod,ProjectDesc,ToSupport
282143,FEL-282143-22,2,0,0,0,0,0,0,,Christian,Lee,Novetzke,,,,,,Christian Lee Novetzke (Project Director: April 2021 to present),"Christian Lee Novetzke<br/>University of Washington (Seattle, WA 98195-3650)",University of Washington,Seattle,WA,98195-3650,USA,11/1/2021,2021,"A Flower of Fire: Religion, Caste, and Gender in the Political Poetry of Savitribai Phule (1831-1897)",Nonwestern Religion,Gender Studies; Nonwestern Religion; South Asian Studies,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,9/1/2022 &ndash; 8/31/2023,"<p>Research and writing leading to a book on the work of Indian poet, educator, and social reformer Savitribai Phule (1831-1897).</p>
<p>Savitribai Phule was born into an impoverished subaltern caste of Shudra (“low caste”) agricultural workers  in India in 1831 and she became one of the first Shudra women in India to receive an education. Along with her husband Jotirao Phule, Savitribai Phule opened schools for Dalit (“Untouchable”) and Muslim girls, and for children of all disadvantaged communities. This experience as an activist in education led her to write two books of political poetry in Marathi, each articulating her powerful vision for social justice and her fight against caste patriarchy. Her ideas about religion, caste, gender, and power made her one of the most important critical thinkers in Indian history. However, Savitribai Phule is hardly known outside of India and there is no English monograph devoted to her critical thought. I seek NEH support to complete the first scholarly monograph in English on the critical thought of Savitribai Phule.</p>",
285876,FT-285876-22,2,0,0,0,0,0,0,,Vanessa,,Freije,,,,,,Vanessa Freije (Project Director: September 2021 to present),"Vanessa  Freije<br/>University of Washington (Seattle, WA 98105-6613)",University of Washington,Seattle,WA,98105-6613,USA,3/1/2022,2022,"Technology, Violence, and the Struggle for Information Sovereignty in Mexico",Latin American Studies,Latin American History; Latin American Studies,3,Summer Stipends,6,Research Programs,6000,0,6000,0,6000,0,6000,0,8/1/2022 &ndash; 9/30/2022,"<p>Research and writing leading to a book on the evolution of news media in Mexico since the 1970s.</p>
<p>My project analyzes how different Mexican organizations and communities have sought to appropriate and control information since the 1970s. During these decades, violent conflicts and the rapid development of communications raised pressing questions about the role that information should play in society: In whose hands was information safe? What did it mean to democratize information and whom did it benefit? Different groups—from Indigenous video-makers to blogging drug-traffickers—sought answers to these questions. Though their motivations were distinct, they shared a common goal of controlling and producing, or achieving sovereignty over, the information relevant to their communities and organizations. Combining ethnographic and historical methodologies, my project reveals how information struggles shaped the political subjectivities and imaginaries of ordinary Mexicans.</p>",
273781,FEL-273781-21,2,0,0,0,0,0,0,,Jang Wook,,Huh,,,,,,Jang Wook Huh (Project Director: April 2020 to present),"Jang Wook  Huh<br/>University of Washington (Seattle, WA 98105-6613)",University of Washington,Seattle,WA,98105-6613,USA,11/1/2020,2020,"“Afro-Korean” Encounters: The Literary Intersections of Black Liberation Struggles in the U.S. and Anticolonial Movements in Korea, 1910-1953",East Asian Studies,African American Studies; East Asian Studies,318,Fellowships,6,Research Programs,60000,0,60000,0,60000,0,60000,0,7/1/2021 &ndash; 6/30/2022,"<p>Research and writing of a book on the interaction between Korean and African American authors from 1910 to 1953 on topics of discrimination, colonialism, and freedom.</p>
<p>My project examines the radical interactions between African Americans and Koreans in the twentieth century. Drawing on a diverse range of archives, including U.S. missionary documents, declassified government files, and military records, as well as literary and cultural texts, my scholarly monograph argues for political connections between Black liberation struggles in the United States and anticolonial movements in Korea that resisted Japanese colonization (1910-1945) and U.S. military intervention (1945-1953). Through readings of Black writers and activists, and of Korean writers and intellectuals, my work highlights literary experimentations concerned with U.S. racial discrimination and Asian colonial subjugation to challenge the Japanese and U.S. empires. By bridging African American and Korean studies, I show how people of color invoke narratives of human freedom beyond national borders through shared notions of dispossession.</p>",
278009,DR-278009-21,1,0,1,0,0,0,0,,Nicole,F.,Mitchell,,,,,,Nicole F. Mitchell (Project Director: August 2020 to present),"University of Washington (Seattle, WA 98105-6613)<br/>Nicole F. Mitchell (Project Director: August 2020 to present)</div>",University of Washington,Seattle,WA,98105-6613,USA,,2020,"Open-access edition of Footprints of War: Militarized Landscapes in Vietnam, by David Biggs",East Asian History,East Asian History; U.S. History,324,Fellowships Open Book Program,12,Digital Humanities,0,0,5500,0,5500,0,5500,0,1/1/2021 &ndash; 12/31/2021,"<p>Footprints of War by David Biggs (FA-57319-13) traces the long history of conflict-produced spaces in Vietnam, from the French colonial invasion in 1885 through the collapse of the Saigon government in 1975. The result is a richly textured history of militarized landscapes that reveals the spatial logic and social impact of key battles. It also explores how the militarized landscapes here, as in many historic conflict zones, continue to shape post-war land-use politics. We published a hardcover edition in 2018 and propose to publish an open-access edition with a Creative Commons license. We will post it on leading OA repositories including JSTOR, MUSE Open, OAPEN, Internet Archive, and HathiTrust. We are also piloting the Manifold platform, which will enable the author to link additional resources to the book for further research and teaching purposes. We will promote the OA edition at professional conferences and via direct mail and social media. We will pay the author a $500 royalty.</p>",
267968,FEL-267968-20,2,0,0,0,0,0,0,,Heidi,R.,Pauwels,,,,,,Heidi R. Pauwels (Project Director: April 2019 to February 2021),"Heidi R. Pauwels<br/>University of Washington (Seattle, WA 98105-6613)",University of Washington,Seattle,WA,98105-6613,USA,12/1/2019,2019,The Voice of India’s 18th-Century Mona Lisa: Songs by Rasik Bihari of Kishangarh,South Asian Literature,Art History and Criticism; South Asian Literature; South Asian Studies,318,Fellowships,6,Research Programs,45000,0,45000,0,45000,0,45000,0,4/1/2020 &ndash; 12/31/2020,"<p>Research and writing leading to a book on&nbsp;the poetry of an 18th-century woman&nbsp;known as Bani-thani or Rasik Bihari, who was&nbsp;a court performer and&nbsp;favorite of the Indian ruler Savant Singh (1699-1764) of Kishangarh.</p>
<p>India’s Mona Lisa, the model for the 18th-century portrayals of the Hindu goddess Radha in the Rajasthani kingdom of Kishangarh, was Bani-thani. A court performer, she became concubine of the crown-prince Savant Singh, who commissioned paintings that illustrated his own Hindi poetry and portrayed Radha after her features. Yet, Bani-thani too was an author in her own right. Her pen name, Rasik Bihari, or “Playful Connoisseur,” shows that she saw herself as more than object of the connoisseur’s gaze. This project recovers her voice by editing and translating her songs for the first time on the basis of newly discovered manuscripts. The book analyzes the songs in their performance context through the lens of the study of emotion. Their intertextuality with those by her lover shows the synergy of these early modern partner-authors. Historical contextualization reveals the tensions and power-dynamics at work in such relationships in Rajput households on the eve of empire.</p>",
262382,FEL-262382-19,2,0,1,0,0,0,0,,Maria Elena,,Garcia,,,,,,Maria Elena Garcia (Project Director: April 2018 to December 2020),"Maria Elena  Garcia<br/>University of Washington (Seattle, WA 98105-6613)",University of Washington,Seattle,WA,98105-6613,USA,11/1/2018,2018,"Gastro-Politics, Race, and Species in Peru",Latin American Studies,Cultural Anthropology; Latin American Studies,318,Fellowships,6,Research Programs,40000,0,40000,0,30000,0,30000,0,4/1/2019 &ndash; 9/30/2019,"<p>A book-length study about the recent
culinary boom in Peru that has made Lima one of the top food destinations in
the world.</p>
<p>Since 2000, Peru has gone from being a war-torn country to being a premier culinary destination. Connecting chefs, state agencies, global capital, and Indigenous producers, the “gastronomic revolution” makes powerful claims: food unites Peruvians, dissolves racial antagonisms, and fuels development. This project critically explores these claims and tracks the emergence of gastro-politics, understood as a bio-political and aesthetic set of practices that reconfigure dominant racial and gendered orders. Although scholars have examined the cultural politics of post-war Peru, this project provides a unique view into how the interactions of race, species and gender shape the consequences of culinary nationalism. Placing ethnographic findings in conversation with readings of novels, production manuals, high-end menus, national-branding campaigns, and other visual texts, this work reveals how gastronomy connects to histories of violence, mestizaje and nation making.</p>",
265484,FT-265484-19,2,0,0,0,0,0,0,,Naomi,Macalalad,Bragin,,,,,,Naomi Macalalad Bragin (Project Director: September 2018 to January 2022),"Naomi Macalalad Bragin<br/>University of Washington, Bothell (Bothell, WA 98011-8246)","University of Washington, Bothell",Bothell,WA,98011-8246,USA,3/1/2019,2019,An Ethnographic Cultural History of Streetdance since 1970,Dance History and Criticism,African American Studies; Cultural Anthropology; Dance History and Criticism,3,Summer Stipends,6,Research Programs,6000,0,6000,0,6000,0,6000,0,7/15/2019 &ndash; 9/14/2019,"<p>A book-length historical and ethnographic study of hip hop dance in
California, from the 1970s to the present.</p>
<p>Black Power of Hip Hop Dance is an ethnographic cultural history of Streetdance in 1970s California—an archive of African American dance under-researched in dance studies. I show New York hip hop culture’s aesthetic foundations in West Coast dances of Popping, Locking, Robot and Waacking. At first prohibited in dance studios, Streetdance is now a global culture spanning international classes, competitions, viral videos, reality TV and popular film. I bridge dance analysis, cultural theory, American and black studies, to assert that Streetdancers create nuanced forms of political engagement by moving their bodies in public spaces. I center the role of motion in the production and transmission of culture and formation of community. Streetdance contributes to conversations on race, power and difference, using movement as a non-verbal, embodied way of knowing. Black Power of Hip Hop Dance emphasizes the value of community history in motion—dance studies key lens of inquiry.</p>",
257485,FEL-257485-18,2,0,0,0,0,0,0,,Kathryn,,Bunn-Marcuse,,,,,,Kathryn Bunn-Marcuse (Project Director: April 2017 to March 2019),"Kathryn Bunn-Marcuse<br/>University of Washington (Seattle, WA 98105-6613)",University of Washington,Seattle,WA,98105-6613,USA,11/1/2017,2017,A Collaborative Reframing of Franz Boas's Documentation of the Kwakiutl First Nation in 1930,Art History and Criticism,Art History and Criticism; Cultural Anthropology; Native American Studies,318,Fellowships,6,Research Programs,0,0,25200,0,25200,0,25200,0,2/1/2018 &ndash; 7/31/2018,"<p>Completion of a digital publication on the anthropologist Franz Boas’s 1930 sound and film recordings of indigenous community life at Fort Rupert, British Columbia, in collaboration with members of the Kwakiutl First Nation.</p>
<p>Featuring embedded audio and film recordings made in Fort Rupert, BC, by Franz Boas (1930), <em>Galgapola (Working Together)--A Collaborative Reframing of Kwakiutl Film and Audio Recordings with Franz Boas, 1930</em> will be written and edited by Kathryn Bunn-Marcuse, University of Washington, with contributions by Coreen, Kaleb, and Thomas Child, members of the Kwakiutl First Nation and will be digitally published by University of Washington Press. <em>Galgapoa</em> will reunite existing archival source media (historical films, wax-cylinder audio recordings, images of material collections, and unpublished manuscripts and field notes) from far-flung institutions and forge them into a new digital whole, shaped by and integrated with active cultural knowledge contributed by Kwakiutl First Nation members. By reconnecting intangible rights and privileges to material objects, this project re-centers the ownership of these materials within the communities that still hold those intangible privileges, rather than with the institutions that hold the physical objects.</p>",
258256,FO-258256-18,2,0,0,0,0,0,0,,Robert,J.,Pekkanen,,,,,,Robert J. Pekkanen (Project Director: April 2017 to July 2019),"Robert J. Pekkanen<br/>University of Washington (Seattle, WA 98105-6613)",University of Washington,Seattle,WA,98105-6613,USA,11/1/2017,2017,Populism in Japan,Comparative Politics,Comparative Politics; East Asian Studies,207,Fellowships for Advanced Social Science Research on Japan,6,Research Programs,0,0,25200,0,25200,0,25200,0,7/1/2018 &ndash; 12/31/2018,"<p>Research leading to publication of two peer-reviewed articles and a book on populism in Japanese politics of the late 20th and early 21st centuries.</p>
<p>Populism is on the rise across the globe. In reaction, scholars are hard at work to develop our understanding of populism. However, Japan has been ignored in the process of concept formation and in investigating causal relationships with populism. This impoverishes our conceptual development and theory building, and at the same time potentially diminishes our understanding of Japanese political phenomena. With the first English-language book on populism in Japan, this project seeks to incorporate the study of Japan into broader discussions to mutual benefit.</p>",
258611,PY-258611-18,1,0,4,0,0,0,0,,Devin,,Naar,,,,,,Devin Naar (Project Director: May 2017 to May 2021),"University of Washington (Seattle, WA 98105-6613)<br/>Devin Naar (Project Director: May 2017 to May 2021)</div>",University of Washington,Seattle,WA,98105-6613,USA,11/1/2017,2017,Seattle's Sephardic Legacies,Public History,"Jewish Studies; Languages, Other; Public History",293,Common Heritage,1,Preservation and Access,0,0,11990,0,11989.69,0,11989.69,0,1/1/2018 &ndash; 6/30/2019,"<p>A digitization day and simultaneous presentation on Ladino history and culture in the Pacific Northwest. These events would be followed by a second public event that would study and interpret the heritage items digitized during the initial digitization day. Seattle is one of the major global centers of Ladino culture and language, and the community would be invited to contribute heritage materials documenting the local community, including postcards, letters, photographs, memoirs, travel documents, marriage certificates, recipes, musical notation, and other items. With permission, digitized items would be made available as part of the Center’s digital collections in collaboration with the University of Washington Libraries. Events would be co-sponsored by the university as well as the James Garfield High School.</p>
<p>The University of Washington proposes to host a one-day digitization event titled “Seattle’s Sephardic Legacies” at Garfield High School in Seattle’s historic Central District in May, 2018. This event will feature presentations by humanities scholars on the little-known history of the Sephardic community in Seattle, Washington, during the Great Depression, and trace the lasting contributions of this demographic to the city’s industrial and cultural landscape today. At this event, which will be open to the public, a team of University archival workers will digitize a range of materials written in Ladino, the vanishing language of the peripatetic Sephardic people of Europe and North Africa. With permission from the owners, these items will be included in the Sephardic Studies Digital Archive at the University of Washington, the world’s first and only robust library and archive of original materials pertaining to the history and experience of the Sephardic people.</p>",
252549,FA-252549-17,2,0,2,0,0,0,0,,Linda,,Nash,,,,,,Linda Nash (Project Director: April 2016 to June 2018),"Linda  Nash<br/>University of Washington (Seattle, WA 98105-6613)",University of Washington,Seattle,WA,98105-6613,USA,11/1/2016,2016,American Engineers and Hydroelectric Development Projects in the U.S. and Afghanistan,U.S. History,"History and Philosophy of Science, Technology, and Medicine; History, Other; U.S. History",1,Fellowships for University Teachers,6,Research Programs,0,0,50400,0,50400,0,50400,0,4/1/2017 &ndash; 3/31/2018,"<p>A book-length study on the post-World War II global spread
of hydroelectric power, focusing on&nbsp;the U.S. Bureau of Reclamation&rsquo;s engineering projects in Washington State (1942) and
Afghanistan (1952).</p>
<p>My study is a comparative and transnational history of infrastructure, focused on its ecological and social implications as well as its aesthetic dimensions.  Drawing primarily on the writings and reports of engineers, it chronicles two large hydro-engineering projects that took shape during and after World War II&mdash;one in Washington State; the other in Afghanistan. Intellectually, the approach of American engineers in Afghanistan was shaped by their understanding of engineering&rsquo;s role in conquering western North America, as well as their experience in Washington&rsquo;s Columbia Basin. Yet in Afghanistan, they found that they lacked the diverse inputs necessary to sustain modern infrastructures and their own technical knowledge. The absence of familiar materials in Afghanistan created a perpetual crisis. These similar yet divergent histories reveal how imperial power and technical knowledge require certain material contexts to remain effective.</p>",
248890,FT-248890-16,2,0,0,0,0,0,0,,Michael,,Blake,,,,,,Michael Blake (Project Director: September 2015 to December 2016),"Michael  Blake<br/>University of Washington (Seattle, WA 98105-6613)",University of Washington,Seattle,WA,98105-6613,USA,3/1/2016,2016,"Justice, Migration, and Mercy",Political Theory,"Ethics; Philosophy, Other; Political Theory",3,Summer Stipends,6,Research Programs,0,0,6000,0,6000,0,6000,0,7/1/2016 &ndash; 8/31/2016,"<p>A book-length study on the morality of migration, the rights of citizenship, and asylum law.</p>
<p>I hope to write, in the summer of 2016, the central chapters of a monograph on the morality of migration. My thesis will be that many commentators who have looked at this issue have missed the point; by focusing on justice, at the expense of other virtues, they have ignored the true moral complexity of migration. I want to demonstrate that justice has some role to play in how we understand migration—in particular, in the analysis of who ought to count as a refugee. Many more people, though, do not have a right in justice to move, nor a right to remain where they are if they have crossed borders without legal permission. My argument, however, is that we have good moral reasons to develop programs by which many of these people will be given the rights of citizenship. These moral reasons, though, have less to do with the rights of the migrant, and more to do with the creation of a domestic political society that demonstrates and practices the virtue of mercy.</p>",
250827,EH-250827-16,1,0,0,0,0,0,0,,Thaïsa,,Way,,Richard,Henry,Watts,,Thaïsa Way (Project Director: February 2016 to December 2019)<br/>Richard Henry Watts (Co Project Director: September 2016 to December 2019),"University of Washington (Seattle, WA 98105-6613)<br/>Thaïsa Way (Project Director: February 2016 to December 2019)<br/>Richard Henry Watts (Co Project Director: September 2016 to December 2019)</div>",University of Washington,Seattle,WA,98105-6613,USA,7/1/2016,2016,City/Nature: Urban Environmental Humanities,"Arts, Other","Arts, Other; Literature, Other; Urban History",13,Institutes for Higher Education Faculty,7,Education Programs,0,0,179256,0,177528.18,0,177528.18,0,10/1/2016 &ndash; 3/31/2018,"<p>A three-week institute for twenty-five college and
university teachers on urban environmental humanities.</p>
<p>This three-week NEH Summer Institute will explore the manifold consequences of the two historical trajectories – the duality of city and nature and the rise of what has become called urban nature – in the context of the urban environmental humanities. Intended for college and university faculty, the Institute will explore the emerging landscape of the urban environmental humanities as it informs both scholarship and teaching. In support of the NEH Common Good initiative, the study of this urbanized world around us should also inform how humanists address the challenges and opportunities of the 21st Century.</p>",
225569,FA-58459-15,2,0,1,0,0,0,0,,Jordanna,,Bailkin,,,,,,Jordanna Bailkin (Project Director: May 2014 to September 2016),"Jordanna  Bailkin<br/>University of Washington (Seattle, WA 98105-6613)",University of Washington,Seattle,WA,98105-6613,USA,11/1/2014,2014,"Refugee Camps and the Making of Multicultural Britain, 1930s-1980s",European History,British History; European History,1,Fellowships for University Teachers,6,Research Programs,0,0,50400,0,50400,0,50400,0,6/1/2015 &ndash; 5/31/2016,"<p>This book will be the first to explore Britain&rsquo;s distinctive culture of encampment. I analyze camps for Jewish, Polish, Hungarian, Anglo-Egyptian, Ugandan Asian, and Vietnamese refugees from the 1930s to the 1980s in order to rethink the larger story of the making of multiculturalism in Britain and to illuminate episodes of encampment in our own world. These camps, peopled by a fractious mix of British squatters, migrant activists of color, ex-colonial officials and volunteers, as well as refugees generated unique interactions and intimacies. Refugee camps in Britain allow us to understand the proximity of individuals and groups that scholars have traditionally kept separate: not only hosts and migrants, but also refugee populations across ethnicity and time. &quot;Resettlement,&quot; I argue, could be deeply unsettling--both to its participants, and to the categories upon which historians have relied.<br /> </p>",
221090,FA-57836-14,2,0,1,0,0,0,0,,Heekyoung,,Cho,,,,,,Heekyoung Cho (Project Director: May 2013 to July 2015),"Heekyoung  Cho<br/>University of Washington (Seattle, WA 98105-6613)",University of Washington,Seattle,WA,98105-6613,USA,11/1/2013,2013,"Translation's Forgotten History: Russian Literature, Japanese Mediation, and the Formation of Modern Korean Literature",East Asian Literature,East Asian History; East Asian Literature,1,Fellowships for University Teachers,6,Research Programs,0,0,50400,0,50400,0,50400,0,7/1/2014 &ndash; 6/30/2015,"<p>Translation today is generally considered a lesser form of literary creation. It would sound implausible to us to include translations of foreign literary works into the canon of national literary histories. But the formative period of modern literature in East Asia offers us a different understanding of translation. During this period, around the turn of the twentieth century, translation was considered a creative and authentic activity that stood alongside other forms of prose writing in both fiction and non-fiction. Through examination of Korean intellectuals' translation of Russian prose through Japanese mediation, this project ultimately aims to reinstate translation as a practice that produces new meaning and generates change in society, and to rethink the way that modern literature developed in East Asia. In addition to translation and mediation studies, my research will contribute broadly to humanities scholarship in such fields as the history of writing and authorship.</p>",
216274,FA-57324-13,2,0,6,0,0,0,0,,Stephen,E.,Hinds,,,,,,Stephen E. Hinds (Project Director: May 2012 to December 2015),"Stephen E. Hinds<br/>University of Washington (Seattle, WA 98105-6613)",University of Washington,Seattle,WA,98105-6613,USA,11/1/2012,2012,Latin Literature's Resonance in Other Languages and Traditions,Classical Literature,Classical Literature,1,Fellowships for University Teachers,6,Research Programs,0,0,50400,0,50400,0,50400,0,9/1/2014 &ndash; 8/31/2015,"<p>A book on the cross-linguistic relations of poetic writing in Latin, which will seek to destabilize the usual narratives of Roman literary culture and classical tradition. Latin literature has always been constituted by its relationships with other languages and traditions: for ancient readers by its ever-changing relationship with Greek; for modern readers by no less constitutive relationships with the European vernaculars. I will emphasize cross-linguistic events in which the correspondence between texts in different languages is so close as to approach the condition of translation, without quite being the same thing as translation, and where the very issue of movement between languages is somehow central. This chronologically spacious project involves a significant mid-career redirection of my energy and expertise. A Fellowship can allow me to make a concentrated push on the book after I present its core as three invited Gray Lectures at Cambridge University in May next year.</p>",
218822,FT-60708-13,2,0,2,3,0,0,0,,Paul,S.,Atkins,,,,,,Paul S. Atkins (Project Director: October 2012 to November 2013),"Paul S. Atkins<br/>University of Washington (Seattle, WA 98105-6613)",University of Washington,Seattle,WA,98105-6613,USA,3/1/2013,2013,The Poetry and Life of Medieval Japanese Poet Fujiwara no Teika (1162-1241),Asian Literature,Asian Literature,3,Summer Stipends,6,Research Programs,0,0,6000,0,6000,0,6000,0,7/1/2013 &ndash; 8/31/2013,"<p>This project will culminate in a book on the poetry and life of the medieval Japanese courtier and major poet Fujiwara no Teika (1162-1241). Teika excelled in the thirty-one syllable waka form and was active as anthologist, copyist, critic, judge of poetry contests, diarist, and poetry tutor to senior courtiers and military aristocrats. He was a pivotal figure in the creation of a radically evocative, allusive style that was criticized by his rivals at court but later came to exert a decisive influence on Japanese poetry and poetics. This monograph, the first of its kind in a language other than Japanese, will provide a comprehensive view of the aesthetic, social, and political functions of waka poetry in Japan ca. 1200. It will explore a range of related topics, centered on poetry and poetics and extending to reception history and the role of China in the medieval Japanese imagination.</p>",
219676,RZ-51635-13,2,0,12,0,0,0,0,,Claudia,,Jensen,,,,,,Claudia Jensen (Project Director: December 2012 to May 2018),"Claudia Jensen<br/>University of Washington (Seattle, WA 98105-6613)",University of Washington,Seattle,WA,98105-6613,USA,7/1/2013,2013,The Russian Court Theater in the Late 17th Century and its Context in Trans-national Information Exchange,Theater History and Criticism,Theater History and Criticism,5,Collaborative Research,6,Research Programs,0,0,290000,0,289985,0,289985,0,10/1/2013 &ndash; 9/30/2017,"<p>Research, writing, and preparation for print and e-book publication of a volume of essays, journal articles, and conference papers relating to diplomacy and theater in 17th-century Russia. (36 months)</p>
<p>Why did the Russian tsar create a court theater in 1672? In order to answer this, we turn to sources that have rarely been used in the study of early Russian culture: newspapers and diplomatic reports. As our work shows, the origins of Russia’s theater are embedded in the communications revolution that took place throughout Europe in the 17th century. Our project makes important contributions not only to theatrical history, but also to broader historical issues. These include gender (the roles of the Russian royal women); the relationship between official diplomatic channels and the newspaper presses of the West; and communications and information exchange between Russian and Western diplomatic networks. Finally, in revealing the true origins of Russian theater in the 17th century, our work makes important contributions to the debates about “Westernization” in Russia, and the extent to which this pre-dates the well-known reforms of Peter the Great, beginning in the 18th century.</p>",
210615,FA-56432-12,2,0,1,0,0,0,0,,Christian,Lee,Novetzke,,,,,,Christian Lee Novetzke (Project Director: May 2011 to October 2014),"Christian Lee Novetzke<br/>University of Washington (Seattle, WA 98105-6613)",University of Washington,Seattle,WA,98105-6613,USA,11/1/2011,2011,"The Brahmin Double: Religion, Caste, Language, and Performance in Maharashtra, India, 1200-2000 CE",Nonwestern Religion,Nonwestern Religion,1,Fellowships for University Teachers,6,Research Programs,0,0,50400,0,50400,0,50400,0,8/1/2013 &ndash; 7/31/2014,"<p>This project examines religious and other performance materials from the thirteenth century to the present in Marathi and the modern Indian state of Maharashtra. I explore how Brahmin performers and composers appear to be agents in the creation of anti-caste and in particular anti-Brahmin sentiment in public contexts. I situate this Brahminical anti-caste and anti-Brahmin discourse within a largely performative public sphere where Brahmins balanced their role as knowledge specialists in heterogeneous social, religious, and cultural contexts where they were a significant minority. Here, Brahmin advocates of anti-Brahmin and anti-caste sentiment offered a ‘double’, a discursively constructed ‘Brahmin’, thus deflecting or diffusing criticism and enabling the Brahmin performer or composer to maintain a position of importance in the world of public performance and, later, public politics.</p>",
212415,PW-51038-12,1,0,0,0,0,0,0,,Nicolette,,Bromberg,,,,,,Nicolette Bromberg (Project Director: July 2011 to August 2015),"University of Washington (Seattle, WA 98105-6613)<br/>Nicolette Bromberg (Project Director: July 2011 to August 2015)</div>",University of Washington,Seattle,WA,98105-6613,USA,3/1/2012,2012,Vision of the Mountains: Preserving and Creating Access to Films of Mountaineering in the West,Archival Management and Conservation,Archival Management and Conservation,253,Humanities Collections and Reference Resources,1,Preservation and Access,200000,0,200000,0,199999.66,0,199999.66,0,5/1/2012 &ndash; 4/30/2015,"<p>The preservation, arrangement and description, digital reformatting, and selective web streaming of 448 films, created by the Mountaineers Club, that document the natural environment of the Pacific Northwest.</p>
<p>The University of Washington Libraries' Special Collections will preserve and provide access to 448 motion picture films from the Mountaineers Film Collection.</p>",
214143,FT-60255-12,2,0,0,0,0,0,0,,Kathryn,,Bunn-Marcuse,,,,,,Kathryn Bunn-Marcuse (Project Director: October 2011 to January 2013),"Kathryn Bunn-Marcuse<br/>University of Washington (Seattle, WA 98195-3650)",University of Washington,Seattle,WA,98195-3650,USA,3/1/2012,2012,Visual Fieldnotes from Fort Rupert: Studies of Kwakiutl Dance and Movement by Franz Boas,Native American Studies,Native American Studies,3,Summer Stipends,6,Research Programs,0,0,6000,0,6000,0,6000,0,8/1/2012 &ndash; 9/30/2012,"<p>Franz Boas's 1930 films of Kwakiutl activities are early documents of visual anthropology and are the only films made by Boas, whose fieldwork methods established twentieth century anthropology in America. A recently-discovered manuscript on Kwakiutl dance and gesture by Boas daughter, Franziska, is based on these films and is one of the earliest documents in dance ethnology. It is unknown to scholars, existing only as a rumored production but one lost to history. The film's publication as a DVD with an accompanying volume of essays will include: this manuscript by Franziska Boas, edited in collaboration with Kwakiutl Band members; my essay on the film's making and editorial history; as well as interviews with contemporary Kwagiulth dancers and descendants of the film's participants. This project aims to redress colonial histories of anthropological takings by ensuring that the community of origin has copies of all archival material and an active role in the final publication.</p>",
207894,FT-58710-11,2,0,1,0,0,0,0,,Richard,Henry,Watts,,,,,,Richard Henry Watts (Project Director: October 2010 to November 2011),"Richard Henry Watts<br/>University of Washington (Seattle, WA 98105-6613)",University of Washington,Seattle,WA,98105-6613,USA,3/1/2011,2011,Water Narratives: Imagining Global Environmental Change in the Francophone Post/Colonial World,French Literature,French Literature,3,Summer Stipends,6,Research Programs,0,0,6000,0,6000,0,6000,0,7/1/2011 &ndash; 8/31/2011,"<p>This book project considers disruptions in relations to life's most crucial element, fresh water, in the time of global environmental change and details the cultural effects that these changes produce. Ever more precarious access to fresh water as well as perceived changes in water's composition as a result of increasingly widespread pollution have transformed its uses and meaning in literature, cinema, and other forms of cultural production. The notion that water can have a timeless symbolic value has been shaken, and that is perhaps nowhere truer than in the postcolonial world, where the water crisis, for both historical and geographical reasons, is most acutely felt. Beyond its postcolonial focus, the study has a further French Studies specificity: texts from the francophone postcolonies (sub-Saharan Africa, Maghreb, Caribbean, Vietnam) convey that water's use value and symbolic value are in great flux and that this instability is inextricable from past and present ties to France.</p>",
